event_date,stock_id,stock_name,event_type,theme_tags,catalyst_strength,catalyst_confidence,close_at_event,return_d1,return_d3,return_d5,return_d10,return_d20,relative_return_vs_twse_d5,relative_return_vs_twse_d20,relative_return_vs_tpex_d5,relative_return_vs_tpex_d20,relative_return_vs_benchmark_d5,relative_return_vs_benchmark_d20,mfe_d10,mae_d10,tdcc_status_at_event,volume_reaction,price_reaction_level,success_label,last_updated
20230224,2614,東森,material_information,,low,high,,,,,,,,,,,,,,,,,,missing_price_history,2026-06-27 08:06:13 Asia/Taipei
20230826,2614,東森,material_information,,low,high,,,,,,,,,,,,,,,,,,missing_price_history,2026-06-27 08:06:13 Asia/Taipei
20240126,2614,東森,material_information,,low,high,,,,,,,,,,,,,,,,,,missing_price_history,2026-06-27 08:06:14 Asia/Taipei
20250523,2614,東森,material_information,,low,high,17.95,0.278551532033422,1.392757660167132,-2.228412256267398,-3.342618384401097,-8.913649025069626,0.771415937028086,-9.282109747840106,0.7218915157506056,-7.842798026337173,0.771415937028086,-9.282109747840106,3.899721448467952,-3.62116991643453,,healthy,none,mixed_or_pending,2026-06-27 08:06:14 Asia/Taipei
20260601,3663,鑫科,material_information,,low,high,89.5,-3.575418994413415,-7.8212290502793325,-19.217877094972067,-19.664804469273733,,-15.170204848942191,,-11.718213402760956,,-11.718213402760956,,2.1229050279329753,-27.59776536312849,,explosive,none,failed,2026-06-27 08:06:14 Asia/Taipei
20260611,2548,華固,material_information,neutral,low,high,104.0,1.9230769230769162,0.0,-0.48076923076922906,,,-8.16508324072438,,-10.299236891483087,,-8.16508324072438,,4.807692307692313,-3.8461538461538436,distribution_warning,quiet,none,mixed_or_pending,2026-06-27 08:06:14 Asia/Taipei
20260611,3015,全漢,material_information,,low,high,58.5,3.7606837606837695,-2.564102564102566,4.10256410256411,,,-3.581749907391041,,-5.715903558149749,,-3.581749907391041,,14.358974358974375,-3.4188034188034178,,healthy,mild,tradable_then_faded,2026-06-27 08:06:14 Asia/Taipei
20260612,3498,陽程,material_information,semiconductor_equipment_theme;automation equipment;automation;equipment,low,high,121.0,3.7190082644628086,-1.6528925619834656,1.6528925619834656,,,-6.43528413372918,,-6.395330062623406,,-6.395330062623406,,8.264462809917351,-6.6115702479338845,,healthy,none,tradable_then_faded,2026-06-27 08:06:14 Asia/Taipei
20260612,3498,陽程,shareholder_meeting,semiconductor_equipment_theme;automation equipment;automation;equipment,low,high,121.0,3.7190082644628086,-1.6528925619834656,1.6528925619834656,,,-6.43528413372918,,-6.395330062623406,,-6.395330062623406,,8.264462809917351,-6.6115702479338845,,healthy,none,tradable_then_faded,2026-06-27 08:06:14 Asia/Taipei
20260614,1442,名軒,quarterly_financial,,3,high,27.95,-0.5366726296958779,-0.17889087656529634,-1.9677996422182487,,,-10.055976337930893,,-10.016022266825122,,-10.055976337930893,,2.5044722719141266,-5.7245080500894385,,healthy,none,mixed_or_pending,2026-06-27 08:06:14 Asia/Taipei
20260614,1476,儒鴻,quarterly_financial,,3,high,344.5,-0.2902757619738794,-6.095791001451378,-7.982583454281567,,,-16.070760149994214,,-16.03080607888844,,-16.070760149994214,,2.1770682148040565,-10.740203193033382,,healthy,none,mixed_or_pending,2026-06-27 08:06:14 Asia/Taipei
20260614,2017,官田鋼,quarterly_financial,,3,high,9.68,-0.6198347107438051,-4.23553719008265,-3.3057851239669422,,,-11.393961819679587,,-11.354007748573814,,-11.393961819679587,,1.8595041322313932,-7.74793388429752,,quiet,none,mixed_or_pending,2026-06-27 08:06:14 Asia/Taipei
20260614,2031,新光鋼,quarterly_financial,,3,high,41.75,-6.586826347305386,-6.3473053892215585,-6.706586826347294,,,-14.79476352205994,,-14.754809450954166,,-14.79476352205994,,-4.910179640718559,-8.263473053892223,,healthy,none,mixed_or_pending,2026-06-27 08:06:14 Asia/Taipei
20260614,2059,川湖,quarterly_financial,,3,high,6910.0,0.723589001447178,-4.196816208393628,9.261939218523874,,,1.173762522811229,,1.2137165939170025,,1.173762522811229,,11.360347322720688,-6.222865412445733,,healthy,mild,tradable_then_faded,2026-06-27 08:06:14 Asia/Taipei
20260614,2107,厚生,quarterly_financial,,3,high,26.45,-4.725897920604916,-4.725897920604916,-2.6465028355387443,,,-10.73467953125139,,-10.694725460145616,,-10.73467953125139,,-1.8903591682419618,-5.2930056710775,,healthy,none,mixed_or_pending,2026-06-27 08:06:14 Asia/Taipei
20260614,2385,群光,quarterly_financial,,3,high,141.0,-13.829787234042556,-18.439716312056742,-19.14893617021277,,,-27.23711286592542,,-27.197158794819643,,-27.23711286592542,,-6.382978723404253,-28.36879432624113,,explosive,none,mixed_or_pending,2026-06-27 08:06:14 Asia/Taipei
20260614,2414,精技,quarterly_financial,,3,high,61.2,-0.6535947712418388,-0.8169934640522847,3.4313725490195957,,,-4.65680414669305,,-4.616850075587276,,-4.65680414669305,,5.228758169934644,-4.084967320261434,,quiet,mild,tradable_then_faded,2026-06-27 08:06:14 Asia/Taipei
20260614,3005,神基,quarterly_financial,,3,high,105.5,-1.4218009478673022,-2.843601895734593,-4.739336492891,,,-12.827513188603646,,-12.78755911749787,,-12.827513188603646,,1.4218009478673022,-9.194312796208537,,healthy,none,mixed_or_pending,2026-06-27 08:06:14 Asia/Taipei
20260614,4566,時碩工業,quarterly_financial,,3,high,63.2,1.7405063291139111,0.0,3.7974683544303556,,,-4.29070834128229,,-4.250754270176516,,-4.29070834128229,,5.221518987341778,-6.645569620253166,,quiet,mild,tradable_then_faded,2026-06-27 08:06:14 Asia/Taipei
20260614,6409,旭隼,quarterly_financial,,3,high,930.0,0.7526881720430145,0.0,1.3978494623655857,,,-6.69032723334706,,-6.650373162241286,,-6.69032723334706,,10.215053763440851,-3.2258064516129004,,quiet,none,tradable_then_faded,2026-06-27 08:06:14 Asia/Taipei
20260614,7722,LINEPAY,quarterly_financial,,3,high,333.5,-1.9490254872563728,-4.347826086956519,-3.748125937031488,,,-11.836302632744133,,-11.79634856163836,,-11.836302632744133,,7.19640179910046,-10.04497751124438,,healthy,none,tradable_then_faded,2026-06-27 08:06:14 Asia/Taipei
20260615,1102,亞泥,shareholder_meeting,,low,high,35.45,0.42313117066290484,0.9873060648800891,0.7052186177715081,,,-3.0475852575515106,,-1.9591501085018725,,-3.0475852575515106,,2.961918194640334,-0.5641748942172176,distribution_warning,quiet,none,mixed_or_pending,2026-06-27 08:06:14 Asia/Taipei
20260615,1314,中石化,material_information,,low,high,7.82,-1.7902813299232823,-0.5115089514066473,0.38363171355497716,,,-3.3691721617680415,,-2.2807370127184035,,-3.3691721617680415,,5.3708439897698135,-2.813299232736577,mild_accumulation,quiet,none,tradable_then_faded,2026-06-27 08:06:14 Asia/Taipei
20260615,1319,東陽,material_information,,low,high,105.0,-4.761904761904767,-5.52380952380952,-24.38095238095238,,,-28.133756256275397,,-27.04532110722576,,-28.133756256275397,,0.0,-26.380952380952383,,healthy,none,mixed_or_pending,2026-06-27 08:06:14 Asia/Taipei
20260615,1455,集盛,shareholder_meeting,,low,high,9.99,-0.30030030030029353,2.102102102102088,-5.905905905905906,,,-9.658709781228925,,-8.570274632179286,,-9.658709781228925,,3.603603603603589,-6.806806806806809,mild_accumulation,healthy,none,mixed_or_pending,2026-06-27 08:06:14 Asia/Taipei
20260615,2009,第一銅,quarterly_financial,,3,high,41.45,-3.3775633293124385,-4.704463208685173,-5.9107358262967535,,,-9.663539701619772,,-8.575104552570135,,-9.663539701619772,,0.6031363088057962,-8.805790108564548,,quiet,none,mixed_or_pending,2026-06-27 08:06:14 Asia/Taipei
