date,code,name,invalid_reason,active_level,active_holders,active_ratio_pct,total_holders,total_ratio_pct
20260904,1563,巧新,single_holder_or_placeholder_distribution,15,1,100.0,1,100.0
20260904,6949,沛爾生醫-創,single_holder_or_placeholder_distribution,15,1,100.0,1,100.0
