date,code,name,invalid_reason,active_level,active_holders,active_ratio_pct,total_holders,total_ratio_pct
20260924,1441,大東,single_holder_or_placeholder_distribution,15,1,100.0,1,100.0
20260924,6550,北極星藥業-KY,single_holder_or_placeholder_distribution,15,1,100.0,1,100.0
