date,index_code,index_name,open,high,low,close,ohlc_source,ohlc_available,volume,turnover_value,transactions,turnover_source,volume_available
20241202,TPEX,TPEx,256.87,258.84,256.87,257.84,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=113/12&response=json,True,,,,,False
20241203,TPEX,TPEx,258.3,260.3,258.3,259.11,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=113/12&response=json,True,,,,,False
20241204,TPEX,TPEx,259.13,262.62,259.13,262.6,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=113/12&response=json,True,,,,,False
20241205,TPEX,TPEx,262.77,264.25,262.77,263.39,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=113/12&response=json,True,,,,,False
20241206,TPEX,TPEx,263.36,263.74,261.02,261.52,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=113/12&response=json,True,,,,,False
20241209,TPEX,TPEx,261.44,262.28,259.85,260.47,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=113/12&response=json,True,,,,,False
20241210,TPEX,TPEx,260.51,261.66,258.17,258.21,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=113/12&response=json,True,,,,,False
20241211,TPEX,TPEx,257.9,259.33,257.53,257.78,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=113/12&response=json,True,,,,,False
20241212,TPEX,TPEx,258.21,260.24,257.38,257.38,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=113/12&response=json,True,,,,,False
20241213,TPEX,TPEx,257.35,257.83,254.79,255.29,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=113/12&response=json,True,,,,,False
20241216,TPEX,TPEx,255.54,256.45,250.1,250.1,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=113/12&response=json,True,,,,,False
20241217,TPEX,TPEx,250.3,254.16,250.3,253.83,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=113/12&response=json,True,,,,,False
20241218,TPEX,TPEx,253.83,255.12,252.75,255.12,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=113/12&response=json,True,,,,,False
20241219,TPEX,TPEx,254.45,254.73,251.74,254.73,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=113/12&response=json,True,,,,,False
20241220,TPEX,TPEx,254.79,256.55,252.39,252.39,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=113/12&response=json,True,,,,,False
20241223,TPEX,TPEx,252.86,255.49,252.86,254.18,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=113/12&response=json,True,,,,,False
20241224,TPEX,TPEx,254.45,257.45,254.45,255.3,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=113/12&response=json,True,,,,,False
20241225,TPEX,TPEx,255.5,257.15,255.5,256.41,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=113/12&response=json,True,,,,,False
20241226,TPEX,TPEx,256.58,258.12,256.58,257.18,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=113/12&response=json,True,,,,,False
20241227,TPEX,TPEx,257.31,257.69,256.1,256.1,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=113/12&response=json,True,,,,,False
20241230,TPEX,TPEx,256.14,256.63,254.32,254.32,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=113/12&response=json,True,,,,,False
20241231,TPEX,TPEx,254.3,255.84,252.95,255.84,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=113/12&response=json,True,,,,,False
20250102,TPEX,TPEx,255.78,256.17,252.58,252.69,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/01&response=json,True,,,,,False
20250103,TPEX,TPEx,252.9,254.61,252.32,252.35,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/01&response=json,True,,,,,False
20250106,TPEX,TPEx,252.78,255.42,252.78,255.31,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/01&response=json,True,,,,,False
20250107,TPEX,TPEx,255.65,257.83,255.65,256.88,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/01&response=json,True,,,,,False
20250108,TPEX,TPEx,256.65,257.31,255.43,256.08,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/01&response=json,True,,,,,False
20250109,TPEX,TPEx,256.14,256.26,250.81,250.81,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/01&response=json,True,,,,,False
20250110,TPEX,TPEx,250.98,252.32,249.76,250.14,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/01&response=json,True,,,,,False
20250113,TPEX,TPEx,250.02,250.02,241.9,242.35,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/01&response=json,True,,,,,False
20250114,TPEX,TPEx,242.55,245.5,242.55,245.5,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/01&response=json,True,,,,,False
20250115,TPEX,TPEx,245.59,247.27,244.54,244.74,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/01&response=json,True,,,,,False
20250116,TPEX,TPEx,245.74,249.73,245.74,249.57,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/01&response=json,True,,,,,False
20250117,TPEX,TPEx,249.89,250.61,247.76,248.05,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/01&response=json,True,,,,,False
20250120,TPEX,TPEx,248.04,251.55,248.04,251.55,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/01&response=json,True,,,,,False
20250121,TPEX,TPEx,251.57,252.31,251.04,251.04,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/01&response=json,True,,,,,False
20250122,TPEX,TPEx,251.35,253.01,251.17,252.95,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/01&response=json,True,,,,,False
20250203,TPEX,TPEx,251.31,251.31,244.41,246.17,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/02&response=json,True,,,,,False
20250204,TPEX,TPEx,246.38,247.68,244.83,246.04,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/02&response=json,True,,,,,False
20250205,TPEX,TPEx,246.34,250.25,246.34,250.25,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/02&response=json,True,,,,,False
20250206,TPEX,TPEx,250.62,252.72,250.62,252.48,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/02&response=json,True,,,,,False
20250207,TPEX,TPEx,252.57,255.63,252.57,255.54,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/02&response=json,True,,,,,False
20250210,TPEX,TPEx,255.39,255.39,253.12,253.57,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/02&response=json,True,,,,,False
20250211,TPEX,TPEx,253.92,255.56,253.92,254.01,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/02&response=json,True,,,,,False
20250212,TPEX,TPEx,254.29,255.99,253.06,253.12,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/02&response=json,True,,,,,False
20250213,TPEX,TPEx,253.29,255.47,253.29,255.08,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/02&response=json,True,,,,,False
20250214,TPEX,TPEx,255.32,256.44,254.77,254.81,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/02&response=json,True,,,,,False
20250217,TPEX,TPEx,255.05,257.73,255.05,257.63,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/02&response=json,True,,,,,False
20250218,TPEX,TPEx,257.81,260.75,257.81,260.75,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/02&response=json,True,,,,,False
20250219,TPEX,TPEx,260.67,262.99,260.67,261.66,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/02&response=json,True,,,,,False
20250220,TPEX,TPEx,261.8,263.21,261.35,261.64,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/02&response=json,True,,,,,False
20250221,TPEX,TPEx,261.61,263.43,261.61,263.43,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/02&response=json,True,,,,,False
20250224,TPEX,TPEx,263.19,264.03,261.83,264.03,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/02&response=json,True,,,,,False
20250225,TPEX,TPEx,263.82,263.82,261.56,262.51,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/02&response=json,True,,,,,False
20250226,TPEX,TPEx,262.52,263.28,261.6,262.22,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/02&response=json,True,,,,,False
20250227,TPEX,TPEx,262.5,264.29,259.86,259.92,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/02&response=json,True,,,,,False
20250303,TPEX,TPEx,259.37,259.37,255.89,256.01,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/03&response=json,True,,,,,False
20250304,TPEX,TPEx,255.34,257.29,251.12,256.89,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/03&response=json,True,,,,,False
20250305,TPEX,TPEx,257.1,260.42,257.1,259.99,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/03&response=json,True,,,,,False
20250306,TPEX,TPEx,260.17,262.2,260.17,260.31,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/03&response=json,True,,,,,False
20250307,TPEX,TPEx,260.1,260.19,257.06,257.23,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/03&response=json,True,,,,,False
20250310,TPEX,TPEx,257.39,258.37,255.29,255.29,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/03&response=json,True,,,,,False
20250311,TPEX,TPEx,254.04,254.04,246.99,251.52,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/03&response=json,True,,,,,False
20250312,TPEX,TPEx,251.82,254.43,251.72,252.11,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/03&response=json,True,,,,,False
20250313,TPEX,TPEx,252.6,255.04,249.3,249.3,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/03&response=json,True,,,,,False
20250314,TPEX,TPEx,249.42,250.35,247.75,249.96,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/03&response=json,True,,,,,False
20250317,TPEX,TPEx,250.48,252.59,250.48,250.78,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/03&response=json,True,,,,,False
20250318,TPEX,TPEx,251.14,253.49,251.14,253.3,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/03&response=json,True,,,,,False
20250319,TPEX,TPEx,253.35,253.69,250.6,250.62,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/03&response=json,True,,,,,False
20250320,TPEX,TPEx,251.01,254.58,251.01,254.45,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/03&response=json,True,,,,,False
20250321,TPEX,TPEx,254.56,255.05,253.5,253.89,https://www.tpex.org.tw/www/zh-tw/indexInfo/inx?date=114/03&response=json,True,,,,,False
