date,stock_id,stock_name,call_warrant_count,put_warrant_count,call_turnover,put_turnover,total_warrant_turnover,call_volume,put_volume,total_warrant_volume,call_put_turnover_ratio,candidate_category,candidate_category_zh,sector,sub_theme,tdcc_status,tdcc_status_zh,warrant_flow_signal,warrant_flow_signal_zh,data_quality_note
20260901,6669,緯穎,441,0,389009590.0,0.0,389009590.0,139408000.0,0.0,139408000.0,,true_breakout,嚴格突破,,,,,call_strong_inflow,認購明確偏多,
20260901,4958,臻鼎-KY,340,0,131971660.0,0.0,131971660.0,103288000.0,0.0,103288000.0,,range_rebound,區間內轉強 / 挑戰前高觀察,,,,,call_strong_inflow,認購明確偏多,
20260901,2303,聯電,310,0,110928680.0,0.0,110928680.0,122549000.0,0.0,122549000.0,,,,,,,,call_strong_inflow,認購明確偏多,
20260901,0050,元大台灣50,275,0,84222330.0,0.0,84222330.0,27840000.0,0.0,27840000.0,,pattern,型態觀察,,,,,call_strong_inflow,認購明確偏多,
20260901,6239,力成,261,0,83896740.0,0.0,83896740.0,57355000.0,0.0,57355000.0,,"pattern,revenue_pullback",型態觀察、營收成長股價回檔,,,,,call_strong_inflow,認購明確偏多,
20260901,1301,台塑,122,0,83115050.0,0.0,83115050.0,50532000.0,0.0,50532000.0,,range_rebound,區間內轉強 / 挑戰前高觀察,,,,,call_strong_inflow,認購明確偏多,
20260901,2345,智邦,301,0,52223520.0,0.0,52223520.0,52786000.0,0.0,52786000.0,,"pattern,pullback_rebound,revenue_pullback",型態觀察、回檔後短線轉強、營收成長股價回檔,,,,,call_strong_inflow,認購明確偏多,
20260901,1326,台化,130,0,51907500.0,0.0,51907500.0,26983000.0,0.0,26983000.0,,range_rebound,區間內轉強 / 挑戰前高觀察,,,,,call_strong_inflow,認購明確偏多,
20260901,2449,京元電子,294,0,47675810.0,0.0,47675810.0,48279000.0,0.0,48279000.0,,range_rebound,區間內轉強 / 挑戰前高觀察,,,,,call_strong_inflow,認購明確偏多,
20260901,2317,鴻海,539,0,46276930.0,0.0,46276930.0,38958000.0,0.0,38958000.0,,"pattern,revenue_breakout_low_response,revenue_pullback",型態觀察、營收爆發但股價尚未反應、營收成長股價回檔,mainstream_growth,mainstream_growth,,,call_strong_inflow,認購明確偏多,
20260901,1717,長興,118,0,38953400.0,0.0,38953400.0,30806000.0,0.0,30806000.0,,range_rebound,區間內轉強 / 挑戰前高觀察,,,,,call_strong_inflow,認購明確偏多,
20260901,6781,AES-KY,182,0,37125330.0,0.0,37125330.0,39716000.0,0.0,39716000.0,,,,,,,,call_strong_inflow,認購明確偏多,
20260901,6505,台塑化,90,0,32796210.0,0.0,32796210.0,27298000.0,0.0,27298000.0,,range_rebound,區間內轉強 / 挑戰前高觀察,,,,,call_strong_inflow,認購明確偏多,
20260901,2377,微星,132,0,32636550.0,0.0,32636550.0,30191000.0,0.0,30191000.0,,,,,,,,call_strong_inflow,認購明確偏多,
20260901,2395,研華,115,0,32333010.0,0.0,32333010.0,17795000.0,0.0,17795000.0,,revenue_pullback,營收成長股價回檔,,,,,call_strong_inflow,認購明確偏多,
20260901,2404,漢唐,226,0,28463620.0,0.0,28463620.0,39770000.0,0.0,39770000.0,,"revenue_breakout_low_response,revenue_pullback",營收爆發但股價尚未反應、營收成長股價回檔,mainstream_growth,mainstream_growth,,,call_strong_inflow,認購明確偏多,
20260901,4967,十銓,96,0,28027540.0,0.0,28027540.0,24825000.0,0.0,24825000.0,,"pattern,revenue_breakout_low_response,revenue_pullback",型態觀察、營收爆發但股價尚未反應、營收成長股價回檔,mainstream_growth,mainstream_growth,,,call_strong_inflow,認購明確偏多,
20260901,3037,欣興,107,0,26835110.0,0.0,26835110.0,6704000.0,0.0,6704000.0,,revenue_pullback,營收成長股價回檔,,,,,call_strong_inflow,認購明確偏多,
20260901,2354,鴻準,56,0,25141080.0,0.0,25141080.0,21141000.0,0.0,21141000.0,,pattern,型態觀察,,,,,call_strong_inflow,認購明確偏多,
20260901,6789,采鈺,105,0,25018970.0,0.0,25018970.0,23362000.0,0.0,23362000.0,,"pullback_rebound,range_rebound,revenue_pullback",回檔後短線轉強、區間內轉強 / 挑戰前高觀察、營收成長股價回檔,,,,,call_strong_inflow,認購明確偏多,
