date,stock_id,stock_name,industry,call_warrant_count,put_warrant_count,call_volume,put_volume,total_warrant_volume,call_turnover,put_turnover,total_warrant_turnover,call_put_turnover_ratio,call_turnover_change_1d,call_turnover_change_5d,put_turnover_change_1d,put_turnover_change_5d,call_volume_change_1d,call_volume_change_5d,put_volume_change_1d,put_volume_change_5d,low_float_call_spike_count,low_float_put_spike_count,issuer_count,top_issuer,top_issuer_call_turnover,top_issuer_put_turnover,latest_warrant_count,issued_quantity_total,cancelled_quantity_total,warrant_flow_signal,warrant_flow_signal_zh,warrant_flow_score,warrant_flow_warning,note,candidate_category,sector,sub_theme,tdcc_status,candidate_category_zh,tdcc_status_zh
20260603,3008,大立光,,237,12,39697000.0,251000.0,39948000.0,97797150.0,258020.0,98055170.0,379.03,128.44,192.31,-25.63,-68.97,142.69,184.97,-5.99,-65.01,0,0,12,永豐,27218050.0,0.0,0.0,0.0,0.0,call_put_bullish,認購/認售結構偏多,3,,認購成交金額明顯大於認售，且認購資金明顯升溫,true_breakout,core_mainstream,,,嚴格突破,
20260603,3376,新日興,,94,5,44889000.0,763000.0,45652000.0,46612570.0,784780.0,47397350.0,59.4,143.84,201.17,12.04,116.46,136.57,213.4,-17.51,34.81,0,0,11,凱基,9545830.0,0.0,0.0,0.0,0.0,call_put_bullish,認購/認售結構偏多,3,,認購成交金額明顯大於認售，且認購資金明顯升溫,"pattern,range_rebound",core_mainstream,,,型態觀察、區間內轉強 / 挑戰前高觀察,
20260603,1519,華城,,135,13,50713000.0,855000.0,51568000.0,44579210.0,379120.0,44958330.0,117.59,165.93,60.6,431.13,259.45,100.04,41.15,1055.41,443.89,0,0,12,元大,15797730.0,0.0,0.0,0.0,0.0,call_put_bullish,認購/認售結構偏多,3,,認購成交金額明顯大於認售，且認購資金明顯升溫,range_rebound,core_mainstream,,,區間內轉強 / 挑戰前高觀察,
20260603,3665,貿聯-KY,,243,13,33204000.0,107000.0,33311000.0,39922440.0,60480.0,39982920.0,660.09,397.67,419.82,-54.22,-50.24,375.02,396.87,-57.03,-48.06,0,0,12,元大,11535370.0,8200.0,0.0,0.0,0.0,call_put_bullish,認購/認售結構偏多,3,,認購成交金額明顯大於認售，且認購資金明顯升溫,pattern,core_mainstream,,,型態觀察,
20260603,1513,中興電,,93,2,31413000.0,28000.0,31441000.0,31487480.0,13070.0,31500550.0,2409.14,230.4,114.68,1385.23,-31.67,116.85,53.1,2700.0,-4.11,0,0,11,元大,8239100.0,10530.0,0.0,0.0,0.0,call_put_bullish,認購/認售結構偏多,3,,認購成交金額明顯大於認售，且認購資金明顯升溫,"pattern,true_breakout",core_mainstream,,,型態觀察、嚴格突破,
20260603,2353,宏碁,,43,2,8395000.0,141000.0,8536000.0,24528610.0,10230.0,24538840.0,2397.71,24.58,104.95,-55.52,-32.6,51.62,30.2,-69.35,-29.64,0,0,8,凱基,5031730.0,0.0,0.0,0.0,0.0,call_put_bullish,認購/認售結構偏多,3,,認購成交金額明顯大於認售，且認購資金明顯升溫,"pattern,true_breakout",core_mainstream,,,型態觀察、嚴格突破,
20260603,6409,旭隼,,62,2,24252000.0,42000.0,24294000.0,19967130.0,53180.0,20020310.0,375.46,105.9,239.05,,178.11,63.17,135.71,,296.23,0,0,10,兆豐,5602450.0,0.0,0.0,0.0,0.0,call_put_bullish,認購/認售結構偏多,3,,認購成交金額明顯大於認售，且認購資金明顯升溫,range_rebound,core_mainstream,,,區間內轉強 / 挑戰前高觀察,
20260603,1514,亞力,,59,1,26170000.0,13000.0,26183000.0,17487890.0,12830.0,17500720.0,1363.05,185.87,64.41,183.22,24.06,109.78,39.05,225.0,38.3,0,0,11,元大,4489000.0,0.0,0.0,0.0,0.0,call_put_bullish,認購/認售結構偏多,3,,認購成交金額明顯大於認售，且認購資金明顯升溫,"pattern,range_rebound",core_mainstream,,,型態觀察、區間內轉強 / 挑戰前高觀察,
20260603,2498,宏達電,,93,9,21098000.0,186000.0,21284000.0,16516100.0,134450.0,16650550.0,122.84,95.08,145.95,-2.61,54.93,147.37,126.97,-23.77,69.4,0,0,10,元大,5569050.0,0.0,0.0,0.0,0.0,call_put_bullish,認購/認售結構偏多,3,,認購成交金額明顯大於認售，且認購資金明顯升溫,"pattern,range_rebound",core_mainstream,,,型態觀察、區間內轉強 / 挑戰前高觀察,
20260603,6451,訊芯-KY,,79,3,802000.0,256000.0,1058000.0,13205320.0,53030.0,13258350.0,249.02,0.85,176.68,-44.48,-59.82,-47.79,-1.5,-39.05,-48.64,0,0,9,元大,10913700.0,0.0,0.0,0.0,0.0,call_put_bullish,認購/認售結構偏多,3,,認購成交金額明顯大於認售，且認購資金明顯升溫,"pattern,true_breakout",core_mainstream,,,型態觀察、嚴格突破,
20260603,2882,國泰金,,31,3,5812000.0,23000.0,5835000.0,11138600.0,15630.0,11154230.0,712.64,192.15,64.01,-87.98,-51.84,108.91,10.04,-84.97,-46.76,0,0,5,富邦,4026400.0,0.0,0.0,0.0,0.0,call_put_bullish,認購/認售結構偏多,3,,認購成交金額明顯大於認售，且認購資金明顯升溫,pattern,non_mainstream,,,型態觀察,
20260603,3515,華擎,,27,3,5244000.0,14000.0,5258000.0,10144130.0,7270.0,10151400.0,1395.34,-5.6,126.22,-31.42,-16.8,-9.12,90.44,-30.0,20.69,0,0,9,國票,2323540.0,0.0,0.0,0.0,0.0,call_put_bullish,認購/認售結構偏多,3,,認購成交金額明顯大於認售，且認購資金明顯升溫,pattern,core_mainstream,,,型態觀察,
20260603,0083,國泰費城半導體,,21,11,2357000.0,844000.0,3201000.0,7727450.0,619400.0,8346850.0,12.48,148.12,65.97,85.68,-36.0,149.15,45.51,8.62,-78.85,0,0,6,元大,6357580.0,300520.0,0.0,0.0,0.0,call_put_bullish,認購/認售結構偏多,3,,認購成交金額明顯大於認售，且認購資金明顯升溫,,,,,,
