date,stock_id,stock_name,industry,call_warrant_count,put_warrant_count,call_volume,put_volume,total_warrant_volume,call_turnover,put_turnover,total_warrant_turnover,call_put_turnover_ratio,call_turnover_change_1d,call_turnover_change_5d,put_turnover_change_1d,put_turnover_change_5d,call_volume_change_1d,call_volume_change_5d,put_volume_change_1d,put_volume_change_5d,low_float_call_spike_count,low_float_put_spike_count,issuer_count,top_issuer,top_issuer_call_turnover,top_issuer_put_turnover,latest_warrant_count,issued_quantity_total,cancelled_quantity_total,warrant_flow_signal,warrant_flow_score,warrant_flow_warning,note,candidate_category,sector,sub_theme,tdcc_status
20260523,0068,元大美債20正2,,43,0,7459000.0,0.0,7459000.0,6017120.0,0.0,6017120.0,,653.88,44.89,-100.0,-100.0,438.56,-16.48,-100.0,-100.0,0,0,8,永豐,3278970.0,0.0,0.0,0.0,0.0,call_strong_inflow,2,,認購權證成交金額明顯升溫,,,,
20260523,3016,嘉晶,,17,0,6234000.0,0.0,6234000.0,4318940.0,0.0,4318940.0,,481.82,544.65,,-100.0,1681.14,1722.81,,-100.0,0,0,8,台新,1485930.0,0.0,0.0,0.0,0.0,call_strong_inflow,2,,認購權證成交金額明顯升溫,,,,
20260523,6873,泓德能源,,2,0,3048000.0,0.0,3048000.0,3923130.0,0.0,3923130.0,,4834.75,2242.21,,,3075.0,361.82,,,0,0,2,統一,3736290.0,0.0,0.0,0.0,0.0,call_strong_inflow,2,,認購權證成交金額明顯升溫,,,,
20260523,3030,德律,,68,0,7872000.0,0.0,7872000.0,10081230.0,0.0,10081230.0,,21.25,97.03,-100.0,-100.0,162.05,253.69,-100.0,-100.0,0,0,10,元大,4908470.0,0.0,0.0,0.0,0.0,call_inflow,1,,認購權證資金升溫,revenue_pullback,,,
20260523,2059,川湖,,62,0,5881000.0,0.0,5881000.0,4531220.0,0.0,4531220.0,,-12.61,51.52,-100.0,-100.0,152.95,308.02,-100.0,-100.0,0,0,10,凱基,1737310.0,0.0,0.0,0.0,0.0,call_inflow,1,,認購權證資金升溫,,,,
20260523,6937,天虹,,18,0,5010000.0,0.0,5010000.0,4243310.0,0.0,4243310.0,,3.97,64.39,,,16.65,78.65,,,0,0,8,元大,1340340.0,0.0,0.0,0.0,0.0,call_inflow,1,,認購權證資金升溫,,,,
20260523,8374,羅昇,,4,0,2948000.0,0.0,2948000.0,3887270.0,0.0,3887270.0,,62.53,99.93,,,-22.13,-13.35,,,0,0,2,國票,3089820.0,0.0,0.0,0.0,0.0,call_inflow,1,,認購權證資金升溫,"pattern,range_rebound",,,
20260523,6449,鈺邦,,16,0,4504000.0,0.0,4504000.0,3010120.0,0.0,3010120.0,,71.67,47.67,,,362.9,250.51,,,0,0,8,永豐,699320.0,0.0,0.0,0.0,0.0,call_inflow,1,,認購權證資金升溫,,,,
20260523,0071,期街口布蘭特正2,,24,0,4973000.0,0.0,4973000.0,2924820.0,0.0,2924820.0,,127.59,25.17,-100.0,-100.0,518.53,395.98,-100.0,-100.0,0,0,6,凱基,837300.0,0.0,0.0,0.0,0.0,call_inflow,1,,認購權證資金升溫,,,,
20260523,9958,世紀鋼,,7,0,3355000.0,0.0,3355000.0,2626580.0,0.0,2626580.0,,165.9,88.23,,,39.62,16.16,,,0,0,5,國票,1514670.0,0.0,0.0,0.0,0.0,call_inflow,1,,認購權證資金升溫,revenue_pullback,,,
20260523,8110,華東,,16,0,2541000.0,0.0,2541000.0,2592200.0,0.0,2592200.0,,-1.13,97.52,-100.0,-100.0,-2.94,76.58,-100.0,-100.0,0,0,8,統一,1784370.0,0.0,0.0,0.0,0.0,call_inflow,1,,認購權證資金升溫,,,,
20260523,3515,華擎,,10,0,2310000.0,0.0,2310000.0,2416030.0,0.0,2416030.0,,92.95,59.04,-100.0,-100.0,187.67,91.65,-100.0,-100.0,0,0,8,凱基,1053220.0,0.0,0.0,0.0,0.0,call_inflow,1,,認購權證資金升溫,pattern,,,
20260523,0064,富邦日本正2,,29,0,7409000.0,0.0,7409000.0,2370380.0,0.0,2370380.0,,50.35,34.29,-100.0,-100.0,473.9,290.91,-100.0,-100.0,0,0,10,元大,1001990.0,0.0,0.0,0.0,0.0,call_inflow,1,,認購權證資金升溫,,,,
20260523,3701,大眾控,,2,0,2367000.0,0.0,2367000.0,2194290.0,0.0,2194290.0,,466.24,1054.26,,,485.89,1062.19,,,0,0,2,國票,2194290.0,0.0,0.0,0.0,0.0,call_inflow,1,,認購權證資金升溫,pattern,,,
20260523,8114,振樺電,,7,0,2376000.0,0.0,2376000.0,2137680.0,0.0,2137680.0,,428.11,31.98,,,676.47,100.56,,,0,0,4,國票,1411210.0,0.0,0.0,0.0,0.0,call_inflow,1,,認購權證資金升溫,,,,
20260523,3532,台勝科,,20,0,4899000.0,0.0,4899000.0,2126830.0,0.0,2126830.0,,36.8,102.23,,,542.91,731.28,,,0,0,8,統一,766440.0,0.0,0.0,0.0,0.0,call_inflow,1,,認購權證資金升溫,,,,
20260523,1304,台聚,,29,0,4341000.0,0.0,4341000.0,1704980.0,0.0,1704980.0,,19.5,98.88,,-100.0,49.48,158.6,,-100.0,0,0,9,凱基,969090.0,0.0,0.0,0.0,0.0,call_inflow,1,,認購權證資金升溫,pattern,,,
20260523,2419,仲琦,,18,0,2275000.0,0.0,2275000.0,1699110.0,0.0,1699110.0,,244.7,303.78,,,289.55,277.91,,,0,0,7,凱基,648850.0,0.0,0.0,0.0,0.0,call_inflow,1,,認購權證資金升溫,pattern,,,
