date,stock_id,stock_name,call_warrant_count,put_warrant_count,call_turnover,put_turnover,total_warrant_turnover,call_volume,put_volume,total_warrant_volume,call_put_turnover_ratio,candidate_category,candidate_category_zh,sector,sub_theme,tdcc_status,tdcc_status_zh,warrant_flow_signal,warrant_flow_signal_zh,data_quality_note
20260703,1326,台化,119,8,146759790.0,55160.0,146814950.0,18666000.0,180000.0,18846000.0,2660.62,true_breakout,嚴格突破,,,,,call_put_bullish,權證偏多,
20260703,2327,國巨*,247,34,134700730.0,591390.0,135292120.0,6442000.0,3621000.0,10063000.0,227.77,,,,,,,call_put_bullish,權證偏多,
20260703,3042,晶技,63,1,88981890.0,330690.0,89312580.0,56636000.0,271000.0,56907000.0,269.08,true_breakout,嚴格突破,,,,,call_put_bullish,權證偏多,
20260703,3008,大立光,215,8,76848850.0,949070.0,77797920.0,16861000.0,1673000.0,18534000.0,80.97,pattern,型態觀察,,,,,call_put_bullish,權證偏多,
20260703,2308,台達電,224,28,33049360.0,544890.0,33594250.0,20194000.0,1896000.0,22090000.0,60.65,,,,,,,call_put_bullish,權證偏多,
20260703,1301,台塑,96,4,31018900.0,24540.0,31043440.0,18865000.0,578000.0,19443000.0,1264.01,true_breakout,嚴格突破,,,,,call_put_bullish,權證偏多,
20260703,8028,昇陽半導體,141,2,30788980.0,6770.0,30795750.0,14434000.0,11000.0,14445000.0,4547.86,range_rebound,區間內轉強 / 挑戰前高觀察,,,,,call_put_bullish,權證偏多,
20260703,2493,揚博,59,2,27915570.0,16090.0,27931660.0,11342000.0,12000.0,11354000.0,1734.96,pattern,型態觀察,,,,,call_put_bullish,權證偏多,
20260703,8112,至上,145,3,22949210.0,533600.0,23482810.0,20024000.0,630000.0,20654000.0,43.01,pattern,型態觀察,,,,,call_put_bullish,權證偏多,
20260703,1717,長興,115,2,21765180.0,152780.0,21917960.0,17335000.0,668000.0,18003000.0,142.46,range_rebound,區間內轉強 / 挑戰前高觀察,,,,,call_put_bullish,權證偏多,
20260703,2603,長榮,111,2,20651490.0,1230.0,20652720.0,27688000.0,4000.0,27692000.0,16789.83,,,,,,,call_put_bullish,權證偏多,
20260703,6472,保瑞,73,1,20136700.0,10000.0,20146700.0,14441000.0,10000.0,14451000.0,2013.67,range_rebound,區間內轉強 / 挑戰前高觀察,,,,,call_put_bullish,權證偏多,
20260703,2474,可成,59,4,16406180.0,649790.0,17055970.0,14622000.0,506000.0,15128000.0,25.25,,,,,,,call_put_bullish,權證偏多,
20260703,8039,台虹,116,4,16715540.0,30810.0,16746350.0,15038000.0,55000.0,15093000.0,542.54,range_rebound,區間內轉強 / 挑戰前高觀察,,,,,call_put_bullish,權證偏多,
20260703,2383,台光電,99,11,14923200.0,21250.0,14944450.0,1884000.0,691000.0,2575000.0,702.27,pattern,型態觀察,,,,,call_put_bullish,權證偏多,
20260703,2451,創見,113,6,14480080.0,101170.0,14581250.0,16000000.0,186000.0,16186000.0,143.13,pattern,型態觀察,,,,,call_put_bullish,權證偏多,
20260703,2615,萬海,64,5,10348890.0,128900.0,10477790.0,12157000.0,70000.0,12227000.0,80.29,range_rebound,區間內轉強 / 挑戰前高觀察,,,,,call_put_bullish,權證偏多,
