generated_at,model_id,research_artifact_id,anomaly_exclusion_basis,decision_basis,source_strong_signal_count,known_anomaly_count_in_source,basis_source_signal_count,accepted_signal_count_after_non_overlap,suppressed_signal_count,return_path_discontinuity_count_after_non_overlap,return_path_discontinuity_count_excluded,return_path_discontinuity_count_in_metric_sample,accepted_trade_count,same_stock_overlap_pair_count,max_realized_return_pct,max_return_stock_id,max_return_signal_date,min_realized_return_pct,min_return_stock_id,min_return_signal_date,return_abs_ge80_count,return_ge50_count,return_le_minus50_count,top1_abs_return_share_pct,top5_abs_return_share_pct,avg_realized_return_pct,median_realized_return_pct,avg_without_max_min_pct,trimmed_1pct_avg_return_pct,potential_return_dominance_flag,interpretation_status,approved_for_daily,production_change
2026-07-11 16:04:07 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_feature_contrast_anomaly_audit,excluding_known_revenue_and_price_anomalies,True,90512,12913,77599,5226,72373,4,4,0,4646,0,411.4754,8291,20260416,-48.7869,1589,20260223,30,114,0,0.83,1.95,3.4064,0.0,3.3298,2.7713,False,anomaly_check_pass,False,none
2026-07-11 16:04:07 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_feature_contrast_anomaly_audit,including_known_anomalies,False,90512,12913,90512,6004,84508,6,0,6,5327,0,411.4754,8291,20260416,-83.0769,7780,20251219,36,125,4,0.73,1.73,3.0175,-0.3552,2.957,2.4171,True,not_decision_basis_known_anomalies_included,False,none
