model_id,confirmation_model_id,overlay_model_id,research_id,source_research_id,research_variant_id,parameter_set_id,advisory_status,event_set_id,entry_timing_id,condition_set_id,condition_set_description,sample_size,mature_sample_size,win_count,win_rate_pct,avg_return_pct,median_return_pct,baseline_sample_size,baseline_mature_sample_size,baseline_win_rate_pct,baseline_avg_return_pct,baseline_median_return_pct,delta_sample_size_vs_baseline,delta_mature_sample_size_vs_baseline,sample_retention_rate_pct,delta_win_rate_pct_vs_baseline,delta_avg_return_pct_vs_baseline,delta_median_return_pct_vs_baseline,breakout_signal_count,post_confirmation_count,tdcc_any_age7_count,tdcc_any_age14_count,core_mainstream_count,hot_theme_count,bottom_quartile_count,low_level_count,mid_level_count,high_level_count,wv_multiple_turn_count,sharp_v_count,slope_break_count,smooth_count,avg_price_position_252_pct,median_price_position_252_pct,sample_warning,research_interpretation,revenue_catalyst_feature_status,approved_for_daily,production_readiness,generated_at
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_combined_condition_backtest,w_bottom_nearest_micro_anchor_event_replay,warning_research_variant_only,w_bottom_combined_condition_backtest_20260626,warning_research_variant_only,baseline_current_detector,a_next_open_after_neckline_breakout,all_dedup_signals,All deduplicated W-bottom event signals.,470,52,16,30.7692,0.1621,-1.7857,470,52,30.7692,0.1621,-1.7857,0,0,100.0000,0.0000,0.0000,0.0000,56,37,2,2,218,24,261,182,27,0,286,26,104,54,24.8791,22.9759,medium_mature_sample_research_only,baseline_reference,pending_historical_feature_join_not_evaluated,false,not_production_ready_research_only,2026-06-26 04:40:32 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_combined_condition_backtest,w_bottom_nearest_micro_anchor_event_replay,warning_research_variant_only,w_bottom_combined_condition_backtest_20260626,warning_research_variant_only,variant_nearest_micro_45d_event_replay,a_next_open_after_neckline_breakout,all_dedup_signals,All deduplicated W-bottom event signals.,372,51,17,33.3333,0.6943,-0.8547,470,52,30.7692,0.1621,-1.7857,-98,-1,79.1489,2.5641,0.5322,0.9310,55,33,1,2,211,25,191,149,32,0,212,20,76,64,26.6935,24.5057,medium_mature_sample_research_only,directionally_better_than_baseline_same_condition,pending_historical_feature_join_not_evaluated,false,not_production_ready_research_only,2026-06-26 04:40:32 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_combined_condition_backtest,w_bottom_nearest_micro_anchor_event_replay,warning_research_variant_only,w_bottom_combined_condition_backtest_20260626,warning_research_variant_only,baseline_current_detector,a_next_open_after_neckline_breakout,price_position_le_40,Signal close is in the lower 40% of the 252-day low/high range.,402,45,15,33.3333,0.5000,-1.7857,402,45,33.3333,0.5000,-1.7857,0,0,100.0000,0.0000,0.0000,0.0000,49,33,2,2,179,17,261,141,0,0,244,18,94,46,20.7161,19.9548,medium_mature_sample_research_only,baseline_reference,pending_historical_feature_join_not_evaluated,false,not_production_ready_research_only,2026-06-26 04:40:32 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_combined_condition_backtest,w_bottom_nearest_micro_anchor_event_replay,warning_research_variant_only,w_bottom_combined_condition_backtest_20260626,warning_research_variant_only,variant_nearest_micro_45d_event_replay,a_next_open_after_neckline_breakout,price_position_le_40,Signal close is in the lower 40% of the 252-day low/high range.,298,39,14,35.8974,1.3469,-0.8547,402,45,33.3333,0.5000,-1.7857,-104,-6,74.1294,2.5641,0.8469,0.9310,43,27,1,1,157,14,191,107,0,0,165,12,69,52,21.0093,19.2916,medium_mature_sample_research_only,directionally_better_than_baseline_same_condition,pending_historical_feature_join_not_evaluated,false,not_production_ready_research_only,2026-06-26 04:40:32 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_combined_condition_backtest,w_bottom_nearest_micro_anchor_event_replay,warning_research_variant_only,w_bottom_combined_condition_backtest_20260626,warning_research_variant_only,baseline_current_detector,a_next_open_after_neckline_breakout,bottom_quartile_level,Signal close is in the bottom quartile of the 252-day low/high range.,261,27,9,33.3333,2.9403,-1.7857,261,27,33.3333,2.9403,-1.7857,0,0,100.0000,0.0000,0.0000,0.0000,29,20,2,2,109,11,261,0,0,0,153,8,66,34,14.6869,15.0142,directional_only_below_promotion_review_size,baseline_reference,pending_historical_feature_join_not_evaluated,false,not_production_ready_research_only,2026-06-26 04:40:32 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_combined_condition_backtest,w_bottom_nearest_micro_anchor_event_replay,warning_research_variant_only,w_bottom_combined_condition_backtest_20260626,warning_research_variant_only,variant_nearest_micro_45d_event_replay,a_next_open_after_neckline_breakout,bottom_quartile_level,Signal close is in the bottom quartile of the 252-day low/high range.,191,20,5,25.0000,0.5315,-2.5179,261,27,33.3333,2.9403,-1.7857,-70,-7,73.1801,-8.3333,-2.4087,-0.7322,22,14,1,1,95,10,191,0,0,0,103,4,45,39,14.5902,14.7826,directional_only_below_promotion_review_size,not_better_than_baseline_same_condition,pending_historical_feature_join_not_evaluated,false,not_production_ready_research_only,2026-06-26 04:40:32 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_combined_condition_backtest,w_bottom_nearest_micro_anchor_event_replay,warning_research_variant_only,w_bottom_combined_condition_backtest_20260626,warning_research_variant_only,baseline_current_detector,a_next_open_after_neckline_breakout,bottom_or_low_level,Signal close is bottom-quartile or low-level.,443,50,15,30.0000,0.0153,-1.8748,443,50,30.0000,0.0153,-1.8748,0,0,100.0000,0.0000,0.0000,0.0000,54,35,2,2,201,19,261,182,0,0,271,22,101,49,22.9743,22.0779,medium_mature_sample_research_only,baseline_reference,pending_historical_feature_join_not_evaluated,false,not_production_ready_research_only,2026-06-26 04:40:32 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_combined_condition_backtest,w_bottom_nearest_micro_anchor_event_replay,warning_research_variant_only,w_bottom_combined_condition_backtest_20260626,warning_research_variant_only,variant_nearest_micro_45d_event_replay,a_next_open_after_neckline_breakout,bottom_or_low_level,Signal close is bottom-quartile or low-level.,340,45,15,33.3333,0.6340,-0.8547,443,50,30.0000,0.0153,-1.8748,-103,-5,76.7494,3.3333,0.6187,1.0201,49,29,1,1,186,16,191,149,0,0,192,17,74,57,23.9735,22.4207,medium_mature_sample_research_only,directionally_better_than_baseline_same_condition,pending_historical_feature_join_not_evaluated,false,not_production_ready_research_only,2026-06-26 04:40:32 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_combined_condition_backtest,w_bottom_nearest_micro_anchor_event_replay,warning_research_variant_only,w_bottom_combined_condition_backtest_20260626,warning_research_variant_only,baseline_current_detector,a_next_open_after_neckline_breakout,core_mainstream,Taxonomy segment is core_mainstream.,218,32,14,43.7500,1.0128,-0.2167,218,32,43.7500,1.0128,-0.2167,0,0,100.0000,0.0000,0.0000,0.0000,34,23,1,1,218,24,109,92,17,0,147,19,33,19,27.2629,25.0482,medium_mature_sample_research_only,baseline_reference,pending_historical_feature_join_not_evaluated,false,not_production_ready_research_only,2026-06-26 04:40:32 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_combined_condition_backtest,w_bottom_nearest_micro_anchor_event_replay,warning_research_variant_only,w_bottom_combined_condition_backtest_20260626,warning_research_variant_only,variant_nearest_micro_45d_event_replay,a_next_open_after_neckline_breakout,core_mainstream,Taxonomy segment is core_mainstream.,211,38,14,36.8421,0.3363,-0.5523,218,32,43.7500,1.0128,-0.2167,-7,6,96.7890,-6.9079,-0.6766,-0.3356,41,24,0,1,211,25,95,91,25,0,130,13,35,33,29.3594,27.9330,medium_mature_sample_research_only,not_better_than_baseline_same_condition,pending_historical_feature_join_not_evaluated,false,not_production_ready_research_only,2026-06-26 04:40:32 Asia/Taipei
