research_id,artifact_version,advisory_status,model_id,input_artifact_id,source_path,row_scope,strategy_key,strategy_key_columns,input_rows,checked_rows,unique_stocks,stocks_with_multiple_events,max_rows_per_stock,overlap_pair_count,approved_for_daily_values,production_readiness_values,promotion_evidence_status,required_followup,approved_for_daily,production_readiness,generated_at
w_bottom_research_overlap_guardrails,w_bottom_research_overlap_guardrails_20260708,warning_research_variant_only,w_bottom_right_side,w_bottom_split_entry_outcome_backtest_detail,output/latest/research_backtest/w_bottom_split_entry_outcome_backtest_detail_latest.csv,mature_true_rows,w_bottom_right_low_early_entry|baseline_current_detector|right_low_signal_next_open|fixed_10d_close_positive_return|w_bottom_split_entry_outcome_backtest_20260626,surface_id|event_set_id|entry_rule_id|outcome_rule_id|parameter_set_id,24544,1878,976,513,7,4,false,not_production_ready_research_only,blocked_requires_same_stock_non_overlap_artifact,publish_same_stock_non_overlap_basis_before_promotion_evidence,False,not_production_ready_research_only,2026-07-08 19:18:42 Asia/Taipei
w_bottom_research_overlap_guardrails,w_bottom_research_overlap_guardrails_20260708,warning_research_variant_only,w_bottom_right_side,w_bottom_split_entry_outcome_backtest_detail,output/latest/research_backtest/w_bottom_split_entry_outcome_backtest_detail_latest.csv,mature_true_rows,w_bottom_right_low_early_entry|baseline_current_detector|right_low_signal_next_open|fixed_20d_close_positive_return|w_bottom_split_entry_outcome_backtest_20260626,surface_id|event_set_id|entry_rule_id|outcome_rule_id|parameter_set_id,24544,1789,950,481,7,242,false,not_production_ready_research_only,blocked_requires_same_stock_non_overlap_artifact,publish_same_stock_non_overlap_basis_before_promotion_evidence,False,not_production_ready_research_only,2026-07-08 19:18:42 Asia/Taipei
w_bottom_research_overlap_guardrails,w_bottom_research_overlap_guardrails_20260708,warning_research_variant_only,w_bottom_right_side,w_bottom_split_entry_outcome_backtest_detail,output/latest/research_backtest/w_bottom_split_entry_outcome_backtest_detail_latest.csv,mature_true_rows,w_bottom_right_low_early_entry|baseline_current_detector|right_low_signal_next_open|fixed_30d_close_positive_return|w_bottom_split_entry_outcome_backtest_20260626,surface_id|event_set_id|entry_rule_id|outcome_rule_id|parameter_set_id,24544,1718,923,462,7,482,false,not_production_ready_research_only,blocked_requires_same_stock_non_overlap_artifact,publish_same_stock_non_overlap_basis_before_promotion_evidence,False,not_production_ready_research_only,2026-07-08 19:18:42 Asia/Taipei
w_bottom_research_overlap_guardrails,w_bottom_research_overlap_guardrails_20260708,warning_research_variant_only,w_bottom_right_side,w_bottom_split_entry_outcome_backtest_detail,output/latest/research_backtest/w_bottom_split_entry_outcome_backtest_detail_latest.csv,mature_true_rows,w_bottom_right_low_early_entry|baseline_current_detector|right_low_signal_next_open|fixed_40d_close_positive_return|w_bottom_split_entry_outcome_backtest_20260626,surface_id|event_set_id|entry_rule_id|outcome_rule_id|parameter_set_id,24544,1643,891,444,7,579,false,not_production_ready_research_only,blocked_requires_same_stock_non_overlap_artifact,publish_same_stock_non_overlap_basis_before_promotion_evidence,False,not_production_ready_research_only,2026-07-08 19:18:42 Asia/Taipei
w_bottom_research_overlap_guardrails,w_bottom_research_overlap_guardrails_20260708,warning_research_variant_only,w_bottom_right_side,w_bottom_split_entry_outcome_backtest_detail,output/latest/research_backtest/w_bottom_split_entry_outcome_backtest_detail_latest.csv,mature_true_rows,w_bottom_right_low_early_entry|baseline_current_detector|right_low_signal_next_open|reach_neckline_close_before_right_low_stop_40d|w_bottom_split_entry_outcome_backtest_20260626,surface_id|event_set_id|entry_rule_id|outcome_rule_id|parameter_set_id,24544,1643,891,444,7,156,false,not_production_ready_research_only,blocked_requires_same_stock_non_overlap_artifact,publish_same_stock_non_overlap_basis_before_promotion_evidence,False,not_production_ready_research_only,2026-07-08 19:18:42 Asia/Taipei
w_bottom_research_overlap_guardrails,w_bottom_research_overlap_guardrails_20260708,warning_research_variant_only,w_bottom_right_side,w_bottom_split_entry_outcome_backtest_detail,output/latest/research_backtest/w_bottom_split_entry_outcome_backtest_detail_latest.csv,mature_true_rows,w_bottom_right_low_early_entry|baseline_current_detector|right_low_signal_next_open|volume_breakout_close_before_right_low_stop_40d|w_bottom_split_entry_outcome_backtest_20260626,surface_id|event_set_id|entry_rule_id|outcome_rule_id|parameter_set_id,24544,1643,891,444,7,265,false,not_production_ready_research_only,blocked_requires_same_stock_non_overlap_artifact,publish_same_stock_non_overlap_basis_before_promotion_evidence,False,not_production_ready_research_only,2026-07-08 19:18:42 Asia/Taipei
w_bottom_research_overlap_guardrails,w_bottom_research_overlap_guardrails_20260708,warning_research_variant_only,w_bottom_right_side,w_bottom_split_entry_outcome_backtest_detail,output/latest/research_backtest/w_bottom_split_entry_outcome_backtest_detail_latest.csv,mature_true_rows,w_bottom_neckline_volume_breakout_confirmation|baseline_current_detector|neckline_volume_breakout_next_open|fixed_5d_close_positive_return|w_bottom_split_entry_outcome_backtest_20260626,surface_id|event_set_id|entry_rule_id|outcome_rule_id|parameter_set_id,24544,204,176,25,3,12,false,not_production_ready_research_only,blocked_requires_same_stock_non_overlap_artifact,publish_same_stock_non_overlap_basis_before_promotion_evidence,False,not_production_ready_research_only,2026-07-08 19:18:42 Asia/Taipei
w_bottom_research_overlap_guardrails,w_bottom_research_overlap_guardrails_20260708,warning_research_variant_only,w_bottom_right_side,w_bottom_split_entry_outcome_backtest_detail,output/latest/research_backtest/w_bottom_split_entry_outcome_backtest_detail_latest.csv,mature_true_rows,w_bottom_neckline_volume_breakout_confirmation|baseline_current_detector|neckline_volume_breakout_next_open|fixed_10d_close_positive_return|w_bottom_split_entry_outcome_backtest_20260626,surface_id|event_set_id|entry_rule_id|outcome_rule_id|parameter_set_id,24544,202,175,24,3,12,false,not_production_ready_research_only,blocked_requires_same_stock_non_overlap_artifact,publish_same_stock_non_overlap_basis_before_promotion_evidence,False,not_production_ready_research_only,2026-07-08 19:18:42 Asia/Taipei
w_bottom_research_overlap_guardrails,w_bottom_research_overlap_guardrails_20260708,warning_research_variant_only,w_bottom_right_side,w_bottom_split_entry_outcome_backtest_detail,output/latest/research_backtest/w_bottom_split_entry_outcome_backtest_detail_latest.csv,mature_true_rows,w_bottom_neckline_volume_breakout_confirmation|baseline_current_detector|neckline_volume_breakout_next_open|fixed_20d_close_positive_return|w_bottom_split_entry_outcome_backtest_20260626,surface_id|event_set_id|entry_rule_id|outcome_rule_id|parameter_set_id,24544,188,165,21,3,12,false,not_production_ready_research_only,blocked_requires_same_stock_non_overlap_artifact,publish_same_stock_non_overlap_basis_before_promotion_evidence,False,not_production_ready_research_only,2026-07-08 19:18:42 Asia/Taipei
w_bottom_research_overlap_guardrails,w_bottom_research_overlap_guardrails_20260708,warning_research_variant_only,w_bottom_right_side,w_bottom_split_entry_outcome_backtest_detail,output/latest/research_backtest/w_bottom_split_entry_outcome_backtest_detail_latest.csv,mature_true_rows,w_bottom_neckline_volume_breakout_confirmation|baseline_current_detector|neckline_volume_breakout_next_open|fixed_30d_close_positive_return|w_bottom_split_entry_outcome_backtest_20260626,surface_id|event_set_id|entry_rule_id|outcome_rule_id|parameter_set_id,24544,181,158,21,3,17,false,not_production_ready_research_only,blocked_requires_same_stock_non_overlap_artifact,publish_same_stock_non_overlap_basis_before_promotion_evidence,False,not_production_ready_research_only,2026-07-08 19:18:42 Asia/Taipei
