generated_at,model_id,model_name_zh,research_artifact_id,matrix_scope,base_condition_id,base_condition_rule,test_order,condition_test_id,condition_family,condition_role_candidate,condition_rule,data_status,revenue_join_source,point_in_time_rule,anomaly_exclusion_basis,decision_basis,sensitivity_basis,revenue_anomaly_candidate_count_in_sample,revenue_anomaly_candidate_count_in_baseline,entry_rule_id,confirmation_rule_id,entry_rule,exit_order,exit_rule_id,holding_window_days,exit_rule,stop_rule_id,stop_rule,operation_basis,formal_price_rule_status,win_definition,neutral_definition,failure_definition,metric_basis,source_mature_signal_stock_days,source_unique_stocks,non_overlap_cooldown_days,non_overlap_applied,same_stock_overlap_pair_count,accepted_signal_count_after_non_overlap,suppressed_signal_count,suppressed_rate_pct,accepted_trade_count,accepted_unique_stocks,source_signal_day_count,source_avg_signals_per_signal_day,research_trading_day_count,accepted_avg_trades_per_research_day,first_signal_date,last_signal_date,metric_surface_use,sample_count_context,meets_win_return_metric,decision_hint,advisory_status,approved_for_daily,production_change,promotion_readiness,promotion_blocker,mature_count,win_count,neutral_count,failure_count,win_rate_pct,neutral_rate_pct,failure_rate_pct,avg_realized_return_pct,median_realized_return_pct,high_return_8_count,high_return_8_rate_pct,loss_5_count,loss_5_rate_pct,stop_trigger_count,stop_trigger_rate_pct,avg_realized_or_fixed_days,avg_days_to_stop,avg_revenue_latest_yoy_pct,median_revenue_latest_yoy_pct,avg_revenue_cumulative_yoy_pct,median_revenue_cumulative_yoy_pct,baseline_accepted_trade_count,accepted_trade_share_of_baseline_pct
2026-08-23 06:49:57 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_operation_candidate_matrix,model_specific_operation_candidate_research,price_range_no_attack_proxy,price remains inside the recent 23-day range and active attack has not started,0,revenue_context_ready,baseline,baseline_revenue_context_anchor,price remains inside the recent 23-day range; monthly revenue PIT context is ready,joined_from_full_market_monthly_revenue_history_research_only,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,excluding_unresolved_anomaly_candidates_sensitivity_only,False,True,8714,8714,signal_date_close_condition_next_open_entry,signal_date_close_condition_confirmed,candidate condition is evaluated after signal-date close; entry uses next trading day open,10,d10_close_no_stop,10,D+10 close-only fixed exit,no_stop,no stop in this research row,research_only_close_confirmed_operation_candidate,research_only_no_formal_operation_contract,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,close-only fixed exit or close-confirmed stop with next trading day open stop execution,363433,1968,20,True,0,20995,342438,94.22,20045,1962,296,1227.81,316,63.43,20250605,20260820,model_lane_research_metric_source_candidate_not_pdf_ready,reported_not_a_disqualifier_non_overlap_enforced,False,average_positive_but_median_not_confirmed,not_production_ready_research_only,False,none,research_only_operation_candidate_not_promotion_ready,"revenue_unreacted_range still needs high-return/low-return feature review, explicit buy/sell/stop contract, contract/parity/validator updates, PR merge, and post-merge main validation before any operation candidate can be formal",20045,3684,5413,10948,18.38,27.0,54.62,0.53,-0.61,2512,12.53,4012,20.01,0,0.0,10.0,,7.78,2.33,8.59,3.04,20045,100.0
2026-08-23 06:49:57 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_operation_candidate_matrix,model_specific_operation_candidate_research,price_range_no_attack_proxy,price remains inside the recent 23-day range and active attack has not started,0,revenue_context_ready,baseline,baseline_revenue_context_anchor,price remains inside the recent 23-day range; monthly revenue PIT context is ready,joined_from_full_market_monthly_revenue_history_research_only,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,excluding_unresolved_anomaly_candidates_sensitivity_only,False,True,8714,8714,signal_date_close_condition_next_open_entry,signal_date_close_condition_confirmed,candidate condition is evaluated after signal-date close; entry uses next trading day open,20,d15_close_no_stop,15,D+15 close-only fixed exit,no_stop,no stop in this research row,research_only_close_confirmed_operation_candidate,research_only_no_formal_operation_contract,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,close-only fixed exit or close-confirmed stop with next trading day open stop execution,363433,1968,20,True,0,20995,342438,94.22,19601,1962,296,1227.81,316,62.03,20250605,20260820,model_lane_research_metric_source_candidate_not_pdf_ready,reported_not_a_disqualifier_non_overlap_enforced,False,average_positive_but_median_not_confirmed,not_production_ready_research_only,False,none,research_only_operation_candidate_not_promotion_ready,"revenue_unreacted_range still needs high-return/low-return feature review, explicit buy/sell/stop contract, contract/parity/validator updates, PR merge, and post-merge main validation before any operation candidate can be formal",19601,4203,4834,10564,21.44,24.66,53.9,0.86,-0.62,2946,15.03,4664,23.79,0,0.0,15.0,,7.68,2.17,8.62,2.97,19601,100.0
2026-08-23 06:49:57 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_operation_candidate_matrix,model_specific_operation_candidate_research,price_range_no_attack_proxy,price remains inside the recent 23-day range and active attack has not started,0,revenue_context_ready,baseline,baseline_revenue_context_anchor,price remains inside the recent 23-day range; monthly revenue PIT context is ready,joined_from_full_market_monthly_revenue_history_research_only,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,excluding_unresolved_anomaly_candidates_sensitivity_only,False,True,8714,8714,signal_date_close_condition_next_open_entry,signal_date_close_condition_confirmed,candidate condition is evaluated after signal-date close; entry uses next trading day open,30,d20_close_no_stop,20,D+20 close-only fixed exit,no_stop,no stop in this research row,research_only_close_confirmed_operation_candidate,research_only_no_formal_operation_contract,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,close-only fixed exit or close-confirmed stop with next trading day open stop execution,363433,1968,20,True,0,20995,342438,94.22,19234,1960,296,1227.81,316,60.87,20250605,20260820,model_lane_research_metric_source_candidate_not_pdf_ready,reported_not_a_disqualifier_non_overlap_enforced,False,average_positive_but_median_not_confirmed,not_production_ready_research_only,False,none,research_only_operation_candidate_not_promotion_ready,"revenue_unreacted_range still needs high-return/low-return feature review, explicit buy/sell/stop contract, contract/parity/validator updates, PR merge, and post-merge main validation before any operation candidate can be formal",19234,4552,4244,10438,23.67,22.07,54.27,1.36,-0.76,3348,17.41,5116,26.6,0,0.0,20.0,,7.47,2.06,8.58,2.92,19234,100.0
2026-08-23 06:49:57 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_operation_candidate_matrix,model_specific_operation_candidate_research,price_range_no_attack_proxy,price remains inside the recent 23-day range and active attack has not started,0,revenue_context_ready,baseline,baseline_revenue_context_anchor,price remains inside the recent 23-day range; monthly revenue PIT context is ready,joined_from_full_market_monthly_revenue_history_research_only,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,excluding_unresolved_anomaly_candidates_sensitivity_only,False,True,8714,8714,signal_date_close_condition_next_open_entry,signal_date_close_condition_confirmed,candidate condition is evaluated after signal-date close; entry uses next trading day open,40,d10_close_ma20_ema23_4d_stop,10,D+10 close-only fixed exit unless close-confirmed stop triggers first,close_below_lower_ma20_ema23_4pct_4d_next_open,"four consecutive closes below the lower of MA20 and EMA23 by 4%, then next trading day open stop",research_only_close_confirmed_operation_candidate,research_only_no_formal_operation_contract,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,close-only fixed exit or close-confirmed stop with next trading day open stop execution,363433,1968,20,True,0,20995,342438,94.22,18286,1951,296,1227.81,316,57.87,20250605,20260820,model_lane_research_metric_source_candidate_not_pdf_ready,reported_not_a_disqualifier_non_overlap_enforced,False,average_positive_but_median_not_confirmed,not_production_ready_research_only,False,none,research_only_operation_candidate_not_promotion_ready,"revenue_unreacted_range still needs high-return/low-return feature review, explicit buy/sell/stop contract, contract/parity/validator updates, PR merge, and post-merge main validation before any operation candidate can be formal",18286,3273,4897,10116,17.9,26.78,55.32,0.55,-0.69,2228,12.18,3659,20.01,2949,16.13,9.42,5.41,8.07,2.35,8.67,2.91,18286,100.0
2026-08-23 06:49:57 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_operation_candidate_matrix,model_specific_operation_candidate_research,price_range_no_attack_proxy,price remains inside the recent 23-day range and active attack has not started,0,revenue_context_ready,baseline,baseline_revenue_context_anchor,price remains inside the recent 23-day range; monthly revenue PIT context is ready,joined_from_full_market_monthly_revenue_history_research_only,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,excluding_unresolved_anomaly_candidates_sensitivity_only,False,True,8714,8714,signal_date_close_condition_next_open_entry,signal_date_close_condition_confirmed,candidate condition is evaluated after signal-date close; entry uses next trading day open,50,d15_close_ma20_ema23_4d_stop,15,D+15 close-only fixed exit unless close-confirmed stop triggers first,close_below_lower_ma20_ema23_4pct_4d_next_open,"four consecutive closes below the lower of MA20 and EMA23 by 4%, then next trading day open stop",research_only_close_confirmed_operation_candidate,research_only_no_formal_operation_contract,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,close-only fixed exit or close-confirmed stop with next trading day open stop execution,363433,1968,20,True,0,20995,342438,94.22,17832,1951,296,1227.81,316,56.43,20250605,20260820,model_lane_research_metric_source_candidate_not_pdf_ready,reported_not_a_disqualifier_non_overlap_enforced,False,average_positive_but_median_not_confirmed,not_production_ready_research_only,False,none,research_only_operation_candidate_not_promotion_ready,"revenue_unreacted_range still needs high-return/low-return feature review, explicit buy/sell/stop contract, contract/parity/validator updates, PR merge, and post-merge main validation before any operation candidate can be formal",17832,3536,4166,10130,19.83,23.36,56.81,0.67,-0.97,2499,14.01,4466,25.04,3911,21.93,13.48,7.07,7.9,2.17,8.69,2.86,17832,100.0
2026-08-23 06:49:57 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_operation_candidate_matrix,model_specific_operation_candidate_research,price_range_no_attack_proxy,price remains inside the recent 23-day range and active attack has not started,0,revenue_context_ready,baseline,baseline_revenue_context_anchor,price remains inside the recent 23-day range; monthly revenue PIT context is ready,joined_from_full_market_monthly_revenue_history_research_only,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,excluding_unresolved_anomaly_candidates_sensitivity_only,False,True,8714,8714,signal_date_close_condition_next_open_entry,signal_date_close_condition_confirmed,candidate condition is evaluated after signal-date close; entry uses next trading day open,60,d20_close_ma20_ema23_4d_stop,20,D+20 close-only fixed exit unless close-confirmed stop triggers first,close_below_lower_ma20_ema23_4pct_4d_next_open,"four consecutive closes below the lower of MA20 and EMA23 by 4%, then next trading day open stop",research_only_close_confirmed_operation_candidate,research_only_no_formal_operation_contract,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,close-only fixed exit or close-confirmed stop with next trading day open stop execution,363433,1968,20,True,0,20995,342438,94.22,17407,1948,296,1227.81,316,55.09,20250605,20260820,model_lane_research_metric_source_candidate_not_pdf_ready,reported_not_a_disqualifier_non_overlap_enforced,False,average_positive_but_median_not_confirmed,not_production_ready_research_only,False,none,research_only_operation_candidate_not_promotion_ready,"revenue_unreacted_range still needs high-return/low-return feature review, explicit buy/sell/stop contract, contract/parity/validator updates, PR merge, and post-merge main validation before any operation candidate can be formal",17407,3704,3551,10152,21.28,20.4,58.32,1.06,-1.33,2750,15.8,5024,28.86,4580,26.31,17.38,9.05,7.68,1.98,8.62,2.81,17407,100.0
2026-08-23 06:49:57 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_operation_candidate_matrix,model_specific_operation_candidate_research,price_range_no_attack_proxy,price remains inside the recent 23-day range and active attack has not started,10,revenue_production_strong,revenue_strength,required_gate_candidate,latest monthly revenue YoY >= 30% or cumulative monthly revenue YoY >= 20%,joined_from_full_market_monthly_revenue_history_research_only,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,excluding_unresolved_anomaly_candidates_sensitivity_only,False,True,8371,8714,signal_date_close_condition_next_open_entry,signal_date_close_condition_confirmed,candidate condition is evaluated after signal-date close; entry uses next trading day open,10,d10_close_no_stop,10,D+10 close-only fixed exit,no_stop,no stop in this research row,research_only_close_confirmed_operation_candidate,research_only_no_formal_operation_contract,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,close-only fixed exit or close-confirmed stop with next trading day open stop execution,93804,1414,20,True,0,6352,87452,93.23,5796,1350,296,316.91,316,18.34,20250605,20260820,model_lane_research_metric_source_candidate_not_pdf_ready,reported_not_a_disqualifier_non_overlap_enforced,False,average_positive_but_median_not_confirmed,not_production_ready_research_only,False,none,research_only_operation_candidate_not_promotion_ready,"revenue_unreacted_range still needs high-return/low-return feature review, explicit buy/sell/stop contract, contract/parity/validator updates, PR merge, and post-merge main validation before any operation candidate can be formal",5796,1292,1312,3192,22.29,22.64,55.07,0.72,-0.83,939,16.2,1482,25.57,0,0.0,10.0,,50.91,38.88,45.14,30.08,20045,28.91
2026-08-23 06:49:57 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_operation_candidate_matrix,model_specific_operation_candidate_research,price_range_no_attack_proxy,price remains inside the recent 23-day range and active attack has not started,10,revenue_production_strong,revenue_strength,required_gate_candidate,latest monthly revenue YoY >= 30% or cumulative monthly revenue YoY >= 20%,joined_from_full_market_monthly_revenue_history_research_only,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,excluding_unresolved_anomaly_candidates_sensitivity_only,False,True,8371,8714,signal_date_close_condition_next_open_entry,signal_date_close_condition_confirmed,candidate condition is evaluated after signal-date close; entry uses next trading day open,20,d15_close_no_stop,15,D+15 close-only fixed exit,no_stop,no stop in this research row,research_only_close_confirmed_operation_candidate,research_only_no_formal_operation_contract,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,close-only fixed exit or close-confirmed stop with next trading day open stop execution,93804,1414,20,True,0,6352,87452,93.23,5728,1350,296,316.91,316,18.13,20250605,20260820,model_lane_research_metric_source_candidate_not_pdf_ready,reported_not_a_disqualifier_non_overlap_enforced,False,average_positive_but_median_not_confirmed,not_production_ready_research_only,False,none,research_only_operation_candidate_not_promotion_ready,"revenue_unreacted_range still needs high-return/low-return feature review, explicit buy/sell/stop contract, contract/parity/validator updates, PR merge, and post-merge main validation before any operation candidate can be formal",5728,1549,1203,2976,27.04,21.0,51.96,1.71,-0.48,1152,20.11,1553,27.11,0,0.0,15.0,,51.1,38.89,45.07,29.97,19601,29.22
2026-08-23 06:49:57 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_operation_candidate_matrix,model_specific_operation_candidate_research,price_range_no_attack_proxy,price remains inside the recent 23-day range and active attack has not started,10,revenue_production_strong,revenue_strength,required_gate_candidate,latest monthly revenue YoY >= 30% or cumulative monthly revenue YoY >= 20%,joined_from_full_market_monthly_revenue_history_research_only,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,excluding_unresolved_anomaly_candidates_sensitivity_only,False,True,8371,8714,signal_date_close_condition_next_open_entry,signal_date_close_condition_confirmed,candidate condition is evaluated after signal-date close; entry uses next trading day open,30,d20_close_no_stop,20,D+20 close-only fixed exit,no_stop,no stop in this research row,research_only_close_confirmed_operation_candidate,research_only_no_formal_operation_contract,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,close-only fixed exit or close-confirmed stop with next trading day open stop execution,93804,1414,20,True,0,6352,87452,93.23,5620,1346,296,316.91,316,17.78,20250605,20260820,model_lane_research_metric_source_candidate_not_pdf_ready,reported_not_a_disqualifier_non_overlap_enforced,False,average_positive_but_median_not_confirmed,not_production_ready_research_only,False,none,research_only_operation_candidate_not_promotion_ready,"revenue_unreacted_range still needs high-return/low-return feature review, explicit buy/sell/stop contract, contract/parity/validator updates, PR merge, and post-merge main validation before any operation candidate can be formal",5620,1610,1060,2950,28.65,18.86,52.49,2.21,-0.59,1256,22.35,1742,31.0,0,0.0,20.0,,50.97,38.88,44.95,29.8,19234,29.22
2026-08-23 06:49:57 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_operation_candidate_matrix,model_specific_operation_candidate_research,price_range_no_attack_proxy,price remains inside the recent 23-day range and active attack has not started,10,revenue_production_strong,revenue_strength,required_gate_candidate,latest monthly revenue YoY >= 30% or cumulative monthly revenue YoY >= 20%,joined_from_full_market_monthly_revenue_history_research_only,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,excluding_unresolved_anomaly_candidates_sensitivity_only,False,True,8371,8714,signal_date_close_condition_next_open_entry,signal_date_close_condition_confirmed,candidate condition is evaluated after signal-date close; entry uses next trading day open,40,d10_close_ma20_ema23_4d_stop,10,D+10 close-only fixed exit unless close-confirmed stop triggers first,close_below_lower_ma20_ema23_4pct_4d_next_open,"four consecutive closes below the lower of MA20 and EMA23 by 4%, then next trading day open stop",research_only_close_confirmed_operation_candidate,research_only_no_formal_operation_contract,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,close-only fixed exit or close-confirmed stop with next trading day open stop execution,93804,1414,20,True,0,6352,87452,93.23,5358,1319,296,316.91,316,16.96,20250605,20260820,model_lane_research_metric_source_candidate_not_pdf_ready,reported_not_a_disqualifier_non_overlap_enforced,False,average_positive_but_median_not_confirmed,not_production_ready_research_only,False,none,research_only_operation_candidate_not_promotion_ready,"revenue_unreacted_range still needs high-return/low-return feature review, explicit buy/sell/stop contract, contract/parity/validator updates, PR merge, and post-merge main validation before any operation candidate can be formal",5358,1138,1212,3008,21.24,22.62,56.14,0.59,-0.94,830,15.49,1371,25.59,1061,19.8,9.31,5.53,51.87,39.58,45.45,30.16,18286,29.3
