source_artifact,snapshot_report_date,stock_id,stock_name,model_id,model_name_zh,report_line,report_bucket,mainstream_segment,display_rank,rank_bucket,model_score,score_decile,operation_section,row_action_status,buy_rank_eligible,anchor_date,ranking_evaluation_eligible,trade_eligible,research_note,entry_date,entry_open_price,forward_window_status,return_d1_close_pct,mfe_d1_pct,mae_d1_pct,return_d3_close_pct,mfe_d3_pct,mae_d3_pct,return_d5_close_pct,mfe_d5_pct,mae_d5_pct,return_d10_close_pct,mfe_d10_pct,mae_d10_pct,generated_at
model_signals_for_report,20260615,2356,英業達,hot_theme_pullback,熱門族群回檔模型,mainstream,mainstream,mainstream,1,rank_001_005,94.0,score_90_100,,,,20260615,True,False,as_published_model_ranking_truth,20260616,68.2000,partial_forward_price,-2.3460,0.5865,-2.9326,,,,,,,,,,2026-06-18 15:42:41 Asia/Taipei
model_signals_for_report,20260615,6213,聯茂,hot_theme_pullback,熱門族群回檔模型,mainstream,mainstream,mainstream,2,rank_001_005,94.0,score_90_100,,,,20260615,True,False,as_published_model_ranking_truth,20260616,267.0000,partial_forward_price,-3.3708,1.3109,-4.4944,,,,,,,,,,2026-06-18 15:42:41 Asia/Taipei
model_signals_for_report,20260615,3665,貿聯-KY,hot_theme_pullback,熱門族群回檔模型,mainstream,mainstream,mainstream,3,rank_001_005,89.1,score_80_90,,,,20260615,True,False,as_published_model_ranking_truth,20260616,2265.0000,partial_forward_price,-6.4018,0.4415,-6.8433,,,,,,,,,,2026-06-18 15:42:41 Asia/Taipei
model_signals_for_report,20260615,1560,中砂,hot_theme_pullback,熱門族群回檔模型,mainstream,mainstream,mainstream,4,rank_001_005,89.0,score_80_90,,,,20260615,True,False,as_published_model_ranking_truth,20260616,711.0000,partial_forward_price,-4.5007,0.9845,-4.9226,,,,,,,,,,2026-06-18 15:42:41 Asia/Taipei
model_signals_for_report,20260615,1618,合機,hot_theme_pullback,熱門族群回檔模型,mainstream,mainstream,mainstream,5,rank_001_005,89.0,score_80_90,,,,20260615,True,False,as_published_model_ranking_truth,20260616,43.1000,partial_forward_price,-2.4362,0.0000,-2.4362,,,,,,,,,,2026-06-18 15:42:41 Asia/Taipei
model_signals_for_report,20260615,2308,台達電,hot_theme_pullback,熱門族群回檔模型,mainstream,mainstream,mainstream,6,rank_006_010,89.0,score_80_90,,,,20260615,True,False,as_published_model_ranking_truth,20260616,2265.0000,partial_forward_price,-1.5453,0.2208,-1.9868,,,,,,,,,,2026-06-18 15:42:41 Asia/Taipei
model_signals_for_report,20260615,2317,鴻海,hot_theme_pullback,熱門族群回檔模型,mainstream,mainstream,mainstream,7,rank_006_010,89.0,score_80_90,,,,20260615,True,False,as_published_model_ranking_truth,20260616,270.0000,partial_forward_price,-0.3704,0.3704,-1.6667,,,,,,,,,,2026-06-18 15:42:41 Asia/Taipei
model_signals_for_report,20260615,2345,智邦,hot_theme_pullback,熱門族群回檔模型,mainstream,mainstream,mainstream,8,rank_006_010,89.0,score_80_90,,,,20260615,True,False,as_published_model_ranking_truth,20260616,2495.0000,partial_forward_price,1.0020,2.4048,-3.4068,,,,,,,,,,2026-06-18 15:42:41 Asia/Taipei
model_signals_for_report,20260615,2359,所羅門,hot_theme_pullback,熱門族群回檔模型,mainstream,mainstream,mainstream,9,rank_006_010,89.0,score_80_90,,,,20260615,True,False,as_published_model_ranking_truth,20260616,138.5000,partial_forward_price,-3.9711,0.7220,-4.6931,,,,,,,,,,2026-06-18 15:42:41 Asia/Taipei
model_signals_for_report,20260615,2368,金像電,hot_theme_pullback,熱門族群回檔模型,mainstream,mainstream,mainstream,10,rank_006_010,89.0,score_80_90,,,,20260615,True,False,as_published_model_ranking_truth,20260616,1330.0000,partial_forward_price,1.1278,3.0075,-0.7519,,,,,,,,,,2026-06-18 15:42:41 Asia/Taipei
model_signals_for_report,20260615,2383,台光電,hot_theme_pullback,熱門族群回檔模型,mainstream,mainstream,mainstream,11,rank_011_020,89.0,score_80_90,,,,20260615,True,False,as_published_model_ranking_truth,20260616,5120.0000,partial_forward_price,0.0000,1.9531,-1.0742,,,,,,,,,,2026-06-18 15:42:41 Asia/Taipei
model_signals_for_report,20260615,2464,盟立,hot_theme_pullback,熱門族群回檔模型,mainstream,mainstream,mainstream,12,rank_011_020,89.0,score_80_90,,,,20260615,True,False,as_published_model_ranking_truth,20260616,179.5000,partial_forward_price,0.0000,0.0000,0.0000,,,,,,,,,,2026-06-18 15:42:41 Asia/Taipei
model_signals_for_report,20260615,3037,欣興,hot_theme_pullback,熱門族群回檔模型,mainstream,mainstream,mainstream,13,rank_011_020,89.0,score_80_90,,,,20260615,True,False,as_published_model_ranking_truth,20260616,986.0000,partial_forward_price,-0.5071,1.9270,-2.1298,,,,,,,,,,2026-06-18 15:42:41 Asia/Taipei
model_signals_for_report,20260615,3044,健鼎,hot_theme_pullback,熱門族群回檔模型,mainstream,mainstream,mainstream,14,rank_011_020,89.0,score_80_90,,,,20260615,True,False,as_published_model_ranking_truth,20260616,532.0000,partial_forward_price,2.6316,4.8872,-0.5639,,,,,,,,,,2026-06-18 15:42:41 Asia/Taipei
model_signals_for_report,20260615,3167,大量,hot_theme_pullback,熱門族群回檔模型,mainstream,mainstream,mainstream,15,rank_011_020,89.0,score_80_90,,,,20260615,True,False,as_published_model_ranking_truth,20260616,835.0000,partial_forward_price,-4.1916,1.1976,-8.1437,,,,,,,,,,2026-06-18 15:42:41 Asia/Taipei
model_signals_for_report,20260615,3231,緯創,hot_theme_pullback,熱門族群回檔模型,mainstream,mainstream,mainstream,16,rank_011_020,89.0,score_80_90,,,,20260615,True,False,as_published_model_ranking_truth,20260616,162.0000,partial_forward_price,-2.4691,0.0000,-2.4691,,,,,,,,,,2026-06-18 15:42:41 Asia/Taipei
model_signals_for_report,20260615,3706,神達,hot_theme_pullback,熱門族群回檔模型,mainstream,mainstream,mainstream,17,rank_011_020,89.0,score_80_90,,,,20260615,True,False,as_published_model_ranking_truth,20260616,86.3000,partial_forward_price,-2.3175,0.4635,-2.4334,,,,,,,,,,2026-06-18 15:42:41 Asia/Taipei
model_signals_for_report,20260615,8028,昇陽半導體,hot_theme_pullback,熱門族群回檔模型,mainstream,mainstream,mainstream,18,rank_011_020,89.0,score_80_90,,,,20260615,True,False,as_published_model_ranking_truth,20260616,325.0000,partial_forward_price,-3.3846,3.6923,-3.3846,,,,,,,,,,2026-06-18 15:42:41 Asia/Taipei
model_signals_for_report,20260615,8046,南電,hot_theme_pullback,熱門族群回檔模型,mainstream,mainstream,mainstream,19,rank_011_020,89.0,score_80_90,,,,20260615,True,False,as_published_model_ranking_truth,20260616,860.0000,partial_forward_price,4.8837,8.0233,-0.2326,,,,,,,,,,2026-06-18 15:42:41 Asia/Taipei
model_signals_for_report,20260615,8150,南茂,hot_theme_pullback,熱門族群回檔模型,mainstream,mainstream,mainstream,20,rank_011_020,89.0,score_80_90,,,,20260615,True,False,as_published_model_ranking_truth,20260616,96.6000,partial_forward_price,-2.0704,5.0725,-2.2774,,,,,,,,,,2026-06-18 15:42:41 Asia/Taipei
model_signals_for_report,20260615,5388,中磊,hot_theme_pullback,熱門族群回檔模型,mainstream,mainstream,mainstream,21,rank_021_plus,88.0,score_80_90,,,,20260615,True,False,as_published_model_ranking_truth,20260616,86.5000,partial_forward_price,-2.6590,0.4624,-2.6590,,,,,,,,,,2026-06-18 15:42:41 Asia/Taipei
model_signals_for_report,20260615,3189,景碩,hot_theme_pullback,熱門族群回檔模型,mainstream,mainstream,mainstream,22,rank_021_plus,86.3,score_80_90,,,,20260615,True,False,as_published_model_ranking_truth,20260616,660.0000,partial_forward_price,-2.7273,4.2424,-3.4848,,,,,,,,,,2026-06-18 15:42:41 Asia/Taipei
model_signals_for_report,20260615,3596,智易,hot_theme_pullback,熱門族群回檔模型,mainstream,mainstream,mainstream,23,rank_021_plus,86.1,score_80_90,,,,20260615,True,False,as_published_model_ranking_truth,20260616,191.0000,partial_forward_price,-2.3560,0.0000,-3.4031,,,,,,,,,,2026-06-18 15:42:41 Asia/Taipei
model_signals_for_report,20260615,1513,中興電,hot_theme_pullback,熱門族群回檔模型,mainstream,mainstream,mainstream,24,rank_021_plus,86.0,score_80_90,,,,20260615,True,False,as_published_model_ranking_truth,20260616,171.5000,partial_forward_price,-1.7493,0.0000,-2.0408,,,,,,,,,,2026-06-18 15:42:41 Asia/Taipei
model_signals_for_report,20260615,1609,大亞,hot_theme_pullback,熱門族群回檔模型,mainstream,mainstream,mainstream,25,rank_021_plus,86.0,score_80_90,,,,20260615,True,False,as_published_model_ranking_truth,20260616,38.9500,partial_forward_price,-3.0809,0.0000,-3.4660,,,,,,,,,,2026-06-18 15:42:41 Asia/Taipei
model_signals_for_report,20260615,1802,台玻,hot_theme_pullback,熱門族群回檔模型,mainstream,mainstream,mainstream,26,rank_021_plus,86.0,score_80_90,,,,20260615,True,False,as_published_model_ranking_truth,20260616,68.8000,partial_forward_price,-0.8721,4.6512,-2.1802,,,,,,,,,,2026-06-18 15:42:41 Asia/Taipei
model_signals_for_report,20260615,2355,敬鵬,hot_theme_pullback,熱門族群回檔模型,mainstream,mainstream,mainstream,27,rank_021_plus,86.0,score_80_90,,,,20260615,True,False,as_published_model_ranking_truth,20260616,60.9000,partial_forward_price,-6.2397,3.1199,-6.2397,,,,,,,,,,2026-06-18 15:42:41 Asia/Taipei
model_signals_for_report,20260615,2481,強茂,hot_theme_pullback,熱門族群回檔模型,mainstream,mainstream,mainstream,28,rank_021_plus,86.0,score_80_90,,,,20260615,True,False,as_published_model_ranking_truth,20260616,144.0000,partial_forward_price,-2.7778,3.1250,-2.7778,,,,,,,,,,2026-06-18 15:42:41 Asia/Taipei
model_signals_for_report,20260615,4906,正文,hot_theme_pullback,熱門族群回檔模型,mainstream,mainstream,mainstream,29,rank_021_plus,86.0,score_80_90,,,,20260615,True,False,as_published_model_ranking_truth,20260616,44.6500,partial_forward_price,-3.9194,1.3438,-4.3673,,,,,,,,,,2026-06-18 15:42:41 Asia/Taipei
model_signals_for_report,20260615,6862,三集瑞-KY,hot_theme_pullback,熱門族群回檔模型,mainstream,mainstream,mainstream,30,rank_021_plus,86.0,score_80_90,,,,20260615,True,False,as_published_model_ranking_truth,20260616,205.0000,partial_forward_price,-8.2927,0.9756,-8.2927,,,,,,,,,,2026-06-18 15:42:41 Asia/Taipei
model_signals_for_report,20260615,8039,台虹,hot_theme_pullback,熱門族群回檔模型,mainstream,mainstream,mainstream,31,rank_021_plus,86.0,score_80_90,,,,20260615,True,False,as_published_model_ranking_truth,20260616,150.0000,partial_forward_price,-5.6667,0.6667,-6.0000,,,,,,,,,,2026-06-18 15:42:41 Asia/Taipei
model_signals_for_report,20260615,2382,廣達,hot_theme_pullback,熱門族群回檔模型,mainstream,mainstream,mainstream,32,rank_021_plus,84.0,score_80_90,,,,20260615,True,False,as_published_model_ranking_truth,20260616,371.5000,partial_forward_price,-2.4226,0.2692,-2.5572,,,,,,,,,,2026-06-18 15:42:41 Asia/Taipei
