model_id,confirmation_model_id,overlay_model_id,research_id,source_research_id,research_variant_id,advisory_status,surface_id,audit_section,audit_item_id,source_artifact,event_set_id,outcome_rule_id,segment_id,period_id,row_count,stock_count,unique_signal_count,min_date,max_date,month_count,sample_size,evaluated_sample_size,mature_sample_size,win_count,neutral_count,loss_count,incomplete_count,mature_signal_month_count,months_with_mature_ge5,months_with_mature_ge10,price_files_with_dates,price_rows,price_global_min_date,price_global_max_date,files_with_180_days,earliest_180th_observed_date,signal_window_status,maturity_status,promotion_readiness,blocker_reason,required_followup_owner,approved_for_daily,production_readiness,generated_at
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_early_entry_data_coverage_audit,w_bottom_early_entry_parameter_grid,warning_research_variant_only,warning_research_variant_only,w_bottom_right_low_early_entry,price_history_coverage,stock_price_history_global,data/stock_price_history,,,,,1032866,2389,,20240102,20260626,,,,,,,,,,,,2389,1032866,20240102,20260626,2020,20240930,price_history_backfill_extended_180_day_gate,not_an_outcome_row,research_data_coverage_reference,approved_official_price_backfill_extends_180_day_gate_before_20260105,research_backtest_data_governance,false,not_production_ready_research_only,2026-06-26 23:51:16 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_early_entry_data_coverage_audit,w_bottom_early_entry_parameter_grid,warning_research_variant_only,warning_research_variant_only,w_bottom_right_low_early_entry,w_bottom_signal_source_window,nearest_micro_detail_signal_window,output/latest/research_backtest/w_bottom_nearest_micro_anchor_event_replay_detail_latest.csv,,,,,2537,1110,2537,20240930,20260625,22,,,,,,,,,,,,,,,,,extended_signal_window_after_official_price_backfill,not_an_outcome_row,research_signal_window_extended_not_production_ready,signal_window_extended_after_official_price_backfill_but_research_remains_advisory,research_backtest_data_governance,false,not_production_ready_research_only,2026-06-26 23:51:16 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_early_entry_data_coverage_audit,w_bottom_early_entry_parameter_grid,warning_research_variant_only,warning_research_variant_only,w_bottom_right_low_early_entry,w_bottom_signal_source_window,combined_variant_signal_window,output/latest/research_backtest/w_bottom_combined_condition_backtest_detail_latest.csv,variant_nearest_micro_45d_event_replay,,,,1691,879,1691,20240930,20260625,22,,,,,,,,,,,,,,,,,extended_signal_window_after_official_price_backfill,not_an_outcome_row,research_signal_window_extended_not_production_ready,signal_window_extended_after_official_price_backfill_but_research_remains_advisory,research_backtest_data_governance,false,not_production_ready_research_only,2026-06-26 23:51:16 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_early_entry_data_coverage_audit,w_bottom_early_entry_parameter_grid,warning_research_variant_only,warning_research_variant_only,w_bottom_right_low_early_entry,w_bottom_signal_source_window,split_variant_early_entry_signal_window,output/latest/research_backtest/w_bottom_split_entry_outcome_backtest_detail_latest.csv,variant_nearest_micro_45d_event_replay,,,,10146,879,1691,20240930,20260625,22,,,,,,,,,,,,,,,,,extended_signal_window_after_official_price_backfill,not_an_outcome_row,research_signal_window_extended_not_production_ready,signal_window_extended_after_official_price_backfill_but_research_remains_advisory,research_backtest_data_governance,false,not_production_ready_research_only,2026-06-26 23:51:16 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_early_entry_data_coverage_audit,w_bottom_early_entry_parameter_grid,warning_research_variant_only,warning_research_variant_only,w_bottom_right_low_early_entry,w_bottom_signal_source_window,parameter_grid_variant_signal_window,output/latest/research_backtest/w_bottom_early_entry_parameter_grid_detail_latest.csv,variant_nearest_micro_45d_event_replay,,,,13528,879,1691,20240930,20260625,22,,,,,,,,,,,,,,,,,extended_signal_window_after_official_price_backfill,not_an_outcome_row,research_signal_window_extended_not_production_ready,signal_window_extended_after_official_price_backfill_but_research_remains_advisory,research_backtest_data_governance,false,not_production_ready_research_only,2026-06-26 23:51:16 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_early_entry_data_coverage_audit,w_bottom_early_entry_parameter_grid,warning_research_variant_only,warning_research_variant_only,w_bottom_right_low_early_entry,outcome_month_maturity,all_rows_2024-09,output/latest/research_backtest/w_bottom_early_entry_parameter_grid_detail_latest.csv,variant_nearest_micro_45d_event_replay,tp10_or_neutral_after_5pct_close_40d,all_rows,2024-09,3,,,20240930,20240930,,3,3,2,0,1,2,0,1,0,0,,,,,,,current_signal_month,partially_mature,blocked_research_stability_sample_too_thin,40_trading_day_outcome_and_mature_sample_thresholds_still_need_stability_review,research_backtest_data_governance,false,not_production_ready_research_only,2026-06-26 23:51:16 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_early_entry_data_coverage_audit,w_bottom_early_entry_parameter_grid,warning_research_variant_only,warning_research_variant_only,w_bottom_right_low_early_entry,outcome_month_maturity,all_rows_2024-10,output/latest/research_backtest/w_bottom_early_entry_parameter_grid_detail_latest.csv,variant_nearest_micro_45d_event_replay,tp10_or_neutral_after_5pct_close_40d,all_rows,2024-10,40,,,20241001,20241030,,40,40,30,10,10,20,0,1,1,1,,,,,,,current_signal_month,partially_mature,blocked_research_stability_sample_too_thin,40_trading_day_outcome_and_mature_sample_thresholds_still_need_stability_review,research_backtest_data_governance,false,not_production_ready_research_only,2026-06-26 23:51:16 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_early_entry_data_coverage_audit,w_bottom_early_entry_parameter_grid,warning_research_variant_only,warning_research_variant_only,w_bottom_right_low_early_entry,outcome_month_maturity,all_rows_2024-11,output/latest/research_backtest/w_bottom_early_entry_parameter_grid_detail_latest.csv,variant_nearest_micro_45d_event_replay,tp10_or_neutral_after_5pct_close_40d,all_rows,2024-11,51,,,20241101,20241129,,51,51,33,6,18,27,0,1,1,1,,,,,,,current_signal_month,partially_mature,blocked_research_stability_sample_too_thin,40_trading_day_outcome_and_mature_sample_thresholds_still_need_stability_review,research_backtest_data_governance,false,not_production_ready_research_only,2026-06-26 23:51:16 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_early_entry_data_coverage_audit,w_bottom_early_entry_parameter_grid,warning_research_variant_only,warning_research_variant_only,w_bottom_right_low_early_entry,outcome_month_maturity,all_rows_2024-12,output/latest/research_backtest/w_bottom_early_entry_parameter_grid_detail_latest.csv,variant_nearest_micro_45d_event_replay,tp10_or_neutral_after_5pct_close_40d,all_rows,2024-12,76,,,20241203,20241231,,76,76,55,19,21,36,0,1,1,1,,,,,,,current_signal_month,partially_mature,blocked_research_stability_sample_too_thin,40_trading_day_outcome_and_mature_sample_thresholds_still_need_stability_review,research_backtest_data_governance,false,not_production_ready_research_only,2026-06-26 23:51:16 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_early_entry_data_coverage_audit,w_bottom_early_entry_parameter_grid,warning_research_variant_only,warning_research_variant_only,w_bottom_right_low_early_entry,outcome_month_maturity,all_rows_2025-01,output/latest/research_backtest/w_bottom_early_entry_parameter_grid_detail_latest.csv,variant_nearest_micro_45d_event_replay,tp10_or_neutral_after_5pct_close_40d,all_rows,2025-01,49,,,20250103,20250122,,49,49,32,14,17,18,0,1,1,1,,,,,,,current_signal_month,partially_mature,blocked_research_stability_sample_too_thin,40_trading_day_outcome_and_mature_sample_thresholds_still_need_stability_review,research_backtest_data_governance,false,not_production_ready_research_only,2026-06-26 23:51:16 Asia/Taipei
