generated_at,model_id,model_name_zh,research_artifact_id,entry_filter_id,entry_filter_rule,exit_rule_id,profit_target_pct,feature_column,feature_family,feature_type,feature_rule,win_count,non_win_count,win_feature_value_count,non_win_feature_value_count,win_mean,non_win_mean,delta_win_minus_non_win,win_median,non_win_median,win_share_pct,non_win_share_pct,delta_share_pct,interpretation_status,data_status,advisory_status,approved_for_daily,production_change
2026-07-11 16:00:19 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,volume_ratio_prev20,technical_volume,numeric,signal volume ratio vs previous 20 trading days,65483,205544,65483,205544,1.02,0.97,0.05,0.8,0.74,,,,similar_between_success_and_non_success,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-11 16:00:19 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,return_20d_pct,price_structure,numeric,signal-date prior 20d return,65483,205544,65483,205544,0.68,-1.94,2.62,-0.17,-1.76,,,,higher_in_success_rows,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-11 16:00:19 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,return_45d_pct,price_structure,numeric,signal-date prior 45d return,65483,205544,57639,174183,1.01,-1.76,2.77,-1.44,-2.76,,,,higher_in_success_rows,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-11 16:00:19 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,range_width_45d_pct,price_structure,numeric,prior 45d range width,65483,205544,65483,205544,104.29,118.09,-13.8,23.92,21.94,,,,lower_in_success_rows,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-11 16:00:19 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,close_position_45d_pct,price_structure,numeric,signal close position inside prior 45d range,65483,205544,65483,205544,41.22,34.07,7.15,39.62,28.07,,,,higher_in_success_rows,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-11 16:00:19 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,prior_extension_ema23_20d_pct,price_structure,numeric,prior 20d high extension above 23EMA,65483,205544,65292,204783,7.78,7.74,0.04,6.59,6.28,,,,similar_between_success_and_non_success,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-11 16:00:19 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,prior_runup_20d_pct,price_structure,numeric,prior 20d range runup,65483,205544,65483,205544,15.57,14.79,0.78,13.18,12.27,,,,similar_between_success_and_non_success,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-11 16:00:19 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,pullback_from_high_20d_pct,price_structure,numeric,signal close pullback from prior 20d high,65483,205544,65483,205544,-7.13,-8.14,1.01,-6.29,-7.12,,,,higher_in_success_rows,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-11 16:00:19 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,rsi14,technical,numeric,RSI14 on signal date,65483,205544,65480,205526,49.43,44.65,4.78,50.0,45.1,,,,higher_in_success_rows,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-11 16:00:19 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,obv_slope_5d,technical_volume,numeric,OBV 5d slope on signal date,65483,205544,65483,205544,-519839.16,-680562.97,160723.81,-8716.0,-39989.0,,,,higher_in_success_rows,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-11 16:00:19 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,tdcc_consecutive_up_weeks,chip,numeric,TDCC consecutive up weeks,65483,205544,12715,31247,1.57,1.49,0.08,1.0,0.0,,,,similar_between_success_and_non_success,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-11 16:00:19 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,monthly_revenue_latest_yoy_pct,revenue,numeric,coverage-limited latest monthly revenue YoY,65483,205544,0,0,,,,,,,,,insufficient_feature_coverage,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-11 16:00:19 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,monthly_revenue_cumulative_yoy_pct,revenue,numeric,coverage-limited cumulative monthly revenue YoY,65483,205544,0,0,,,,,,,,,insufficient_feature_coverage,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-11 16:00:19 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,theme_context_volume_ratio,theme_context,numeric,point-in-time theme context volume ratio,65483,205544,0,0,,,,,,,,,insufficient_feature_coverage,point_in_time_theme_context_coverage_limited,not_production_ready_research_only,False,none
2026-07-11 16:00:19 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,theme_context_return_20d_pct,theme_context,numeric,point-in-time theme context 20d return,65483,205544,0,0,,,,,,,,,insufficient_feature_coverage,point_in_time_theme_context_coverage_limited,not_production_ready_research_only,False,none
2026-07-11 16:00:19 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,macd_hist_gt0,technical,boolean_share,MACD histogram above zero,65483,205544,65483,205544,,,,,,50.46,41.24,9.22,similar_between_success_and_non_success,available_point_in_time_research_frame,not_production_ready_research_only,False,none
