model_id,confirmation_model_id,research_id,source_research_id,research_variant_id,parameter_set_id,advisory_status,filter_id,filter_description,segment_dimension,segment_value,segment_source,has_taxonomy,baseline_filter_id,sample_size,mature_sample_size,win_count,win_rate,avg_a_return_pct,median_a_return_pct,baseline_sample_size,baseline_mature_sample_size,baseline_win_rate,baseline_avg_a_return_pct,baseline_median_a_return_pct,delta_sample_size,sample_retention_rate,delta_win_rate_pct,delta_avg_a_return_pct,delta_median_a_return_pct,smooth_count,sharp_v_count,wv_multiple_turn_count,slope_break_count,tdcc_any_age7_count,stability_signal,sample_warning,approved_for_daily,production_readiness,generated_at
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_wv_filter_stability_grid,w_bottom_path_quality_filter_audit,warning_research_variant_only,w_bottom_wv_filter_stability_grid_20260625,warning_research_variant_only,observation_to_volume_confirmation,Baseline: candidates that started in the right-side observation zone and later confirmed by neckline volume breakout.,overall,all,all,false,observation_to_volume_confirmation,44,40,13,32.50%,0.8501,-1.7857,44,40,32.50%,0.8501,-1.7857,0,100.00%,0.0000,0.0000,0.0000,3,3,27,11,2,baseline,sample_size_ok_for_research_review,false,not_production_ready_research_only,2026-06-25 12:21:26 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_wv_filter_stability_grid,w_bottom_path_quality_filter_audit,warning_research_variant_only,w_bottom_wv_filter_stability_grid_20260625,warning_research_variant_only,exclude_wv_multiple_turn,Baseline excluding WV/WVV multiple-turn paths.,overall,all,all,false,observation_to_volume_confirmation,17,15,6,40.00%,1.6152,-1.6568,44,40,32.50%,0.8501,-1.7857,-27,38.64%,7.5000,0.7652,0.1289,3,3,0,11,0,directionally_improved,directional_only_below_promotion_review_size,false,not_production_ready_research_only,2026-06-25 12:21:26 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_wv_filter_stability_grid,w_bottom_path_quality_filter_audit,warning_research_variant_only,w_bottom_wv_filter_stability_grid_20260625,warning_research_variant_only,exclude_slope_break,Baseline excluding slope-break or discontinuous paths.,overall,all,all,false,observation_to_volume_confirmation,33,30,11,36.67%,1.4272,-1.0882,44,40,32.50%,0.8501,-1.7857,-11,75.00%,4.1667,0.5771,0.6975,3,3,27,0,2,directionally_improved,sample_size_ok_for_research_review,false,not_production_ready_research_only,2026-06-25 12:21:26 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_wv_filter_stability_grid,w_bottom_path_quality_filter_audit,warning_research_variant_only,w_bottom_wv_filter_stability_grid_20260625,warning_research_variant_only,exclude_wv_or_slope_break,Baseline excluding WV/WVV and slope-break paths.,overall,all,all,false,observation_to_volume_confirmation,6,5,4,80.00%,6.6084,8.4000,44,40,32.50%,0.8501,-1.7857,-38,13.64%,47.5000,5.7583,10.1857,3,3,0,0,0,directionally_improved,directional_only_below_promotion_review_size,false,not_production_ready_research_only,2026-06-25 12:21:26 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_wv_filter_stability_grid,w_bottom_path_quality_filter_audit,warning_research_variant_only,w_bottom_wv_filter_stability_grid_20260625,warning_research_variant_only,exclude_sharp_v,Baseline excluding sharp V low reversals.,overall,all,all,false,observation_to_volume_confirmation,41,38,11,28.95%,0.4480,-1.9085,44,40,32.50%,0.8501,-1.7857,-3,93.18%,-3.5526,-0.4021,-0.1228,3,0,27,11,2,not_improved,sample_size_ok_for_research_review,false,not_production_ready_research_only,2026-06-25 12:21:26 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_wv_filter_stability_grid,w_bottom_path_quality_filter_audit,warning_research_variant_only,w_bottom_wv_filter_stability_grid_20260625,warning_research_variant_only,smooth_only,Baseline keeping only smooth rounded W-like paths.,overall,all,all,false,observation_to_volume_confirmation,3,3,2,66.67%,5.3538,8.4000,44,40,32.50%,0.8501,-1.7857,-41,6.82%,34.1667,4.5038,10.1857,3,0,0,0,0,insufficient_sample,too_small_for_directional_read,false,not_production_ready_research_only,2026-06-25 12:21:26 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_wv_filter_stability_grid,w_bottom_path_quality_filter_audit,warning_research_variant_only,w_bottom_wv_filter_stability_grid_20260625,warning_research_variant_only,observation_to_volume_confirmation,Baseline: candidates that started in the right-side observation zone and later confirmed by neckline volume breakout.,signal_month,2026-01,time,false,observation_to_volume_confirmation,7,7,1,14.29%,-2.5352,-1.7857,7,7,14.29%,-2.5352,-1.7857,0,100.00%,0.0000,0.0000,0.0000,1,1,4,1,0,baseline,directional_only_below_promotion_review_size,false,not_production_ready_research_only,2026-06-25 12:21:26 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_wv_filter_stability_grid,w_bottom_path_quality_filter_audit,warning_research_variant_only,w_bottom_wv_filter_stability_grid_20260625,warning_research_variant_only,exclude_wv_multiple_turn,Baseline excluding WV/WVV multiple-turn paths.,signal_month,2026-01,time,false,observation_to_volume_confirmation,3,3,1,33.33%,3.5796,-1.3216,7,7,14.29%,-2.5352,-1.7857,-4,42.86%,19.0476,6.1148,0.4641,1,1,0,1,0,insufficient_sample,too_small_for_directional_read,false,not_production_ready_research_only,2026-06-25 12:21:26 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_wv_filter_stability_grid,w_bottom_path_quality_filter_audit,warning_research_variant_only,w_bottom_wv_filter_stability_grid_20260625,warning_research_variant_only,exclude_slope_break,Baseline excluding slope-break or discontinuous paths.,signal_month,2026-01,time,false,observation_to_volume_confirmation,6,6,1,16.67%,-2.6601,-1.6764,7,7,14.29%,-2.5352,-1.7857,-1,85.71%,2.3810,-0.1249,0.1093,1,1,4,0,0,not_improved,directional_only_below_promotion_review_size,false,not_production_ready_research_only,2026-06-25 12:21:26 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_wv_filter_stability_grid,w_bottom_path_quality_filter_audit,warning_research_variant_only,w_bottom_wv_filter_stability_grid_20260625,warning_research_variant_only,exclude_wv_or_slope_break,Baseline excluding WV/WVV and slope-break paths.,signal_month,2026-01,time,false,observation_to_volume_confirmation,2,2,1,50.00%,6.2623,6.2623,7,7,14.29%,-2.5352,-1.7857,-5,28.57%,35.7143,8.7975,8.0480,1,1,0,0,0,insufficient_sample,too_small_for_directional_read,false,not_production_ready_research_only,2026-06-25 12:21:26 Asia/Taipei
