generated_at,model_id,model_name_zh,research_artifact_id,artifact_scope,anomaly_exclusion_basis,decision_basis,source_condition_id,source_condition_rule,entry_rule_id,exit_rule_id,win_definition,neutral_definition,failure_definition,high_return_definition,non_overlap_cooldown_days,non_overlap_applied,same_stock_overlap_pair_count,source_strong_signal_count,known_anomaly_count_in_source,basis_source_signal_count,accepted_signal_count_after_non_overlap,suppressed_signal_count,return_path_discontinuity_count_after_non_overlap,anomaly_interpretation_status,sample_count_context,combination_policy,approved_for_daily,production_change,promotion_readiness,row_type,feature_order,feature_id,feature_family,feature_rule,feature_column,feature_independence_status,equivalent_to_feature_id,feature_hit_count,feature_coverage_pct,evidence_interpretation,accepted_trade_count,win_count,neutral_count,failure_count,win_rate_pct,neutral_rate_pct,failure_rate_pct,avg_realized_return_pct,median_realized_return_pct,high_return_8_count,high_return_8_rate_pct,loss_5_count,loss_5_rate_pct,high_return_group_count,high_return_feature_hit_count,high_return_feature_hit_rate_pct,win_group_count,win_feature_hit_count,win_feature_hit_rate_pct,failure_group_count,failure_feature_hit_count,failure_feature_hit_rate_pct,high_return_minus_failure_hit_rate_pct,delta_vs_baseline_win_rate_pct,delta_vs_baseline_failure_rate_pct,delta_vs_baseline_avg_return_pct,delta_vs_baseline_median_return_pct,delta_vs_baseline_high_return_8_rate_pct,delta_vs_baseline_loss_5_rate_pct,high_return_feature_value_count,high_return_feature_mean,high_return_feature_median,win_feature_value_count,win_feature_mean,win_feature_median,failure_feature_value_count,failure_feature_mean,failure_feature_median,high_return_minus_failure_feature_mean,high_return_minus_failure_feature_median
2026-07-12 17:04:19 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_feature_contrast_audit,research_only_high_return_failure_feature_contrast,excluding_known_revenue_and_price_anomalies,True,revenue_production_strong,latest monthly revenue YoY >= 30% or cumulative monthly revenue YoY >= 20%; price remains inside the recent 23-day range and active attack has not started,signal_date_close_condition_next_open_entry,d20_close_no_stop,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,realized return >= +8%,20,True,0,81017,11445,69572,4725,64847,5,anomaly_check_pass,reported_not_a_disqualifier_non_overlap_enforced,single_features_only_in_this_audit_no_arbitrary_condition_stacking,False,none,research_only_feature_contrast_not_promotion_ready,baseline,0,baseline_revenue_production_strong,baseline,strong monthly revenue baseline under the fixed D+20 close-only operation basis,,baseline_not_applicable,,4144,100.0,baseline_anchor,4144.0,1294.0,770.0,2080.0,31.23,18.58,50.19,3.27,-0.12,1034.0,24.95,1189.0,28.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-12 17:04:19 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_feature_contrast_audit,research_only_high_return_failure_feature_contrast,excluding_known_revenue_and_price_anomalies,True,revenue_production_strong,latest monthly revenue YoY >= 30% or cumulative monthly revenue YoY >= 20%; price remains inside the recent 23-day range and active attack has not started,signal_date_close_condition_next_open_entry,d20_close_no_stop,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,realized return >= +8%,20,True,0,81017,11445,69572,4725,64847,5,anomaly_check_pass,reported_not_a_disqualifier_non_overlap_enforced,single_features_only_in_this_audit_no_arbitrary_condition_stacking,False,none,research_only_feature_contrast_not_promotion_ready,binary_feature,10,revenue_latest30_and_cumulative20,monthly_revenue,latest monthly revenue YoY >= 30% and cumulative monthly revenue YoY >= 20%,feature__revenue_latest30_and_cumulative20,distinct_observed_mask,,1895,45.73,positive_discriminator_single_feature_candidate,1895.0,629.0,319.0,947.0,33.19,16.83,49.97,3.83,0.0,515.0,27.18,569.0,30.03,1034.0,515.0,49.81,1294.0,629.0,48.61,2080.0,947.0,45.53,4.28,1.96,-0.22,0.56,0.12,2.23,1.34,,,,,,,,,,,
2026-07-12 17:04:19 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_feature_contrast_audit,research_only_high_return_failure_feature_contrast,excluding_known_revenue_and_price_anomalies,True,revenue_production_strong,latest monthly revenue YoY >= 30% or cumulative monthly revenue YoY >= 20%; price remains inside the recent 23-day range and active attack has not started,signal_date_close_condition_next_open_entry,d20_close_no_stop,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,realized return >= +8%,20,True,0,81017,11445,69572,4725,64847,5,anomaly_check_pass,reported_not_a_disqualifier_non_overlap_enforced,single_features_only_in_this_audit_no_arbitrary_condition_stacking,False,none,research_only_feature_contrast_not_promotion_ready,binary_feature,20,revenue_latest50_and_cumulative30,monthly_revenue,latest monthly revenue YoY >= 50% and cumulative monthly revenue YoY >= 30%,feature__revenue_latest50_and_cumulative30,distinct_observed_mask,,946,22.83,positive_discriminator_single_feature_candidate,946.0,325.0,149.0,472.0,34.36,15.75,49.89,4.47,0.0,273.0,28.86,302.0,31.92,1034.0,273.0,26.4,1294.0,325.0,25.12,2080.0,472.0,22.69,3.71,3.13,-0.3,1.2,0.12,3.91,3.23,,,,,,,,,,,
2026-07-12 17:04:19 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_feature_contrast_audit,research_only_high_return_failure_feature_contrast,excluding_known_revenue_and_price_anomalies,True,revenue_production_strong,latest monthly revenue YoY >= 30% or cumulative monthly revenue YoY >= 20%; price remains inside the recent 23-day range and active attack has not started,signal_date_close_condition_next_open_entry,d20_close_no_stop,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,realized return >= +8%,20,True,0,81017,11445,69572,4725,64847,5,anomaly_check_pass,reported_not_a_disqualifier_non_overlap_enforced,single_features_only_in_this_audit_no_arbitrary_condition_stacking,False,none,research_only_feature_contrast_not_promotion_ready,binary_feature,30,revenue_latest_yoy_ge100,monthly_revenue,latest monthly revenue YoY >= 100%,feature__revenue_latest_yoy_ge100,distinct_observed_mask,,425,10.26,failure_associated_risk_feature_candidate,425.0,128.0,69.0,228.0,30.12,16.24,53.65,2.86,-0.94,99.0,23.29,134.0,31.53,1034.0,99.0,9.57,1294.0,128.0,9.89,2080.0,228.0,10.96,-1.39,-1.11,3.46,-0.41,-0.82,-1.66,2.84,,,,,,,,,,,
2026-07-12 17:04:19 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_feature_contrast_audit,research_only_high_return_failure_feature_contrast,excluding_known_revenue_and_price_anomalies,True,revenue_production_strong,latest monthly revenue YoY >= 30% or cumulative monthly revenue YoY >= 20%; price remains inside the recent 23-day range and active attack has not started,signal_date_close_condition_next_open_entry,d20_close_no_stop,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,realized return >= +8%,20,True,0,81017,11445,69572,4725,64847,5,anomaly_check_pass,reported_not_a_disqualifier_non_overlap_enforced,single_features_only_in_this_audit_no_arbitrary_condition_stacking,False,none,research_only_feature_contrast_not_promotion_ready,binary_feature,40,revenue_latest_yoy_improving_2m,monthly_revenue,latest monthly revenue YoY improves for two consecutive available months,feature__revenue_latest_yoy_improving_2m,distinct_observed_mask,,1132,27.32,failure_associated_risk_feature_candidate,1132.0,335.0,205.0,592.0,29.59,18.11,52.3,2.63,-0.42,263.0,23.23,352.0,31.1,1034.0,263.0,25.44,1294.0,335.0,25.89,2080.0,592.0,28.46,-3.02,-1.64,2.11,-0.64,-0.3,-1.72,2.41,,,,,,,,,,,
2026-07-12 17:04:19 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_feature_contrast_audit,research_only_high_return_failure_feature_contrast,excluding_known_revenue_and_price_anomalies,True,revenue_production_strong,latest monthly revenue YoY >= 30% or cumulative monthly revenue YoY >= 20%; price remains inside the recent 23-day range and active attack has not started,signal_date_close_condition_next_open_entry,d20_close_no_stop,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,realized return >= +8%,20,True,0,81017,11445,69572,4725,64847,5,anomaly_check_pass,reported_not_a_disqualifier_non_overlap_enforced,single_features_only_in_this_audit_no_arbitrary_condition_stacking,False,none,research_only_feature_contrast_not_promotion_ready,binary_feature,50,revenue_cumulative_yoy_improving_2m,monthly_revenue,cumulative monthly revenue YoY improves for two consecutive available months,feature__revenue_cumulative_yoy_improving_2m,distinct_observed_mask,,1541,37.19,failure_associated_risk_feature_candidate,1541.0,472.0,280.0,789.0,30.63,18.17,51.2,2.87,-0.34,375.0,24.33,480.0,31.15,1034.0,375.0,36.27,1294.0,472.0,36.48,2080.0,789.0,37.93,-1.66,-0.6,1.01,-0.4,-0.22,-0.62,2.46,,,,,,,,,,,
2026-07-12 17:04:19 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_feature_contrast_audit,research_only_high_return_failure_feature_contrast,excluding_known_revenue_and_price_anomalies,True,revenue_production_strong,latest monthly revenue YoY >= 30% or cumulative monthly revenue YoY >= 20%; price remains inside the recent 23-day range and active attack has not started,signal_date_close_condition_next_open_entry,d20_close_no_stop,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,realized return >= +8%,20,True,0,81017,11445,69572,4725,64847,5,anomaly_check_pass,reported_not_a_disqualifier_non_overlap_enforced,single_features_only_in_this_audit_no_arbitrary_condition_stacking,False,none,research_only_feature_contrast_not_promotion_ready,binary_feature,60,revenue_latest_yoy_delta_ge20,monthly_revenue,latest monthly revenue YoY improves by at least 20 percentage points month over month,feature__revenue_latest_yoy_delta_ge20,distinct_observed_mask,,1606,38.75,failure_associated_risk_feature_candidate,1606.0,458.0,280.0,868.0,28.52,17.43,54.05,2.41,-0.78,365.0,22.73,498.0,31.01,1034.0,365.0,35.3,1294.0,458.0,35.39,2080.0,868.0,41.73,-6.43,-2.71,3.86,-0.86,-0.66,-2.22,2.32,,,,,,,,,,,
2026-07-12 17:04:19 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_feature_contrast_audit,research_only_high_return_failure_feature_contrast,excluding_known_revenue_and_price_anomalies,True,revenue_production_strong,latest monthly revenue YoY >= 30% or cumulative monthly revenue YoY >= 20%; price remains inside the recent 23-day range and active attack has not started,signal_date_close_condition_next_open_entry,d20_close_no_stop,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,realized return >= +8%,20,True,0,81017,11445,69572,4725,64847,5,anomaly_check_pass,reported_not_a_disqualifier_non_overlap_enforced,single_features_only_in_this_audit_no_arbitrary_condition_stacking,False,none,research_only_feature_contrast_not_promotion_ready,binary_feature,100,tdcc_high_thresholds_up,tdcc,TDCC history is available and high thresholds are increasing,feature__tdcc_high_thresholds_up,distinct_observed_mask,,242,5.84,positive_discriminator_single_feature_candidate,242.0,105.0,38.0,99.0,43.39,15.7,40.91,5.01,3.02,78.0,32.23,69.0,28.51,1034.0,78.0,7.54,1294.0,105.0,8.11,2080.0,99.0,4.76,2.78,12.16,-9.28,1.74,3.14,7.28,-0.18,,,,,,,,,,,
2026-07-12 17:04:19 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_feature_contrast_audit,research_only_high_return_failure_feature_contrast,excluding_known_revenue_and_price_anomalies,True,revenue_production_strong,latest monthly revenue YoY >= 30% or cumulative monthly revenue YoY >= 20%; price remains inside the recent 23-day range and active attack has not started,signal_date_close_condition_next_open_entry,d20_close_no_stop,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,realized return >= +8%,20,True,0,81017,11445,69572,4725,64847,5,anomaly_check_pass,reported_not_a_disqualifier_non_overlap_enforced,single_features_only_in_this_audit_no_arbitrary_condition_stacking,False,none,research_only_feature_contrast_not_promotion_ready,binary_feature,110,tdcc_all_thresholds_up,tdcc,TDCC history is available and all thresholds are increasing,feature__tdcc_all_thresholds_up,distinct_observed_mask,,125,3.02,positive_discriminator_single_feature_candidate,125.0,62.0,21.0,42.0,49.6,16.8,33.6,6.99,4.47,47.0,37.6,29.0,23.2,1034.0,47.0,4.55,1294.0,62.0,4.79,2080.0,42.0,2.02,2.53,18.37,-16.59,3.72,4.59,12.65,-5.49,,,,,,,,,,,
2026-07-12 17:04:19 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_feature_contrast_audit,research_only_high_return_failure_feature_contrast,excluding_known_revenue_and_price_anomalies,True,revenue_production_strong,latest monthly revenue YoY >= 30% or cumulative monthly revenue YoY >= 20%; price remains inside the recent 23-day range and active attack has not started,signal_date_close_condition_next_open_entry,d20_close_no_stop,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,realized return >= +8%,20,True,0,81017,11445,69572,4725,64847,5,anomaly_check_pass,reported_not_a_disqualifier_non_overlap_enforced,single_features_only_in_this_audit_no_arbitrary_condition_stacking,False,none,research_only_feature_contrast_not_promotion_ready,binary_feature,120,tdcc_four_thresholds_sync_up,tdcc,TDCC history is available and four thresholds increase together,feature__tdcc_four_thresholds_sync_up,duplicate_mask_not_independent_evidence,tdcc_all_thresholds_up,125,3.02,positive_discriminator_single_feature_candidate,125.0,62.0,21.0,42.0,49.6,16.8,33.6,6.99,4.47,47.0,37.6,29.0,23.2,1034.0,47.0,4.55,1294.0,62.0,4.79,2080.0,42.0,2.02,2.53,18.37,-16.59,3.72,4.59,12.65,-5.49,,,,,,,,,,,
