research_id,artifact_version,source_research_id,source_artifact_version,feature_source_research_id,feature_source_artifact_version,raw_source_research_id,raw_source_artifact_version,advisory_status,model_id,row_type,split_group_id,split_group_label,feature_id,feature_label,feature_family,condition_expression,candidate_id,candidate_label,source_total_events,source_non_overlap_events,sample_size,coverage_pct,win_count,neutral_count,loss_count,win_rate_pct,neutral_rate_pct,loss_rate_pct,avg_return_pct,median_return_pct,p10_return_pct,p90_return_pct,high_return_ge10_count,high_return_ge10_rate_pct,loss_le_minus5_count,loss_le_minus5_rate_pct,success_with_feature_count,failure_with_feature_count,success_share_pct,failure_share_pct,success_minus_failure_share_pct,failure_common_flag,success_median_value,failure_median_value,success_minus_failure_median,baseline_win_rate_pct,baseline_loss_rate_pct,baseline_avg_return_pct,baseline_median_return_pct,uplift_win_rate_pp,uplift_loss_rate_pp,uplift_avg_return_pct,uplift_median_return_pct,sample_status,candidate_status,decision_hint,note,approved_for_daily,production_readiness,generated_at
volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,discriminative_feature,momentum_continuation,non-low-base momentum continuation,near_20d_high,close within 1% of previous 20d high,technical_breakout,dist_high20_pct >= -1,,,811,576,290,82.15,160.0,1.0,129.0,55.17,0.34,44.48,5.9335,2.0934,-14.5705,32.0512,96.0,33.1,96.0,33.1,160.0,129.0,83.77,80.12,3.65,True,,,,54.11,45.61,5.278,1.8433,1.06,-1.13,0.6555,0.2501,thin_but_reviewable_sample,research_only_diagnostic,common_in_success_and_failure_do_not_use_alone,feature share always includes failure_share_pct to prevent win-rate-only interpretation,False,not_production_ready_research_only,2026-07-09 18:51:54 Asia/Taipei
volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,discriminative_feature,momentum_continuation,non-low-base momentum continuation,near_60d_high,close within 1% of previous 60d high,technical_breakout,dist_high60_pct >= -1,,,811,576,290,82.15,160.0,1.0,129.0,55.17,0.34,44.48,5.9335,2.0934,-14.5705,32.0512,96.0,33.1,96.0,33.1,160.0,129.0,83.77,80.12,3.65,True,,,,54.11,45.61,5.278,1.8433,1.06,-1.13,0.6555,0.2501,thin_but_reviewable_sample,research_only_diagnostic,common_in_success_and_failure_do_not_use_alone,feature share always includes failure_share_pct to prevent win-rate-only interpretation,False,not_production_ready_research_only,2026-07-09 18:51:54 Asia/Taipei
volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,discriminative_feature,momentum_continuation,non-low-base momentum continuation,locked_limit_up,locked or limit-up-like signal,signal_candle,locked_limit_up_flag OR limit_up_like,,,811,576,270,76.49,149.0,1.0,120.0,55.19,0.37,44.44,5.9122,2.0934,-14.6882,32.1804,88.0,32.59,90.0,33.33,149.0,120.0,78.01,74.53,3.48,True,,,,54.11,45.61,5.278,1.8433,1.08,-1.17,0.6342,0.2501,thin_but_reviewable_sample,research_only_diagnostic,common_in_success_and_failure_do_not_use_alone,feature share always includes failure_share_pct to prevent win-rate-only interpretation,False,not_production_ready_research_only,2026-07-09 18:51:54 Asia/Taipei
volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,discriminative_feature,momentum_continuation,non-low-base momentum continuation,not_locked_limit_up,not locked or limit-up-like,signal_candle,NOT locked_limit_up,,,811,576,83,23.51,42.0,0.0,41.0,50.6,0.0,49.4,3.215,0.9091,-15.8011,26.868,25.0,30.12,34.0,40.96,42.0,41.0,21.99,25.47,-3.48,False,,,,54.11,45.61,5.278,1.8433,-3.51,3.79,-2.063,-0.9342,thin_sample,research_only_diagnostic,weak_or_mixed_feature_difference,feature share always includes failure_share_pct to prevent win-rate-only interpretation,False,not_production_ready_research_only,2026-07-09 18:51:54 Asia/Taipei
volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,discriminative_feature,momentum_continuation,non-low-base momentum continuation,ma20_gt_ma60,MA20 > MA60,technical_ma,hist_ma20 > hist_ma60,,,811,576,335,94.9,184.0,1.0,150.0,54.93,0.3,44.78,5.4949,2.1016,-15.5844,31.827,111.0,33.13,117.0,34.93,184.0,150.0,96.34,93.17,3.17,True,,,,54.11,45.61,5.278,1.8433,0.82,-0.83,0.2169,0.2583,reviewable_sample,research_only_diagnostic,common_in_success_and_failure_do_not_use_alone,feature share always includes failure_share_pct to prevent win-rate-only interpretation,False,not_production_ready_research_only,2026-07-09 18:51:54 Asia/Taipei
volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,discriminative_feature,momentum_continuation,non-low-base momentum continuation,range20_gt25,20d range width >25%,base_width,range_width_20_pct > 25,,,811,576,292,82.72,161.0,0.0,131.0,55.14,0.0,44.86,5.4507,2.2615,-15.6741,32.1505,94.0,32.19,104.0,35.62,161.0,131.0,84.29,81.37,2.93,True,,,,54.11,45.61,5.278,1.8433,1.03,-0.75,0.1727,0.4182,thin_but_reviewable_sample,research_only_diagnostic,common_in_success_and_failure_do_not_use_alone,feature share always includes failure_share_pct to prevent win-rate-only interpretation,False,not_production_ready_research_only,2026-07-09 18:51:54 Asia/Taipei
volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,candidate_condition_matrix,momentum_continuation,non-low-base momentum continuation,momentum_volume_control_wide20,momentum + volume ratio 2..6 + 20d wide range,candidate_matrix,momentum_continuation AND 2 <= volume_ratio <= 6 AND range_width_20_pct > 25,momentum_volume_control_wide20,momentum + volume ratio 2..6 + 20d wide range,811,576,221,38.37,126.0,0.0,95.0,57.01,0.0,42.99,5.3197,2.4691,-14.5598,31.5011,68.0,30.77,71.0,32.13,,,,,,,,,,54.11,45.61,5.278,1.8433,2.9,-2.62,0.0417,0.6258,thin_but_reviewable_sample,research_only_candidate,best_current_direction_but_not_production_gate,"research-only matrix row; not production ranking, scoring, or operation contract",False,not_production_ready_research_only,2026-07-09 18:51:54 Asia/Taipei
volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,candidate_condition_matrix,momentum_continuation,non-low-base momentum continuation,momentum_locked_wide_nonconsolidation,momentum + locked + wide 20d + non-consolidation,candidate_matrix,momentum_continuation AND locked_limit_up AND range_width_20_pct > 25 AND non_consolidation,momentum_locked_wide_nonconsolidation,momentum + locked + wide 20d + non-consolidation,811,576,222,38.54,124.0,0.0,98.0,55.86,0.0,44.14,5.8533,2.6631,-15.6937,32.3208,72.0,32.43,77.0,34.68,,,,,,,,,,54.11,45.61,5.278,1.8433,1.75,-1.47,0.5753,0.8198,thin_but_reviewable_sample,research_only_candidate,possible_momentum_continuation_semantic_not_low_base,"research-only matrix row; not production ranking, scoring, or operation contract",False,not_production_ready_research_only,2026-07-09 18:51:54 Asia/Taipei
volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,candidate_condition_matrix,momentum_continuation,non-low-base momentum continuation,momentum_close_loc95_volume2to6,momentum + close at top 95% + volume ratio 2..6,candidate_matrix,momentum_continuation AND close_location_pct >= 95 AND 2 <= volume_ratio <= 6,momentum_close_loc95_volume2to6,momentum + close at top 95% + volume ratio 2..6,811,576,194,33.68,111.0,1.0,82.0,57.22,0.52,42.27,5.5019,2.1354,-13.6823,29.9479,59.0,30.41,59.0,30.41,,,,,,,,,,54.11,45.61,5.278,1.8433,3.11,-3.34,0.2239,0.2921,thin_but_reviewable_sample,research_only_candidate,technical_signal_quality_candidate,"research-only matrix row; not production ranking, scoring, or operation contract",False,not_production_ready_research_only,2026-07-09 18:51:54 Asia/Taipei
volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,candidate_condition_matrix,momentum_continuation,non-low-base momentum continuation,momentum_volume_gt6_overheat,momentum + volume ratio >6,candidate_matrix,momentum_continuation AND volume_ratio > 6,momentum_volume_gt6_overheat,momentum + volume ratio >6,811,576,18,3.12,5.0,0.0,13.0,27.78,0.0,72.22,-1.9895,-9.4203,-15.9852,17.0685,3.0,16.67,12.0,66.67,,,,,,,,,,54.11,45.61,5.278,1.8433,-26.33,26.61,-7.2675,-11.2636,very_thin_sample,research_only_risk_tag_candidate,overheat_risk_tag_candidate_not_buy_gate,"research-only matrix row; not production ranking, scoring, or operation contract",False,not_production_ready_research_only,2026-07-09 18:51:54 Asia/Taipei
volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,candidate_condition_matrix,low_base_consolidated,low-base and consolidated proxy,lowbase_vol2to6_confirm3,low-base + volume ratio 2..6 + confirmation gain >=3%,candidate_matrix,low_base_consolidated AND 2 <= volume_ratio <= 6 AND confirm_vs_signal_close_pct >= 3,lowbase_vol2to6_confirm3,low-base + volume ratio 2..6 + confirmation gain >=3%,811,576,125,21.7,61.0,1.0,63.0,48.8,0.8,50.4,3.1782,-0.9524,-13.3214,23.7155,37.0,29.6,46.0,36.8,,,,,,,,,,45.29,53.81,2.7971,-1.5038,3.51,-3.41,0.3811,0.5514,thin_but_reviewable_sample,research_only_candidate,low_base_needs_more_evidence_currently_weak,"research-only matrix row; not production ranking, scoring, or operation contract",False,not_production_ready_research_only,2026-07-09 18:51:54 Asia/Taipei
volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,candidate_condition_matrix,low_base_consolidated,low-base and consolidated proxy,lowbase_closehigh_confirm3,low-base + close location >=80% + confirmation gain >=3%,candidate_matrix,low_base_consolidated AND close_location_pct >= 80 AND confirm_vs_signal_close_pct >= 3,lowbase_closehigh_confirm3,low-base + close location >=80% + confirmation gain >=3%,811,576,132,22.92,57.0,1.0,74.0,43.18,0.76,56.06,2.4386,-2.1698,-14.1207,26.9146,34.0,25.76,51.0,38.64,,,,,,,,,,45.29,53.81,2.7971,-1.5038,-2.11,2.25,-0.3585,-0.666,thin_but_reviewable_sample,rejected_as_hard_gate_candidate,low_base_signal_still_common_in_failures,"research-only matrix row; not production ranking, scoring, or operation contract",False,not_production_ready_research_only,2026-07-09 18:51:54 Asia/Taipei
