model_id,ranking_model_version,signal_date,stock_id,stock_name,tdcc_1w_change_400,tdcc_1w_change_600,tdcc_1w_change_800,tdcc_1w_change_1000,tdcc_high_pair_effective_streak_weeks,theme,theme_mainstream_status,tdcc_four_threshold_weekly_increase_sum,tdcc_effective_increase_count,tdcc_weighted_weekly_increase_score,tdcc_sync_bonus,tdcc_theme_bonus,volume_ma20_lots,tdcc_low_volume_penalty,tdcc_high_pair_streak_bonus,tdcc_weekly_increase_score,tdcc_consecutive_accumulation_score,tdcc_list_type,tdcc_rank,tdcc_ranking_score,d5_close,d5_return_pct,d5_mfe_pct,d5_mae_pct,d5_mature,d10_close,d10_return_pct,d10_mfe_pct,d10_mae_pct,d10_mature,d20_close,d20_return_pct,d20_mfe_pct,d20_mae_pct,d20_mature,approved_for_daily,theme_context_note,generated_at
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,20251128,1414,東和,0.020000000000010232,0.05000000000001137,0.060000000000002274,0.5099999999999909,0,紡織纖維,non_mainstream_latest_taxonomy,0.6400000000000148,1,2.34,0.0,0.0,353.84515000000005,10.0,0.0,-7.66,-7.66,weekly_increase,12,-7.66,17.45,-0.8522727272727404,3.409090909090895,-1.7045454545454586,True,16.95,-3.6931818181818343,3.409090909090895,-4.545454545454552,True,17.55,-0.28409090909091717,3.409090909090895,-6.534090909090917,True,False,theme bonus uses latest taxonomy context; research only,2026-07-05 04:09:52 Asia/Taipei
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,20251205,2606,裕民,1.1899999999999977,1.6000000000000085,1.3100000000000023,1.1500000000000057,2,航運業,non_mainstream_latest_taxonomy,5.250000000000014,4,12.92,15.0,0.0,11908.71015,0.0,5.0,27.92,32.92,weekly_increase,1,27.92,59.1,-6.4873417721519,0.0,-6.9620253164556996,True,61.4,-2.848101265822789,1.5822784810126667,-6.9620253164556996,True,58.9,-6.803797468354434,1.5822784810126667,-7.278481012658233,True,False,theme bonus uses latest taxonomy context; research only,2026-07-05 04:09:52 Asia/Taipei
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,20251205,4527,方土霖,0.5399999999999991,0.0,0.0,0.0,0,機器人自動化_電機機械待細分,mainstream_latest_taxonomy,0.5399999999999991,1,0.54,0.0,5.0,22000.0,0.0,0.0,5.54,5.54,weekly_increase,2,5.54,39.7,0.5063291139240533,0.5063291139240533,-0.8860759493670933,True,39.85,0.8860759493670933,1.2658227848101333,-0.8860759493670933,True,39.25,-0.6329113924050667,1.2658227848101333,-2.1518987341772156,True,False,theme bonus uses latest taxonomy context; research only,2026-07-05 04:09:52 Asia/Taipei
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,20251205,1527,鑽全,0.5700000000000003,0.6000000000000014,0.05999999999999872,0.05999999999999872,0,機器人自動化_電機機械待細分,mainstream_latest_taxonomy,1.2899999999999991,2,2.19,5.0,5.0,231.065,10.0,0.0,2.19,2.19,weekly_increase,3,2.19,33.4,-2.052785923753675,0.8797653958944274,-2.052785923753675,True,32.55,-4.545454545454552,0.8797653958944274,-4.692082111436957,True,32.5,-4.692082111436957,0.8797653958944274,-5.571847507331373,True,False,theme bonus uses latest taxonomy context; research only,2026-07-05 04:09:52 Asia/Taipei
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,20251205,1586,和勤,0.5900000000000034,-0.4000000000000057,-0.3399999999999892,0.6000000000000014,0,機器人自動化_電機機械待細分,mainstream_latest_taxonomy,1.1900000000000048,2,1.17,5.0,5.0,501.6,10.0,0.0,1.17,1.17,weekly_increase,4,1.17,26.85,-1.1049723756905938,2.3941068139963217,-3.4990791896869267,True,26.7,-1.6574585635359074,2.3941068139963217,-3.867403314917117,True,25.3,-6.813996316758741,2.3941068139963217,-10.128913443830568,True,False,theme bonus uses latest taxonomy context; research only,2026-07-05 04:09:52 Asia/Taipei
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,20251205,6534,正瀚-創,0.10000000000000853,0.6700000000000017,0.0799999999999983,0.9699999999999989,0,生技醫療業,non_mainstream_latest_taxonomy,1.8200000000000074,2,5.56,5.0,0.0,370.2686,10.0,0.0,0.56,0.56,weekly_increase,5,0.56,91.8,3.0303030303030276,10.1010101010101,1.0101010101010166,True,88.4,-0.7856341189674376,10.1010101010101,-3.142536475869806,True,92.3,3.5914702581369307,10.1010101010101,-3.142536475869806,True,False,theme bonus uses latest taxonomy context; research only,2026-07-05 04:09:52 Asia/Taipei
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,20251205,4961,天鈺,-0.02999999999999403,0.8499999999999943,0.20000000000000284,0.28999999999999915,0,半導體業_待細分,mainstream_latest_taxonomy,1.3399999999999963,1,3.43,0.0,5.0,681.0125,10.0,0.0,-1.57,-1.57,weekly_increase,6,-1.57,137.0,-0.363636363636366,3.2727272727272716,-1.0909090909090868,True,145.0,5.454545454545445,9.818181818181815,-1.8181818181818188,True,148.5,8.000000000000007,9.818181818181815,-2.1818181818181848,True,False,theme bonus uses latest taxonomy context; research only,2026-07-05 04:09:52 Asia/Taipei
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,20251205,1582,信錦,0.35999999999999943,0.1700000000000017,0.6499999999999986,0.0799999999999983,0,電子零組件業_待細分,mainstream_latest_taxonomy,1.259999999999998,1,2.97,0.0,5.0,439.9276,10.0,0.0,-2.03,-2.03,weekly_increase,7,-2.03,65.6,-1.7964071856287456,0.44910179640718084,-1.946107784431128,True,65.6,-1.7964071856287456,0.44910179640718084,-4.491017964071853,True,64.4,-3.592814371257469,1.197604790419149,-4.491017964071853,True,False,theme bonus uses latest taxonomy context; research only,2026-07-05 04:09:52 Asia/Taipei
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,20251205,3617,碩天,-0.09000000000000341,-0.09000000000000341,-0.9199999999999946,1.0799999999999983,0,其他電子業_待細分,mainstream_latest_taxonomy,1.0799999999999983,1,1.29,0.0,5.0,332.28479999999996,10.0,0.0,-3.71,-3.71,weekly_increase,8,-3.71,199.0,-0.25062656641604564,3.007518796992481,-3.007518796992481,True,200.5,0.5012531328320913,3.007518796992481,-5.012531328320802,True,209.5,5.012531328320802,9.022556390977442,-5.012531328320802,True,False,theme bonus uses latest taxonomy context; research only,2026-07-05 04:09:52 Asia/Taipei
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,20251205,6576,逸達,0.10999999999999943,0.10999999999999943,0.6000000000000014,0.07000000000000028,0,生技醫療業,non_mainstream_latest_taxonomy,0.8900000000000006,1,2.41,0.0,0.0,340.5,10.0,0.0,-7.59,-7.59,weekly_increase,9,-7.59,79.3,-0.5018820577164407,1.3801756587201952,-2.3839397741530766,True,78.5,-1.505646173149311,2.258469259723972,-2.3839397741530766,True,80.0,0.37641154328731385,3.7641154328732718,-2.3839397741530766,True,False,theme bonus uses latest taxonomy context; research only,2026-07-05 04:09:52 Asia/Taipei
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,20251205,4744,皇將,-0.010000000000005116,-1.0700000000000003,1.4199999999999982,-0.1999999999999993,0,生技醫療業,non_mainstream_latest_taxonomy,1.4199999999999982,1,1.31,0.0,0.0,456.65,10.0,0.0,-8.69,-8.69,weekly_increase,10,-8.69,30.45,-0.9756097560975618,1.6260162601626105,-4.0650406504065035,True,29.4,-4.390243902439028,1.6260162601626105,-5.528455284552846,True,29.6,-3.7398373983739797,1.6260162601626105,-8.292682926829276,True,False,theme bonus uses latest taxonomy context; research only,2026-07-05 04:09:52 Asia/Taipei
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,20251205,1733,五鼎,0.03999999999999915,0.5799999999999983,-0.019999999999999574,-0.019999999999999574,0,生技醫療業,non_mainstream_latest_taxonomy,0.6199999999999974,1,1.06,0.0,0.0,200.64535,10.0,0.0,-8.94,-8.94,weekly_increase,11,-8.94,30.8,-1.2820512820512775,1.6025641025640969,-2.2435897435897467,True,31.2,0.0,1.9230769230769384,-3.205128205128205,True,29.65,-4.9679487179487225,1.9230769230769384,-4.9679487179487225,True,False,theme bonus uses latest taxonomy context; research only,2026-07-05 04:09:52 Asia/Taipei
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,20251205,2606,裕民,1.1899999999999977,1.6000000000000085,1.3100000000000023,1.1500000000000057,2,航運業,non_mainstream_latest_taxonomy,5.250000000000014,4,12.92,15.0,0.0,11908.71015,0.0,5.0,27.92,32.92,consecutive_accumulation,1,32.92,59.1,-6.4873417721519,0.0,-6.9620253164556996,True,61.4,-2.848101265822789,1.5822784810126667,-6.9620253164556996,True,58.9,-6.803797468354434,1.5822784810126667,-7.278481012658233,True,False,theme bonus uses latest taxonomy context; research only,2026-07-05 04:09:52 Asia/Taipei
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,20251212,3434,哲固,0.8400000000000034,0.8400000000000034,0.8399999999999999,0.8399999999999999,1,光電業_待細分,mainstream_latest_taxonomy,3.3600000000000065,4,8.4,15.0,5.0,173.65,10.0,0.0,18.4,18.4,weekly_increase,1,18.4,31.0,0.9771986970684043,7.166123778501632,-1.4657980456026065,True,30.9,0.6514657980456029,7.166123778501632,-1.4657980456026065,True,30.55,-0.48859934853420217,7.166123778501632,-4.885993485342022,True,False,theme bonus uses latest taxonomy context; research only,2026-07-05 04:09:52 Asia/Taipei
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,20251212,4527,方土霖,0.5799999999999983,0.0,0.0,0.0,0,機器人自動化_電機機械待細分,mainstream_latest_taxonomy,0.5799999999999983,1,0.58,0.0,5.0,24600.0,0.0,0.0,5.58,5.58,weekly_increase,2,5.58,39.85,0.37783375314861534,0.7556675062972307,-1.385390428211597,True,39.25,-1.133501259445846,0.7556675062972307,-2.6448362720403074,True,40.5,2.015113350125941,3.652392947103267,-2.6448362720403074,True,False,theme bonus uses latest taxonomy context; research only,2026-07-05 04:09:52 Asia/Taipei
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,20251212,4744,皇將,0.9300000000000068,0.05999999999999872,1.4600000000000009,0.019999999999999574,0,生技醫療業,non_mainstream_latest_taxonomy,2.470000000000006,2,5.51,5.0,0.0,355.4,10.0,0.0,0.51,0.51,weekly_increase,3,0.51,29.4,-3.4482758620689724,1.806239737274229,-4.597701149425282,True,28.9,-5.090311986863716,1.806239737274229,-7.389162561576357,True,28.95,-4.926108374384242,1.806239737274229,-7.389162561576357,True,False,theme bonus uses latest taxonomy context; research only,2026-07-05 04:09:52 Asia/Taipei
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,20251212,1737,臺鹽,0.2700000000000031,0.07000000000000028,0.07000000000000028,0.5599999999999952,0,食品工業,non_mainstream_latest_taxonomy,0.9699999999999989,1,2.86,0.0,0.0,107.57255,10.0,0.0,-7.14,-7.14,weekly_increase,4,-7.14,31.7,0.47543581616480424,0.6339144215530945,-0.6339144215530834,True,31.7,0.47543581616480424,1.1093502377178988,-1.267828843106189,True,31.6,0.15847860538826808,1.4263074484944571,-1.267828843106189,True,False,theme bonus uses latest taxonomy context; research only,2026-07-05 04:09:52 Asia/Taipei
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,20251212,1733,五鼎,0.8499999999999943,0.3200000000000003,-1.0700000000000003,-1.0700000000000003,0,生技醫療業,non_mainstream_latest_taxonomy,1.1699999999999946,1,-6.0,0.0,0.0,151.6804,10.0,0.0,-16.0,-16.0,weekly_increase,5,-16.0,31.2,1.298701298701288,3.2467532467532534,-1.9480519480519543,True,31.3,1.6233766233766156,3.2467532467532534,-1.9480519480519543,True,29.45,-4.383116883116889,3.2467532467532534,-5.032467532467533,True,False,theme bonus uses latest taxonomy context; research only,2026-07-05 04:09:52 Asia/Taipei
