research_id,research_variant_id,parameter_set_id,advisory_status,event_family_id,pattern_subtype,entry_variant,sample_size,mature_sample_size,win_count,loss_count,win_rate_pct,avg_return_pct,median_return_pct,stop_signal_low_count,fixed_10d_close_count,retest_not_found_count,retest_found_but_no_attack_count,approved_for_daily,production_readiness,generated_at
breakout_family_retest_grid,warning_research_variant_only,breakout_family_retest_grid_20260627,warning_research_variant_only,bottom_base_volume_attack_reference,base_attack_position_review,direct_breakout_next_open,734,734,227,507,30.9264,0.4897,-2.6360,414,320,153,156,false,not_production_ready_research_only,2026-06-27 16:57:23 Asia/Taipei
breakout_family_retest_grid,warning_research_variant_only,breakout_family_retest_grid_20260627,warning_research_variant_only,bottom_base_volume_attack_reference,base_attack_position_review,retest_hold_then_attack_next_open,734,207,101,106,48.7923,2.7200,0.0000,50,157,153,156,false,not_production_ready_research_only,2026-06-27 16:57:23 Asia/Taipei
breakout_family_retest_grid,warning_research_variant_only,breakout_family_retest_grid_20260627,warning_research_variant_only,bottom_base_volume_attack_reference,low_position_base_attack,direct_breakout_next_open,395,395,140,255,35.4430,1.0828,-2.8070,197,198,81,98,false,not_production_ready_research_only,2026-06-27 16:57:23 Asia/Taipei
breakout_family_retest_grid,warning_research_variant_only,breakout_family_retest_grid_20260627,warning_research_variant_only,bottom_base_volume_attack_reference,low_position_base_attack,retest_hold_then_attack_next_open,395,116,57,59,49.1379,3.9508,0.0000,25,91,81,98,false,not_production_ready_research_only,2026-06-27 16:57:23 Asia/Taipei
breakout_family_retest_grid,warning_research_variant_only,breakout_family_retest_grid_20260627,warning_research_variant_only,bottom_base_volume_attack_reference,wide_base_review,direct_breakout_next_open,339,339,126,213,37.1681,1.1342,-2.9126,178,161,56,61,false,not_production_ready_research_only,2026-06-27 16:57:23 Asia/Taipei
breakout_family_retest_grid,warning_research_variant_only,breakout_family_retest_grid_20260627,warning_research_variant_only,bottom_base_volume_attack_reference,wide_base_review,retest_hold_then_attack_next_open,339,121,54,67,44.6281,1.4144,-1.9656,24,97,56,61,false,not_production_ready_research_only,2026-06-27 16:57:23 Asia/Taipei
breakout_family_retest_grid,warning_research_variant_only,breakout_family_retest_grid_20260627,warning_research_variant_only,descending_resistance_volume_breakout_proxy,descending_resistance_line_proxy,direct_breakout_next_open,1172,1172,385,787,32.8498,0.5633,-2.5210,635,537,243,306,false,not_production_ready_research_only,2026-06-27 16:57:23 Asia/Taipei
breakout_family_retest_grid,warning_research_variant_only,breakout_family_retest_grid_20260627,warning_research_variant_only,descending_resistance_volume_breakout_proxy,descending_resistance_line_proxy,retest_hold_then_attack_next_open,1172,365,179,186,49.0411,1.8955,-0.2401,88,277,243,306,false,not_production_ready_research_only,2026-06-27 16:57:23 Asia/Taipei
breakout_family_retest_grid,warning_research_variant_only,breakout_family_retest_grid_20260627,warning_research_variant_only,structured_neckline_volume_breakout_proxy,double_bottom_or_structured_bottom_proxy,direct_breakout_next_open,51,51,17,34,33.3333,-1.3421,-3.6145,29,22,7,12,false,not_production_ready_research_only,2026-06-27 16:57:23 Asia/Taipei
breakout_family_retest_grid,warning_research_variant_only,breakout_family_retest_grid_20260627,warning_research_variant_only,structured_neckline_volume_breakout_proxy,double_bottom_or_structured_bottom_proxy,retest_hold_then_attack_next_open,51,13,3,10,23.0769,-6.9674,-3.0576,6,7,7,12,false,not_production_ready_research_only,2026-06-27 16:57:23 Asia/Taipei
breakout_family_retest_grid,warning_research_variant_only,breakout_family_retest_grid_20260627,warning_research_variant_only,structured_neckline_volume_breakout_proxy,triple_or_multi_bottom_proxy,direct_breakout_next_open,1202,1202,364,838,30.2829,0.2663,-2.7067,705,497,143,219,false,not_production_ready_research_only,2026-06-27 16:57:23 Asia/Taipei
breakout_family_retest_grid,warning_research_variant_only,breakout_family_retest_grid_20260627,warning_research_variant_only,structured_neckline_volume_breakout_proxy,triple_or_multi_bottom_proxy,retest_hold_then_attack_next_open,1202,361,159,202,44.0443,1.1027,-1.7143,114,247,143,219,false,not_production_ready_research_only,2026-06-27 16:57:23 Asia/Taipei
