generated_at,model_id,model_name_zh,research_artifact_id,artifact_version,row_type,anomaly_exclusion_basis,decision_basis,confirmation_variant_id,confirmation_variant_name_zh,pending_window_days,exit_clock_id,source_signal_count,source_anomaly_candidate_count,accepted_trade_count_before_candidate_sensitivity_exclusion,price_path_anomaly_candidate_count,metric_sample_count,max_realized_return_pct,max_return_stock_id,max_return_signal_date,min_realized_return_pct,min_return_stock_id,min_return_signal_date,return_abs_ge80_anomaly_candidate_count,top1_abs_return_share_pct,top5_abs_return_share_pct,trimmed_1pct_avg_return_pct,potential_return_dominance_flag,interpretation_status,approved_for_daily,production_change
2026-08-23 06:52:52 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v2_anomaly_candidate_primary,control_baseline,including_unresolved_anomaly_candidates_primary,True,signal_close_control,訊號日直接進場對照組,0,signal_d20_close,102175,14575,6045,7,6045,252.6646,4414,20250605,-91.0164,4763,20250609,39,0.3905,1.3336,1.5144,False,blocked_pending_root_cause_anomaly_candidate_review,False,none
2026-08-23 06:52:52 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v2_anomaly_candidate_primary,variant_performance,including_unresolved_anomaly_candidates_primary,True,next_day_close_continuation,隔日續強確認型,1,signal_d20_close,102175,14575,5354,8,5354,210.3976,4414,20250609,-90.8508,4763,20250613,27,0.369,1.4037,1.0374,False,blocked_pending_root_cause_anomaly_candidate_review,False,none
2026-08-23 06:52:52 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v2_anomaly_candidate_primary,variant_performance,including_unresolved_anomaly_candidates_primary,True,next_day_close_continuation,隔日續強確認型,1,confirmation_d20_close,102175,14575,5153,7,5153,224.159,4414,20250609,-90.9613,4763,20250613,32,0.3941,1.441,1.0748,False,blocked_pending_root_cause_anomaly_candidate_review,False,none
2026-08-23 06:52:52 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v2_anomaly_candidate_primary,variant_performance,including_unresolved_anomaly_candidates_primary,True,range23_highest_close_breakout,區間突破確認型,3,signal_d20_close,102175,14575,2058,1,2058,139.1048,6658,20260417,-47.0936,8438,20260701,13,0.5676,2.4658,1.9924,False,blocked_pending_root_cause_anomaly_candidate_review,False,none
2026-08-23 06:52:52 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v2_anomaly_candidate_primary,variant_performance,including_unresolved_anomaly_candidates_primary,True,range23_highest_close_breakout,區間突破確認型,3,confirmation_d20_close,102175,14575,2021,1,2021,220.603,5386,20260127,-54.3003,8042,20260626,15,0.8715,2.5516,2.2581,False,blocked_pending_root_cause_anomaly_candidate_review,False,none
2026-08-23 06:52:52 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v2_anomaly_candidate_primary,variant_performance,including_unresolved_anomaly_candidates_primary,True,range23_highest_close_breakout,區間突破確認型,5,signal_d20_close,102175,14575,2201,2,2201,187.4372,5386,20260128,-49.3438,8932,20260121,12,0.7132,2.5911,1.9902,False,blocked_pending_root_cause_anomaly_candidate_review,False,none
2026-08-23 06:52:52 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v2_anomaly_candidate_primary,variant_performance,including_unresolved_anomaly_candidates_primary,True,range23_highest_close_breakout,區間突破確認型,5,confirmation_d20_close,102175,14575,2126,2,2126,220.603,5386,20260127,-54.3003,8042,20260626,15,0.8123,2.3796,2.261,False,blocked_pending_root_cause_anomaly_candidate_review,False,none
2026-08-23 06:52:52 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v2_anomaly_candidate_primary,variant_performance,including_unresolved_anomaly_candidates_primary,True,range23_highest_close_breakout,區間突破確認型,10,signal_d20_close,102175,14575,2333,1,2333,139.1048,6658,20260417,-52.1552,4989,20260630,9,0.53,2.3635,1.5977,False,blocked_pending_root_cause_anomaly_candidate_review,False,none
2026-08-23 06:52:52 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v2_anomaly_candidate_primary,variant_performance,including_unresolved_anomaly_candidates_primary,True,range23_highest_close_breakout,區間突破確認型,10,confirmation_d20_close,102175,14575,2176,1,2176,220.603,5386,20260127,-54.3003,8042,20260626,15,0.7828,2.2363,2.1852,False,blocked_pending_root_cause_anomaly_candidate_review,False,none
2026-08-23 06:52:52 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v2_anomaly_candidate_primary,variant_performance,including_unresolved_anomaly_candidates_primary,True,ma20_ema23_close_reclaim,均線站回確認型,3,signal_d20_close,102175,14575,4290,6,4290,222.7273,4414,20250611,-90.967,4763,20250609,21,0.4648,1.7498,1.2624,False,blocked_pending_root_cause_anomaly_candidate_review,False,none
