generated_at,model_id,migration_id,artifact_key,artifact_id,artifact_version,path,row_count,byte_sha256,canonical_semantic_sha256,append_only,production_change
2026-08-29 00:00:00 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_6177_trigger_asof_anomaly_attribution_repair_v1_20260829,source_event,revenue_unreacted_range_source_first_condition_qualifying_event_anomaly,source_first_qualifying_event_anomaly_v1_20260829,output/history/research/revenue_unreacted_range_source_first_condition_qualifying_event_anomaly_v1_20260829.csv,4799,c224819a9be801e6ca4fddf77a7ce8c8e015b66561da7e5b80280cf2d6f3c6c5,095588276defcb0a392fbcb01d28d9f257d339d9d8445021613106ce10985c48,True,False
2026-08-29 00:00:00 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_6177_trigger_asof_anomaly_attribution_repair_v1_20260829,rearmed_summary,revenue_unreacted_range_rearmed_operation_grid,rearmed_operation_grid_v3_20260829,output/history/research/revenue_unreacted_range_rearmed_operation_grid_v3_20260829.csv,64,30bf273b334d7b3ac985ede50fbb5aae7fd561256c09914696ecfe0be5c49a59,5da937edc0944b3590135fb10455e4824fe48dcfe6d0154ce3771186acc7cc76,True,False
2026-08-29 00:00:00 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_6177_trigger_asof_anomaly_attribution_repair_v1_20260829,rearmed_detail,revenue_unreacted_range_rearmed_operation_grid_detail,rearmed_operation_grid_v3_20260829,output/history/research/revenue_unreacted_range_rearmed_operation_grid_detail_v3_20260829.csv,41774,c6c806fa6a34e8b3f86641d8c320e7abdcd1b5eb7854bc3a592b72f1e2edd61d,06cd1104a7320d56e97971522243af5cc64e76e5aa0fee6993251d58a8dd81f5,True,False
2026-08-29 00:00:00 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_6177_trigger_asof_anomaly_attribution_repair_v1_20260829,rearmed_review,revenue_unreacted_range_rearmed_operation_grid_operation_return_review,rearmed_operation_grid_v3_20260829,output/history/research/revenue_unreacted_range_rearmed_operation_grid_operation_return_review_v3_20260829.csv,101,cb071663393cf8fb4bde58a3e74fb2911ef30b359b7b128b79ed9024c960bb27,27f73668b7927d5f93312bf79eb8f0bccfeacc348e53f4d0a19ac92fbeac81cd,True,False
2026-08-29 00:00:00 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_6177_trigger_asof_anomaly_attribution_repair_v1_20260829,operation_lag_summary,revenue_unreacted_range_operation_lag_bucket_audit,operation_lag_bucket_v3_20260829,output/history/research/revenue_unreacted_range_operation_lag_bucket_audit_v3_20260829.csv,32,93492022ba00ff2d9d98dea6d333921375126b74e9c6e145223626eb35be4aa9,4524f5b21a9ac17e4e93693c741639fb84210c0170a70c018a8abb3b3710e8cd,True,False
2026-08-29 00:00:00 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_6177_trigger_asof_anomaly_attribution_repair_v1_20260829,operation_lag_detail,revenue_unreacted_range_operation_lag_bucket_audit_detail,operation_lag_bucket_v3_20260829,output/history/research/revenue_unreacted_range_operation_lag_bucket_audit_detail_v3_20260829.csv,989,4497e9ae489040d459f558a30661d13eed7d2999e7bce44906ddf8d2523f72e2,8585b1e10acfe79217f4cd292b77f6ced0219a26372c5ddb6b8595a318fb70fa,True,False
2026-08-29 00:00:00 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_6177_trigger_asof_anomaly_attribution_repair_v1_20260829,position_shape_summary,revenue_unreacted_range_position_shape_transition_matrix,position_shape_transition_matrix_v3_20260829,output/history/research/revenue_unreacted_range_position_shape_transition_matrix_v3_20260829.csv,78,7e9720da6ad7085dacea984a66ae917ba62d692ef642b3c31482ed06a9e66cde,63f0543e2242083a330b9ea6d250fd6f63cd16992410a7e557d80b07e02073aa,True,False
2026-08-29 00:00:00 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_6177_trigger_asof_anomaly_attribution_repair_v1_20260829,position_shape_detail,revenue_unreacted_range_position_shape_transition_matrix_detail,position_shape_transition_matrix_v3_20260829,output/history/research/revenue_unreacted_range_position_shape_transition_matrix_detail_v3_20260829.csv,2967,91592e016e4f3dc2c495761215d7e146d57003793a3e0ff251f1a06f207e8743,93363829765fed4d880d4aadf735c651b9f3ffb15bd1da70d879d3dbe3a2c03b,True,False
2026-08-29 00:00:00 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_6177_trigger_asof_anomaly_attribution_repair_v1_20260829,position_shape_transition,revenue_unreacted_range_position_shape_transition_matrix_transition,position_shape_transition_matrix_v3_20260829,output/history/research/revenue_unreacted_range_position_shape_transition_matrix_transition_v3_20260829.csv,353,b70c5caf8e50677f58ae73bf35ecf56c5b288609321c9f9498bc76595f2d879e,26690529fb74407c4e1589aad089d71ee82d56018e5a33a6be83047f3ee0e057,True,False
2026-08-29 00:00:00 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_6177_trigger_asof_anomaly_attribution_repair_v1_20260829,low_mid_summary,revenue_unreacted_range_low_mid_falling_candidate_audit,low_mid_falling_candidate_v3_20260829,output/history/research/revenue_unreacted_range_low_mid_falling_candidate_audit_v3_20260829.csv,24,7830186063badbcafa6d80bf44f546dcf03d7ad5ee0068f352554e28f2608b64,b43bf4b560e0753402c99582f2a8077aff7bdcb47ec634c93da68c8d06c15cae,True,False
