research_id,artifact_version,advisory_status,model_id,source_event_key,duplicate_overlay_count,preferred_tdcc_list_type,stock_id,stock_name,signal_date,confirmation_date,exit_date,entry_date,return_pct,return_bucket,exit_reason,trigger_id,selected_trigger_id,classification_id,attack_method,price_position_type,consolidation_type,risk_type,candle_quality,follow_through_type,limit_up_like,volume_ratio,signal_return_1d_pct,signal_open,signal_high,signal_low,signal_close,previous_20d_high,previous_40d_high,previous_60d_high,previous_60d_low,breakout_over_prev20_pct,breakout_over_prev40_pct,breakout_over_prev60_pct,high_breakout_20d_met,high_breakout_40d_met,high_breakout_60d_met,range_width_20_pct,range_width_40_pct,range_width_60_pct,low_position_60_pct,off_60d_low_pct,position_in_60d_range_pct,anomaly_flag,approved_for_daily,production_readiness,generated_at
volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,3005|20250826|20250827|next_day_break_signal_high_confirmed|20250828|20250911|156.0|156.0,1,no_tdcc,3005,神基,20250826,20250827,20250911,20250828,0.0,middle_60pct,fixed_10d_close,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,high_position_breakout,volume_attack,high_position,long_consolidation,normal_risk,upper_shadow,next_day_continuation,False,3.1677,4.2857,141.5,150.0,141.5,146.0,141.5,141.5,141.5,110.0,3.1802,3.1802,3.1802,True,True,True,23.5808,28.6364,28.6364,114.2857,32.7273,114.2857,none,False,not_production_ready_research_only,2026-07-08 21:30:39 Asia/Taipei
volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,3005|20250903|20250909|pullback_5ma_confirmed|20250910|20250926|162.0|154.0,1,no_tdcc,3005,神基,20250903,20250909,20250926,20250910,-4.9383,middle_60pct,stop_signal_low,pullback_5ma_confirmed,pullback_5ma_confirmed,high_position_breakout,general_breakout,high_position,non_consolidation,high_position_chase,standard_candle,pullback_10ma,False,2.1597,6.7961,155.5,167.5,154.0,165.0,161.0,161.0,161.0,110.0,2.4845,2.4845,2.4845,True,True,True,40.6114,42.4779,46.3636,107.8431,50.0,107.8431,none,False,not_production_ready_research_only,2026-07-08 21:30:39 Asia/Taipei
volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,3005|20260302|20260306|pullback_5ma_confirmed|20260309|20260320|119.5|128.5,1,no_tdcc,3005,神基,20260302,20260306,20260320,20260309,7.5314,middle_60pct,fixed_10d_close,pullback_5ma_confirmed,pullback_5ma_confirmed,locked_limit_up_breakout,locked_limit_up,high_position,long_consolidation,high_position_chase,close_at_high,next_day_gap_fade,True,2.9089,9.7345,115.0,124.0,115.0,124.0,120.0,120.5,127.0,109.0,3.3333,2.9046,-2.3622,True,True,False,10.0917,10.5505,16.5138,83.3333,13.7615,83.3333,none,False,not_production_ready_research_only,2026-07-08 21:30:39 Asia/Taipei
volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,3006|20250905|20250910|pullback_5ma_confirmed|20250911|20250930|61.2|73.0,1,no_tdcc,3006,晶豪科,20250905,20250910,20250930,20250911,19.281,top_20pct,fixed_10d_close,pullback_5ma_confirmed,pullback_5ma_confirmed,locked_limit_up_breakout,locked_limit_up,high_position,short_consolidation,high_position_chase,close_at_high,pullback_5ma,True,4.081,9.8958,58.0,63.3,58.0,63.3,59.7,59.7,61.5,46.95,6.0302,6.0302,2.9268,True,True,True,15.251,27.1565,30.9904,112.3711,34.8243,112.3711,none,False,not_production_ready_research_only,2026-07-08 21:30:39 Asia/Taipei
volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,3006|20250917|20250918|next_day_break_signal_high_confirmed|20250919|20251003|72.9|82.5,1,no_tdcc,3006,晶豪科,20250917,20250918,20251003,20250919,13.1687,top_20pct,fixed_10d_close,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,locked_limit_up_breakout,locked_limit_up,high_position,non_consolidation,high_position_chase,close_at_high,next_day_continuation,True,3.1159,12.605,66.1,67.1,64.4,67.0,63.3,63.3,63.3,46.95,5.8452,5.8452,5.8452,True,True,True,21.4971,34.8243,34.8243,122.63,42.705,122.63,none,False,not_production_ready_research_only,2026-07-08 21:30:39 Asia/Taipei
volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,3006|20250918|20250919|next_day_break_signal_high_confirmed|20250922|20251007|73.9|86.7,1,no_tdcc,3006,晶豪科,20250918,20250919,20251007,20250922,17.3207,top_20pct,fixed_10d_close,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,high_position_breakout,volume_attack,high_position,non_consolidation,high_position_chase,explosive_long_red,pullback_10ma,False,8.0182,8.3582,68.5,73.7,68.1,72.6,67.1,67.1,67.1,46.95,8.1967,8.1967,8.1967,True,True,True,28.7908,42.918,42.918,127.2953,54.6326,127.2953,none,False,not_production_ready_research_only,2026-07-08 21:30:39 Asia/Taipei
volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,3006|20251027|20251029|pullback_5ma_confirmed|20251030|20251105|88.0|83.7,1,no_tdcc,3006,晶豪科,20251027,20251029,20251105,20251030,-4.8864,middle_60pct,stop_signal_low,pullback_5ma_confirmed,pullback_5ma_confirmed,locked_limit_up_breakout,locked_limit_up,high_position,non_consolidation,high_position_chase,false_breakout,pullback_10ma,True,2.0306,9.9282,88.4,91.9,86.1,91.9,90.0,90.0,90.0,46.95,2.1111,2.1111,2.1111,True,True,True,29.8701,72.7447,91.6933,104.4135,95.7401,104.4135,none,False,not_production_ready_research_only,2026-07-08 21:30:39 Asia/Taipei
volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,3006|20251223|20251224|next_day_break_signal_high_confirmed|20251226|20260109|98.2|136.0,1,no_tdcc,3006,晶豪科,20251223,20251224,20260109,20251226,38.4929,top_20pct,fixed_10d_close,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,low_position_breakout,general_breakout,low_position,short_consolidation,normal_risk,upper_shadow,next_day_continuation,False,2.6375,4.2806,85.7,89.5,85.0,87.7,85.0,102.5,102.5,69.3,3.1765,-14.439,-14.439,True,False,False,11.6951,34.6912,47.9076,55.4217,26.5512,55.4217,none,False,not_production_ready_research_only,2026-07-08 21:30:39 Asia/Taipei
volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,3006|20251224|20251226|next_day_break_signal_high_confirmed|20251229|20260112|104.5|146.0,1,no_tdcc,3006,晶豪科,20251224,20251226,20260112,20251229,39.7129,top_20pct,fixed_10d_close,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,locked_limit_up_breakout,locked_limit_up,high_position,short_consolidation,high_position_chase,close_at_high,next_day_continuation,True,4.7178,9.9202,89.3,96.4,87.5,96.4,89.5,102.5,102.5,69.3,7.7095,-5.9512,-5.9512,True,False,False,17.6084,34.6912,47.9076,81.6265,39.1053,81.6265,none,False,not_production_ready_research_only,2026-07-08 21:30:39 Asia/Taipei
volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,3006|20251231|20260102|next_day_break_signal_high_confirmed|20260105|20260116|141.0|154.5,1,no_tdcc,3006,晶豪科,20251231,20260102,20260116,20260105,9.5745,top_20pct,fixed_10d_close,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,locked_limit_up_breakout,locked_limit_up,high_position,non_consolidation,high_position_chase,close_at_high,next_day_continuation,True,3.0335,9.7674,115.0,118.0,114.5,118.0,107.5,107.5,107.5,71.5,9.7674,9.7674,9.7674,True,True,True,41.2615,41.2615,50.3497,129.1667,65.035,129.1667,none,False,not_production_ready_research_only,2026-07-08 21:30:39 Asia/Taipei
volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,3006|20260102|20260105|next_day_break_signal_high_confirmed|20260106|20260119|135.5|158.5,1,no_tdcc,3006,晶豪科,20260102,20260105,20260119,20260106,16.9742,top_20pct,fixed_10d_close,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,locked_limit_up_breakout,locked_limit_up,high_position,non_consolidation,high_position_chase,close_at_high,next_day_gap_fade,True,2.0546,9.7458,119.5,129.5,117.0,129.5,118.0,118.0,118.0,71.6,9.7458,9.7458,9.7458,True,True,True,53.8462,55.0591,64.8045,124.7845,80.8659,124.7845,none,False,not_production_ready_research_only,2026-07-08 21:30:39 Asia/Taipei
volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,3006|20260129|20260130|next_day_break_signal_high_confirmed|20260202|20260206|195.0|162.0,1,no_tdcc,3006,晶豪科,20260129,20260130,20260206,20260202,-16.9231,bottom_20pct,stop_signal_low,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,high_position_breakout,volume_attack,high_position,non_consolidation,high_position_chase,explosive_long_red,next_day_continuation,False,3.1714,6.9277,174.5,180.0,162.0,177.5,167.5,167.5,167.5,76.1,5.9701,5.9701,5.9701,True,True,True,46.2882,120.1051,120.1051,110.9409,133.2457,110.9409,none,False,not_production_ready_research_only,2026-07-08 21:30:39 Asia/Taipei
volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,3006|20260317|20260318|next_day_break_signal_high_confirmed|20260319|20260323|200.5|176.5,1,no_tdcc,3006,晶豪科,20260317,20260318,20260323,20260319,-11.9701,bottom_20pct,stop_signal_low,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,locked_limit_up_breakout,locked_limit_up,high_position,non_consolidation,breakout_failure,close_at_high,break_signal_low,True,2.1861,9.887,190.0,194.5,187.5,194.5,177.0,196.5,196.5,77.4,9.887,-1.0178,-1.0178,True,False,False,34.0909,48.8636,153.876,98.3207,151.292,98.3207,none,False,not_production_ready_research_only,2026-07-08 21:30:39 Asia/Taipei
volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,3006|20260318|20260319|next_day_break_signal_high_confirmed|20260320|20260320|219.0|197.5,1,no_tdcc,3006,晶豪科,20260318,20260319,20260320,20260320,-9.8174,bottom_20pct,stop_signal_low,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,locked_limit_up_breakout,locked_limit_up,high_position,non_consolidation,breakout_failure,close_at_high,break_signal_low,True,2.3287,9.7686,203.5,213.5,197.5,213.5,194.5,196.5,196.5,77.4,9.7686,8.6514,8.6514,True,True,True,47.3485,48.8636,153.876,114.2737,175.8398,114.2737,none,False,not_production_ready_research_only,2026-07-08 21:30:39 Asia/Taipei
