date,stock_id,stock_name,market,close,volume,start_5d_avg_volume_ratio_vs_prev20,start_day_volume_ratio_vs_prev20,return_5d_pct,return_10d_pct,return_20d_pct,rsi14,macd_hist,tdcc_available,tdcc_all_thresholds_up,tdcc_high_thresholds_up,tdcc_high_up_streak,derived_market_regime,market_abnormal_status,market_abnormal_risk_level,is_disposition,is_attention,is_periodic_trading,disposition_period,execution_risk_note,matched_rules,best_d5_rule,best_d5_hit_rate_pct,best_d10_rule,best_d10_hit_rate_pct,best_d10_selected_stock_days,best_d20_rule,best_d20_hit_rate_pct,model_effect_allowed,core_weight_change_allowed,research_caveat,research_priority
20260703,4989,榮科,TWSE,110.5,44984524.0,2.34,6.0,34.1,29.24,19.59,73.99,2.4256,True,True,True,2.0,mild_bull,normal,A_normal,False,False,False,,,day_vol_ge_2 + market_bull + tdcc_high_up + bb_width_not_extreme + return_10d_20_50; day_vol_ge_2 + tdcc_high_up + bb_width_not_extreme + return_10d_20_50; vol5_avg_ge_1_5 + market_bull + tdcc_high_up + bb_width_not_extreme + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + rsi_50_75 + return_10d_20_50; day_vol_ge_2 + tdcc_all_up + bb_width_not_extreme + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + bb_width_not_extreme + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + kd_bullish_not_overheated + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + macd_hist_pos + kd_bullish_not_overheated + return_10d_20_50,vol5_avg_ge_2 + tdcc_high_streak2 + bb_width_not_extreme + return_20d_10_60,43.56,day_vol_ge_2 + market_bull + tdcc_high_up + bb_width_not_extreme + return_10d_20_50,55.14,107.0,vol5_avg_ge_1_5 + kd_bullish_not_overheated + bb_width_not_extreme + return_10d_20_50,63.91,False,False,strict_no_latest_theme_label; research_only; entry_basis_D+1_open; target_next_open_to_high_10pct; disposition_history_not_backfilled,B_strict_research_confirm
20260703,2231,為升,TWSE,118.5,5817603.0,4.01,8.14,34.35,27.56,16.18,80.84,3.2457,True,False,True,1.0,mild_bull,normal,A_normal,False,False,False,,,day_vol_ge_2 + market_bull + tdcc_high_up + bb_width_not_extreme + return_10d_20_50; day_vol_ge_2 + tdcc_high_up + bb_width_not_extreme + return_10d_20_50; vol5_avg_ge_1_5 + market_bull + tdcc_high_up + bb_width_not_extreme + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + bb_width_not_extreme + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + kd_bullish_not_overheated + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + macd_hist_pos + kd_bullish_not_overheated + return_10d_20_50; vol5_avg_ge_2 + tdcc_high_up + kd_bullish_not_overheated + return_10d_20_50; vol5_avg_ge_2 + tdcc_high_up + macd_hist_pos + kd_bullish_not_overheated + return_10d_20_50,day_vol_ge_2 + tdcc_high_up + bb_width_not_extreme + return_10d_20_50,41.13,day_vol_ge_2 + market_bull + tdcc_high_up + bb_width_not_extreme + return_10d_20_50,55.14,107.0,vol5_avg_ge_1_5 + kd_bullish_not_overheated + bb_width_not_extreme + return_10d_20_50,63.91,False,False,strict_no_latest_theme_label; research_only; entry_basis_D+1_open; target_next_open_to_high_10pct; disposition_history_not_backfilled,B_strict_research_confirm
20260703,3349,寶德,TPEx,22.0,477000.0,2.28,3.23,21.88,20.55,23.94,91.95,0.5287,True,True,True,1.0,mild_bull,normal,A_normal,False,False,False,,,day_vol_ge_2 + market_bull + tdcc_high_up + bb_width_not_extreme + return_10d_20_50; day_vol_ge_2 + tdcc_high_up + bb_width_not_extreme + return_10d_20_50; vol5_avg_ge_1_5 + market_bull + tdcc_high_up + bb_width_not_extreme + return_10d_20_50; day_vol_ge_2 + tdcc_all_up + bb_width_not_extreme + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + bb_width_not_extreme + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_all_up + bb_width_not_extreme + return_10d_20_50; vol5_avg_ge_2 + tdcc_high_up + bb_width_not_extreme + return_20d_10_60; vol5_avg_ge_1_5 + tdcc_high_up + close_above_ema23 + return_10d_20_50,day_vol_ge_2 + tdcc_high_up + bb_width_not_extreme + return_10d_20_50,41.13,day_vol_ge_2 + market_bull + tdcc_high_up + bb_width_not_extreme + return_10d_20_50,55.14,107.0,vol5_avg_ge_1_5 + market_bull + bb_width_not_extreme + return_10d_20_50,63.68,False,False,strict_no_latest_theme_label; research_only; entry_basis_D+1_open; target_next_open_to_high_10pct; disposition_history_not_backfilled,B_strict_research_confirm
20260703,6435,大中,TPEx,382.0,5171000.0,2.57,3.99,15.06,20.31,31.95,73.63,4.2969,True,False,True,1.0,mild_bull,normal,A_normal,False,False,False,,,vol5_avg_ge_1_5 + tdcc_high_up + rsi_50_75 + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + kd_bullish_not_overheated + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + macd_hist_pos + kd_bullish_not_overheated + return_10d_20_50; day_vol_ge_2 + tdcc_high_up + rsi_50_75 + return_10d_20_50; vol5_avg_ge_1_5 + market_bull + tdcc_high_up + rsi_50_75 + return_10d_20_50; vol5_avg_ge_2 + tdcc_high_up + rsi_50_75 + return_10d_20_50; vol5_avg_ge_2 + tdcc_high_up + macd_hist_pos + kd_bullish_not_overheated + return_10d_20_50; vol5_avg_ge_2 + tdcc_high_up + kd_bullish_not_overheated + return_10d_20_50,day_vol_ge_2 + tdcc_high_up + rsi_50_75 + return_10d_20_50,39.92,vol5_avg_ge_1_5 + tdcc_high_up + rsi_50_75 + return_10d_20_50,54.0,437.0,vol5_avg_ge_2 + tdcc_high_up + kd_bullish_not_overheated + return_10d_20_50,63.85,False,False,strict_no_latest_theme_label; research_only; entry_basis_D+1_open; target_next_open_to_high_10pct; disposition_history_not_backfilled,B_strict_research_confirm
20260703,4924,欣厚-KY,TPEx,13.95,266000.0,1.81,1.51,7.72,22.37,10.71,60.71,0.1058,True,True,True,5.0,mild_bull,normal,A_normal,False,False,False,,,vol5_avg_ge_1_5 + tdcc_high_up + rsi_50_75 + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + macd_hist_pos + kd_bullish_not_overheated + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + kd_bullish_not_overheated + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_streak2 + rsi_50_75 + return_10d_20_50; vol5_avg_ge_1_5 + market_bull + tdcc_high_up + rsi_50_75 + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_all_up + rsi_50_75 + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + close_above_ema23 + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + return_10d_20_50,vol5_avg_ge_1_5 + tdcc_high_streak2 + close_above_ema23 + return_10d_20_50,39.35,vol5_avg_ge_1_5 + tdcc_high_up + rsi_50_75 + return_10d_20_50,54.0,437.0,vol5_avg_ge_1_5 + market_bull + rsi_50_75 + return_10d_20_50,62.45,False,False,strict_no_latest_theme_label; research_only; entry_basis_D+1_open; target_next_open_to_high_10pct; disposition_history_not_backfilled,B_strict_research_confirm
20260703,3360,尚立,TPEx,20.4,3676000.0,1.8,0.76,6.81,25.54,37.37,67.42,0.385,True,True,True,1.0,mild_bull,normal,A_normal,False,False,False,,,vol5_avg_ge_1_5 + tdcc_high_up + rsi_50_75 + return_10d_20_50; vol5_avg_ge_1_5 + market_bull + tdcc_high_up + rsi_50_75 + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_all_up + rsi_50_75 + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + close_above_ema23 + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + macd_hist_pos + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + return_10d_20_50; vol5_avg_ge_1_5 + market_bull + tdcc_all_up + rsi_50_75 + return_10d_20_50; vol5_avg_ge_1_5 + market_bull + rsi_50_75 + return_10d_20_50,vol5_avg_ge_1_5 + tdcc_all_up + rsi_50_75 + return_10d_20_50,38.01,vol5_avg_ge_1_5 + tdcc_high_up + rsi_50_75 + return_10d_20_50,54.0,437.0,vol5_avg_ge_1_5 + market_bull + rsi_50_75 + return_10d_20_50,62.45,False,False,strict_no_latest_theme_label; research_only; entry_basis_D+1_open; target_next_open_to_high_10pct; disposition_history_not_backfilled,B_strict_research_confirm
20260703,2634,漢翔,TWSE,60.0,45980427.0,3.39,3.56,21.95,27.12,28.89,80.24,1.1574,True,True,True,3.0,mild_bull,normal,A_normal,False,False,False,,,vol5_avg_ge_1_5 + tdcc_high_up + kd_bullish_not_overheated + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + macd_hist_pos + kd_bullish_not_overheated + return_10d_20_50; vol5_avg_ge_2 + tdcc_high_up + kd_bullish_not_overheated + return_10d_20_50; vol5_avg_ge_2 + tdcc_high_up + macd_hist_pos + kd_bullish_not_overheated + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + close_above_ema23 + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + macd_hist_pos + return_10d_20_50; vol5_avg_ge_1_5 + market_bull + tdcc_high_up + kd_bullish_not_overheated + return_10d_20_50,vol5_avg_ge_1_5 + tdcc_high_streak2 + close_above_ema23 + return_10d_20_50,39.35,vol5_avg_ge_1_5 + tdcc_high_up + kd_bullish_not_overheated + return_10d_20_50,52.65,226.0,vol5_avg_ge_2 + tdcc_high_up + kd_bullish_not_overheated + return_10d_20_50,63.85,False,False,strict_no_latest_theme_label; research_only; entry_basis_D+1_open; target_next_open_to_high_10pct; disposition_history_not_backfilled,B_strict_research_confirm
20260703,6753,龍德造船,TWSE,154.0,4997277.0,3.21,3.26,26.75,26.75,24.19,80.91,3.3727,True,True,True,3.0,mild_bull,normal,A_normal,False,False,False,,,vol5_avg_ge_1_5 + tdcc_high_up + kd_bullish_not_overheated + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + macd_hist_pos + kd_bullish_not_overheated + return_10d_20_50; vol5_avg_ge_2 + tdcc_high_up + kd_bullish_not_overheated + return_10d_20_50; vol5_avg_ge_2 + tdcc_high_up + macd_hist_pos + kd_bullish_not_overheated + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + close_above_ema23 + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + macd_hist_pos + return_10d_20_50; vol5_avg_ge_1_5 + market_bull + tdcc_high_up + kd_bullish_not_overheated + return_10d_20_50,vol5_avg_ge_1_5 + tdcc_high_streak2 + close_above_ema23 + return_10d_20_50,39.35,vol5_avg_ge_1_5 + tdcc_high_up + kd_bullish_not_overheated + return_10d_20_50,52.65,226.0,vol5_avg_ge_2 + tdcc_high_up + kd_bullish_not_overheated + return_10d_20_50,63.85,False,False,strict_no_latest_theme_label; research_only; entry_basis_D+1_open; target_next_open_to_high_10pct; disposition_history_not_backfilled,B_strict_research_confirm
20260703,5371,中光電,TPEx,93.1,39894000.0,3.35,3.54,29.49,33.0,23.8,76.2,2.1205,True,True,True,1.0,mild_bull,normal,A_normal,False,False,False,,,vol5_avg_ge_1_5 + tdcc_high_up + kd_bullish_not_overheated + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + macd_hist_pos + kd_bullish_not_overheated + return_10d_20_50; vol5_avg_ge_2 + tdcc_high_up + kd_bullish_not_overheated + return_10d_20_50; vol5_avg_ge_2 + tdcc_high_up + macd_hist_pos + kd_bullish_not_overheated + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + close_above_ema23 + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + macd_hist_pos + return_10d_20_50; vol5_avg_ge_1_5 + market_bull + tdcc_high_up + kd_bullish_not_overheated + return_10d_20_50,vol5_avg_ge_1_5 + tdcc_all_up + kd_bullish_not_overheated + return_10d_20_50,37.97,vol5_avg_ge_1_5 + tdcc_high_up + kd_bullish_not_overheated + return_10d_20_50,52.65,226.0,vol5_avg_ge_2 + tdcc_high_up + kd_bullish_not_overheated + return_10d_20_50,63.85,False,False,strict_no_latest_theme_label; research_only; entry_basis_D+1_open; target_next_open_to_high_10pct; disposition_history_not_backfilled,B_strict_research_confirm
20260703,6164,華興,TWSE,17.4,3883618.0,1.86,3.01,37.55,30.34,33.85,79.11,0.3575,True,True,True,1.0,mild_bull,normal,A_normal,False,False,False,,,vol5_avg_ge_1_5 + tdcc_high_up + macd_hist_pos + kd_bullish_not_overheated + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + kd_bullish_not_overheated + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + close_above_ema23 + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + macd_hist_pos + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + return_10d_20_50; vol5_avg_ge_1_5 + market_bull + tdcc_high_up + kd_bullish_not_overheated + return_10d_20_50; day_vol_ge_2 + tdcc_high_up + macd_hist_pos + kd_bullish_not_overheated + return_10d_20_50; day_vol_ge_2 + tdcc_high_up + kd_bullish_not_overheated + return_10d_20_50,vol5_avg_ge_1_5 + tdcc_all_up + kd_bullish_not_overheated + return_10d_20_50,37.97,vol5_avg_ge_1_5 + tdcc_high_up + kd_bullish_not_overheated + return_10d_20_50,52.65,226.0,vol5_avg_ge_1_5 + tdcc_high_up + kd_bullish_not_overheated + return_10d_20_50,62.39,False,False,strict_no_latest_theme_label; research_only; entry_basis_D+1_open; target_next_open_to_high_10pct; disposition_history_not_backfilled,B_strict_research_confirm
