research_id,research_variant_id,parameter_set_id,advisory_status,diagnostic_scope_id,selected_exit_rule_comparison_id,diagnostic_flag,loss_event_count,success_or_neutral_event_count,total_event_count,loss_share_with_flag_pct,approved_for_daily,production_readiness,generated_at
structured_neckline_selected_exit_loss_diagnostics,warning_research_variant_only,structured_neckline_selected_exit_loss_diagnostics_20260629,warning_research_variant_only,selected_close_based_exit_loss_to_loss_diagnostics,tp10_close_with_5pct_pullback_neutral,below_success_p25_selected_mfe_pct,5,5,10,50.0000,false,not_production_ready_research_only,2026-06-29 01:00:59 Asia/Taipei
structured_neckline_selected_exit_loss_diagnostics,warning_research_variant_only,structured_neckline_selected_exit_loss_diagnostics_20260629,warning_research_variant_only,selected_close_based_exit_loss_to_loss_diagnostics,tp10_close_with_5pct_pullback_neutral,large_adverse_move_mae_below_minus10pct,4,2,6,66.6667,false,not_production_ready_research_only,2026-06-29 01:00:59 Asia/Taipei
structured_neckline_selected_exit_loss_diagnostics,warning_research_variant_only,structured_neckline_selected_exit_loss_diagnostics_20260629,warning_research_variant_only,selected_close_based_exit_loss_to_loss_diagnostics,tp10_close_with_5pct_pullback_neutral,below_success_p25_selected_mae_pct,4,5,9,44.4444,false,not_production_ready_research_only,2026-06-29 01:00:59 Asia/Taipei
structured_neckline_selected_exit_loss_diagnostics,warning_research_variant_only,structured_neckline_selected_exit_loss_diagnostics_20260629,warning_research_variant_only,selected_close_based_exit_loss_to_loss_diagnostics,tp10_close_with_5pct_pullback_neutral,wide_base_over_20pct,4,11,15,26.6667,false,not_production_ready_research_only,2026-06-29 01:00:59 Asia/Taipei
structured_neckline_selected_exit_loss_diagnostics,warning_research_variant_only,structured_neckline_selected_exit_loss_diagnostics_20260629,warning_research_variant_only,selected_close_based_exit_loss_to_loss_diagnostics,tp10_close_with_5pct_pullback_neutral,below_success_p25_base_age_sessions,3,5,8,37.5000,false,not_production_ready_research_only,2026-06-29 01:00:59 Asia/Taipei
structured_neckline_selected_exit_loss_diagnostics,warning_research_variant_only,structured_neckline_selected_exit_loss_diagnostics_20260629,warning_research_variant_only,selected_close_based_exit_loss_to_loss_diagnostics,tp10_close_with_5pct_pullback_neutral,below_success_p25_support_pair_span_sessions,3,5,8,37.5000,false,not_production_ready_research_only,2026-06-29 01:00:59 Asia/Taipei
structured_neckline_selected_exit_loss_diagnostics,warning_research_variant_only,structured_neckline_selected_exit_loss_diagnostics_20260629,warning_research_variant_only,selected_close_based_exit_loss_to_loss_diagnostics,tp10_close_with_5pct_pullback_neutral,near_upper_low_position_band_over_50pct,3,6,9,33.3333,false,not_production_ready_research_only,2026-06-29 01:00:59 Asia/Taipei
structured_neckline_selected_exit_loss_diagnostics,warning_research_variant_only,structured_neckline_selected_exit_loss_diagnostics_20260629,warning_research_variant_only,selected_close_based_exit_loss_to_loss_diagnostics,tp10_close_with_5pct_pullback_neutral,wide_pre_signal_range_over_60pct,3,7,10,30.0000,false,not_production_ready_research_only,2026-06-29 01:00:59 Asia/Taipei
structured_neckline_selected_exit_loss_diagnostics,warning_research_variant_only,structured_neckline_selected_exit_loss_diagnostics_20260629,warning_research_variant_only,selected_close_based_exit_loss_to_loss_diagnostics,tp10_close_with_5pct_pullback_neutral,neckline_anchor_very_recent_le1_session,3,8,11,27.2727,false,not_production_ready_research_only,2026-06-29 01:00:59 Asia/Taipei
structured_neckline_selected_exit_loss_diagnostics,warning_research_variant_only,structured_neckline_selected_exit_loss_diagnostics_20260629,warning_research_variant_only,selected_close_based_exit_loss_to_loss_diagnostics,tp10_close_with_5pct_pullback_neutral,large_pre_signal_runup_over_50pct,2,2,4,50.0000,false,not_production_ready_research_only,2026-06-29 01:00:59 Asia/Taipei
structured_neckline_selected_exit_loss_diagnostics,warning_research_variant_only,structured_neckline_selected_exit_loss_diagnostics_20260629,warning_research_variant_only,selected_close_based_exit_loss_to_loss_diagnostics,tp10_close_with_5pct_pullback_neutral,above_success_p75_low_position_120_pct,2,5,7,28.5714,false,not_production_ready_research_only,2026-06-29 01:00:59 Asia/Taipei
structured_neckline_selected_exit_loss_diagnostics,warning_research_variant_only,structured_neckline_selected_exit_loss_diagnostics_20260629,warning_research_variant_only,selected_close_based_exit_loss_to_loss_diagnostics,tp10_close_with_5pct_pullback_neutral,above_success_p75_visual_pre_signal_return_pct,2,5,7,28.5714,false,not_production_ready_research_only,2026-06-29 01:00:59 Asia/Taipei
structured_neckline_selected_exit_loss_diagnostics,warning_research_variant_only,structured_neckline_selected_exit_loss_diagnostics_20260629,warning_research_variant_only,selected_close_based_exit_loss_to_loss_diagnostics,tp10_close_with_5pct_pullback_neutral,below_success_p25_visual_pre_signal_return_pct,2,5,7,28.5714,false,not_production_ready_research_only,2026-06-29 01:00:59 Asia/Taipei
structured_neckline_selected_exit_loss_diagnostics,warning_research_variant_only,structured_neckline_selected_exit_loss_diagnostics_20260629,warning_research_variant_only,selected_close_based_exit_loss_to_loss_diagnostics,tp10_close_with_5pct_pullback_neutral,older_base_age_over_55_sessions,2,7,9,22.2222,false,not_production_ready_research_only,2026-06-29 01:00:59 Asia/Taipei
structured_neckline_selected_exit_loss_diagnostics,warning_research_variant_only,structured_neckline_selected_exit_loss_diagnostics_20260629,warning_research_variant_only,selected_close_based_exit_loss_to_loss_diagnostics,tp10_close_with_5pct_pullback_neutral,wide_support_pair_span_over_25_sessions,2,9,11,18.1818,false,not_production_ready_research_only,2026-06-29 01:00:59 Asia/Taipei
structured_neckline_selected_exit_loss_diagnostics,warning_research_variant_only,structured_neckline_selected_exit_loss_diagnostics_20260629,warning_research_variant_only,selected_close_based_exit_loss_to_loss_diagnostics,tp10_close_with_5pct_pullback_neutral,weak_follow_through_mfe_below_5pct,2,0,2,100.0000,false,not_production_ready_research_only,2026-06-29 01:00:59 Asia/Taipei
structured_neckline_selected_exit_loss_diagnostics,warning_research_variant_only,structured_neckline_selected_exit_loss_diagnostics_20260629,warning_research_variant_only,selected_close_based_exit_loss_to_loss_diagnostics,tp10_close_with_5pct_pullback_neutral,above_success_p75_base_age_sessions,1,5,6,16.6667,false,not_production_ready_research_only,2026-06-29 01:00:59 Asia/Taipei
structured_neckline_selected_exit_loss_diagnostics,warning_research_variant_only,structured_neckline_selected_exit_loss_diagnostics_20260629,warning_research_variant_only,selected_close_based_exit_loss_to_loss_diagnostics,tp10_close_with_5pct_pullback_neutral,above_success_p75_visual_pre_signal_range_pct,1,5,6,16.6667,false,not_production_ready_research_only,2026-06-29 01:00:59 Asia/Taipei
structured_neckline_selected_exit_loss_diagnostics,warning_research_variant_only,structured_neckline_selected_exit_loss_diagnostics_20260629,warning_research_variant_only,selected_close_based_exit_loss_to_loss_diagnostics,tp10_close_with_5pct_pullback_neutral,above_success_p75_base_width_pct,0,5,5,0.0000,false,not_production_ready_research_only,2026-06-29 01:00:59 Asia/Taipei
structured_neckline_selected_exit_loss_diagnostics,warning_research_variant_only,structured_neckline_selected_exit_loss_diagnostics_20260629,warning_research_variant_only,selected_close_based_exit_loss_to_loss_diagnostics,tp10_close_with_5pct_pullback_neutral,above_success_p75_neckline_anchor_age_sessions,0,5,5,0.0000,false,not_production_ready_research_only,2026-06-29 01:00:59 Asia/Taipei
