model_id,confirmation_model_id,research_id,source_research_id,research_variant_id,parameter_set_id,advisory_status,source_audit_scope,case_review_tag,manual_case_id,stock_id,stock_name,signal_date,source_pattern_family,rule_id,rule_window_days,selector_method,baseline_current_left_peak_date,human_left_peak_date,left_low_date,neckline_date,right_low_date,candidate_left_peak_date,candidate_left_peak_price,candidate_days_before_left_low,candidate_drop_to_left_low_pct,candidate_left_descent_wrong_direction_rate_pct,candidate_anchor_delta_vs_current_days,candidate_anchor_delta_vs_human_days,candidate_matches_current_left_peak,candidate_matches_human_left_peak,candidate_anchor_changed_from_current,candidate_inside_current_45d_window,candidate_selection_status,candidate_selection_reason,transition_status,slope_curvature_category,price_level_bucket,anchor_issue_type,recommended_next_research_action,manual_review_status,approved_for_daily,production_readiness,generated_at
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_left_anchor_rule_grid,w_bottom_left_anchor_pattern_family_audit,warning_research_variant_only,w_bottom_left_anchor_rule_grid_20260625,warning_research_variant_only,current_model_candidate,,,1102,亞泥,20260105,standard_double_bottom_w,current_detector_left_peak,45,current_detector_output,20251001,,20251105,20251203,20251230,20251001,38.25,20,-8.4967,40.0,0,,true,false,false,true,selected,selected_current_detector_left_peak,observation_support_failed,smooth_rounded_w_like,bottom_quartile_level,no_anchor_issue_detected,no_immediate_anchor_action,pending_research_review,false,not_production_ready_research_only,2026-06-25 14:00:38 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_left_anchor_rule_grid,w_bottom_left_anchor_pattern_family_audit,warning_research_variant_only,w_bottom_left_anchor_rule_grid_20260625,warning_research_variant_only,current_model_candidate,,,1102,亞泥,20260105,standard_double_bottom_w,highest_high_45d_before_left_low,45,highest_high_before_left_low,20251001,,20251105,20251203,20251230,20250821,38.6,44,-9.3264,38.6364,-24,,false,false,true,true,selected,selected_highest_high_in_45d_window,observation_support_failed,smooth_rounded_w_like,bottom_quartile_level,no_anchor_issue_detected,no_immediate_anchor_action,pending_research_review,false,not_production_ready_research_only,2026-06-25 14:00:38 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_left_anchor_rule_grid,w_bottom_left_anchor_pattern_family_audit,warning_research_variant_only,w_bottom_left_anchor_rule_grid_20260625,warning_research_variant_only,current_model_candidate,,,1102,亞泥,20260105,standard_double_bottom_w,highest_high_90d_before_left_low,90,highest_high_before_left_low,20251001,,20251105,20251203,20251230,20250704,44.2,78,-20.8145,38.4615,-58,,false,false,true,false,selected,selected_highest_high_in_90d_window,observation_support_failed,smooth_rounded_w_like,bottom_quartile_level,no_anchor_issue_detected,no_immediate_anchor_action,pending_research_review,false,not_production_ready_research_only,2026-06-25 14:00:38 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_left_anchor_rule_grid,w_bottom_left_anchor_pattern_family_audit,warning_research_variant_only,w_bottom_left_anchor_rule_grid_20260625,warning_research_variant_only,current_model_candidate,,,1102,亞泥,20260105,standard_double_bottom_w,nearest_micro_pressure_45d_min15_before_left_low,45,nearest_micro_pressure_before_left_low,20251001,,20251105,20251203,20251230,,,,,,,,false,false,false,false,not_selected,no_micro_peak_with_min_15pct_drop_and_min_8d_left_leg,observation_support_failed,smooth_rounded_w_like,bottom_quartile_level,no_anchor_issue_detected,no_immediate_anchor_action,pending_research_review,false,not_production_ready_research_only,2026-06-25 14:00:38 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_left_anchor_rule_grid,w_bottom_left_anchor_pattern_family_audit,warning_research_variant_only,w_bottom_left_anchor_rule_grid_20260625,warning_research_variant_only,current_model_candidate,,,1102,亞泥,20260105,standard_double_bottom_w,nearest_micro_pressure_90d_min15_before_left_low,90,nearest_micro_pressure_before_left_low,20251001,,20251105,20251203,20251230,20250807,40.45,54,-13.4734,35.1852,-34,,false,false,true,false,selected,selected_nearest_micro_peak_with_min_15pct_drop_and_min_8d_left_leg,observation_support_failed,smooth_rounded_w_like,bottom_quartile_level,no_anchor_issue_detected,no_immediate_anchor_action,pending_research_review,false,not_production_ready_research_only,2026-06-25 14:00:38 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_left_anchor_rule_grid,w_bottom_left_anchor_pattern_family_audit,warning_research_variant_only,w_bottom_left_anchor_rule_grid_20260625,warning_research_variant_only,current_model_candidate,,,2033,佳大,20260105,standard_double_bottom_w,current_detector_left_peak,45,current_detector_output,20250725,,20250801,20251001,20251105,20250725,16.05,5,-7.7882,20.0,0,,true,false,false,true,selected,selected_current_detector_left_peak,observation_no_confirmation,wv_multiple_turn_risk,bottom_quartile_level,higher_pre_left_low_peak_outside_45d_window,review_left_anchor_window_or_structural_start_rule,pending_research_review,false,not_production_ready_research_only,2026-06-25 14:00:38 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_left_anchor_rule_grid,w_bottom_left_anchor_pattern_family_audit,warning_research_variant_only,w_bottom_left_anchor_rule_grid_20260625,warning_research_variant_only,current_model_candidate,,,2033,佳大,20260105,standard_double_bottom_w,highest_high_45d_before_left_low,45,highest_high_before_left_low,20250725,,20250801,20251001,20251105,20250612,18.45,36,-19.7832,38.8889,-31,,false,false,true,true,selected,selected_highest_high_in_45d_window,observation_no_confirmation,wv_multiple_turn_risk,bottom_quartile_level,higher_pre_left_low_peak_outside_45d_window,review_left_anchor_window_or_structural_start_rule,pending_research_review,false,not_production_ready_research_only,2026-06-25 14:00:38 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_left_anchor_rule_grid,w_bottom_left_anchor_pattern_family_audit,warning_research_variant_only,w_bottom_left_anchor_rule_grid_20260625,warning_research_variant_only,current_model_candidate,,,2033,佳大,20260105,standard_double_bottom_w,highest_high_90d_before_left_low,90,highest_high_before_left_low,20250725,,20250801,20251001,20251105,20250523,20.15,49,-26.5509,40.8163,-44,,false,false,true,false,selected,selected_highest_high_in_90d_window,observation_no_confirmation,wv_multiple_turn_risk,bottom_quartile_level,higher_pre_left_low_peak_outside_45d_window,review_left_anchor_window_or_structural_start_rule,pending_research_review,false,not_production_ready_research_only,2026-06-25 14:00:38 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_left_anchor_rule_grid,w_bottom_left_anchor_pattern_family_audit,warning_research_variant_only,w_bottom_left_anchor_rule_grid_20260625,warning_research_variant_only,current_model_candidate,,,2033,佳大,20260105,standard_double_bottom_w,nearest_micro_pressure_45d_min15_before_left_low,45,nearest_micro_pressure_before_left_low,20250725,,20250801,20251001,20251105,20250624,17.9,28,-17.3184,42.8571,-23,,false,false,true,true,selected,selected_nearest_micro_peak_with_min_15pct_drop_and_min_8d_left_leg,observation_no_confirmation,wv_multiple_turn_risk,bottom_quartile_level,higher_pre_left_low_peak_outside_45d_window,review_left_anchor_window_or_structural_start_rule,pending_research_review,false,not_production_ready_research_only,2026-06-25 14:00:38 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_left_anchor_rule_grid,w_bottom_left_anchor_pattern_family_audit,warning_research_variant_only,w_bottom_left_anchor_rule_grid_20260625,warning_research_variant_only,current_model_candidate,,,2033,佳大,20260105,standard_double_bottom_w,nearest_micro_pressure_90d_min15_before_left_low,90,nearest_micro_pressure_before_left_low,20250725,,20250801,20251001,20251105,20250624,17.9,28,-17.3184,42.8571,-23,,false,false,true,true,selected,selected_nearest_micro_peak_with_min_15pct_drop_and_min_8d_left_leg,observation_no_confirmation,wv_multiple_turn_risk,bottom_quartile_level,higher_pre_left_low_peak_outside_45d_window,review_left_anchor_window_or_structural_start_rule,pending_research_review,false,not_production_ready_research_only,2026-06-25 14:00:38 Asia/Taipei
