generated_at,model_id,model_name_zh,research_artifact_id,artifact_version,source_timing_artifact_id,anomaly_exclusion_basis,decision_basis,sensitivity_basis,feature_time_basis,feature_time_basis_zh,feature_information_cutoff,candidate_confirmation_rule_id,pending_window_days,exit_clock_id,entry_rule_id,stop_rule_id,win_definition,neutral_definition,failure_definition,high_return_definition,monthly_revenue_scope,financial_statement_scope,financial_statement_fields_excluded,same_stock_non_overlap_applied,same_stock_overlap_pair_count,same_stock_revenue_period_repeat_count,timing_expected_accepted_trade_count,timing_accepted_trade_count_parity_status,anomaly_interpretation_status,feature_context_revenue_anomaly_candidate_count,feature_context_candidate_values_retained_in_feature_evidence,sample_count_context,combination_policy,approved_for_daily,production_change,promotion_readiness,row_type,feature_order,feature_id,feature_family,feature_rule,feature_column,feature_observed_column,feature_independence_status,equivalent_to_feature_id,feature_observed_count,feature_coverage_pct,feature_hit_count,evidence_interpretation,accepted_trade_count,win_count,neutral_count,failure_count,win_rate_pct,neutral_rate_pct,failure_rate_pct,avg_realized_return_pct,median_realized_return_pct,high_return_8_count,high_return_8_rate_pct,loss_5_count,loss_5_rate_pct,feature_hit_rate_within_observed_pct,high_return_group_count,high_return_feature_observed_count,high_return_feature_hit_count,high_return_feature_hit_rate_pct,high_return_feature_hit_rate_within_observed_pct,win_group_count,win_feature_observed_count,win_feature_hit_count,win_feature_hit_rate_pct,win_feature_hit_rate_within_observed_pct,failure_group_count,failure_feature_observed_count,failure_feature_hit_count,failure_feature_hit_rate_pct,failure_feature_hit_rate_within_observed_pct,high_return_minus_failure_hit_rate_pct,high_return_minus_failure_hit_rate_within_observed_pct,delta_vs_baseline_win_rate_pct,delta_vs_baseline_failure_rate_pct,delta_vs_baseline_avg_return_pct,delta_vs_baseline_median_return_pct,delta_vs_baseline_high_return_8_rate_pct,delta_vs_baseline_loss_5_rate_pct,high_return_feature_value_count,high_return_feature_mean,high_return_feature_median,win_feature_value_count,win_feature_mean,win_feature_median,failure_feature_value_count,failure_feature_mean,failure_feature_median,high_return_minus_failure_feature_mean,high_return_minus_failure_feature_median,candidate_threshold_sensitivity_direction_status
2026-07-13 19:06:34 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,fixed_range23_breakout_3d_confirmation_d20_v2_anomaly_candidate_primary,revenue_unreacted_range_close_confirmation_timing_audit,excluding_abs_ge80_anomaly_candidates_sensitivity_only,False,True,confirmation_date_close,確認日收盤已知,confirmation_date_close_before_entry_next_open,range23_highest_close_breakout,3,confirmation_d20_close,confirmation_close_next_trading_day_open,no_stop_in_fixed_feature_contrast,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,realized return >= +8%,monthly_revenue_point_in_time_only,excluded_no_formal_point_in_time_layer,quarterly_or_annual_financial_statements|EPS|gross_margin|operating_margin|operating_income|non_operating_income|net_income,True,0,0,1688,pass,candidate_threshold_sensitivity_only_not_anomaly_disposition,101,True,reported_not_a_disqualifier_non_overlap_and_revenue_period_dedup_enforced,single_features_only_no_arbitrary_condition_stacking,False,none,blocked_pending_root_cause_anomaly_candidate_review,baseline,0,fixed_range23_breakout_3d_confirmation_d20_baseline,baseline,23-day highest-close breakout within three trading days; next-open entry; confirmation-relative D+20 close exit,,,baseline_not_applicable,,1688,100.0,1688,baseline_anchor,1688.0,573.0,237.0,878.0,33.9455,14.0403,52.0142,3.2949,-0.7406,466.0,27.6066,565.0,33.4716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_applicable
2026-07-13 19:06:34 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,fixed_range23_breakout_3d_confirmation_d20_v2_anomaly_candidate_primary,revenue_unreacted_range_close_confirmation_timing_audit,excluding_abs_ge80_anomaly_candidates_sensitivity_only,False,True,confirmation_date_close,確認日收盤已知,confirmation_date_close_before_entry_next_open,range23_highest_close_breakout,3,confirmation_d20_close,confirmation_close_next_trading_day_open,no_stop_in_fixed_feature_contrast,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,realized return >= +8%,monthly_revenue_point_in_time_only,excluded_no_formal_point_in_time_layer,quarterly_or_annual_financial_statements|EPS|gross_margin|operating_margin|operating_income|non_operating_income|net_income,True,0,0,1688,pass,candidate_threshold_sensitivity_only_not_anomaly_disposition,101,True,reported_not_a_disqualifier_non_overlap_and_revenue_period_dedup_enforced,single_features_only_no_arbitrary_condition_stacking,False,none,blocked_pending_root_cause_anomaly_candidate_review,binary_feature,10,revenue_latest30_and_cumulative20,monthly_revenue,latest monthly revenue YoY >= 30% and cumulative monthly revenue YoY >= 20% evaluated at confirmation_date_close,feature__revenue_latest30_and_cumulative20,feature_observed__revenue_latest30_and_cumulative20,distinct_observed_mask,,1687,99.9408,813,positive_discriminator_single_feature_candidate,813.0,307.0,97.0,409.0,37.7614,11.9311,50.3075,3.9691,-0.3333,251.0,30.8733,267.0,32.8413,48.1921,466.0,466.0,251.0,53.8627,53.8627,573.0,573.0,307.0,53.5777,53.5777,878.0,877.0,409.0,46.5831,46.6363,7.2796,7.2264,3.8159,-1.7067,0.6742,0.4073,3.2667,-0.6303,,,,,,,,,,,,not_applicable
2026-07-13 19:06:34 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,fixed_range23_breakout_3d_confirmation_d20_v2_anomaly_candidate_primary,revenue_unreacted_range_close_confirmation_timing_audit,excluding_abs_ge80_anomaly_candidates_sensitivity_only,False,True,confirmation_date_close,確認日收盤已知,confirmation_date_close_before_entry_next_open,range23_highest_close_breakout,3,confirmation_d20_close,confirmation_close_next_trading_day_open,no_stop_in_fixed_feature_contrast,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,realized return >= +8%,monthly_revenue_point_in_time_only,excluded_no_formal_point_in_time_layer,quarterly_or_annual_financial_statements|EPS|gross_margin|operating_margin|operating_income|non_operating_income|net_income,True,0,0,1688,pass,candidate_threshold_sensitivity_only_not_anomaly_disposition,101,True,reported_not_a_disqualifier_non_overlap_and_revenue_period_dedup_enforced,single_features_only_no_arbitrary_condition_stacking,False,none,blocked_pending_root_cause_anomaly_candidate_review,binary_feature,20,revenue_latest50_and_cumulative30,monthly_revenue,latest monthly revenue YoY >= 50% and cumulative monthly revenue YoY >= 30% evaluated at confirmation_date_close,feature__revenue_latest50_and_cumulative30,feature_observed__revenue_latest50_and_cumulative30,distinct_observed_mask,,1687,99.9408,444,positive_discriminator_single_feature_candidate,444.0,165.0,51.0,228.0,37.1622,11.4865,51.3514,3.8285,-0.6826,140.0,31.5315,153.0,34.4595,26.3189,466.0,466.0,140.0,30.0429,30.0429,573.0,573.0,165.0,28.7958,28.7958,878.0,877.0,228.0,25.9681,25.9977,4.0748,4.0452,3.2167,-0.6628,0.5336,0.058,3.9249,0.9879,,,,,,,,,,,,not_applicable
2026-07-13 19:06:34 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,fixed_range23_breakout_3d_confirmation_d20_v2_anomaly_candidate_primary,revenue_unreacted_range_close_confirmation_timing_audit,excluding_abs_ge80_anomaly_candidates_sensitivity_only,False,True,confirmation_date_close,確認日收盤已知,confirmation_date_close_before_entry_next_open,range23_highest_close_breakout,3,confirmation_d20_close,confirmation_close_next_trading_day_open,no_stop_in_fixed_feature_contrast,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,realized return >= +8%,monthly_revenue_point_in_time_only,excluded_no_formal_point_in_time_layer,quarterly_or_annual_financial_statements|EPS|gross_margin|operating_margin|operating_income|non_operating_income|net_income,True,0,0,1688,pass,candidate_threshold_sensitivity_only_not_anomaly_disposition,101,True,reported_not_a_disqualifier_non_overlap_and_revenue_period_dedup_enforced,single_features_only_no_arbitrary_condition_stacking,False,none,blocked_pending_root_cause_anomaly_candidate_review,binary_feature,30,revenue_latest_yoy_ge100,monthly_revenue,latest monthly revenue YoY >= 100% evaluated at confirmation_date_close,feature__revenue_latest_yoy_ge100,feature_observed__revenue_latest_yoy_ge100,distinct_observed_mask,,1687,99.9408,259,failure_associated_risk_feature_candidate,259.0,84.0,26.0,149.0,32.4324,10.0386,57.529,1.9902,-2.1417,73.0,28.1853,91.0,35.1351,15.3527,466.0,466.0,73.0,15.6652,15.6652,573.0,573.0,84.0,14.6597,14.6597,878.0,877.0,149.0,16.9704,16.9897,-1.3052,-1.3245,-1.5131,5.5148,-1.3047,-1.4011,0.5787,1.6635,,,,,,,,,,,,not_applicable
2026-07-13 19:06:34 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,fixed_range23_breakout_3d_confirmation_d20_v2_anomaly_candidate_primary,revenue_unreacted_range_close_confirmation_timing_audit,excluding_abs_ge80_anomaly_candidates_sensitivity_only,False,True,confirmation_date_close,確認日收盤已知,confirmation_date_close_before_entry_next_open,range23_highest_close_breakout,3,confirmation_d20_close,confirmation_close_next_trading_day_open,no_stop_in_fixed_feature_contrast,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,realized return >= +8%,monthly_revenue_point_in_time_only,excluded_no_formal_point_in_time_layer,quarterly_or_annual_financial_statements|EPS|gross_margin|operating_margin|operating_income|non_operating_income|net_income,True,0,0,1688,pass,candidate_threshold_sensitivity_only_not_anomaly_disposition,101,True,reported_not_a_disqualifier_non_overlap_and_revenue_period_dedup_enforced,single_features_only_no_arbitrary_condition_stacking,False,none,blocked_pending_root_cause_anomaly_candidate_review,binary_feature,40,revenue_latest_yoy_improving_2m,monthly_revenue,latest monthly revenue YoY improves for two consecutive available months evaluated at confirmation_date_close,feature__revenue_latest_yoy_improving_2m,feature_observed__revenue_latest_yoy_improving_2m,distinct_observed_mask,,1680,99.5261,411,failure_associated_risk_feature_candidate,411.0,132.0,54.0,225.0,32.1168,13.1387,54.7445,2.9041,-1.4218,108.0,26.2774,144.0,35.0365,24.4643,466.0,465.0,108.0,23.176,23.2258,573.0,572.0,132.0,23.0366,23.0769,878.0,871.0,225.0,25.6264,25.8324,-2.4504,-2.6066,-1.8287,2.7303,-0.3908,-0.6812,-1.3292,1.5649,,,,,,,,,,,,not_applicable
2026-07-13 19:06:34 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,fixed_range23_breakout_3d_confirmation_d20_v2_anomaly_candidate_primary,revenue_unreacted_range_close_confirmation_timing_audit,excluding_abs_ge80_anomaly_candidates_sensitivity_only,False,True,confirmation_date_close,確認日收盤已知,confirmation_date_close_before_entry_next_open,range23_highest_close_breakout,3,confirmation_d20_close,confirmation_close_next_trading_day_open,no_stop_in_fixed_feature_contrast,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,realized return >= +8%,monthly_revenue_point_in_time_only,excluded_no_formal_point_in_time_layer,quarterly_or_annual_financial_statements|EPS|gross_margin|operating_margin|operating_income|non_operating_income|net_income,True,0,0,1688,pass,candidate_threshold_sensitivity_only_not_anomaly_disposition,101,True,reported_not_a_disqualifier_non_overlap_and_revenue_period_dedup_enforced,single_features_only_no_arbitrary_condition_stacking,False,none,blocked_pending_root_cause_anomaly_candidate_review,binary_feature,50,revenue_cumulative_yoy_improving_2m,monthly_revenue,cumulative monthly revenue YoY improves for two consecutive available months evaluated at confirmation_date_close,feature__revenue_cumulative_yoy_improving_2m,feature_observed__revenue_cumulative_yoy_improving_2m,distinct_observed_mask,,1684,99.763,611,failure_associated_risk_feature_candidate,611.0,196.0,82.0,333.0,32.0786,13.4206,54.5008,2.9084,-1.3944,164.0,26.8412,211.0,34.5336,36.2827,466.0,465.0,164.0,35.1931,35.2688,573.0,572.0,196.0,34.2059,34.2657,878.0,875.0,333.0,37.9271,38.0571,-2.734,-2.7883,-1.8669,2.4866,-0.3865,-0.6538,-0.7654,1.062,,,,,,,,,,,,not_applicable
2026-07-13 19:06:34 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,fixed_range23_breakout_3d_confirmation_d20_v2_anomaly_candidate_primary,revenue_unreacted_range_close_confirmation_timing_audit,excluding_abs_ge80_anomaly_candidates_sensitivity_only,False,True,confirmation_date_close,確認日收盤已知,confirmation_date_close_before_entry_next_open,range23_highest_close_breakout,3,confirmation_d20_close,confirmation_close_next_trading_day_open,no_stop_in_fixed_feature_contrast,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,realized return >= +8%,monthly_revenue_point_in_time_only,excluded_no_formal_point_in_time_layer,quarterly_or_annual_financial_statements|EPS|gross_margin|operating_margin|operating_income|non_operating_income|net_income,True,0,0,1688,pass,candidate_threshold_sensitivity_only_not_anomaly_disposition,101,True,reported_not_a_disqualifier_non_overlap_and_revenue_period_dedup_enforced,single_features_only_no_arbitrary_condition_stacking,False,none,blocked_pending_root_cause_anomaly_candidate_review,binary_feature,60,revenue_latest_yoy_delta_ge20,monthly_revenue,latest monthly revenue YoY improves by at least 20 percentage points month over month evaluated at confirmation_date_close,feature__revenue_latest_yoy_delta_ge20,feature_observed__revenue_latest_yoy_delta_ge20,distinct_observed_mask,,1684,99.763,666,failure_associated_risk_feature_candidate,666.0,198.0,89.0,379.0,29.7297,13.3634,56.9069,2.0412,-1.8701,164.0,24.6246,246.0,36.9369,39.5487,466.0,466.0,164.0,35.1931,35.1931,573.0,573.0,198.0,34.555,34.555,878.0,874.0,379.0,43.1663,43.3638,-7.9732,-8.1707,-4.2158,4.8927,-1.2537,-1.1295,-2.982,3.4653,,,,,,,,,,,,not_applicable
2026-07-13 19:06:34 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,fixed_range23_breakout_3d_confirmation_d20_v2_anomaly_candidate_primary,revenue_unreacted_range_close_confirmation_timing_audit,excluding_abs_ge80_anomaly_candidates_sensitivity_only,False,True,confirmation_date_close,確認日收盤已知,confirmation_date_close_before_entry_next_open,range23_highest_close_breakout,3,confirmation_d20_close,confirmation_close_next_trading_day_open,no_stop_in_fixed_feature_contrast,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,realized return >= +8%,monthly_revenue_point_in_time_only,excluded_no_formal_point_in_time_layer,quarterly_or_annual_financial_statements|EPS|gross_margin|operating_margin|operating_income|non_operating_income|net_income,True,0,0,1688,pass,candidate_threshold_sensitivity_only_not_anomaly_disposition,101,True,reported_not_a_disqualifier_non_overlap_and_revenue_period_dedup_enforced,single_features_only_no_arbitrary_condition_stacking,False,none,blocked_pending_root_cause_anomaly_candidate_review,binary_feature,100,tdcc_high_thresholds_up,tdcc,TDCC history is available and high thresholds are increasing evaluated at confirmation_date_close,feature__tdcc_high_thresholds_up,feature_observed__tdcc_high_thresholds_up,distinct_observed_mask,,322,19.0758,130,mixed_or_low_discrimination_research_only,130.0,47.0,26.0,57.0,36.1538,20.0,43.8462,2.3393,1.2773,32.0,24.6154,35.0,26.9231,40.3727,466.0,92.0,32.0,6.867,34.7826,573.0,118.0,47.0,8.2024,39.8305,878.0,150.0,57.0,6.492,38.0,0.375,-3.2174,2.2083,-8.168,-0.9556,2.0179,-2.9912,-6.5485,,,,,,,,,,,,not_applicable
2026-07-13 19:06:34 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,fixed_range23_breakout_3d_confirmation_d20_v2_anomaly_candidate_primary,revenue_unreacted_range_close_confirmation_timing_audit,excluding_abs_ge80_anomaly_candidates_sensitivity_only,False,True,confirmation_date_close,確認日收盤已知,confirmation_date_close_before_entry_next_open,range23_highest_close_breakout,3,confirmation_d20_close,confirmation_close_next_trading_day_open,no_stop_in_fixed_feature_contrast,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,realized return >= +8%,monthly_revenue_point_in_time_only,excluded_no_formal_point_in_time_layer,quarterly_or_annual_financial_statements|EPS|gross_margin|operating_margin|operating_income|non_operating_income|net_income,True,0,0,1688,pass,candidate_threshold_sensitivity_only_not_anomaly_disposition,101,True,reported_not_a_disqualifier_non_overlap_and_revenue_period_dedup_enforced,single_features_only_no_arbitrary_condition_stacking,False,none,blocked_pending_root_cause_anomaly_candidate_review,binary_feature,110,tdcc_all_thresholds_up,tdcc,TDCC history is available and all thresholds are increasing evaluated at confirmation_date_close,feature__tdcc_all_thresholds_up,feature_observed__tdcc_all_thresholds_up,distinct_observed_mask,,322,19.0758,81,mixed_or_low_discrimination_research_only,81.0,28.0,16.0,37.0,34.5679,19.7531,45.679,1.5351,1.1677,19.0,23.4568,21.0,25.9259,25.1553,466.0,92.0,19.0,4.0773,20.6522,573.0,118.0,28.0,4.8866,23.7288,878.0,150.0,37.0,4.2141,24.6667,-0.1368,-4.0145,0.6224,-6.3352,-1.7598,1.9083,-4.1498,-7.5457,,,,,,,,,,,,not_applicable
2026-07-13 19:06:34 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,fixed_range23_breakout_3d_confirmation_d20_v2_anomaly_candidate_primary,revenue_unreacted_range_close_confirmation_timing_audit,excluding_abs_ge80_anomaly_candidates_sensitivity_only,False,True,confirmation_date_close,確認日收盤已知,confirmation_date_close_before_entry_next_open,range23_highest_close_breakout,3,confirmation_d20_close,confirmation_close_next_trading_day_open,no_stop_in_fixed_feature_contrast,realized return >= +5%,0% <= realized return < +5%,realized return < 0%,realized return >= +8%,monthly_revenue_point_in_time_only,excluded_no_formal_point_in_time_layer,quarterly_or_annual_financial_statements|EPS|gross_margin|operating_margin|operating_income|non_operating_income|net_income,True,0,0,1688,pass,candidate_threshold_sensitivity_only_not_anomaly_disposition,101,True,reported_not_a_disqualifier_non_overlap_and_revenue_period_dedup_enforced,single_features_only_no_arbitrary_condition_stacking,False,none,blocked_pending_root_cause_anomaly_candidate_review,binary_feature,120,tdcc_four_thresholds_sync_up,tdcc,TDCC history is available and four thresholds increase together evaluated at confirmation_date_close,feature__tdcc_four_thresholds_sync_up,feature_observed__tdcc_four_thresholds_sync_up,duplicate_mask_not_independent_evidence,tdcc_all_thresholds_up,322,19.0758,81,mixed_or_low_discrimination_research_only,81.0,28.0,16.0,37.0,34.5679,19.7531,45.679,1.5351,1.1677,19.0,23.4568,21.0,25.9259,25.1553,466.0,92.0,19.0,4.0773,20.6522,573.0,118.0,28.0,4.8866,23.7288,878.0,150.0,37.0,4.2141,24.6667,-0.1368,-4.0145,0.6224,-6.3352,-1.7598,1.9083,-4.1498,-7.5457,,,,,,,,,,,,not_applicable
