rule_name,rule_family,source_type,target_window,entry_basis,target_return_pct,selected_stock_days,hit_stock_days,hit_rate_pct,coverage_of_all_hits_pct,selected_unique_stocks,hit_unique_stocks,median_next_open_to_high_return_pct,avg_next_open_to_high_return_pct,avg_signal_close_to_next_open_gap_pct,tdcc_available_rate_pct,top_market_regime_counts,top_theme_status_counts,sample_status,source_tdcc_dataset_id
mainstream_overheated__vol2__market_bull__kd_good,theme_market_technical,latest_theme_plus_strict_market,D+3,D+1_open,10.0,1049,197,18.78,0.65,209,104,3.9,5.82,0.77,35.46,strong_bull=839; mild_bull=210,mainstream_overheated=1049,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__market_bull__bb_ok,theme_market_technical,latest_theme_plus_strict_market,D+3,D+1_open,10.0,791,146,18.46,0.48,191,84,3.5,5.54,0.62,40.33,strong_bull=625; mild_bull=166,mainstream_overheated=791,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__market_bull__rsi50_75,theme_market_technical,latest_theme_plus_strict_market,D+3,D+1_open,10.0,1378,249,18.07,0.82,211,115,3.59,5.69,0.57,34.25,strong_bull=1117; mild_bull=261,mainstream_overheated=1378,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
all_stock__vol2__tdcc_all_up,tdcc_volume,strict_tdcc,D+3,D+1_open,10.0,2099,355,16.91,1.17,544,183,3.21,5.39,0.64,100.0,strong_bull=1118; range_or_unclear=617; mild_bull=341; weak_or_correction=23,unlabeled=1563; mainstream_overheated=416; mainstream_supported=109; non_mainstream=11,ok_initial_sample,tdcc-20260717-98c564c5bc4ab725
all_stock__vol2__tdcc_high_up,tdcc_volume,strict_tdcc,D+3,D+1_open,10.0,2670,438,16.4,1.44,653,224,3.13,5.3,0.59,100.0,strong_bull=1395; range_or_unclear=801; mild_bull=450; weak_or_correction=24,unlabeled=2044; mainstream_overheated=487; mainstream_supported=128; non_mainstream=11,ok_initial_sample,tdcc-20260717-98c564c5bc4ab725
mainstream_supported__vol2__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+3,D+1_open,10.0,363,56,15.43,0.18,48,18,3.14,5.12,0.78,41.87,strong_bull=282; mild_bull=81,mainstream_supported=363,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
all_stock__vol2__tdcc_high_streak2,tdcc_volume,strict_tdcc,D+3,D+1_open,10.0,1212,185,15.26,0.61,322,94,3.0,5.19,0.72,100.0,strong_bull=589; range_or_unclear=398; mild_bull=210; weak_or_correction=15,unlabeled=923; mainstream_overheated=217; mainstream_supported=67; non_mainstream=5,ok_initial_sample,tdcc-20260717-98c564c5bc4ab725
all_stock__vol2__market_strong_bull,market_volume,strict_market,D+3,D+1_open,10.0,14424,2085,14.46,6.86,1749,766,2.73,4.84,0.62,30.92,strong_bull=14424,unlabeled=12215; mainstream_overheated=1890; mainstream_supported=282; non_mainstream=37,ok_initial_sample,tdcc-20260717-98c564c5bc4ab725
all_stock__vol2__market_bull,market_volume,strict_market,D+3,D+1_open,10.0,18028,2598,14.41,8.55,1816,861,2.76,4.84,0.57,31.91,strong_bull=14424; mild_bull=3604,unlabeled=15247; mainstream_overheated=2370; mainstream_supported=363; non_mainstream=48,ok_initial_sample,tdcc-20260717-98c564c5bc4ab725
non_mainstream__vol2__tdcc_high_up,non_mainstream_tdcc,latest_theme_plus_strict_tdcc,D+3,D+1_open,10.0,11,1,9.09,0.0,2,1,2.44,3.86,-0.05,100.0,strong_bull=6; range_or_unclear=3; mild_bull=2,non_mainstream=11,insufficient_sample,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__ret1w10_30_ret2w20_50__tdcc_high_up,theme_tdcc_momentum,latest_theme_plus_strict_tdcc,D+4,D+1_open,10.0,134,44,32.84,0.11,58,23,6.03,8.71,1.19,100.0,strong_bull=86; range_or_unclear=30; mild_bull=18,mainstream_overheated=134,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__ret2w20_50__tdcc_high_up,theme_tdcc_momentum,latest_theme_plus_strict_tdcc,D+4,D+1_open,10.0,190,58,30.53,0.14,69,29,5.39,8.42,1.11,100.0,strong_bull=109; range_or_unclear=50; mild_bull=31,mainstream_overheated=190,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__tdcc_all_up,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+4,D+1_open,10.0,416,121,29.09,0.29,101,49,5.26,7.86,0.81,100.0,strong_bull=222; range_or_unclear=123; mild_bull=67; weak_or_correction=4,mainstream_overheated=416,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__market_bull__tdcc_all_up,theme_market_tdcc_volume,latest_theme_plus_strict_market_tdcc,D+4,D+1_open,10.0,289,84,29.07,0.2,84,37,5.0,7.91,0.72,100.0,strong_bull=222; mild_bull=67,mainstream_overheated=289,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__tdcc_high_sum_pos,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+4,D+1_open,10.0,575,166,28.87,0.4,128,66,5.47,7.83,0.79,100.0,strong_bull=284; range_or_unclear=182; mild_bull=100; weak_or_correction=9,mainstream_overheated=575,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__market_bull__tdcc_high_up,theme_market_tdcc_volume,latest_theme_plus_strict_market_tdcc,D+4,D+1_open,10.0,333,92,27.63,0.22,100,42,5.0,7.72,0.81,100.0,strong_bull=252; mild_bull=81,mainstream_overheated=333,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__tdcc_high_up,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+4,D+1_open,10.0,487,132,27.1,0.32,114,55,5.0,7.62,0.82,100.0,strong_bull=252; range_or_unclear=150; mild_bull=81; weak_or_correction=4,mainstream_overheated=487,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__tdcc_streak1,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+4,D+1_open,10.0,487,132,27.1,0.32,114,55,5.0,7.62,0.82,100.0,strong_bull=252; range_or_unclear=150; mild_bull=81; weak_or_correction=4,mainstream_overheated=487,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol3__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+4,D+1_open,10.0,492,127,25.81,0.3,132,57,5.04,7.45,0.89,35.98,strong_bull=370; mild_bull=122,mainstream_overheated=492,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__market_bull__macd,theme_market_technical,latest_theme_plus_strict_market,D+4,D+1_open,10.0,1969,492,24.99,1.18,222,140,4.7,7.17,0.77,36.72,strong_bull=1591; mild_bull=378,mainstream_overheated=1969,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+4,D+1_open,10.0,2370,590,24.89,1.41,231,155,4.73,7.15,0.76,34.43,strong_bull=1890; mild_bull=480,mainstream_overheated=2370,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__market_bull__kd_good,theme_market_technical,latest_theme_plus_strict_market,D+4,D+1_open,10.0,1049,257,24.5,0.62,209,111,4.73,7.06,0.77,35.46,strong_bull=839; mild_bull=210,mainstream_overheated=1049,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__market_bull__bb_ok,theme_market_technical,latest_theme_plus_strict_market,D+4,D+1_open,10.0,791,189,23.89,0.45,191,96,4.45,6.68,0.62,40.33,strong_bull=625; mild_bull=166,mainstream_overheated=791,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__market_bull__rsi50_75,theme_market_technical,latest_theme_plus_strict_market,D+4,D+1_open,10.0,1378,322,23.37,0.77,211,128,4.45,6.85,0.57,34.25,strong_bull=1117; mild_bull=261,mainstream_overheated=1378,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
all_stock__vol2__tdcc_all_up,tdcc_volume,strict_tdcc,D+4,D+1_open,10.0,2099,453,21.58,1.08,544,204,3.85,6.45,0.64,100.0,strong_bull=1118; range_or_unclear=617; mild_bull=341; weak_or_correction=23,unlabeled=1563; mainstream_overheated=416; mainstream_supported=109; non_mainstream=11,ok_initial_sample,tdcc-20260717-98c564c5bc4ab725
all_stock__vol2__tdcc_high_up,tdcc_volume,strict_tdcc,D+4,D+1_open,10.0,2670,556,20.82,1.33,653,248,3.76,6.31,0.59,100.0,strong_bull=1395; range_or_unclear=801; mild_bull=450; weak_or_correction=24,unlabeled=2044; mainstream_overheated=487; mainstream_supported=128; non_mainstream=11,ok_initial_sample,tdcc-20260717-98c564c5bc4ab725
all_stock__vol2__tdcc_high_streak2,tdcc_volume,strict_tdcc,D+4,D+1_open,10.0,1212,241,19.88,0.58,322,110,3.5,6.15,0.72,100.0,strong_bull=589; range_or_unclear=398; mild_bull=210; weak_or_correction=15,unlabeled=923; mainstream_overheated=217; mainstream_supported=67; non_mainstream=5,ok_initial_sample,tdcc-20260717-98c564c5bc4ab725
mainstream_supported__vol2__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+4,D+1_open,10.0,363,69,19.01,0.17,48,21,3.49,6.19,0.78,41.87,strong_bull=282; mild_bull=81,mainstream_supported=363,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
all_stock__vol2__market_strong_bull,market_volume,strict_market,D+4,D+1_open,10.0,14424,2662,18.46,6.37,1749,821,3.25,5.8,0.62,30.92,strong_bull=14424,unlabeled=12215; mainstream_overheated=1890; mainstream_supported=282; non_mainstream=37,ok_initial_sample,tdcc-20260717-98c564c5bc4ab725
all_stock__vol2__market_bull,market_volume,strict_market,D+4,D+1_open,10.0,18028,3309,18.35,7.92,1816,931,3.27,5.78,0.57,31.91,strong_bull=14424; mild_bull=3604,unlabeled=15247; mainstream_overheated=2370; mainstream_supported=363; non_mainstream=48,ok_initial_sample,tdcc-20260717-98c564c5bc4ab725
non_mainstream__vol2__tdcc_high_up,non_mainstream_tdcc,latest_theme_plus_strict_tdcc,D+4,D+1_open,10.0,11,1,9.09,0.0,2,1,2.44,3.86,-0.05,100.0,strong_bull=6; range_or_unclear=3; mild_bull=2,non_mainstream=11,insufficient_sample,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__ret1w10_30_ret2w20_50__tdcc_high_up,theme_tdcc_momentum,latest_theme_plus_strict_tdcc,D+5,D+1_open,10.0,134,53,39.55,0.1,58,26,7.04,10.01,1.19,100.0,strong_bull=86; range_or_unclear=30; mild_bull=18,mainstream_overheated=134,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__ret2w20_50__tdcc_high_up,theme_tdcc_momentum,latest_theme_plus_strict_tdcc,D+5,D+1_open,10.0,190,68,35.79,0.13,69,33,6.07,9.58,1.11,100.0,strong_bull=109; range_or_unclear=50; mild_bull=31,mainstream_overheated=190,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__tdcc_all_up,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+5,D+1_open,10.0,416,144,34.62,0.28,101,54,5.87,8.85,0.81,100.0,strong_bull=222; range_or_unclear=123; mild_bull=67; weak_or_correction=4,mainstream_overheated=416,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__market_bull__tdcc_all_up,theme_market_tdcc_volume,latest_theme_plus_strict_market_tdcc,D+5,D+1_open,10.0,289,100,34.6,0.19,84,42,5.81,9.03,0.72,100.0,strong_bull=222; mild_bull=67,mainstream_overheated=289,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__tdcc_high_sum_pos,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+5,D+1_open,10.0,575,198,34.43,0.38,128,71,6.07,8.81,0.79,100.0,strong_bull=284; range_or_unclear=182; mild_bull=100; weak_or_correction=9,mainstream_overheated=575,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__market_bull__tdcc_high_up,theme_market_tdcc_volume,latest_theme_plus_strict_market_tdcc,D+5,D+1_open,10.0,333,111,33.33,0.21,100,48,5.72,8.87,0.81,100.0,strong_bull=252; mild_bull=81,mainstream_overheated=333,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__tdcc_high_up,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+5,D+1_open,10.0,487,159,32.65,0.31,114,61,5.63,8.62,0.82,100.0,strong_bull=252; range_or_unclear=150; mild_bull=81; weak_or_correction=4,mainstream_overheated=487,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__tdcc_streak1,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+5,D+1_open,10.0,487,159,32.65,0.31,114,61,5.63,8.62,0.82,100.0,strong_bull=252; range_or_unclear=150; mild_bull=81; weak_or_correction=4,mainstream_overheated=487,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__market_bull__macd,theme_market_technical,latest_theme_plus_strict_market,D+5,D+1_open,10.0,1969,585,29.71,1.13,222,146,5.22,8.28,0.77,36.72,strong_bull=1591; mild_bull=378,mainstream_overheated=1969,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol3__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+5,D+1_open,10.0,492,146,29.67,0.28,132,64,5.52,8.54,0.89,35.98,strong_bull=370; mild_bull=122,mainstream_overheated=492,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+5,D+1_open,10.0,2370,700,29.54,1.35,231,165,5.31,8.22,0.76,34.43,strong_bull=1890; mild_bull=480,mainstream_overheated=2370,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__market_bull__kd_good,theme_market_technical,latest_theme_plus_strict_market,D+5,D+1_open,10.0,1049,301,28.69,0.58,209,120,5.31,8.1,0.77,35.46,strong_bull=839; mild_bull=210,mainstream_overheated=1049,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__market_bull__rsi50_75,theme_market_technical,latest_theme_plus_strict_market,D+5,D+1_open,10.0,1378,389,28.23,0.75,211,138,5.0,7.84,0.57,34.25,strong_bull=1117; mild_bull=261,mainstream_overheated=1378,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__market_bull__bb_ok,theme_market_technical,latest_theme_plus_strict_market,D+5,D+1_open,10.0,791,216,27.31,0.42,191,101,5.1,7.61,0.62,40.33,strong_bull=625; mild_bull=166,mainstream_overheated=791,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
all_stock__vol2__tdcc_all_up,tdcc_volume,strict_tdcc,D+5,D+1_open,10.0,2099,535,25.49,1.03,544,222,4.31,7.37,0.64,100.0,strong_bull=1118; range_or_unclear=617; mild_bull=341; weak_or_correction=23,unlabeled=1563; mainstream_overheated=416; mainstream_supported=109; non_mainstream=11,ok_initial_sample,tdcc-20260717-98c564c5bc4ab725
all_stock__vol2__tdcc_high_up,tdcc_volume,strict_tdcc,D+5,D+1_open,10.0,2670,658,24.64,1.27,653,270,4.3,7.2,0.59,100.0,strong_bull=1395; range_or_unclear=801; mild_bull=450; weak_or_correction=24,unlabeled=2044; mainstream_overheated=487; mainstream_supported=128; non_mainstream=11,ok_initial_sample,tdcc-20260717-98c564c5bc4ab725
all_stock__vol2__tdcc_high_streak2,tdcc_volume,strict_tdcc,D+5,D+1_open,10.0,1212,288,23.76,0.55,322,120,4.0,6.95,0.72,100.0,strong_bull=589; range_or_unclear=398; mild_bull=210; weak_or_correction=15,unlabeled=923; mainstream_overheated=217; mainstream_supported=67; non_mainstream=5,ok_initial_sample,tdcc-20260717-98c564c5bc4ab725
mainstream_supported__vol2__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+5,D+1_open,10.0,363,81,22.31,0.16,48,22,4.0,7.01,0.78,41.87,strong_bull=282; mild_bull=81,mainstream_supported=363,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
all_stock__vol2__market_strong_bull,market_volume,strict_market,D+5,D+1_open,10.0,14424,3109,21.55,5.98,1749,871,3.65,6.62,0.62,30.92,strong_bull=14424,unlabeled=12215; mainstream_overheated=1890; mainstream_supported=282; non_mainstream=37,ok_initial_sample,tdcc-20260717-98c564c5bc4ab725
all_stock__vol2__market_bull,market_volume,strict_market,D+5,D+1_open,10.0,18028,3879,21.52,7.47,1816,977,3.66,6.6,0.57,31.91,strong_bull=14424; mild_bull=3604,unlabeled=15247; mainstream_overheated=2370; mainstream_supported=363; non_mainstream=48,ok_initial_sample,tdcc-20260717-98c564c5bc4ab725
non_mainstream__vol2__tdcc_high_up,non_mainstream_tdcc,latest_theme_plus_strict_tdcc,D+5,D+1_open,10.0,11,1,9.09,0.0,2,1,2.44,3.86,-0.05,100.0,strong_bull=6; range_or_unclear=3; mild_bull=2,non_mainstream=11,insufficient_sample,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__ret1w10_30_ret2w20_50__tdcc_high_up,theme_tdcc_momentum,latest_theme_plus_strict_tdcc,D+6,D+1_open,10.0,134,57,42.54,0.09,58,29,8.13,11.68,1.19,100.0,strong_bull=86; range_or_unclear=30; mild_bull=18,mainstream_overheated=134,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__ret2w20_50__tdcc_high_up,theme_tdcc_momentum,latest_theme_plus_strict_tdcc,D+6,D+1_open,10.0,190,74,38.95,0.12,69,37,7.43,10.92,1.11,100.0,strong_bull=109; range_or_unclear=50; mild_bull=31,mainstream_overheated=190,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__market_bull__tdcc_all_up,theme_market_tdcc_volume,latest_theme_plus_strict_market_tdcc,D+6,D+1_open,10.0,289,110,38.06,0.18,84,45,6.87,10.32,0.72,100.0,strong_bull=222; mild_bull=67,mainstream_overheated=289,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__tdcc_all_up,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+6,D+1_open,10.0,416,157,37.74,0.26,101,58,6.81,9.92,0.81,100.0,strong_bull=222; range_or_unclear=123; mild_bull=67; weak_or_correction=4,mainstream_overheated=416,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__tdcc_high_sum_pos,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+6,D+1_open,10.0,575,215,37.39,0.35,128,75,7.09,9.82,0.79,100.0,strong_bull=284; range_or_unclear=182; mild_bull=100; weak_or_correction=9,mainstream_overheated=575,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__market_bull__tdcc_high_up,theme_market_tdcc_volume,latest_theme_plus_strict_market_tdcc,D+6,D+1_open,10.0,333,123,36.94,0.2,100,52,6.85,10.17,0.81,100.0,strong_bull=252; mild_bull=81,mainstream_overheated=333,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__tdcc_high_up,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+6,D+1_open,10.0,487,174,35.73,0.28,114,66,6.4,9.68,0.82,100.0,strong_bull=252; range_or_unclear=150; mild_bull=81; weak_or_correction=4,mainstream_overheated=487,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__tdcc_streak1,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+6,D+1_open,10.0,487,174,35.73,0.28,114,66,6.4,9.68,0.82,100.0,strong_bull=252; range_or_unclear=150; mild_bull=81; weak_or_correction=4,mainstream_overheated=487,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+6,D+1_open,10.0,2370,764,32.24,1.25,231,169,5.9,9.25,0.76,34.43,strong_bull=1890; mild_bull=480,mainstream_overheated=2370,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__market_bull__macd,theme_market_technical,latest_theme_plus_strict_market,D+6,D+1_open,10.0,1969,632,32.1,1.03,222,149,5.81,9.33,0.77,36.72,strong_bull=1591; mild_bull=378,mainstream_overheated=1969,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__market_bull__kd_good,theme_market_technical,latest_theme_plus_strict_market,D+6,D+1_open,10.0,1049,332,31.65,0.54,209,124,5.94,9.06,0.77,35.46,strong_bull=839; mild_bull=210,mainstream_overheated=1049,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol3__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+6,D+1_open,10.0,492,154,31.3,0.25,132,65,6.02,9.48,0.89,35.98,strong_bull=370; mild_bull=122,mainstream_overheated=492,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__market_bull__rsi50_75,theme_market_technical,latest_theme_plus_strict_market,D+6,D+1_open,10.0,1378,431,31.28,0.7,211,145,5.54,8.83,0.57,34.25,strong_bull=1117; mild_bull=261,mainstream_overheated=1378,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__market_bull__bb_ok,theme_market_technical,latest_theme_plus_strict_market,D+6,D+1_open,10.0,791,240,30.34,0.39,191,108,5.67,8.52,0.62,40.33,strong_bull=625; mild_bull=166,mainstream_overheated=791,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
all_stock__vol2__tdcc_all_up,tdcc_volume,strict_tdcc,D+6,D+1_open,10.0,2099,597,28.44,0.97,544,240,4.63,8.21,0.64,100.0,strong_bull=1118; range_or_unclear=617; mild_bull=341; weak_or_correction=23,unlabeled=1563; mainstream_overheated=416; mainstream_supported=109; non_mainstream=11,ok_initial_sample,tdcc-20260717-98c564c5bc4ab725
all_stock__vol2__tdcc_high_up,tdcc_volume,strict_tdcc,D+6,D+1_open,10.0,2670,735,27.53,1.2,653,291,4.63,8.0,0.59,100.0,strong_bull=1395; range_or_unclear=801; mild_bull=450; weak_or_correction=24,unlabeled=2044; mainstream_overheated=487; mainstream_supported=128; non_mainstream=11,ok_initial_sample,tdcc-20260717-98c564c5bc4ab725
all_stock__vol2__tdcc_high_streak2,tdcc_volume,strict_tdcc,D+6,D+1_open,10.0,1212,318,26.24,0.52,322,130,4.39,7.63,0.72,100.0,strong_bull=589; range_or_unclear=398; mild_bull=210; weak_or_correction=15,unlabeled=923; mainstream_overheated=217; mainstream_supported=67; non_mainstream=5,ok_initial_sample,tdcc-20260717-98c564c5bc4ab725
mainstream_supported__vol2__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+6,D+1_open,10.0,363,92,25.34,0.15,48,27,4.26,7.84,0.78,41.87,strong_bull=282; mild_bull=81,mainstream_supported=363,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
all_stock__vol2__market_strong_bull,market_volume,strict_market,D+6,D+1_open,10.0,14424,3505,24.3,5.72,1749,918,4.12,7.39,0.62,30.92,strong_bull=14424,unlabeled=12215; mainstream_overheated=1890; mainstream_supported=282; non_mainstream=37,ok_initial_sample,tdcc-20260717-98c564c5bc4ab725
all_stock__vol2__market_bull,market_volume,strict_market,D+6,D+1_open,10.0,18028,4352,24.14,7.1,1816,1022,4.12,7.37,0.57,31.91,strong_bull=14424; mild_bull=3604,unlabeled=15247; mainstream_overheated=2370; mainstream_supported=363; non_mainstream=48,ok_initial_sample,tdcc-20260717-98c564c5bc4ab725
non_mainstream__vol2__tdcc_high_up,non_mainstream_tdcc,latest_theme_plus_strict_tdcc,D+6,D+1_open,10.0,11,1,9.09,0.0,2,1,2.44,4.07,-0.05,100.0,strong_bull=6; range_or_unclear=3; mild_bull=2,non_mainstream=11,insufficient_sample,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__ret1w10_30_ret2w20_50__tdcc_high_up,theme_tdcc_momentum,latest_theme_plus_strict_tdcc,D+7,D+1_open,10.0,134,61,45.52,0.09,58,31,8.65,13.0,1.19,100.0,strong_bull=86; range_or_unclear=30; mild_bull=18,mainstream_overheated=134,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__ret2w20_50__tdcc_high_up,theme_tdcc_momentum,latest_theme_plus_strict_tdcc,D+7,D+1_open,10.0,190,79,41.58,0.11,69,39,8.02,12.06,1.11,100.0,strong_bull=109; range_or_unclear=50; mild_bull=31,mainstream_overheated=190,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__market_bull__tdcc_all_up,theme_market_tdcc_volume,latest_theme_plus_strict_market_tdcc,D+7,D+1_open,10.0,289,116,40.14,0.17,84,46,7.39,11.58,0.72,100.0,strong_bull=222; mild_bull=67,mainstream_overheated=289,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__tdcc_high_sum_pos,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+7,D+1_open,10.0,575,229,39.83,0.33,128,78,7.67,10.84,0.79,100.0,strong_bull=284; range_or_unclear=182; mild_bull=100; weak_or_correction=9,mainstream_overheated=575,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__tdcc_all_up,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+7,D+1_open,10.0,416,165,39.66,0.24,101,59,7.47,11.0,0.81,100.0,strong_bull=222; range_or_unclear=123; mild_bull=67; weak_or_correction=4,mainstream_overheated=416,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__market_bull__tdcc_high_up,theme_market_tdcc_volume,latest_theme_plus_strict_market_tdcc,D+7,D+1_open,10.0,333,132,39.64,0.19,100,54,7.42,11.48,0.81,100.0,strong_bull=252; mild_bull=81,mainstream_overheated=333,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__tdcc_high_up,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+7,D+1_open,10.0,487,187,38.4,0.27,114,68,7.27,10.78,0.82,100.0,strong_bull=252; range_or_unclear=150; mild_bull=81; weak_or_correction=4,mainstream_overheated=487,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__tdcc_streak1,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+7,D+1_open,10.0,487,187,38.4,0.27,114,68,7.27,10.78,0.82,100.0,strong_bull=252; range_or_unclear=150; mild_bull=81; weak_or_correction=4,mainstream_overheated=487,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+7,D+1_open,10.0,2370,850,35.86,1.22,231,175,6.54,10.22,0.76,34.43,strong_bull=1890; mild_bull=480,mainstream_overheated=2370,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__market_bull__macd,theme_market_technical,latest_theme_plus_strict_market,D+7,D+1_open,10.0,1969,697,35.4,1.0,222,154,6.44,10.36,0.77,36.72,strong_bull=1591; mild_bull=378,mainstream_overheated=1969,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
