research_id,research_variant_id,parameter_set_id,advisory_status,risk_penalty_scope_id,risk_penalty_rule_id,manual_alignment_scope_id,manual_good_rows,manual_good_accepted_rows,manual_good_rejected_rows,manual_bad_rows,manual_bad_accepted_rows,manual_bad_rejected_rows,manual_conflict_rows,manual_good_false_negative_rate_pct,manual_bad_false_positive_rate_pct,approved_for_daily,production_readiness,generated_at
structured_neckline_dual_window_risk_penalty_audit,warning_research_variant_only,structured_neckline_dual_window_risk_penalty_audit_20260629,warning_research_variant_only,dual_window_45_pass_90_bearish_risk_penalty_grid,broad_45_non_bearish_with_90_warning,manual_non_conflict_and_conflict_totals,9,8,1,1,0,1,1,11.1111,0.0000,false,not_production_ready_research_only,2026-06-29 02:37:09 Asia/Taipei
structured_neckline_dual_window_risk_penalty_audit,warning_research_variant_only,structured_neckline_dual_window_risk_penalty_audit_20260629,warning_research_variant_only,dual_window_45_pass_90_bearish_risk_penalty_grid,confirmed_plus_risk_drawdown90_ge_neg20,manual_non_conflict_and_conflict_totals,9,7,2,1,0,1,1,22.2222,0.0000,false,not_production_ready_research_only,2026-06-29 02:37:09 Asia/Taipei
structured_neckline_dual_window_risk_penalty_audit,warning_research_variant_only,structured_neckline_dual_window_risk_penalty_audit_20260629,warning_research_variant_only,dual_window_45_pass_90_bearish_risk_penalty_grid,confirmed_plus_risk_drawdown90_ge_neg25,manual_non_conflict_and_conflict_totals,9,7,2,1,0,1,1,22.2222,0.0000,false,not_production_ready_research_only,2026-06-29 02:37:09 Asia/Taipei
structured_neckline_dual_window_risk_penalty_audit,warning_research_variant_only,structured_neckline_dual_window_risk_penalty_audit_20260629,warning_research_variant_only,dual_window_45_pass_90_bearish_risk_penalty_grid,confirmed_plus_risk_mild_damage_return90_ge_neg10_drawdown90_ge_neg25,manual_non_conflict_and_conflict_totals,9,7,2,1,0,1,1,22.2222,0.0000,false,not_production_ready_research_only,2026-06-29 02:37:09 Asia/Taipei
structured_neckline_dual_window_risk_penalty_audit,warning_research_variant_only,structured_neckline_dual_window_risk_penalty_audit_20260629,warning_research_variant_only,dual_window_45_pass_90_bearish_risk_penalty_grid,confirmed_plus_risk_penalty_le_1,manual_non_conflict_and_conflict_totals,9,7,2,1,0,1,1,22.2222,0.0000,false,not_production_ready_research_only,2026-06-29 02:37:09 Asia/Taipei
structured_neckline_dual_window_risk_penalty_audit,warning_research_variant_only,structured_neckline_dual_window_risk_penalty_audit_20260629,warning_research_variant_only,dual_window_45_pass_90_bearish_risk_penalty_grid,confirmed_plus_risk_penalty_le_2,manual_non_conflict_and_conflict_totals,9,7,2,1,0,1,1,22.2222,0.0000,false,not_production_ready_research_only,2026-06-29 02:37:09 Asia/Taipei
structured_neckline_dual_window_risk_penalty_audit,warning_research_variant_only,structured_neckline_dual_window_risk_penalty_audit_20260629,warning_research_variant_only,dual_window_45_pass_90_bearish_risk_penalty_grid,confirmed_plus_risk_penalty_le_3,manual_non_conflict_and_conflict_totals,9,7,2,1,0,1,1,22.2222,0.0000,false,not_production_ready_research_only,2026-06-29 02:37:09 Asia/Taipei
structured_neckline_dual_window_risk_penalty_audit,warning_research_variant_only,structured_neckline_dual_window_risk_penalty_audit_20260629,warning_research_variant_only,dual_window_45_pass_90_bearish_risk_penalty_grid,confirmed_plus_risk_return90_ge_neg10,manual_non_conflict_and_conflict_totals,9,7,2,1,0,1,1,22.2222,0.0000,false,not_production_ready_research_only,2026-06-29 02:37:09 Asia/Taipei
structured_neckline_dual_window_risk_penalty_audit,warning_research_variant_only,structured_neckline_dual_window_risk_penalty_audit_20260629,warning_research_variant_only,dual_window_45_pass_90_bearish_risk_penalty_grid,confirmed_plus_risk_return90_ge_neg5,manual_non_conflict_and_conflict_totals,9,7,2,1,0,1,1,22.2222,0.0000,false,not_production_ready_research_only,2026-06-29 02:37:09 Asia/Taipei
structured_neckline_dual_window_risk_penalty_audit,warning_research_variant_only,structured_neckline_dual_window_risk_penalty_audit_20260629,warning_research_variant_only,dual_window_45_pass_90_bearish_risk_penalty_grid,confirmed_plus_risk_short_return45_ge_5,manual_non_conflict_and_conflict_totals,9,8,1,1,0,1,1,11.1111,0.0000,false,not_production_ready_research_only,2026-06-29 02:37:09 Asia/Taipei
structured_neckline_dual_window_risk_penalty_audit,warning_research_variant_only,structured_neckline_dual_window_risk_penalty_audit_20260629,warning_research_variant_only,dual_window_45_pass_90_bearish_risk_penalty_grid,confirmed_plus_risk_short_return45_ge_8,manual_non_conflict_and_conflict_totals,9,7,2,1,0,1,1,22.2222,0.0000,false,not_production_ready_research_only,2026-06-29 02:37:09 Asia/Taipei
structured_neckline_dual_window_risk_penalty_audit,warning_research_variant_only,structured_neckline_dual_window_risk_penalty_audit_20260629,warning_research_variant_only,dual_window_45_pass_90_bearish_risk_penalty_grid,confirmed_plus_risk_short_slope45_ge_2,manual_non_conflict_and_conflict_totals,9,7,2,1,0,1,1,22.2222,0.0000,false,not_production_ready_research_only,2026-06-29 02:37:09 Asia/Taipei
structured_neckline_dual_window_risk_penalty_audit,warning_research_variant_only,structured_neckline_dual_window_risk_penalty_audit_20260629,warning_research_variant_only,dual_window_45_pass_90_bearish_risk_penalty_grid,confirmed_plus_risk_short_strength_return45_ge_5_slope45_ge_2,manual_non_conflict_and_conflict_totals,9,7,2,1,0,1,1,22.2222,0.0000,false,not_production_ready_research_only,2026-06-29 02:37:09 Asia/Taipei
structured_neckline_dual_window_risk_penalty_audit,warning_research_variant_only,structured_neckline_dual_window_risk_penalty_audit_20260629,warning_research_variant_only,dual_window_45_pass_90_bearish_risk_penalty_grid,confirmed_plus_risk_slope90_ge_0,manual_non_conflict_and_conflict_totals,9,7,2,1,0,1,1,22.2222,0.0000,false,not_production_ready_research_only,2026-06-29 02:37:09 Asia/Taipei
structured_neckline_dual_window_risk_penalty_audit,warning_research_variant_only,structured_neckline_dual_window_risk_penalty_audit_20260629,warning_research_variant_only,dual_window_45_pass_90_bearish_risk_penalty_grid,confirmed_plus_risk_slope90_ge_neg2,manual_non_conflict_and_conflict_totals,9,7,2,1,0,1,1,22.2222,0.0000,false,not_production_ready_research_only,2026-06-29 02:37:09 Asia/Taipei
structured_neckline_dual_window_risk_penalty_audit,warning_research_variant_only,structured_neckline_dual_window_risk_penalty_audit_20260629,warning_research_variant_only,dual_window_45_pass_90_bearish_risk_penalty_grid,confirmed_plus_risk_strict_repair_return45_ge_5_slope45_ge_2_return90_ge_neg15,manual_non_conflict_and_conflict_totals,9,7,2,1,0,1,1,22.2222,0.0000,false,not_production_ready_research_only,2026-06-29 02:37:09 Asia/Taipei
structured_neckline_dual_window_risk_penalty_audit,warning_research_variant_only,structured_neckline_dual_window_risk_penalty_audit_20260629,warning_research_variant_only,dual_window_45_pass_90_bearish_risk_penalty_grid,strict_45_90_non_bearish,manual_non_conflict_and_conflict_totals,9,7,2,1,0,1,1,22.2222,0.0000,false,not_production_ready_research_only,2026-06-29 02:37:09 Asia/Taipei
