generated_at,model_id,model_name_zh,research_artifact_id,matrix_scope,base_condition_id,base_condition_rule,test_order,condition_test_id,condition_family,condition_role_candidate,condition_rule,data_status,revenue_join_source,point_in_time_rule,anomaly_exclusion_basis,decision_basis,sensitivity_basis,revenue_anomaly_candidate_count_in_sample,revenue_anomaly_candidate_count_in_baseline,exit_rule_id,formal_price_rule_status,profit_target_pct,exit_price_rule,entry_rule_id,operation_basis,lifecycle_replay_scope,source_mature_signal_stock_days,source_unique_stocks,accepted_trade_count,accepted_unique_stocks,suppressed_signal_count,suppressed_rate_pct,accepted_share_of_source_mature_pct,baseline_source_mature_signal_stock_days,baseline_accepted_trade_count,accepted_trade_share_of_baseline_pct,source_signal_day_count,source_avg_signals_per_signal_day,accepted_signal_day_count,accepted_avg_trades_per_signal_day,research_trading_day_count,accepted_avg_trades_per_research_day,first_signal_date,last_signal_date,metric_surface_use,advisory_status,approved_for_daily,production_change,promotion_readiness,promotion_blocker,mature_count,win_count,neutral_count,failure_count,win_rate_pct,neutral_rate_pct,failure_rate_pct,avg_d20_close_return_pct,median_d20_close_return_pct,avg_realized_return_pct,median_realized_return_pct,high_return_8_count,high_return_8_rate_pct,high_return_10_count,high_return_10_rate_pct,loss_5_count,loss_5_rate_pct,avg_revenue_latest_yoy_pct,median_revenue_latest_yoy_pct,avg_revenue_cumulative_yoy_pct,median_revenue_cumulative_yoy_pct
2026-07-14 18:07:44 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_revenue_condition_matrix,model_specific_revenue_condition_research,price_range_no_attack_proxy,price remains inside the recent 23-day range and active attack has not started,0,price_range_no_attack_without_revenue_gate,baseline,baseline_price_proxy_anchor,price remains inside the recent 23-day range and active attack has not started; no revenue gate,price_proxy_available_revenue_gate_not_applied,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,excluding_unresolved_anomaly_candidates_sensitivity_only,False,True,7130,7130,d20_close_advisory,research_only_no_formal_operation_contract,5.0,D+20 close-only advisory outcome,signal_date_next_open,research_only_d20_close_not_operation_contract,none_no_formal_operation_adapter,307246,1973,278256,1973,0,0.0,90.56,307246,278256,100.0,260,1181.72,260,1181.72,280,993.77,20250609,20260709,model_lane_research_metric_source_candidate_not_pdf_ready,not_production_ready_research_only,False,none,blocked_operation_rule_and_model_specific_promotion_pr_required,"revenue_unreacted_range still needs explicit buy/sell/stop/outcome contract, contract/parity/validator updates, PR merge, and post-merge main validation before a revenue gate or PDF metric can be formal",278256,67206,65498,145552,24.15,23.54,52.31,1.81,-0.42,1.81,-0.42,48624,17.47,40167,14.44,65371,23.49,4.62,0.46,6.62,2.07
2026-07-14 18:07:44 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_revenue_condition_matrix,model_specific_revenue_condition_research,price_range_no_attack_proxy,price remains inside the recent 23-day range and active attack has not started,10,revenue_context_ready,revenue_coverage,coverage_gate_review,canonical monthly revenue history has an as-of row where source_table_date <= signal_date,joined_from_full_market_monthly_revenue_history_research_only,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,excluding_unresolved_anomaly_candidates_sensitivity_only,False,True,7130,7130,d20_close_advisory,research_only_no_formal_operation_contract,5.0,D+20 close-only advisory outcome,signal_date_next_open,research_only_d20_close_not_operation_contract,none_no_formal_operation_adapter,305207,1956,276496,1956,0,0.0,90.59,307246,278256,99.37,260,1173.87,260,1173.87,280,987.49,20250609,20260709,model_lane_research_metric_source_candidate_not_pdf_ready,not_production_ready_research_only,False,none,blocked_operation_rule_and_model_specific_promotion_pr_required,"revenue_unreacted_range still needs explicit buy/sell/stop/outcome contract, contract/parity/validator updates, PR merge, and post-merge main validation before a revenue gate or PDF metric can be formal",276496,66643,64938,144915,24.1,23.49,52.41,1.81,-0.43,1.81,-0.43,48200,17.43,39823,14.4,65077,23.54,4.62,0.46,6.62,2.07
2026-07-14 18:07:44 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_revenue_condition_matrix,model_specific_revenue_condition_research,price_range_no_attack_proxy,price remains inside the recent 23-day range and active attack has not started,20,revenue_production_strong,revenue_strength,production_semantic_gate_candidate,latest revenue YoY >= 30% or cumulative revenue YoY >= 20%,joined_from_full_market_monthly_revenue_history_research_only,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,excluding_unresolved_anomaly_candidates_sensitivity_only,False,True,6804,7130,d20_close_advisory,research_only_no_formal_operation_contract,5.0,D+20 close-only advisory outcome,signal_date_next_open,research_only_d20_close_not_operation_contract,none_no_formal_operation_adapter,74781,1284,66170,1284,0,0.0,88.49,307246,278256,23.78,260,287.62,260,287.62,280,236.32,20250609,20260709,model_lane_research_metric_source_candidate_not_pdf_ready,not_production_ready_research_only,False,none,blocked_operation_rule_and_model_specific_promotion_pr_required,"revenue_unreacted_range still needs explicit buy/sell/stop/outcome contract, contract/parity/validator updates, PR merge, and post-merge main validation before a revenue gate or PDF metric can be formal",66170,19446,12945,33779,29.39,19.56,51.05,2.83,-0.32,2.83,-0.32,15017,22.69,12833,19.39,17905,27.06,47.9,36.9,45.39,30.73
2026-07-14 18:07:44 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_revenue_condition_matrix,model_specific_revenue_condition_research,price_range_no_attack_proxy,price remains inside the recent 23-day range and active attack has not started,30,latest_revenue_yoy_ge50,revenue_strength,stronger_revenue_gate_candidate,latest monthly revenue YoY >= 50%,joined_from_full_market_monthly_revenue_history_research_only,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,excluding_unresolved_anomaly_candidates_sensitivity_only,False,True,6227,7130,d20_close_advisory,research_only_no_formal_operation_contract,5.0,D+20 close-only advisory outcome,signal_date_next_open,research_only_d20_close_not_operation_contract,none_no_formal_operation_adapter,25952,707,22342,707,0,0.0,86.09,307246,278256,8.03,260,99.82,260,99.82,280,79.79,20250609,20260709,model_lane_research_metric_source_candidate_not_pdf_ready,not_production_ready_research_only,False,none,blocked_operation_rule_and_model_specific_promotion_pr_required,"revenue_unreacted_range still needs explicit buy/sell/stop/outcome contract, contract/parity/validator updates, PR merge, and post-merge main validation before a revenue gate or PDF metric can be formal",22342,6951,4020,11371,31.11,17.99,50.9,3.03,-0.31,3.03,-0.31,5519,24.7,4737,21.2,6504,29.11,100.73,81.31,64.4,52.31
2026-07-14 18:07:44 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_revenue_condition_matrix,model_specific_revenue_condition_research,price_range_no_attack_proxy,price remains inside the recent 23-day range and active attack has not started,40,latest_revenue_yoy_ge100,revenue_strength,stronger_revenue_gate_candidate,latest monthly revenue YoY >= 100%,joined_from_full_market_monthly_revenue_history_research_only,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,excluding_unresolved_anomaly_candidates_sensitivity_only,False,True,6104,7130,d20_close_advisory,research_only_no_formal_operation_contract,5.0,D+20 close-only advisory outcome,signal_date_next_open,research_only_d20_close_not_operation_contract,none_no_formal_operation_adapter,9122,319,7810,319,0,0.0,85.62,307246,278256,2.81,260,35.08,260,35.08,280,27.89,20250609,20260709,model_lane_research_metric_source_candidate_not_pdf_ready,not_production_ready_research_only,False,none,blocked_operation_rule_and_model_specific_promotion_pr_required,"revenue_unreacted_range still needs explicit buy/sell/stop/outcome contract, contract/parity/validator updates, PR merge, and post-merge main validation before a revenue gate or PDF metric can be formal",7810,2319,1474,4017,29.69,18.87,51.43,2.55,-0.42,2.55,-0.42,1856,23.76,1599,20.47,2269,29.05,158.9,147.8,101.34,88.1
2026-07-14 18:07:44 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_revenue_condition_matrix,model_specific_revenue_condition_research,price_range_no_attack_proxy,price remains inside the recent 23-day range and active attack has not started,50,cumulative_revenue_yoy_ge30,revenue_strength,stronger_revenue_gate_candidate,cumulative monthly revenue YoY >= 30%,joined_from_full_market_monthly_revenue_history_research_only,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,excluding_unresolved_anomaly_candidates_sensitivity_only,False,True,5978,7130,d20_close_advisory,research_only_no_formal_operation_contract,5.0,D+20 close-only advisory outcome,signal_date_next_open,research_only_d20_close_not_operation_contract,none_no_formal_operation_adapter,38518,772,34102,772,0,0.0,88.54,307246,278256,12.26,260,148.15,260,148.15,280,121.79,20250609,20260709,model_lane_research_metric_source_candidate_not_pdf_ready,not_production_ready_research_only,False,none,blocked_operation_rule_and_model_specific_promotion_pr_required,"revenue_unreacted_range still needs explicit buy/sell/stop/outcome contract, contract/parity/validator updates, PR merge, and post-merge main validation before a revenue gate or PDF metric can be formal",34102,10556,6132,17414,30.95,17.98,51.06,3.13,-0.33,3.13,-0.33,8327,24.42,7235,21.22,9675,28.37,58.89,45.94,73.1,51.18
2026-07-14 18:07:44 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_revenue_condition_matrix,model_specific_revenue_condition_research,price_range_no_attack_proxy,price remains inside the recent 23-day range and active attack has not started,60,latest30_and_cumulative20,revenue_strength_combo,condition_package_candidate,latest monthly revenue YoY >= 30% and cumulative revenue YoY >= 20%,joined_from_full_market_monthly_revenue_history_research_only,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,excluding_unresolved_anomaly_candidates_sensitivity_only,False,True,5461,7130,d20_close_advisory,research_only_no_formal_operation_contract,5.0,D+20 close-only advisory outcome,signal_date_next_open,research_only_d20_close_not_operation_contract,none_no_formal_operation_adapter,33879,828,29285,828,0,0.0,86.44,307246,278256,10.52,260,130.3,260,130.3,280,104.59,20250609,20260709,model_lane_research_metric_source_candidate_not_pdf_ready,not_production_ready_research_only,False,none,blocked_operation_rule_and_model_specific_promotion_pr_required,"revenue_unreacted_range still needs explicit buy/sell/stop/outcome contract, contract/parity/validator updates, PR merge, and post-merge main validation before a revenue gate or PDF metric can be formal",29285,9377,5227,14681,32.02,17.85,50.13,3.36,-0.13,3.36,-0.13,7470,25.51,6502,22.2,8235,28.12,76.77,57.21,66.48,48.02
2026-07-14 18:07:44 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_revenue_condition_matrix,model_specific_revenue_condition_research,price_range_no_attack_proxy,price remains inside the recent 23-day range and active attack has not started,0,price_range_no_attack_without_revenue_gate,baseline,baseline_price_proxy_anchor,price remains inside the recent 23-day range and active attack has not started; no revenue gate,price_proxy_available_revenue_gate_not_applied,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,including_unresolved_anomaly_candidates_primary,True,False,7130,7130,d20_close_advisory,research_only_no_formal_operation_contract,5.0,D+20 close-only advisory outcome,signal_date_next_open,research_only_d20_close_not_operation_contract,none_no_formal_operation_adapter,314376,1977,284427,1977,0,0.0,90.47,314376,284427,100.0,260,1209.14,260,1209.14,280,1015.81,20250609,20260709,model_lane_research_metric_source_candidate_not_pdf_ready,not_production_ready_research_only,False,none,blocked_pending_root_cause_anomaly_candidate_review,"revenue_unreacted_range still needs explicit buy/sell/stop/outcome contract, contract/parity/validator updates, PR merge, and post-merge main validation before a revenue gate or PDF metric can be formal",284427,68676,66591,149160,24.15,23.41,52.44,1.77,-0.44,1.77,-0.44,49738,17.49,41097,14.45,67456,23.72,669.02,0.91,353.62,2.4
2026-07-14 18:07:44 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_revenue_condition_matrix,model_specific_revenue_condition_research,price_range_no_attack_proxy,price remains inside the recent 23-day range and active attack has not started,10,revenue_context_ready,revenue_coverage,coverage_gate_review,canonical monthly revenue history has an as-of row where source_table_date <= signal_date,joined_from_full_market_monthly_revenue_history_research_only,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,including_unresolved_anomaly_candidates_primary,True,False,7130,7130,d20_close_advisory,research_only_no_formal_operation_contract,5.0,D+20 close-only advisory outcome,signal_date_next_open,research_only_d20_close_not_operation_contract,none_no_formal_operation_adapter,312337,1960,282667,1960,0,0.0,90.5,314376,284427,99.38,260,1201.3,260,1201.3,280,1009.52,20250609,20260709,model_lane_research_metric_source_candidate_not_pdf_ready,not_production_ready_research_only,False,none,blocked_pending_root_cause_anomaly_candidate_review,"revenue_unreacted_range still needs explicit buy/sell/stop/outcome contract, contract/parity/validator updates, PR merge, and post-merge main validation before a revenue gate or PDF metric can be formal",282667,68113,66031,148523,24.1,23.36,52.54,1.77,-0.45,1.77,-0.45,49314,17.45,40753,14.42,67162,23.76,669.02,0.91,353.62,2.4
2026-07-14 18:07:44 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_revenue_condition_matrix,model_specific_revenue_condition_research,price_range_no_attack_proxy,price remains inside the recent 23-day range and active attack has not started,20,revenue_production_strong,revenue_strength,production_semantic_gate_candidate,latest revenue YoY >= 30% or cumulative revenue YoY >= 20%,joined_from_full_market_monthly_revenue_history_research_only,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,including_unresolved_anomaly_candidates_primary,True,False,6804,7130,d20_close_advisory,research_only_no_formal_operation_contract,5.0,D+20 close-only advisory outcome,signal_date_next_open,research_only_d20_close_not_operation_contract,none_no_formal_operation_adapter,81585,1305,72033,1305,0,0.0,88.29,314376,284427,25.33,260,313.79,260,313.79,280,257.26,20250609,20260709,model_lane_research_metric_source_candidate_not_pdf_ready,not_production_ready_research_only,False,none,blocked_pending_root_cause_anomaly_candidate_review,"revenue_unreacted_range still needs explicit buy/sell/stop/outcome contract, contract/parity/validator updates, PR merge, and post-merge main validation before a revenue gate or PDF metric can be formal",72033,20861,13921,37251,28.96,19.33,51.71,2.62,-0.42,2.62,-0.42,16109,22.36,13747,19.08,19928,27.67,2651.33,39.58,1401.42,32.31
