generated_at,model_id,artifact_id,artifact_version,analysis_basis,row_type,feature_order,feature_id,feature_family,feature_rule,success_group_count,failure_group_count,success_observed_count,failure_observed_count,success_hit_count,failure_hit_count,success_hit_rate_pct,failure_hit_rate_pct,success_minus_failure_hit_rate_pct_points,feature_hit_event_count,strict_success_share_when_feature_hit_pct,feature_miss_event_count,strict_success_share_when_feature_miss_pct,success_mean,success_median,failure_mean,failure_median,success_minus_failure_mean,standardized_mean_difference,contrast_scope,sample_policy,approved_for_daily,production_change,promotion_readiness
2026-07-14 14:39:01 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v1_20260713,excluding_unresolved_anomaly_candidates_sensitivity,binary_feature,10,breakout_prev40,breakout,trigger close is above previous 40-day highest close,329,1170,329,1170,220,346,66.8693,29.5726,37.2967,566,38.8693,933,11.6827,,,,,,,descriptive_retrospective_source_launch_vs_source_first_mature_failure_not_trade_win_rate,sample_count_disclosed_not_used_as_automatic_rejection,False,False,blocked_pending_rule_matrix_decision
2026-07-14 14:39:01 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v1_20260713,excluding_unresolved_anomaly_candidates_sensitivity,binary_feature,20,breakout_prev60,breakout,trigger close is above previous 60-day highest close,329,1170,329,1170,177,200,53.7994,17.094,36.7054,377,46.9496,1122,13.5472,,,,,,,descriptive_retrospective_source_launch_vs_source_first_mature_failure_not_trade_win_rate,sample_count_disclosed_not_used_as_automatic_rejection,False,False,blocked_pending_rule_matrix_decision
2026-07-14 14:39:01 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v1_20260713,excluding_unresolved_anomaly_candidates_sensitivity,binary_feature,30,next_close_continuation,close_confirmation,next-day close is above trigger close,329,1170,329,1170,196,503,59.5745,42.9915,16.583,699,28.0401,800,16.625,,,,,,,descriptive_retrospective_source_launch_vs_source_first_mature_failure_not_trade_win_rate,sample_count_disclosed_not_used_as_automatic_rejection,False,False,blocked_pending_rule_matrix_decision
2026-07-14 14:39:01 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v1_20260713,excluding_unresolved_anomaly_candidates_sensitivity,binary_feature,40,next_close_holds_breakout,close_confirmation,next-day close holds the trigger's previous 20-day highest close,329,1170,329,1170,280,863,85.1064,73.7607,11.3457,1143,24.4969,356,13.764,,,,,,,descriptive_retrospective_source_launch_vs_source_first_mature_failure_not_trade_win_rate,sample_count_disclosed_not_used_as_automatic_rejection,False,False,blocked_pending_rule_matrix_decision
2026-07-14 14:39:01 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v1_20260713,excluding_unresolved_anomaly_candidates_sensitivity,binary_feature,100,volume_ge1_5,volume,trigger-day volume ratio >= 1.5,329,1170,329,1170,223,757,67.7812,64.7009,3.0803,980,22.7551,519,20.4239,,,,,,,descriptive_retrospective_source_launch_vs_source_first_mature_failure_not_trade_win_rate,sample_count_disclosed_not_used_as_automatic_rejection,False,False,blocked_pending_rule_matrix_decision
2026-07-14 14:39:01 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v1_20260713,excluding_unresolved_anomaly_candidates_sensitivity,binary_feature,110,volume_ge2,volume,trigger-day volume ratio >= 2.0,329,1170,329,1170,166,596,50.4559,50.9402,-0.4843,762,21.7848,737,22.1167,,,,,,,descriptive_retrospective_source_launch_vs_source_first_mature_failure_not_trade_win_rate,sample_count_disclosed_not_used_as_automatic_rejection,False,False,blocked_pending_rule_matrix_decision
2026-07-14 14:39:01 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v1_20260713,excluding_unresolved_anomaly_candidates_sensitivity,binary_feature,120,ma60_gt_ma120,technical,MA60 > MA120,329,1170,329,1170,226,442,68.693,37.7778,30.9152,668,33.8323,831,12.3947,,,,,,,descriptive_retrospective_source_launch_vs_source_first_mature_failure_not_trade_win_rate,sample_count_disclosed_not_used_as_automatic_rejection,False,False,blocked_pending_rule_matrix_decision
2026-07-14 14:39:01 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v1_20260713,excluding_unresolved_anomaly_candidates_sensitivity,binary_feature,130,obv_above_ma20,technical,OBV above OBV MA20,329,1170,329,1169,315,1050,95.7447,89.8204,5.9243,1365,23.0769,133,10.5263,,,,,,,descriptive_retrospective_source_launch_vs_source_first_mature_failure_not_trade_win_rate,sample_count_disclosed_not_used_as_automatic_rejection,False,False,blocked_pending_rule_matrix_decision
2026-07-14 14:39:01 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v1_20260713,excluding_unresolved_anomaly_candidates_sensitivity,binary_feature,140,kdj_bullish_not_extreme,technical,"K > D, J > K, and J < 100",329,1170,329,1096,228,722,69.3009,65.8759,3.425,950,24.0,475,21.2632,,,,,,,descriptive_retrospective_source_launch_vs_source_first_mature_failure_not_trade_win_rate,sample_count_disclosed_not_used_as_automatic_rejection,False,False,blocked_pending_rule_matrix_decision
2026-07-14 14:39:01 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v1_20260713,excluding_unresolved_anomaly_candidates_sensitivity,binary_feature,150,close_above_ma20_ema23,technical,close above MA20 and EMA23,329,1170,329,1170,326,1163,99.0881,99.4017,-0.3136,1489,21.8939,10,30.0,,,,,,,descriptive_retrospective_source_launch_vs_source_first_mature_failure_not_trade_win_rate,sample_count_disclosed_not_used_as_automatic_rejection,False,False,blocked_pending_rule_matrix_decision
