date,stock_id,stock_name,market,open,high,low,close,volume,volume_ma20_prev,start_day_volume_ratio_vs_prev20,prev_day_volume_ratio_vs_prev20,future_5d_high,future_5d_high_day_offset,future_5d_high_from_start_low_pct,next_open,signal_close_to_next_open_gap_pct,next_open_to_d5_high_return_pct,next_open_to_d10_high_return_pct,next_open_to_d20_high_return_pct,signal_day_close_return_pct,signal_day_high_from_low_pct
20260528,1110,東泥,TWSE,14.0,14.05,13.9,14.0,118671.0,215315.4,0.5511496158658414,1.1876884769007554,17.25,5,24.100719424460436,14.1,0.7142857142857117,22.34042553191489,22.34042553191489,22.34042553191489,0.0,1.0791366906474753
20260529,1110,東泥,TWSE,14.1,14.6,14.1,14.6,267904.0,204954.4,1.3071395393316758,0.5511496158658414,17.25,4,22.34042553191489,14.6,0.0,18.150684931506845,18.150684931506845,18.150684931506845,3.546099290780136,3.546099290780136
20260601,1110,東泥,TWSE,14.6,14.7,14.3,14.6,576459.0,205846.35,2.8004334300802514,1.3071395393316758,17.25,3,20.629370629370626,14.6,0.0,18.150684931506845,18.150684931506845,18.150684931506845,0.0,2.7972027972027913
20260602,1110,東泥,TWSE,14.6,14.6,14.25,14.5,165347.0,227173.15,0.7278456983142594,2.8004334300802514,17.25,2,21.052631578947366,14.6,0.6896551724137945,18.150684931506845,18.150684931506845,18.150684931506845,-0.6849315068493178,2.4561403508772006
20260331,1235,興泰,TWSE,36.95,38.6,36.95,38.4,10476.0,28284.0,0.3703860840050912,0.5235382036620775,44.85,5,21.38024357239512,39.05,1.692708333333326,14.852752880921916,17.541613316261206,19.97439180537772,3.9242219215155583,4.46549391069011
20250826,1256,鮮活果汁-KY,listed,118.5,119.5,118.5,119.5,15853.0,20057.5,0.7903776642153808,0.6441790535092629,143.5,5,21.09704641350212,119.5,0.0,20.083682008368207,44.76987447698744,53.55648535564854,0.8438818565400741,0.8438818565400741
20250827,1256,鮮活果汁-KY,listed,119.5,120.0,119.0,120.0,23533.0,20209.6,1.1644465996358166,0.7903776642153808,157.5,5,32.35294117647059,120.0,0.0,31.25,51.66666666666666,54.58333333333334,0.4184100418409997,0.8403361344537785
20250828,1256,鮮活果汁-KY,listed,120.0,120.0,119.5,120.0,10697.0,20369.7,0.5251427365155108,1.1644465996358166,173.0,5,44.76987447698744,120.0,0.0,44.166666666666664,51.66666666666666,54.58333333333334,0.0,0.4184100418409997
20250829,1256,鮮活果汁-KY,listed,120.0,120.0,119.0,119.0,15179.0,20053.5,0.7569252250230633,0.5251427365155108,173.0,4,45.3781512605042,130.5,9.663865546218497,32.567049808429125,40.613026819923384,42.1455938697318,-0.8333333333333304,0.8403361344537785
20250901,1256,鮮活果汁-KY,listed,130.5,130.5,130.5,130.5,73731.0,20126.15,3.6634428343225105,0.7569252250230633,173.0,3,32.567049808429125,143.5,9.961685823754785,20.557491289198616,27.874564459930305,29.268292682926834,0.0,0.0
