model_id,event_date,stock_id,stock_name,market,market_regime,classification_id,classification_name_zh,pattern_tags,consolidation_type,consolidation_name_zh,price_position_type,price_position_name_zh,attack_method,attack_method_name_zh,candle_quality,candle_quality_name_zh,follow_through_type,follow_through_name_zh,follow_through_tags,risk_type,risk_name_zh,risk_tags,volume_ratio,signal_return_1d_pct,signal_open,signal_high,signal_low,signal_close,next_open,next_high,next_low,next_close,touch_5ma_10d,touch_10ma_10d,break_signal_low_5d,range_width_20_pct,range_width_40_pct,range_width_60_pct,low_position_60_pct,limit_up_like,out_of_sample
volume_range_breakout,20250507,4545,銘鈺,listed,range_or_mixed,locked_limit_up_breakout,鎖量漲停突破,limit_up_like|volume_ratio_2_3|non_consolidation|unknown_position|locked_limit_up|close_at_high|break_signal_low|breakout_failure,non_consolidation,非盤整,unknown_position,位階資料不足,locked_limit_up,鎖量漲停,close_at_high,收最高,break_signal_low,跌破訊號低點,next_day_continuation|pullback_5ma|pullback_10ma|break_signal_low,breakout_failure,突破失敗,breakout_failure|tight_signal_low_stop|stop_loss_easy_trigger,2.2357,9.973,40.8,40.8,40.8,40.8,44.85,44.85,44.85,44.85,True,True,True,37.2051,,,,True,False
volume_range_breakout,20250507,6213,聯茂,listed,range_or_mixed,standard_breakout,一般突破,volume_ratio_ge_3|non_consolidation|unknown_position|volume_attack|upper_shadow|pullback_5ma|stop_loss_easy_trigger,non_consolidation,非盤整,unknown_position,位階資料不足,volume_attack,放量攻擊,upper_shadow,留上影,pullback_5ma,回測5MA,pullback_5ma,stop_loss_easy_trigger,停損容易被打到,tight_signal_low_stop,3.6007,4.8193,68.8,71.7,68.6,69.6,69.6,71.3,69.5,71.2,True,False,False,37.9024,,,,False,False
volume_range_breakout,20250507,6807,峰源-KY,listed,range_or_mixed,standard_breakout,一般突破,volume_ratio_ge_3|non_consolidation|unknown_position|volume_attack|standard_candle|next_day_continuation|normal_risk,non_consolidation,非盤整,unknown_position,位階資料不足,volume_attack,放量攻擊,standard_candle,一般K棒,next_day_continuation,隔日續強,next_day_continuation|pullback_5ma|pullback_10ma,normal_risk,一般風險,,3.9796,4.0,75.0,79.3,75.0,78.0,78.0,80.0,77.8,80.0,True,True,False,40.0,,,,False,False
volume_range_breakout,20250507,9907,統一實,listed,range_or_mixed,locked_limit_up_breakout,鎖量漲停突破,limit_up_like|volume_ratio_ge_3|non_consolidation|unknown_position|locked_limit_up|close_at_high|next_day_gap_fade|volume_overheat,non_consolidation,非盤整,unknown_position,位階資料不足,locked_limit_up,鎖量漲停,close_at_high,收最高,next_day_gap_fade,隔日開高走低,next_day_continuation|next_day_gap_fade|pullback_5ma|pullback_10ma,volume_overheat,量能過熱,volume_overheat,7.643,9.9448,19.2,19.9,19.0,19.9,20.45,20.55,19.55,20.25,True,True,False,22.6974,,,,True,False
volume_range_breakout,20250508,1213,大飲,listed,range_or_mixed,standard_breakout,一般突破,volume_ratio_2_3|non_consolidation|unknown_position|general_breakout|upper_shadow|break_signal_low|breakout_failure,non_consolidation,非盤整,unknown_position,位階資料不足,general_breakout,一般突破,upper_shadow,留上影,break_signal_low,跌破訊號低點,pullback_5ma|pullback_10ma|break_signal_low,breakout_failure,突破失敗,breakout_failure|tight_signal_low_stop|stop_loss_easy_trigger,2.1555,2.5547,14.05,14.15,13.95,14.05,13.95,14.05,13.9,14.05,True,True,True,19.1304,,,,False,False
volume_range_breakout,20250508,1512,瑞利,listed,range_or_mixed,standard_breakout,一般突破,volume_ratio_ge_3|non_consolidation|unknown_position|volume_attack|explosive_long_red|next_day_gap_fade|volume_overheat,non_consolidation,非盤整,unknown_position,位階資料不足,volume_attack,放量攻擊,explosive_long_red,爆量長紅,next_day_gap_fade,隔日開高走低,next_day_continuation|next_day_gap_fade|pullback_5ma|pullback_10ma,volume_overheat,量能過熱,volume_overheat,5.9389,6.1008,7.53,8.29,7.53,8.0,8.4,8.4,8.01,8.35,True,True,False,34.4523,,,,False,False
volume_range_breakout,20250508,1526,日馳,listed,range_or_mixed,locked_limit_up_breakout,鎖量漲停突破,limit_up_like|volume_ratio_ge_3|short_consolidation|unknown_position|locked_limit_up|close_at_high|next_day_continuation|normal_risk,short_consolidation,短盤整,unknown_position,位階資料不足,locked_limit_up,鎖量漲停,close_at_high,收最高,next_day_continuation,隔日續強,next_day_continuation|pullback_5ma|pullback_10ma,normal_risk,一般風險,,3.845,9.7938,19.6,21.3,19.6,21.3,22.8,23.35,21.85,22.8,True,True,False,12.8205,,,,True,False
volume_range_breakout,20250508,2331,精英,listed,range_or_mixed,locked_limit_up_breakout,鎖量漲停突破,limit_up_like|volume_ratio_2_3|non_consolidation|unknown_position|locked_limit_up|close_at_high|next_day_gap_fade|normal_risk,non_consolidation,非盤整,unknown_position,位階資料不足,locked_limit_up,鎖量漲停,close_at_high,收最高,next_day_gap_fade,隔日開高走低,next_day_continuation|next_day_gap_fade|pullback_5ma,normal_risk,一般風險,,2.1261,9.7403,16.25,16.9,16.25,16.9,18.2,18.2,16.9,17.0,True,False,False,20.8333,,,,True,False
volume_range_breakout,20250508,2383,台光電,listed,range_or_mixed,standard_breakout,一般突破,volume_ratio_2_3|non_consolidation|unknown_position|general_breakout|standard_candle|next_day_continuation|normal_risk,non_consolidation,非盤整,unknown_position,位階資料不足,general_breakout,一般突破,standard_candle,一般K棒,next_day_continuation,隔日續強,next_day_continuation|pullback_5ma,normal_risk,一般風險,,2.4077,8.1699,647.0,665.0,625.0,662.0,667.0,690.0,659.0,679.0,True,False,False,56.0197,,,,False,False
volume_range_breakout,20250508,2439,美律,listed,range_or_mixed,standard_breakout,一般突破,volume_ratio_2_3|non_consolidation|unknown_position|general_breakout|standard_candle|next_day_continuation|normal_risk,non_consolidation,非盤整,unknown_position,位階資料不足,general_breakout,一般突破,standard_candle,一般K棒,next_day_continuation,隔日續強,next_day_continuation|pullback_5ma,normal_risk,一般風險,,2.1416,4.8458,114.5,121.0,114.0,119.0,121.0,124.0,119.0,122.0,True,False,False,24.5937,,,,False,False
volume_range_breakout,20250508,2630,亞航,listed,range_or_mixed,locked_limit_up_breakout,鎖量漲停突破,limit_up_like|volume_ratio_2_3|non_consolidation|unknown_position|locked_limit_up|close_at_high|next_day_gap_fade|normal_risk,non_consolidation,非盤整,unknown_position,位階資料不足,locked_limit_up,鎖量漲停,close_at_high,收最高,next_day_gap_fade,隔日開高走低,next_day_gap_fade|pullback_5ma|pullback_10ma,normal_risk,一般風險,,2.8379,9.9122,41.0,43.8,40.8,43.8,45.8,45.85,41.45,43.65,True,True,False,44.652,,,,True,False
volume_range_breakout,20250508,2753,八方雲集,listed,range_or_mixed,standard_breakout,一般突破,volume_ratio_2_3|non_consolidation|unknown_position|general_breakout|standard_candle|break_signal_low|breakout_failure,non_consolidation,非盤整,unknown_position,位階資料不足,general_breakout,一般突破,standard_candle,一般K棒,break_signal_low,跌破訊號低點,pullback_5ma|pullback_10ma|break_signal_low,breakout_failure,突破失敗,breakout_failure|stop_loss_easy_trigger,2.575,7.6294,190.0,199.0,190.0,197.5,195.0,197.5,193.0,195.5,True,True,True,18.4049,,,,False,False
volume_range_breakout,20250508,3090,日電貿,listed,range_or_mixed,locked_limit_up_breakout,鎖量漲停突破,limit_up_like|volume_ratio_ge_3|non_consolidation|unknown_position|locked_limit_up|close_at_high|next_day_continuation|normal_risk,non_consolidation,非盤整,unknown_position,位階資料不足,locked_limit_up,鎖量漲停,close_at_high,收最高,next_day_continuation,隔日續強,next_day_continuation|pullback_5ma,normal_risk,一般風險,,4.2545,9.9225,69.3,70.9,68.7,70.9,70.9,74.0,70.4,73.7,True,False,False,21.5722,,,,True,False
volume_range_breakout,20250508,4545,銘鈺,listed,range_or_mixed,locked_limit_up_breakout,鎖量漲停突破,limit_up_like|volume_ratio_lt_2|non_consolidation|unknown_position|locked_limit_up|false_breakout|break_signal_low|breakout_failure,non_consolidation,非盤整,unknown_position,位階資料不足,locked_limit_up,鎖量漲停,false_breakout,假突破,break_signal_low,跌破訊號低點,next_day_gap_fade|pullback_5ma|pullback_10ma|break_signal_low,breakout_failure,突破失敗,breakout_failure|tight_signal_low_stop|stop_loss_easy_trigger,1.6986,9.9265,44.85,44.85,44.85,44.85,49.2,49.2,40.55,40.6,True,True,True,48.0944,,,,True,False
volume_range_breakout,20250509,3032,偉訓,listed,range_or_mixed,standard_breakout,一般突破,volume_ratio_2_3|non_consolidation|unknown_position|general_breakout|standard_candle|next_day_gap_fade|normal_risk,non_consolidation,非盤整,unknown_position,位階資料不足,general_breakout,一般突破,standard_candle,一般K棒,next_day_gap_fade,隔日開高走低,next_day_gap_fade|pullback_5ma|pullback_10ma,normal_risk,一般風險,,2.9463,4.5322,69.0,72.9,67.0,71.5,72.1,73.3,68.7,70.4,True,True,False,28.785,,,,False,False
volume_range_breakout,20250509,3090,日電貿,listed,range_or_mixed,standard_breakout,一般突破,volume_ratio_ge_3|non_consolidation|unknown_position|volume_attack|standard_candle|next_day_gap_fade|volume_overheat,non_consolidation,非盤整,unknown_position,位階資料不足,volume_attack,放量攻擊,standard_candle,一般K棒,next_day_gap_fade,隔日開高走低,next_day_gap_fade|pullback_5ma|pullback_10ma,volume_overheat,量能過熱,volume_overheat,9.0954,3.9492,70.9,74.0,70.4,73.7,74.7,74.9,72.8,73.7,True,True,False,29.6161,,,,False,False
