model_id,confirmation_model_id,overlay_model_id,research_id,source_research_id,research_variant_id,advisory_status,surface_id,event_set_id,outcome_rule_id,diagnostic_type,segment_id,segment_description,sample_size,evaluated_sample_size,mature_sample_size,win_count,neutral_count,loss_count,incomplete_count,win_rate_excl_neutral_pct,neutral_rate_evaluated_pct,loss_rate_excl_neutral_pct,avg_return_pct,median_return_pct,baseline_segment_id,baseline_evaluated_sample_size,baseline_win_rate_excl_neutral_pct,baseline_neutral_rate_evaluated_pct,delta_win_rate_pct_vs_all,delta_neutral_rate_pct_vs_all,avg_price_position_252_pct,median_price_position_252_pct,avg_second_arc_volume_ratio,median_second_arc_volume_ratio,avg_red_ratio_delta_pct,median_red_ratio_delta_pct,avg_neckline_distance_pct,median_neckline_distance_pct,avg_signal_rebound_from_right_low_pct,median_signal_rebound_from_right_low_pct,sample_warning,research_interpretation,approved_for_daily,production_readiness,generated_at
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_early_entry_outcome_diagnostics,w_bottom_early_entry_parameter_grid,warning_research_variant_only,warning_research_variant_only,w_bottom_right_low_early_entry,baseline_current_detector,take_profit_10pct_close_40d,segment_rate,all_rows,All evaluated early-entry rows.,470,305,305,104,0,201,165,34.0984,0.0000,65.9016,-0.0439,-0.4950,all_rows,305,34.0984,0.0000,0.0000,0.0000,24.8791,22.9759,1.6740,1.4811,1.1164,1.1721,-7.4954,-5.9108,6.2954,5.0844,medium_mature_sample_research_only,baseline_reference,false,not_production_ready_research_only,2026-06-26 16:15:03 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_early_entry_outcome_diagnostics,w_bottom_early_entry_parameter_grid,warning_research_variant_only,warning_research_variant_only,w_bottom_right_low_early_entry,baseline_current_detector,take_profit_10pct_close_40d,outcome_profile,outcome_win,Rows whose result is win.,104,104,104,104,0,0,0,100.0000,0.0000,0.0000,12.7802,11.6204,all_rows,305,34.0984,0.0000,65.9016,0.0000,28.3487,26.1287,1.6739,1.4852,1.9699,2.0614,-6.4204,-5.1283,6.6916,5.5787,medium_mature_sample_research_only,outcome_profile_reference,false,not_production_ready_research_only,2026-06-26 16:15:03 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_early_entry_outcome_diagnostics,w_bottom_early_entry_parameter_grid,warning_research_variant_only,warning_research_variant_only,w_bottom_right_low_early_entry,baseline_current_detector,take_profit_10pct_close_40d,outcome_profile,outcome_neutral,Rows whose result is neutral.,0,0,0,0,0,0,0,,,,,,all_rows,305,34.0984,0.0000,,,,,,,,,,,,,tiny_mature_sample_research_only,outcome_profile_reference,false,not_production_ready_research_only,2026-06-26 16:15:03 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_early_entry_outcome_diagnostics,w_bottom_early_entry_parameter_grid,warning_research_variant_only,warning_research_variant_only,w_bottom_right_low_early_entry,baseline_current_detector,take_profit_10pct_close_40d,outcome_profile,outcome_loss,Rows whose result is loss.,201,201,201,0,0,201,0,0.0000,0.0000,100.0000,-6.6793,-5.4054,all_rows,305,34.0984,0.0000,-34.0984,0.0000,25.6280,23.4266,1.7869,1.5361,0.1606,0.5367,-8.2897,-6.3758,5.8102,4.6809,medium_mature_sample_research_only,outcome_profile_reference,false,not_production_ready_research_only,2026-06-26 16:15:03 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_early_entry_outcome_diagnostics,w_bottom_early_entry_parameter_grid,warning_research_variant_only,warning_research_variant_only,w_bottom_right_low_early_entry,baseline_current_detector,take_profit_10pct_close_40d,segment_rate,core_mainstream,Taxonomy segment is core_mainstream.,218,148,148,63,0,85,70,42.5676,0.0000,57.4324,1.5888,3.1792,all_rows,305,34.0984,0.0000,8.4692,0.0000,27.2629,25.0482,1.6074,1.4739,1.9476,1.8808,-7.6555,-5.8824,7.2626,6.5263,medium_mature_sample_research_only,candidate_improves_win_without_more_neutral,false,not_production_ready_research_only,2026-06-26 16:15:03 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_early_entry_outcome_diagnostics,w_bottom_early_entry_parameter_grid,warning_research_variant_only,warning_research_variant_only,w_bottom_right_low_early_entry,baseline_current_detector,take_profit_10pct_close_40d,segment_rate,non_mainstream,Taxonomy segment is not core_mainstream.,252,157,157,41,0,116,95,26.1146,0.0000,73.8854,-1.5831,-2.9333,all_rows,305,34.0984,0.0000,-7.9837,0.0000,22.8170,21.5635,1.7316,1.4831,0.3974,0.0909,-7.3569,-5.9270,5.4586,4.4824,medium_mature_sample_research_only,not_better_than_all_same_event,false,not_production_ready_research_only,2026-06-26 16:15:03 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_early_entry_outcome_diagnostics,w_bottom_early_entry_parameter_grid,warning_research_variant_only,warning_research_variant_only,w_bottom_right_low_early_entry,baseline_current_detector,take_profit_10pct_close_40d,segment_rate,price_position_le_25,price_position_252_pct <= 25.,262,156,156,48,0,108,106,30.7692,0.0000,69.2308,-0.8967,-1.1708,all_rows,305,34.0984,0.0000,-3.3291,0.0000,14.7263,15.1446,1.7127,1.4824,2.3417,1.9413,-7.4015,-5.7639,5.9248,4.8814,medium_mature_sample_research_only,not_better_than_all_same_event,false,not_production_ready_research_only,2026-06-26 16:15:03 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_early_entry_outcome_diagnostics,w_bottom_early_entry_parameter_grid,warning_research_variant_only,warning_research_variant_only,w_bottom_right_low_early_entry,baseline_current_detector,take_profit_10pct_close_40d,segment_rate,price_position_le_40,price_position_252_pct <= 40.,402,247,247,79,0,168,155,31.9838,0.0000,68.0162,-0.1961,-0.2695,all_rows,305,34.0984,0.0000,-2.1146,0.0000,20.7161,19.9548,1.6741,1.4824,1.8069,1.5232,-7.2154,-5.7165,6.3247,5.2195,medium_mature_sample_research_only,not_better_than_all_same_event,false,not_production_ready_research_only,2026-06-26 16:15:03 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_early_entry_outcome_diagnostics,w_bottom_early_entry_parameter_grid,warning_research_variant_only,warning_research_variant_only,w_bottom_right_low_early_entry,baseline_current_detector,take_profit_10pct_close_40d,segment_rate,bottom_quartile_level,Signal is in the bottom-quartile price bucket.,261,155,155,48,0,107,106,30.9677,0.0000,69.0323,-0.8813,-0.9963,all_rows,305,34.0984,0.0000,-3.1306,0.0000,14.6869,15.0142,1.7136,1.4815,2.3854,1.9820,-7.3785,-5.7187,5.9358,4.9159,medium_mature_sample_research_only,not_better_than_all_same_event,false,not_production_ready_research_only,2026-06-26 16:15:03 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_early_entry_outcome_diagnostics,w_bottom_early_entry_parameter_grid,warning_research_variant_only,warning_research_variant_only,w_bottom_right_low_early_entry,baseline_current_detector,take_profit_10pct_close_40d,segment_rate,bottom_or_low_level,Signal is bottom-quartile or low-level.,443,280,280,95,0,185,163,33.9286,0.0000,66.0714,0.0169,-0.3620,all_rows,305,34.0984,0.0000,-0.1698,0.0000,22.9743,22.0779,1.6759,1.4833,1.2268,1.3736,-7.3812,-5.8824,6.2902,5.1471,medium_mature_sample_research_only,not_better_than_all_same_event,false,not_production_ready_research_only,2026-06-26 16:15:03 Asia/Taipei
