generated_at,model_id,model_name_zh,research_artifact_id,score_draft_id,score_bucket,exit_rule_id,formal_price_rule_status,profit_target_pct,exit_price_rule,entry_rule_id,buy_point_rule,score_use,score_rule_summary,selected_stock_days,selected_unique_stocks,mature_count,win_count,neutral_count,failure_count,same_day_unresolved_count,win_rate_pct,neutral_rate_pct,failure_rate_pct,same_day_unresolved_rate_pct,avg_research_score,avg_realized_return_pct,median_realized_return_pct,avg_win_realized_return_pct,avg_failure_realized_return_pct,avg_d20_close_return_pct,avg_realized_or_d20_days,advisory_status,approved_for_daily,production_change,promotion_readiness,promotion_blocker,component_hit_count_tdcc_high_thresholds_up,component_hit_rate_pct_tdcc_high_thresholds_up,component_hit_count_return20_0_25,component_hit_rate_pct_return20_0_25,component_hit_count_return45_ge5,component_hit_rate_pct_return45_ge5,component_hit_count_range_width45_ge28,component_hit_rate_pct_range_width45_ge28,component_hit_count_prior_extension_ema23_20d_ge8,component_hit_rate_pct_prior_extension_ema23_20d_ge8,component_hit_count_prior_runup20_ge15,component_hit_rate_pct_prior_runup20_ge15,component_hit_count_obv_above_ma20,component_hit_rate_pct_obv_above_ma20,component_hit_summary
2026-07-11 16:00:36 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_research_score_bucket,research_bonus_score_v1,score_0_1,close_prev20_break_then_tp10_or_5ma_next_open,close_confirmed_candidate,10.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; score is advisory only.,research_only_not_production_score,"TDCC high-thresholds up=2 points; return20_0_25, return45_ge5, range_width45_ge28, prior_extension_ema23_20d_ge8, prior_runup20_ge15, and OBV above MA20=1 point each.",99267,1729,99267,11292,34732,53243,0,11.38,34.99,53.64,0.0,0.49,0.47,-0.42,15.06,-4.14,0.44,15.89,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_and_operation_approval_required,"requires exact daily operation parity, explicit score promotion PR, contract update, validators, and post-merge validation before production scoring use",0,0.0,11298,11.38,1749,1.76,14090,14.19,3946,3.98,2044,2.06,15061,15.17,tdcc_high_thresholds_up:0;return20_0_25:11298;return45_ge5:1749;range_width45_ge28:14090;prior_extension_ema23_20d_ge8:3946;prior_runup20_ge15:2044;obv_above_ma20:15061
2026-07-11 16:00:36 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_research_score_bucket,research_bonus_score_v1,score_2_3,close_prev20_break_then_tp10_or_5ma_next_open,close_confirmed_candidate,10.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; score is advisory only.,research_only_not_production_score,"TDCC high-thresholds up=2 points; return20_0_25, return45_ge5, range_width45_ge28, prior_extension_ema23_20d_ge8, prior_runup20_ge15, and OBV above MA20=1 point each.",110766,1947,110766,15896,34659,60211,0,14.35,31.29,54.36,0.0,2.45,0.99,-0.4,17.21,-4.65,1.5,13.58,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_and_operation_approval_required,"requires exact daily operation parity, explicit score promotion PR, contract update, validators, and post-merge validation before production scoring use",6687,6.04,53132,47.97,13442,12.14,44417,40.1,43352,39.14,46420,41.91,57506,51.92,tdcc_high_thresholds_up:6687;return20_0_25:53132;return45_ge5:13442;range_width45_ge28:44417;prior_extension_ema23_20d_ge8:43352;prior_runup20_ge15:46420;obv_above_ma20:57506
2026-07-11 16:00:36 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_research_score_bucket,research_bonus_score_v1,score_4_5,close_prev20_break_then_tp10_or_5ma_next_open,close_confirmed_candidate,10.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; score is advisory only.,research_only_not_production_score,"TDCC high-thresholds up=2 points; return20_0_25, return45_ge5, range_width45_ge28, prior_extension_ema23_20d_ge8, prior_runup20_ge15, and OBV above MA20=1 point each.",48779,1795,48779,11891,11224,25664,0,24.38,23.01,52.61,0.0,4.43,1.96,-0.47,18.91,-6.94,3.57,13.7,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_and_operation_approval_required,"requires exact daily operation parity, explicit score promotion PR, contract update, validators, and post-merge validation before production scoring use",6681,13.7,30668,62.87,22734,46.61,34242,70.2,40712,83.46,42994,88.14,31493,64.56,tdcc_high_thresholds_up:6681;return20_0_25:30668;return45_ge5:22734;range_width45_ge28:34242;prior_extension_ema23_20d_ge8:40712;prior_runup20_ge15:42994;obv_above_ma20:31493
2026-07-11 16:00:36 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_research_score_bucket,research_bonus_score_v1,score_6_plus,close_prev20_break_then_tp10_or_5ma_next_open,close_confirmed_candidate,10.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; score is advisory only.,research_only_not_production_score,"TDCC high-thresholds up=2 points; return20_0_25, return45_ge5, range_width45_ge28, prior_extension_ema23_20d_ge8, prior_runup20_ge15, and OBV above MA20=1 point each.",12215,1192,12215,4003,2334,5878,0,32.77,19.11,48.12,0.0,6.25,3.37,0.76,19.7,-8.31,5.25,13.33,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_and_operation_approval_required,"requires exact daily operation parity, explicit score promotion PR, contract update, validators, and post-merge validation before production scoring use",3830,31.35,11103,90.9,11280,92.35,11388,93.23,11917,97.56,12081,98.9,10943,89.59,tdcc_high_thresholds_up:3830;return20_0_25:11103;return45_ge5:11280;range_width45_ge28:11388;prior_extension_ema23_20d_ge8:11917;prior_runup20_ge15:12081;obv_above_ma20:10943
2026-07-11 16:00:36 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_research_score_bucket,research_bonus_score_v1,score_0_1,close_prev20_break_then_tp5_or_5ma_next_open,close_confirmed_candidate,5.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; score is advisory only.,research_only_not_production_score,"TDCC high-thresholds up=2 points; return20_0_25, return45_ge5, range_width45_ge28, prior_extension_ema23_20d_ge8, prior_runup20_ge15, and OBV above MA20=1 point each.",99267,1729,99267,20263,26151,52853,0,20.41,26.34,53.24,0.0,0.49,0.48,-0.4,10.47,-4.16,0.44,15.55,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_and_operation_approval_required,"requires exact daily operation parity, explicit score promotion PR, contract update, validators, and post-merge validation before production scoring use",0,0.0,11298,11.38,1749,1.76,14090,14.19,3946,3.98,2044,2.06,15061,15.17,tdcc_high_thresholds_up:0;return20_0_25:11298;return45_ge5:1749;range_width45_ge28:14090;prior_extension_ema23_20d_ge8:3946;prior_runup20_ge15:2044;obv_above_ma20:15061
2026-07-11 16:00:36 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_research_score_bucket,research_bonus_score_v1,score_2_3,close_prev20_break_then_tp5_or_5ma_next_open,close_confirmed_candidate,5.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; score is advisory only.,research_only_not_production_score,"TDCC high-thresholds up=2 points; return20_0_25, return45_ge5, range_width45_ge28, prior_extension_ema23_20d_ge8, prior_runup20_ge15, and OBV above MA20=1 point each.",110766,1947,110766,25453,25779,59534,0,22.98,23.27,53.75,0.0,2.45,0.98,-0.34,12.24,-4.68,1.5,13.23,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_and_operation_approval_required,"requires exact daily operation parity, explicit score promotion PR, contract update, validators, and post-merge validation before production scoring use",6687,6.04,53132,47.97,13442,12.14,44417,40.1,43352,39.14,46420,41.91,57506,51.92,tdcc_high_thresholds_up:6687;return20_0_25:53132;return45_ge5:13442;range_width45_ge28:44417;prior_extension_ema23_20d_ge8:43352;prior_runup20_ge15:46420;obv_above_ma20:57506
2026-07-11 16:00:36 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_research_score_bucket,research_bonus_score_v1,score_4_5,close_prev20_break_then_tp5_or_5ma_next_open,close_confirmed_candidate,5.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; score is advisory only.,research_only_not_production_score,"TDCC high-thresholds up=2 points; return20_0_25, return45_ge5, range_width45_ge28, prior_extension_ema23_20d_ge8, prior_runup20_ge15, and OBV above MA20=1 point each.",48779,1795,48779,15055,8408,25316,0,30.86,17.24,51.9,0.0,4.43,1.94,-0.34,15.63,-7.0,3.57,13.44,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_and_operation_approval_required,"requires exact daily operation parity, explicit score promotion PR, contract update, validators, and post-merge validation before production scoring use",6681,13.7,30668,62.87,22734,46.61,34242,70.2,40712,83.46,42994,88.14,31493,64.56,tdcc_high_thresholds_up:6681;return20_0_25:30668;return45_ge5:22734;range_width45_ge28:34242;prior_extension_ema23_20d_ge8:40712;prior_runup20_ge15:42994;obv_above_ma20:31493
2026-07-11 16:00:36 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_research_score_bucket,research_bonus_score_v1,score_6_plus,close_prev20_break_then_tp5_or_5ma_next_open,close_confirmed_candidate,5.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; score is advisory only.,research_only_not_production_score,"TDCC high-thresholds up=2 points; return20_0_25, return45_ge5, range_width45_ge28, prior_extension_ema23_20d_ge8, prior_runup20_ge15, and OBV above MA20=1 point each.",12215,1192,12215,4712,1734,5769,0,38.58,14.2,47.23,0.0,6.25,3.3,1.34,17.05,-8.41,5.25,13.09,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_and_operation_approval_required,"requires exact daily operation parity, explicit score promotion PR, contract update, validators, and post-merge validation before production scoring use",3830,31.35,11103,90.9,11280,92.35,11388,93.23,11917,97.56,12081,98.9,10943,89.59,tdcc_high_thresholds_up:3830;return20_0_25:11103;return45_ge5:11280;range_width45_ge28:11388;prior_extension_ema23_20d_ge8:11917;prior_runup20_ge15:12081;obv_above_ma20:10943
2026-07-11 16:00:36 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_research_score_bucket,research_bonus_score_v1,score_0_1,close_prev20_break_then_tp8_or_5ma_next_open,close_confirmed_candidate,8.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; score is advisory only.,research_only_not_production_score,"TDCC high-thresholds up=2 points; return20_0_25, return45_ge5, range_width45_ge28, prior_extension_ema23_20d_ge8, prior_runup20_ge15, and OBV above MA20=1 point each.",99267,1729,99267,14390,31725,53152,0,14.5,31.96,53.54,0.0,0.49,0.47,-0.42,13.05,-4.15,0.44,15.77,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_and_operation_approval_required,"requires exact daily operation parity, explicit score promotion PR, contract update, validators, and post-merge validation before production scoring use",0,0.0,11298,11.38,1749,1.76,14090,14.19,3946,3.98,2044,2.06,15061,15.17,tdcc_high_thresholds_up:0;return20_0_25:11298;return45_ge5:1749;range_width45_ge28:14090;prior_extension_ema23_20d_ge8:3946;prior_runup20_ge15:2044;obv_above_ma20:15061
2026-07-11 16:00:36 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_research_score_bucket,research_bonus_score_v1,score_2_3,close_prev20_break_then_tp8_or_5ma_next_open,close_confirmed_candidate,8.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; score is advisory only.,research_only_not_production_score,"TDCC high-thresholds up=2 points; return20_0_25, return45_ge5, range_width45_ge28, prior_extension_ema23_20d_ge8, prior_runup20_ge15, and OBV above MA20=1 point each.",110766,1947,110766,19182,31514,60070,0,17.32,28.45,54.23,0.0,2.45,0.99,-0.38,15.18,-4.66,1.5,13.46,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_and_operation_approval_required,"requires exact daily operation parity, explicit score promotion PR, contract update, validators, and post-merge validation before production scoring use",6687,6.04,53132,47.97,13442,12.14,44417,40.1,43352,39.14,46420,41.91,57506,51.92,tdcc_high_thresholds_up:6687;return20_0_25:53132;return45_ge5:13442;range_width45_ge28:44417;prior_extension_ema23_20d_ge8:43352;prior_runup20_ge15:46420;obv_above_ma20:57506
