model_id,confirmation_model_id,research_id,source_research_id,research_variant_id,parameter_set_id,advisory_status,sample_mode,stock_id,stock_name,signal_date,initial_stage,confirmation_stage,transition_status,slope_curvature_category,slope_issue_reasons,path_start_date,path_end_date,path_days,full_path_significant_turn_count,full_path_abrupt_slope_change_count,full_path_direction_switch_count,full_path_max_abs_daily_return_pct,full_path_max_abs_smoothed_slope_change_pct,left_descent_days,first_rebound_days,second_decline_days,right_rebound_days,left_descent_wrong_direction_rate,first_rebound_wrong_direction_rate,second_decline_wrong_direction_rate,right_rebound_wrong_direction_rate,first_low_pre3_avg_slope_pct,first_low_post3_avg_slope_pct,first_low_slope_reversal_change_pct,first_low_sharp_v_flag,second_low_pre3_avg_slope_pct,second_low_post3_avg_slope_pct,second_low_slope_reversal_change_pct,second_low_sharp_v_flag,observation_stage_eligible,confirmation_stage_eligible,price_confirmation_only,a_mature,a_return_pct,c_mature,c_return_pct,tdcc_any_age7,tdcc_any_age14,manual_review_status,approved_for_daily,production_readiness,generated_at
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_path_quality_filter_audit,w_bottom_observation_confirmation_audit,warning_research_variant_only,w_bottom_path_quality_filter_audit_20260625,warning_research_variant_only,dedup_approx_20_trading_days,1102,亞泥,20260105,right_side_observation_zone,right_low_support_failed,observation_support_failed,smooth_rounded_w_like,smooth_enough_for_manual_review,20251001,20260105,62,4,0,5,4.1775,1.0711,21,21,19,4,10.0,0.0,16.6667,0.0,-0.564,0.8209,1.3849,false,0.4132,0.6294,0.2163,false,true,false,false,false,,false,,false,false,not_in_chart_review_packet,false,not_production_ready_research_only,2026-06-25 12:09:17 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_path_quality_filter_audit,w_bottom_observation_confirmation_audit,warning_research_variant_only,w_bottom_path_quality_filter_audit_20260625,warning_research_variant_only,dedup_approx_20_trading_days,2033,佳大,20260105,right_side_observation_zone,no_confirmation_within_symmetry,observation_no_confirmation,wv_multiple_turn_risk,too_many_significant_turns,20250725,20260105,105,5,3,11,10.0,5.0144,6,39,21,42,0.0,13.1579,0.0,9.7561,-0.7678,0.7587,1.5265,false,-0.2779,-0.0626,0.2152,false,true,false,false,false,,false,,false,false,not_in_chart_review_packet,false,not_production_ready_research_only,2026-06-25 12:09:17 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_path_quality_filter_audit,w_bottom_observation_confirmation_audit,warning_research_variant_only,w_bottom_path_quality_filter_audit_20260625,warning_research_variant_only,dedup_approx_20_trading_days,2305,全友,20260105,right_side_observation_zone,late_confirmation_not_w,observation_late_confirmation_not_w,wv_multiple_turn_risk,too_many_significant_turns,20250826,20260105,83,11,0,20,5.3398,2.7142,42,8,6,30,26.8293,14.2857,0.0,20.6897,-1.7831,-0.2564,1.5267,false,-1.9507,0.6463,2.5969,false,true,false,false,false,,false,,false,false,not_in_chart_review_packet,false,not_production_ready_research_only,2026-06-25 12:09:17 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_path_quality_filter_audit,w_bottom_observation_confirmation_audit,warning_research_variant_only,w_bottom_path_quality_filter_audit_20260625,warning_research_variant_only,dedup_approx_20_trading_days,2504,國產,20260105,near_neckline_at_signal,price_confirmed_without_volume,not_observation_near_neckline_or_above,wv_multiple_turn_risk,too_many_significant_turns,20250812,20260105,93,5,0,15,4.7407,2.114,38,18,21,19,10.8108,17.6471,15.0,11.1111,-1.221,-0.4331,0.788,false,0.0192,0.128,0.1089,false,false,false,true,false,,false,,false,false,not_in_chart_review_packet,false,not_production_ready_research_only,2026-06-25 12:09:17 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_path_quality_filter_audit,w_bottom_observation_confirmation_audit,warning_research_variant_only,w_bottom_path_quality_filter_audit_20260625,warning_research_variant_only,dedup_approx_20_trading_days,2615,萬海,20260105,right_side_observation_zone,right_low_support_failed,observation_support_failed,wv_multiple_turn_risk,too_many_significant_turns,20250724,20260105,106,8,1,16,9.9738,3.9551,44,18,37,10,13.9535,29.4118,19.4444,22.2222,-1.6282,-0.561,1.0672,false,-0.3968,0.4365,0.8333,false,true,false,false,false,,false,,false,false,not_in_chart_review_packet,false,not_production_ready_research_only,2026-06-25 12:09:17 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_path_quality_filter_audit,w_bottom_observation_confirmation_audit,warning_research_variant_only,w_bottom_path_quality_filter_audit_20260625,warning_research_variant_only,dedup_approx_20_trading_days,6409,旭隼,20260105,right_side_observation_zone,right_low_support_failed,observation_support_failed,wv_multiple_turn_risk,too_many_significant_turns,20250721,20260105,109,15,4,21,8.4507,5.827,46,25,36,5,17.7778,33.3333,14.2857,0.0,-0.2959,-0.8303,-0.5344,false,-0.3701,1.1037,1.4738,false,true,false,false,false,,false,,false,false,pending_user_shape_review,false,not_production_ready_research_only,2026-06-25 12:09:17 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_path_quality_filter_audit,w_bottom_observation_confirmation_audit,warning_research_variant_only,w_bottom_path_quality_filter_audit_20260625,warning_research_variant_only,dedup_approx_20_trading_days,2347,聯強,20260106,right_side_observation_zone,late_confirmation_not_w,observation_late_confirmation_not_w,wv_multiple_turn_risk,too_many_significant_turns,20250724,20260106,107,9,1,15,9.8993,4.1088,20,8,49,33,10.5263,0.0,27.0833,31.25,-0.6972,0.1361,0.8333,false,-0.5938,1.0547,1.6485,false,true,false,false,false,,false,,false,false,not_in_chart_review_packet,false,not_production_ready_research_only,2026-06-25 12:09:17 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_path_quality_filter_audit,w_bottom_observation_confirmation_audit,warning_research_variant_only,w_bottom_path_quality_filter_audit_20260625,warning_research_variant_only,dedup_approx_20_trading_days,2379,瑞昱,20260106,right_side_observation_zone,price_confirmed_without_volume,observation_to_price_only_confirmation,wv_multiple_turn_risk,too_many_significant_turns,20251009,20260106,58,5,0,3,3.7487,1.1034,22,15,19,5,0.0,7.1429,0.0,0.0,-0.3194,0.0159,0.3353,false,-0.3825,0.4509,0.8335,false,true,false,true,false,,false,,false,false,not_in_chart_review_packet,false,not_production_ready_research_only,2026-06-25 12:09:17 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_path_quality_filter_audit,w_bottom_observation_confirmation_audit,warning_research_variant_only,w_bottom_path_quality_filter_audit_20260625,warning_research_variant_only,dedup_approx_20_trading_days,3617,碩天,20260106,right_side_observation_zone,right_low_support_failed,observation_support_failed,wv_multiple_turn_risk,too_many_significant_turns,20250807,20260106,97,8,0,20,7.6023,3.3675,34,23,37,6,30.303,9.0909,33.3333,40.0,-0.6111,0.0314,0.6425,false,0.9999,0.1911,-0.8088,false,true,false,false,false,,false,,false,false,not_in_chart_review_packet,false,not_production_ready_research_only,2026-06-25 12:09:17 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_path_quality_filter_audit,w_bottom_observation_confirmation_audit,warning_research_variant_only,w_bottom_path_quality_filter_audit_20260625,warning_research_variant_only,dedup_approx_20_trading_days,4562,穎漢,20260106,right_side_observation_zone,late_confirmation_not_w,observation_late_confirmation_not_w,wv_multiple_turn_risk,too_many_significant_turns,20250909,20260106,75,10,6,11,9.9532,4.4273,46,10,7,15,4.4444,44.4444,16.6667,57.1429,-1.0973,0.4039,1.5012,false,-2.6468,-0.517,2.1298,false,true,false,false,false,,false,,false,false,pending_user_shape_review,false,not_production_ready_research_only,2026-06-25 12:09:17 Asia/Taipei
