signal_id,signal_date,report_date,stock_id,stock_name,market,industry,sector,sub_theme,category,category_cn,score,rank,priority,revaluation_priority,tdcc_status,tdcc_400_delta,tdcc_1000_delta,warrant_status,warrant_call_amount,revenue_yoy,cum_revenue_yoy,recent_revenue_accel,close_at_signal,volume,volume_ratio,ma20,ma60,ema23,distance_to_ma20,distance_to_ma60,distance_to_high_20,distance_to_high_60,near_platform,break_prior_high,already_priced_in,overheat_flag,distribution_warning,downgrade_reason,is_construction_recognition,recognition_type,revenue_signal_type,signal_source_file,pipeline_commit_sha,twse_close_at_signal,tpex_close_at_signal,twse_5d_return_at_signal,twse_10d_return_at_signal,twse_20d_return_at_signal,tpex_5d_return_at_signal,tpex_10d_return_at_signal,tpex_20d_return_at_signal,twse_above_ma20,twse_above_ma60,tpex_above_ma20,tpex_above_ma60,market_regime,benchmark_index,created_at,updated_at,fundamental_catalyst_score,fundamental_catalyst_tags,event_catalyst_tags,similar_to_shihsinko_flag,eps_surprise_flag,earnings_acceleration_flag,margin_improvement_flag,profit_turnaround_flag,revenue_good_eps_unconfirmed_flag,theme_catalyst_flag,theme_catalyst_tags,catalyst_date,catalyst_source,catalyst_summary,low_reaction_after_catalyst,already_reacted_to_catalyst,catalyst_quality,catalyst_confidence,theme_strength_score,catalyst_strength_score,catalyst_tags,price_reaction_level,event_calendar_tags,event_proximity_score,nearest_event_date,nearest_event_type,nearest_event_name,days_to_nearest_event,event_calendar_source,close,source_file
20260525_2377_pattern,20260525,20260525,2377,微星,TWSE,電腦及週邊設備業,,,pattern,型態觀察,120.0,3.0,,,distribution_warning,-1.28,-1.24,call_put_bullish,40183990.0,,,,113.0,,,,,,,,,,False,False,False,False,True,,False,,,output/latest/all_candidates_latest.csv,3e328923b82b26125adb57e1c04dacde1e38e7f1,42267.97,423.25,2.6610327899590835,1.5960747948391418,12.074566177416155,2.935454059049558,3.372899570144594,10.996013846637997,True,True,True,True,strong_bull,TWSE,2026-05-25 22:22:45 Asia/Taipei,2026-05-25 22:22:45 Asia/Taipei,0,,,False,False,False,False,False,False,False,電腦及週邊設備業,,,calendar event: monthly_revenue_expected_window on 20260601; status=expected_window; proximity=within_7d,True,False,,,1,0,monthly_revenue_calendar;calendar_monthly_revenue_expected_window;電腦及週邊設備業,,monthly_revenue_calendar;calendar_monthly_revenue_expected_window,2,20260601,monthly_revenue_expected_window,202605 monthly revenue expected window,7,rule_based_from_Taiwan_monthly_revenue_deadline,113.0,output/latest/all_candidates_latest.csv
20260525_2379_pattern,20260525,20260525,2379,瑞昱,TWSE,半導體業,,,pattern,型態觀察,96.0,3.0,,,mild_accumulation,-0.25,0.36,call_strong_inflow,11239360.0,,,,575.0,,,,,,,,,,False,False,False,False,False,,False,,,output/latest/all_candidates_latest.csv,3e328923b82b26125adb57e1c04dacde1e38e7f1,42267.97,423.25,2.6610327899590835,1.5960747948391418,12.074566177416155,2.935454059049558,3.372899570144594,10.996013846637997,True,True,True,True,strong_bull,TWSE,2026-05-25 22:22:45 Asia/Taipei,2026-05-25 22:22:45 Asia/Taipei,0,,,False,False,False,False,False,False,False,半導體業,,,calendar event: monthly_revenue_expected_window on 20260601; status=expected_window; proximity=within_7d,True,False,,,1,0,monthly_revenue_calendar;calendar_monthly_revenue_expected_window;半導體業,,monthly_revenue_calendar;calendar_monthly_revenue_expected_window,2,20260601,monthly_revenue_expected_window,202605 monthly revenue expected window,7,rule_based_from_Taiwan_monthly_revenue_deadline,575.0,output/latest/all_candidates_latest.csv
20260525_2382_pattern,20260525,20260525,2382,廣達,TWSE,電腦及週邊設備業,,,pattern,型態觀察,110.0,3.0,,,mild_accumulation,0.24,0.06,,,,,,308.0,,,,,,,,,,False,False,False,False,False,,False,,,output/latest/all_candidates_latest.csv,3e328923b82b26125adb57e1c04dacde1e38e7f1,42267.97,423.25,2.6610327899590835,1.5960747948391418,12.074566177416155,2.935454059049558,3.372899570144594,10.996013846637997,True,True,True,True,strong_bull,TWSE,2026-05-25 22:22:45 Asia/Taipei,2026-05-25 22:22:45 Asia/Taipei,0,,,False,False,False,False,False,False,False,電腦及週邊設備業,,,calendar event: monthly_revenue_expected_window on 20260601; status=expected_window; proximity=within_7d,True,False,,,1,0,monthly_revenue_calendar;calendar_monthly_revenue_expected_window;電腦及週邊設備業,,monthly_revenue_calendar;calendar_monthly_revenue_expected_window,2,20260601,monthly_revenue_expected_window,202605 monthly revenue expected window,7,rule_based_from_Taiwan_monthly_revenue_deadline,308.0,output/latest/all_candidates_latest.csv
20260525_2385_pattern,20260525,20260525,2385,群光,TWSE,電子零組件業,,,pattern,型態觀察,102.0,3.0,,,strong_accumulation,0.97,0.55,no_signal,240220.0,,,,130.0,,,,,,,,,,False,False,False,False,False,,False,,,output/latest/all_candidates_latest.csv,3e328923b82b26125adb57e1c04dacde1e38e7f1,42267.97,423.25,2.6610327899590835,1.5960747948391418,12.074566177416155,2.935454059049558,3.372899570144594,10.996013846637997,True,True,True,True,strong_bull,TWSE,2026-05-25 22:22:45 Asia/Taipei,2026-05-25 22:22:45 Asia/Taipei,0,,,False,False,False,False,False,False,False,電子零組件業,,,calendar event: monthly_revenue_expected_window on 20260601; status=expected_window; proximity=within_7d,True,False,,,1,0,monthly_revenue_calendar;calendar_monthly_revenue_expected_window;電子零組件業,,monthly_revenue_calendar;calendar_monthly_revenue_expected_window,2,20260601,monthly_revenue_expected_window,202605 monthly revenue expected window,7,rule_based_from_Taiwan_monthly_revenue_deadline,130.0,output/latest/all_candidates_latest.csv
20260525_2390_pattern,20260525,20260525,2390,云辰,TWSE,其他電子業,,,pattern,型態觀察,86.0,1.0,,,distribution_warning,-0.01,-0.01,,,,,,10.25,,,,,,,,,,False,False,False,False,True,,False,,,output/latest/all_candidates_latest.csv,3e328923b82b26125adb57e1c04dacde1e38e7f1,42267.97,423.25,2.6610327899590835,1.5960747948391418,12.074566177416155,2.935454059049558,3.372899570144594,10.996013846637997,True,True,True,True,strong_bull,TWSE,2026-05-25 22:22:45 Asia/Taipei,2026-05-25 22:22:45 Asia/Taipei,0,,,False,False,False,False,False,False,False,其他電子業,,,calendar event: monthly_revenue_expected_window on 20260601; status=expected_window; proximity=within_7d,True,False,,,1,0,monthly_revenue_calendar;calendar_monthly_revenue_expected_window;其他電子業,,monthly_revenue_calendar;calendar_monthly_revenue_expected_window,2,20260601,monthly_revenue_expected_window,202605 monthly revenue expected window,7,rule_based_from_Taiwan_monthly_revenue_deadline,10.25,output/latest/all_candidates_latest.csv
20260525_2392_pattern,20260525,20260525,2392,正崴,TWSE,電子零組件業,,,pattern,型態觀察,116.0,2.0,,,distribution_warning,-0.08,-0.42,no_signal,395970.0,,,,36.9,,,,,,,,,,False,False,False,False,True,,False,,,output/latest/all_candidates_latest.csv,3e328923b82b26125adb57e1c04dacde1e38e7f1,42267.97,423.25,2.6610327899590835,1.5960747948391418,12.074566177416155,2.935454059049558,3.372899570144594,10.996013846637997,True,True,True,True,strong_bull,TWSE,2026-05-25 22:22:45 Asia/Taipei,2026-05-25 22:22:45 Asia/Taipei,0,,,False,False,False,False,False,False,False,電子零組件業,,,calendar event: monthly_revenue_expected_window on 20260601; status=expected_window; proximity=within_7d,True,False,,,1,0,monthly_revenue_calendar;calendar_monthly_revenue_expected_window;電子零組件業,,monthly_revenue_calendar;calendar_monthly_revenue_expected_window,2,20260601,monthly_revenue_expected_window,202605 monthly revenue expected window,7,rule_based_from_Taiwan_monthly_revenue_deadline,36.9,output/latest/all_candidates_latest.csv
20260525_2402_pattern,20260525,20260525,2402,毅嘉,TWSE,電子零組件業,,,pattern,型態觀察,122.0,2.0,,,distribution_warning,-2.2,-0.55,call_strong_inflow,20675800.0,,,,62.4,,,,,,,,,,False,False,False,False,True,,False,,,output/latest/all_candidates_latest.csv,3e328923b82b26125adb57e1c04dacde1e38e7f1,42267.97,423.25,2.6610327899590835,1.5960747948391418,12.074566177416155,2.935454059049558,3.372899570144594,10.996013846637997,True,True,True,True,strong_bull,TWSE,2026-05-25 22:22:45 Asia/Taipei,2026-05-25 22:22:45 Asia/Taipei,0,,,False,False,False,False,False,False,False,電子零組件業,,,calendar event: monthly_revenue_expected_window on 20260601; status=expected_window; proximity=within_7d,True,False,,,1,0,monthly_revenue_calendar;calendar_monthly_revenue_expected_window;電子零組件業,,monthly_revenue_calendar;calendar_monthly_revenue_expected_window,2,20260601,monthly_revenue_expected_window,202605 monthly revenue expected window,7,rule_based_from_Taiwan_monthly_revenue_deadline,62.4,output/latest/all_candidates_latest.csv
20260525_2404_pattern,20260525,20260525,2404,漢唐,TWSE,其他電子業,,,pattern,型態觀察,122.0,2.0,,,distribution_warning,-0.33,-1.25,call_inflow,98020110.0,,,,1100.0,,,,,,,,,,False,False,False,False,True,,False,,,output/latest/all_candidates_latest.csv,3e328923b82b26125adb57e1c04dacde1e38e7f1,42267.97,423.25,2.6610327899590835,1.5960747948391418,12.074566177416155,2.935454059049558,3.372899570144594,10.996013846637997,True,True,True,True,strong_bull,TWSE,2026-05-25 22:22:45 Asia/Taipei,2026-05-25 22:22:45 Asia/Taipei,0,,,False,False,False,False,False,False,False,其他電子業,,,calendar event: monthly_revenue_expected_window on 20260601; status=expected_window; proximity=within_7d,True,False,,,1,0,monthly_revenue_calendar;calendar_monthly_revenue_expected_window;其他電子業,,monthly_revenue_calendar;calendar_monthly_revenue_expected_window,2,20260601,monthly_revenue_expected_window,202605 monthly revenue expected window,7,rule_based_from_Taiwan_monthly_revenue_deadline,1100.0,output/latest/all_candidates_latest.csv
20260525_2405_pattern,20260525,20260525,2405,輔信,TWSE,電腦及週邊設備業,,,pattern,型態觀察,104.0,2.0,,,mild_accumulation,0.53,-0.06,,,,,,16.0,,,,,,,,,,False,False,False,False,False,,False,,,output/latest/all_candidates_latest.csv,3e328923b82b26125adb57e1c04dacde1e38e7f1,42267.97,423.25,2.6610327899590835,1.5960747948391418,12.074566177416155,2.935454059049558,3.372899570144594,10.996013846637997,True,True,True,True,strong_bull,TWSE,2026-05-25 22:22:45 Asia/Taipei,2026-05-25 22:22:45 Asia/Taipei,0,,,False,False,False,False,False,False,False,電腦及週邊設備業,,,calendar event: monthly_revenue_expected_window on 20260601; status=expected_window; proximity=within_7d,True,False,,,1,0,monthly_revenue_calendar;calendar_monthly_revenue_expected_window;電腦及週邊設備業,,monthly_revenue_calendar;calendar_monthly_revenue_expected_window,2,20260601,monthly_revenue_expected_window,202605 monthly revenue expected window,7,rule_based_from_Taiwan_monthly_revenue_deadline,16.0,output/latest/all_candidates_latest.csv
20260525_2408_pattern,20260525,20260525,2408,南亞科,TWSE,半導體業,,,pattern,型態觀察,102.0,3.0,,,strong_accumulation,2.67,2.54,mixed_flow,154257010.0,,,,293.0,,,,,,,,,,False,False,False,False,False,,False,,,output/latest/all_candidates_latest.csv,3e328923b82b26125adb57e1c04dacde1e38e7f1,42267.97,423.25,2.6610327899590835,1.5960747948391418,12.074566177416155,2.935454059049558,3.372899570144594,10.996013846637997,True,True,True,True,strong_bull,TWSE,2026-05-25 22:22:45 Asia/Taipei,2026-05-25 22:22:45 Asia/Taipei,0,,,False,False,False,False,False,False,False,半導體業,,,calendar event: monthly_revenue_expected_window on 20260601; status=expected_window; proximity=within_7d,True,False,,,1,0,monthly_revenue_calendar;calendar_monthly_revenue_expected_window;半導體業,,monthly_revenue_calendar;calendar_monthly_revenue_expected_window,2,20260601,monthly_revenue_expected_window,202605 monthly revenue expected window,7,rule_based_from_Taiwan_monthly_revenue_deadline,293.0,output/latest/all_candidates_latest.csv
