date,stock_id,stock_name,market,open,high,low,close,volume,trading_value,source,source_file,ma5,ma20,ma60,ma120,ema23,return_1d,return_5d,return_20d,return_60d,return_120d,volume_ma20,volume_ratio,high_20,high_60,high_120,low_20,low_60,low_120,distance_to_ma20_pct,distance_to_ma60_pct,distance_to_ma120_pct,distance_to_ema23_pct,distance_to_high_20_pct,distance_to_high_60_pct,distance_to_high_120_pct,distance_to_low_60_pct,distance_to_low_120_pct
20251103,2330,台積電,TWSE,1510.0,1520.0,1490.0,1510.0,30913479,,,data/daily_price/20251103.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251104,2330,台積電,TWSE,1520.0,1525.0,1495.0,1505.0,35922791,,,data/daily_price/20251104.csv,,,,,,-0.3311,,,,,,,,,,,,,,,,,,,,,
20251105,2330,台積電,TWSE,1480.0,1485.0,1455.0,1460.0,63423241,,,data/daily_price/20251105.csv,,,,,,-2.99,,,,,,,,,,,,,,,,,,,,,
20251106,2330,台積電,TWSE,1470.0,1480.0,1465.0,1465.0,29955147,,,data/daily_price/20251106.csv,,,,,,0.3425,,,,,,,,,,,,,,,,,,,,,
20251107,2330,台積電,TWSE,1460.0,1465.0,1455.0,1460.0,23551721,,,data/daily_price/20251107.csv,1480.0,1480.0,1480.0,1480.0,1498.5737,-0.3413,,,,,36753275.8,0.6408,1525.0,1525.0,1525.0,1455.0,1455.0,1455.0,-1.3514,-1.3514,-1.3514,-2.574,-4.2623,-4.2623,-4.2623,0.3436,0.3436
20251110,2330,台積電,TWSE,1470.0,1485.0,1465.0,1475.0,26579263,,,data/daily_price/20251110.csv,1473.0,1479.1667,1479.1667,1479.1667,1496.6093,1.0274,-2.3179,,,,35057607.0,0.7582,1525.0,1525.0,1525.0,1455.0,1455.0,1455.0,-0.2817,-0.2817,-0.2817,-1.4439,-3.2787,-3.2787,-3.2787,1.3746,1.3746
20251111,2330,台積電,TWSE,1490.0,1495.0,1465.0,1465.0,24857058,,,data/daily_price/20251111.csv,1465.0,1477.1429,1477.1429,1477.1429,1493.9752,-0.678,-2.6578,,,,33600385.7143,0.7398,1525.0,1525.0,1525.0,1455.0,1455.0,1455.0,-0.8221,-0.8221,-0.8221,-1.9395,-3.9344,-3.9344,-3.9344,0.6873,0.6873
20251112,2330,台積電,TWSE,1470.0,1485.0,1460.0,1475.0,25998385,,,data/daily_price/20251112.csv,1468.0,1476.875,1476.875,1476.875,1492.3939,0.6826,1.0274,,,,32650135.625,0.7963,1525.0,1525.0,1525.0,1455.0,1455.0,1455.0,-0.127,-0.127,-0.127,-1.1655,-3.2787,-3.2787,-3.2787,1.3746,1.3746
20251113,2330,台積電,TWSE,1460.0,1470.0,1460.0,1460.0,23920639,,,data/daily_price/20251113.csv,1467.0,1475.0,1475.0,1475.0,1489.6944,-1.0169,-0.3413,,,,31680191.5556,0.7551,1525.0,1525.0,1525.0,1455.0,1455.0,1455.0,-1.0169,-1.0169,-1.0169,-1.9933,-4.2623,-4.2623,-4.2623,0.3436,0.3436
20251114,2330,台積電,TWSE,1425.0,1440.0,1425.0,1430.0,32778804,,,data/daily_price/20251114.csv,1461.0,1470.5,1470.5,1470.5,1484.7199,-2.0548,-2.0548,,,,31790052.8,1.0311,1525.0,1525.0,1525.0,1425.0,1425.0,1425.0,-2.7542,-2.7542,-2.7542,-3.6855,-6.2295,-6.2295,-6.2295,0.3509,0.3509
20251117,2330,台積電,TWSE,1450.0,1460.0,1445.0,1445.0,34872653,,,data/daily_price/20251117.csv,1455.0,1468.1818,1468.1818,1468.1818,1481.4099,1.049,-2.0339,,,,32070289.1818,1.0874,1525.0,1525.0,1525.0,1425.0,1425.0,1425.0,-1.5789,-1.5789,-1.5789,-2.4578,-5.2459,-5.2459,-5.2459,1.4035,1.4035
20251118,2330,台積電,TWSE,1435.0,1435.0,1405.0,1405.0,49856799,,,data/daily_price/20251118.csv,1443.0,1462.9167,1462.9167,1462.9167,1475.0424,-2.7682,-4.0956,,,,33552498.3333,1.4859,1525.0,1525.0,1525.0,1405.0,1405.0,1405.0,-3.959,-3.959,-3.959,-4.7485,-7.8689,-7.8689,-7.8689,0.0,0.0
20251119,2330,台積電,TWSE,1400.0,1415.0,1395.0,1395.0,42661060,,,data/daily_price/20251119.csv,1427.0,1457.6923,1457.6923,1457.6923,1468.3722,-0.7117,-5.4237,,,,34253156.9231,1.2455,1525.0,1525.0,1525.0,1395.0,1395.0,1395.0,-4.3008,-4.3008,-4.3008,-4.9968,-8.5246,-8.5246,-8.5246,0.0,0.0
20251120,2330,台積電,TWSE,1450.0,1460.0,1440.0,1455.0,28295025,,,data/daily_price/20251120.csv,1426.0,1457.5,1457.5,1457.5,1467.2578,4.3011,-0.3425,,,,33827576.0714,0.8364,1525.0,1525.0,1525.0,1395.0,1395.0,1395.0,-0.1715,-0.1715,-0.1715,-0.8354,-4.5902,-4.5902,-4.5902,4.3011,4.3011
20251121,2330,台積電,TWSE,1395.0,1405.0,1385.0,1385.0,64673494,,,data/daily_price/20251121.csv,1417.0,1452.6667,1452.6667,1452.6667,1460.403,-4.811,-3.1469,,,,35883970.6,1.8023,1525.0,1525.0,1525.0,1385.0,1385.0,1385.0,-4.6581,-4.6581,-4.6581,-5.1632,-9.1803,-9.1803,-9.1803,0.0,0.0
