date,foreign_mtx_futures_net_oi,three_institution_mtx_net_oi,retail_mtx_net_oi_proxy,retail_mtx_proxy_method
20260522,2792.0,-4129.0,4129.0,negative_sum_of_three_institution_mtx_net_oi
20260525,510.0,-7875.0,7875.0,negative_sum_of_three_institution_mtx_net_oi
20260526,-2807.0,-13753.0,13753.0,negative_sum_of_three_institution_mtx_net_oi
20260527,1340.0,-8525.0,8525.0,negative_sum_of_three_institution_mtx_net_oi
20260528,-360.0,-10776.0,10776.0,negative_sum_of_three_institution_mtx_net_oi
20260529,322.0,-9000.0,9000.0,negative_sum_of_three_institution_mtx_net_oi
20260601,-2249.0,-12784.0,12784.0,negative_sum_of_three_institution_mtx_net_oi
20260602,-3310.0,-14604.0,14604.0,negative_sum_of_three_institution_mtx_net_oi
20260603,-427.0,-11026.0,11026.0,negative_sum_of_three_institution_mtx_net_oi
20260604,-3562.0,-15922.0,15922.0,negative_sum_of_three_institution_mtx_net_oi
20260605,-1051.0,-15615.0,15615.0,negative_sum_of_three_institution_mtx_net_oi
20260610,6698.0,-6935.0,6935.0,negative_sum_of_three_institution_mtx_net_oi
20260611,4930.0,-10290.0,10290.0,negative_sum_of_three_institution_mtx_net_oi
20260612,5734.0,-9801.0,9801.0,negative_sum_of_three_institution_mtx_net_oi
20260615,2919.0,-13498.0,13498.0,negative_sum_of_three_institution_mtx_net_oi
20260616,933.0,-16227.0,16227.0,negative_sum_of_three_institution_mtx_net_oi
20260617,-2345.0,-10412.0,10412.0,negative_sum_of_three_institution_mtx_net_oi
20260618,2185.0,-5672.0,5672.0,negative_sum_of_three_institution_mtx_net_oi
20260622,3381.0,-3096.0,3096.0,negative_sum_of_three_institution_mtx_net_oi
20260623,-3553.0,-11535.0,11535.0,negative_sum_of_three_institution_mtx_net_oi
20260624,882.0,-8469.0,8469.0,negative_sum_of_three_institution_mtx_net_oi
20260625,1615.0,-6464.0,6464.0,negative_sum_of_three_institution_mtx_net_oi
20260626,-268.0,-7062.0,7062.0,negative_sum_of_three_institution_mtx_net_oi
20260629,4532.0,-1266.0,1266.0,negative_sum_of_three_institution_mtx_net_oi
20260630,2785.0,-2849.0,2849.0,negative_sum_of_three_institution_mtx_net_oi
20260701,3132.0,-3513.0,3513.0,negative_sum_of_three_institution_mtx_net_oi
20260702,418.0,-7577.0,7577.0,negative_sum_of_three_institution_mtx_net_oi
20260703,2566.0,-5309.0,5309.0,negative_sum_of_three_institution_mtx_net_oi
20260706,1903.0,-5173.0,5173.0,negative_sum_of_three_institution_mtx_net_oi
20260707,1630.0,-7195.0,7195.0,negative_sum_of_three_institution_mtx_net_oi
20260708,-419.0,-8953.0,8953.0,negative_sum_of_three_institution_mtx_net_oi
20260709,4280.0,-4571.0,4571.0,negative_sum_of_three_institution_mtx_net_oi
20260713,7030.0,-1318.0,1318.0,negative_sum_of_three_institution_mtx_net_oi
20260714,5038.0,-6888.0,6888.0,negative_sum_of_three_institution_mtx_net_oi
20260715,561.0,-7809.0,7809.0,negative_sum_of_three_institution_mtx_net_oi
20260716,-1501.0,-10948.0,10948.0,negative_sum_of_three_institution_mtx_net_oi
20260717,-2233.0,-11776.0,11776.0,negative_sum_of_three_institution_mtx_net_oi
20260720,-1107.0,-10452.0,10452.0,negative_sum_of_three_institution_mtx_net_oi
20260721,3154.0,-5490.0,5490.0,negative_sum_of_three_institution_mtx_net_oi
20260722,423.0,-7512.0,7512.0,negative_sum_of_three_institution_mtx_net_oi
20260723,853.0,-7648.0,7648.0,negative_sum_of_three_institution_mtx_net_oi
20260724,-3225.0,-12450.0,12450.0,negative_sum_of_three_institution_mtx_net_oi
20260727,-1176.0,-10621.0,10621.0,negative_sum_of_three_institution_mtx_net_oi
20260728,-3100.0,-11556.0,11556.0,negative_sum_of_three_institution_mtx_net_oi
20260729,-731.0,-6994.0,6994.0,negative_sum_of_three_institution_mtx_net_oi
20260730,2063.0,-4096.0,4096.0,negative_sum_of_three_institution_mtx_net_oi
20260731,-1178.0,-7387.0,7387.0,negative_sum_of_three_institution_mtx_net_oi
20260803,-961.0,-6761.0,6761.0,negative_sum_of_three_institution_mtx_net_oi
20260804,926.0,-3995.0,3995.0,negative_sum_of_three_institution_mtx_net_oi
20260805,-1023.0,-6284.0,6284.0,negative_sum_of_three_institution_mtx_net_oi
20260806,-6249.0,-10784.0,10784.0,negative_sum_of_three_institution_mtx_net_oi
20260807,-2804.0,-8721.0,8721.0,negative_sum_of_three_institution_mtx_net_oi
20260810,-3456.0,-9771.0,9771.0,negative_sum_of_three_institution_mtx_net_oi
20260811,-3835.0,-9790.0,9790.0,negative_sum_of_three_institution_mtx_net_oi
20260812,-1353.0,-7085.0,7085.0,negative_sum_of_three_institution_mtx_net_oi
20260813,-2186.0,-7909.0,7909.0,negative_sum_of_three_institution_mtx_net_oi
20260814,-735.0,-6980.0,6980.0,negative_sum_of_three_institution_mtx_net_oi
20260817,-155.0,-7116.0,7116.0,negative_sum_of_three_institution_mtx_net_oi
20260818,-632.0,-9496.0,9496.0,negative_sum_of_three_institution_mtx_net_oi
20260819,-1144.0,-8964.0,8964.0,negative_sum_of_three_institution_mtx_net_oi
20260820,-1081.0,-9158.0,9158.0,negative_sum_of_three_institution_mtx_net_oi
20260825,1058.0,-5690.0,5690.0,negative_sum_of_three_institution_mtx_net_oi
20260826,5638.0,-944.0,944.0,negative_sum_of_three_institution_mtx_net_oi
20260827,1763.0,-4400.0,4400.0,negative_sum_of_three_institution_mtx_net_oi
20260828,3282.0,-2630.0,2630.0,negative_sum_of_three_institution_mtx_net_oi
20260831,246.0,-4988.0,4988.0,negative_sum_of_three_institution_mtx_net_oi
