date,taiwan_vix,taiwan_vix_252d_high,taiwan_vix_252d_low,taiwan_vix_252d_percentile,taiwan_vix_504d_high,taiwan_vix_504d_low,taiwan_vix_504d_percentile,taiwan_vix_zscore_252d,taiwan_vix_rank_label,vix_context_label,vix_return_5d,vix_return_10d,vix_return_20d,retail_mtx_net_oi_proxy,retail_mtx_proxy_method,retail_mtx_proxy_252d_high,retail_mtx_proxy_252d_low,retail_mtx_proxy_252d_percentile,retail_mtx_proxy_504d_high,retail_mtx_proxy_504d_low,retail_mtx_proxy_504d_percentile,retail_mtx_proxy_zscore_252d,retail_mtx_rank_label,retail_mtx_context_label,foreign_tx_futures_net_oi,dealer_tx_futures_net_oi,trust_tx_futures_net_oi,foreign_futures_net_oi,put_call_oi_ratio_pct,foreign_txo_call_net_oi,foreign_txo_put_net_oi,foreign_txo_synthetic_net_oi,twse_close,tpex_close,twse_distance_to_20d_high,twse_distance_to_60d_high,twse_distance_to_252d_high,twse_distance_to_20d_low,twse_distance_to_60d_low,twse_distance_to_252d_low,tpex_distance_to_20d_high,tpex_distance_to_60d_high,tpex_distance_to_252d_high,tpex_distance_to_20d_low,tpex_distance_to_60d_low,tpex_distance_to_252d_low,twse_above_ma20,twse_above_ma60,tpex_above_ma20,tpex_above_ma60,market_regime,risk_level,sample_status,vix_index_interpretation,retail_mtx_index_interpretation,combined_sentiment_interpretation,sentiment_warning_level,data_quality_note
20260602,36.58,41.5,25.68,71.0526,,,,0.7008,middle_range,normal_range,11.1516,-7.4158,-0.4084,14604.0,negative_sum_of_three_institution_mtx_net_oi,,,,,,,,insufficient_history,insufficient_history,-67018.0,2564.0,49765.0,-645032.0,142.84,3600.0,7454.0,-3854.0,45557.31,440.64,0.0,0.0,0.0,13.834,43.6098,116.9116,-1.2062,-1.2062,-1.2062,11.1548,52.4917,98.4507,True,True,True,True,strong_bull,high_risk,insufficient_history,trend_supported_no_extreme_vix,insufficient_history_observe_only,insufficient_history_observe_only,insufficient,資料不足 / 僅能觀察：VIX 或散戶小台歷史樣本未達 60 筆，不能判斷是否達歷史極端。
20260603,34.94,41.5,25.68,52.5641,,,,0.2872,middle_range,normal_range,1.246,-5.3373,-8.7967,15922.0,negative_sum_of_three_institution_mtx_net_oi,,,,,,,,insufficient_history,insufficient_history,-69476.0,3219.0,51858.0,-656037.0,140.41,1961.0,7841.0,-5880.0,46459.16,446.82,0.0,0.0,0.0,16.0875,46.4527,121.2055,0.0,0.0,0.0,12.7138,54.6304,101.234,True,True,True,True,strong_bull,elevated_risk,insufficient_history,trend_supported_no_extreme_vix,insufficient_history_observe_only,insufficient_history_observe_only,insufficient,資料不足 / 僅能觀察：VIX 或散戶小台歷史樣本未達 60 筆，不能判斷是否達歷史極端。
20260605,36.27,41.5,25.68,64.557,,,,0.6169,middle_range,normal_range,1.1151,9.6102,-3.0473,15615.0,negative_sum_of_three_institution_mtx_net_oi,,,,,,,,insufficient_history,insufficient_history,-69146.0,4807.0,52160.0,-636505.0,189.66,2414.0,6491.0,-4077.0,45070.94,431.07,-2.988,-2.988,-2.988,12.6187,42.0766,114.5958,-3.5249,-3.5249,-3.5249,8.7407,40.0806,94.1407,True,True,True,True,strong_bull,very_high_risk,insufficient_history,trend_supported_no_extreme_vix,insufficient_history_observe_only,insufficient_history_observe_only,insufficient,資料不足 / 僅能觀察：VIX 或散戶小台歷史樣本未達 60 筆，不能判斷是否達歷史極端。
20260611,43.58,43.92,25.68,98.7952,,,,2.19,top_decile,extreme_fear_or_hedging,23.7014,20.1213,10.6653,10290.0,negative_sum_of_three_institution_mtx_net_oi,,,,,,,,insufficient_history,insufficient_history,-63168.0,4155.0,55312.0,-585497.0,133.33,2588.0,5413.0,-2825.0,43149.46,407.09,-7.1239,-7.1239,-7.1239,7.8175,36.0195,105.4471,-8.8917,-8.8917,-8.8917,2.6916,32.288,83.3408,False,True,False,True,correction,very_high_risk,insufficient_history,possible_panic_contrarian_signal,insufficient_history_observe_only,insufficient_history_observe_only,insufficient,資料不足 / 僅能觀察：VIX 或散戶小台歷史樣本未達 60 筆，不能判斷是否達歷史極端。
20260612,41.96,43.92,25.68,96.4286,,,,1.7656,top_decile,extreme_fear_or_hedging,15.6879,16.978,8.6484,9801.0,negative_sum_of_three_institution_mtx_net_oi,,,,,,,,insufficient_history,insufficient_history,-65039.0,3568.0,57111.0,-584963.0,168.35,2347.0,5948.0,-3601.0,44169.04,419.72,-4.9293,-4.9293,-4.9293,10.3652,39.2335,109.0651,-6.0651,-6.0651,-6.0651,5.8776,36.3923,88.6382,True,True,False,True,correction,very_high_risk,insufficient_history,vix_context_neutral_observe,insufficient_history_observe_only,insufficient_history_observe_only,insufficient,資料不足 / 僅能觀察：VIX 或散戶小台歷史樣本未達 60 筆，不能判斷是否達歷史極端。
20260615,39.98,43.92,25.68,94.1176,,,,1.2873,top_decile,extreme_fear_or_hedging,-5.4399,9.4743,2.3292,13498.0,negative_sum_of_three_institution_mtx_net_oi,,,,,,,,insufficient_history,insufficient_history,-66734.0,2618.0,57702.0,-570201.0,172.0,3267.0,12682.0,-9415.0,45396.99,429.37,-2.2862,-2.2862,-2.2862,13.4334,43.1044,109.9954,-3.9054,-3.9054,-3.9054,8.3119,39.5282,89.7852,True,True,True,True,mild_bull,very_high_risk,insufficient_history,index_strong_but_hedging_elevated,insufficient_history_observe_only,insufficient_history_observe_only,insufficient,資料不足 / 僅能觀察：VIX 或散戶小台歷史樣本未達 60 筆，不能判斷是否達歷史極端。
20260616,39.22,43.92,25.68,89.5349,,,,1.098,upper_quartile,elevated_hedging,1.4748,7.2171,-0.734,16227.0,negative_sum_of_three_institution_mtx_net_oi,,,,,,,,insufficient_history,insufficient_history,-69847.0,2219.0,56894.0,-562599.0,164.48,3298.0,15591.0,-12293.0,45809.19,430.26,-1.399,-1.399,-1.399,14.4634,44.4038,111.4857,-3.7062,-3.7062,-3.7062,8.5364,39.8174,90.0945,True,True,True,True,strong_bull,high_risk,insufficient_history,index_strong_but_hedging_elevated,insufficient_history_observe_only,insufficient_history_observe_only,insufficient,資料不足 / 僅能觀察：VIX 或散戶小台歷史樣本未達 60 筆，不能判斷是否達歷史極端。
20260617,37.78,43.92,25.68,78.1609,,,,0.7599,upper_quartile,elevated_hedging,-13.98,8.1282,2.3571,10412.0,negative_sum_of_three_institution_mtx_net_oi,,,,,,,,insufficient_history,insufficient_history,-67394.0,72.0,57083.0,-489368.0,133.15,-1227.0,1526.0,-2753.0,45877.39,433.34,-1.2522,-1.2522,-1.2522,10.9001,44.6187,111.8005,-3.0169,-3.0169,-3.0169,6.7577,40.8182,91.4553,True,True,True,True,strong_bull,high_risk,insufficient_history,index_strong_but_hedging_elevated,insufficient_history_observe_only,insufficient_history_observe_only,insufficient,資料不足 / 僅能觀察：VIX 或散戶小台歷史樣本未達 60 筆，不能判斷是否達歷史極端。
20260618,37.84,43.92,25.68,79.5455,,,,0.7667,upper_quartile,elevated_hedging,-13.1712,7.4085,10.1281,5672.0,negative_sum_of_three_institution_mtx_net_oi,,,,,,,,insufficient_history,insufficient_history,-68337.0,63.0,58597.0,-536469.0,114.67,-1470.0,3822.0,-5292.0,46465.2,447.06,0.0,0.0,0.0,9.93,46.4717,113.8099,0.0,0.0,0.0,10.1377,45.2767,97.517,True,True,True,True,strong_bull,elevated_risk,insufficient_history,index_strong_but_hedging_elevated,insufficient_history_observe_only,insufficient_history_observe_only,insufficient,資料不足 / 僅能觀察：VIX 或散戶小台歷史樣本未達 60 筆，不能判斷是否達歷史極端。
20260622,37.83,43.92,25.68,78.6517,,,,0.7576,upper_quartile,elevated_hedging,-9.8427,4.3011,14.3246,3096.0,negative_sum_of_three_institution_mtx_net_oi,,,,,,,,insufficient_history,insufficient_history,-70290.0,-563.0,61196.0,-564821.0,147.65,-251.0,4558.0,-4809.0,47741.51,453.5,0.0,0.0,0.0,10.6422,50.495,119.6828,0.0,0.0,0.0,11.7243,47.3694,100.3623,True,True,True,True,strong_bull,high_risk,insufficient_history,index_strong_but_hedging_elevated,insufficient_history_observe_only,insufficient_history_observe_only,insufficient,資料不足 / 僅能觀察：VIX 或散戶小台歷史樣本未達 60 筆，不能判斷是否達歷史極端。
20260623,39.32,43.92,25.68,91.1111,,,,1.0892,top_decile,extreme_fear_or_hedging,-1.6508,-7.0009,15.954,11535.0,negative_sum_of_three_institution_mtx_net_oi,,,,,,,,insufficient_history,insufficient_history,-76502.0,930.0,60180.0,-588854.0,98.99,1075.0,6772.0,-5697.0,47100.65,440.81,-1.3424,-1.3424,-1.3424,9.157,48.4748,116.7339,-2.7982,-2.7982,-2.7982,8.598,43.2457,94.7557,True,True,True,True,mild_bull,high_risk,insufficient_history,index_strong_but_hedging_elevated,insufficient_history_observe_only,insufficient_history_observe_only,insufficient,資料不足 / 僅能觀察：VIX 或散戶小台歷史樣本未達 60 筆，不能判斷是否達歷史極端。
20260624,40.92,43.92,25.68,94.5652,,,,1.4154,top_decile,extreme_fear_or_hedging,4.3345,5.8732,24.3391,6464.0,negative_sum_of_three_institution_mtx_net_oi,,,,,,,,insufficient_history,insufficient_history,-81051.0,3003.0,60921.0,-594327.0,114.57,-974.0,3916.0,-4890.0,47100.65,442.09,-1.3424,-1.3424,-1.3424,9.157,48.4748,116.7339,-2.516,-2.516,-2.516,8.9133,43.6617,95.3212,True,True,True,True,mild_bull,high_risk,insufficient_history,index_strong_but_hedging_elevated,insufficient_history_observe_only,insufficient_history_observe_only,insufficient,資料不足 / 僅能觀察：VIX 或散戶小台歷史樣本未達 60 筆，不能判斷是否達歷史極端。
