date,stock_id,stock_name,market,institutional_net_lots
20260521,2409,友達,TWSE,159244.765
20260521,3481,群創,TWSE,109184.739
20260521,00919,群益台灣精選高息,TWSE,74118.678
20260521,00940,元大台灣價值高息,TWSE,48099.172
20260521,00878,國泰永續高股息,TWSE,46107.905
20260521,2312,金寶,TWSE,44844.878
20260521,00929,復華台灣科技優息,TWSE,39637.534
20260521,009816,凱基台灣TOP50,TWSE,37516.939
20260521,1303,南亞,TWSE,33437.23
20260521,6116,彩晶,TWSE,32100.242
20260521,0056,元大高股息,TWSE,31857.306
20260521,2324,仁寶,TWSE,31249.97
20260521,009820,元大納斯達克精選,TWSE,30098.583
20260521,3231,緯創,TWSE,29833.804
20260521,1717,長興,TWSE,27900.479
20260521,1605,華新,TWSE,27127.26
20260521,2353,宏碁,TWSE,26565.963
20260521,2489,瑞軒,TWSE,26108.038
20260521,00918,大華優利高填息30,TWSE,25553.906
20260521,2317,鴻海,TWSE,24872.314
20260521,2356,英業達,TWSE,20976.449
20260521,0050,元大台灣50,TWSE,20945.591
20260521,6282,康舒,TWSE,20636.853
20260521,2303,聯電,TWSE,19649.663
20260521,00631,元大台灣50正2,TWSE,19466.603
20260521,3714,富采,TWSE,18886.142
20260521,9105,泰金寶-DR,TWSE,17933.584
20260521,00992,主動群益科技創新,TWSE,16984.463
20260521,2610,華航,TWSE,15517.225
20260521,2027,大成鋼,TWSE,14725.864
20260521,3189,景碩,TWSE,14698.783
20260521,00999,主動野村臺灣高息,TWSE,14641.672
20260521,2618,長榮航,TWSE,13122.263
20260521,00900,富邦特選高股息30,TWSE,11522.604
20260521,00680,元大美債20正2,TWSE,11250.192
20260521,2609,陽明,TWSE,11168.038
20260521,1402,遠東新,TWSE,10825.99
20260521,2382,廣達,TWSE,10555.175
20260521,00891,中信關鍵半導體,TWSE,10180.496
20260521,00673,期元大S&P原油反1,TWSE,9971.546
20260521,009819,中信數據及電力,TWSE,9737.002
20260521,3035,智原,TWSE,8698.377
20260521,3037,欣興,TWSE,8358.462
20260521,3706,神達,TWSE,8162.052
20260521,0052,富邦科技,TWSE,7984.974
20260521,8112,至上,TWSE,7639.857
20260521,00997,主動群益美國增長,TWSE,7605.921
20260521,00993,主動安聯台灣,TWSE,7179.191
20260521,00939,統一台灣高息動能,TWSE,7017.398
20260521,00915,凱基優選高股息30,TWSE,7001.713
20260521,00991,主動復華未來50,TWSE,6992.91
20260521,1802,台玻,TWSE,6202.316
20260521,00688,國泰20年美債正2,TWSE,6190.528
20260521,00713,元大台灣高息低波,TWSE,6105.591
20260521,00400,主動國泰動能高息,TWSE,6086.005
20260521,2363,矽統,TWSE,5699.267
20260521,2338,光罩,TWSE,5665.613
20260521,6257,矽格,TWSE,5435.879
20260521,00961,FT臺灣永續高息,TWSE,5318.717
20260521,3673,TPK-KY,TWSE,5040.119
20260521,4919,新唐,TWSE,4943.435
20260521,6005,群益證,TWSE,4934.174
20260521,00922,國泰台灣領袖50,TWSE,4928.218
20260521,2421,建準,TWSE,4804.32
20260521,2377,微星,TWSE,4697.86
20260521,6153,嘉聯益,TWSE,4619.784
20260521,6271,同欣電,TWSE,4561.377
20260521,00927,群益半導體收益,TWSE,4560.138
20260521,4958,臻鼎-KY,TWSE,4469.699
20260521,00980,主動野村臺灣優選,TWSE,4337.823
20260521,3005,神基,TWSE,4334.954
20260521,1504,東元,TWSE,4254.603
20260521,6456,GIS-KY,TWSE,4166.175
20260521,2355,敬鵬,TWSE,4146.184
20260521,1409,新纖,TWSE,4057.001
20260521,5243,乙盛-KY,TWSE,4011.661
20260521,6239,力成,TWSE,3914.456
20260521,1314,中石化,TWSE,3882.123
20260521,1727,中華化,TWSE,3813.495
20260521,4526,東台,TWSE,3732.383
20260521,00946,群益科技高息成長,TWSE,3673.786
20260521,3704,合勤控,TWSE,3631.794
20260521,2464,盟立,TWSE,3579.953
20260521,2495,普安,TWSE,3546.92
20260521,4763,材料*-KY,TWSE,3545.103
20260521,2401,凌陽,TWSE,3470.513
20260521,2305,全友,TWSE,3297.285
20260521,2349,錸德,TWSE,3273.0
20260521,2323,中環,TWSE,3256.524
20260521,1609,大亞,TWSE,3215.603
20260521,3014,聯陽,TWSE,3147.344
20260521,6168,宏齊,TWSE,3103.625
20260521,2332,友訊,TWSE,3060.999
20260521,6120,達運,TWSE,3002.377
20260521,00671,富邦NASDAQ反1,TWSE,2996.287
20260521,9933,中鼎,TWSE,2982.779
20260521,2404,漢唐,TWSE,2945.824
20260521,00830,國泰費城半導體,TWSE,2929.79
20260521,2603,長榮,TWSE,2903.653
20260521,2352,佳世達,TWSE,2830.968
20260521,00936,台新永續高息中小,TWSE,2819.063
20260521,3090,日電貿,TWSE,2791.73
20260521,4906,正文,TWSE,2786.354
20260521,8105,凌巨,TWSE,2784.023
20260521,4960,誠美材,TWSE,2741.168
20260521,00401,主動摩根台灣鑫收,TWSE,2709.457
20260521,2615,萬海,TWSE,2694.51
20260521,3042,晶技,TWSE,2590.554
20260521,6202,盛群,TWSE,2556.192
20260521,2371,大同,TWSE,2511.914
20260521,3376,新日興,TWSE,2492.573
20260521,00637,元大滬深300正2,TWSE,2449.334
20260521,4938,和碩,TWSE,2372.001
20260521,3711,日月光投控,TWSE,2370.695
20260521,3645,達邁,TWSE,2343.395
20260521,3033,威健,TWSE,2340.281
20260521,2369,菱生,TWSE,2309.33
20260521,2375,凱美,TWSE,2284.182
20260521,2328,廣宇,TWSE,2242.229
20260521,8039,台虹,TWSE,2242.155
20260521,2365,昆盈,TWSE,2210.998
20260521,2645,長榮航太,TWSE,2195.583
20260521,4927,泰鼎-KY,TWSE,2143.763
20260521,6706,惠特,TWSE,2124.125
20260521,8926,台汽電,TWSE,2104.645
20260521,00934,中信成長高股息,TWSE,2085.713
20260521,6139,亞翔,TWSE,2077.977
20260521,2498,宏達電,TWSE,2076.386
20260521,009813,貝萊德標普卓越50,TWSE,2073.252
20260521,2492,華新科,TWSE,2057.759
20260521,3563,牧德,TWSE,2022.803
20260521,6770,力積電,TWSE,1957.938
20260521,00996,主動兆豐台灣豐收,TWSE,1919.158
20260521,3708,上緯投控,TWSE,1868.753
20260521,2646,星宇航空,TWSE,1808.018
20260521,00994,主動第一金台股優,TWSE,1804.721
20260521,2405,輔信,TWSE,1797.0
20260521,1513,中興電,TWSE,1789.211
20260521,00965,元大航太防衛科技,TWSE,1770.886
20260521,2105,正新,TWSE,1757.99
20260521,2855,統一證,TWSE,1750.975
20260521,3062,建漢,TWSE,1700.926
20260521,2049,上銀,TWSE,1689.135
20260521,00945,凱基美國非投等債,TWSE,1669.019
20260521,006208,富邦台50,TWSE,1656.746
20260521,2457,飛宏,TWSE,1621.434
20260521,2330,台積電,TWSE,1604.835
20260521,00881,國泰台灣科技龍頭,TWSE,1585.467
20260521,8163,達方,TWSE,1584.77
20260521,00930,永豐ESG低碳高息,TWSE,1542.798
20260521,3545,敦泰,TWSE,1541.073
20260521,00923,群益台ESG低碳50,TWSE,1517.4
20260521,3717,聯嘉投控,TWSE,1503.0
20260521,3041,揚智,TWSE,1481.03
20260521,1721,三晃,TWSE,1459.352
20260521,2436,偉詮電,TWSE,1405.542
20260521,00909,國泰數位支付服務,TWSE,1364.716
20260521,00951,台新日本半導體,TWSE,1348.558
20260521,6412,群電,TWSE,1343.725
20260521,1608,華榮,TWSE,1308.788
20260521,00733,富邦臺灣中小,TWSE,1278.346
20260521,1477,聚陽,TWSE,1276.67
20260521,1810,和成,TWSE,1256.0
20260521,2388,威盛,TWSE,1218.334
20260521,5469,瀚宇博,TWSE,1198.001
20260521,00981,平衡凱基雙核收息,TWSE,1194.36
20260521,6278,台表科,TWSE,1175.592
20260521,8422,可寧衛*,TWSE,1172.05
20260521,3034,聯詠,TWSE,1151.84
20260521,1773,勝一,TWSE,1126.2
20260521,2385,群光,TWSE,1111.991
20260521,00669,國泰美國道瓊反1,TWSE,1104.48
20260521,4306,炎洲,TWSE,1094.0
20260521,6196,帆宣,TWSE,1082.35
20260521,009811,統一美國50,TWSE,1070.015
20260521,3044,健鼎,TWSE,1068.541
20260521,1514,亞力,TWSE,1042.333
20260521,1304,台聚,TWSE,1034.125
20260521,3550,聯穎,TWSE,1032.884
20260521,6209,今國光,TWSE,1027.941
20260521,3591,艾笛森,TWSE,1019.88
20260521,00932,兆豐永續高息等權,TWSE,1018.608
20260521,2101,南港,TWSE,1003.485
20260521,5871,中租-KY,TWSE,995.159
20260521,4961,天鈺,TWSE,986.898
20260521,2441,超豐,TWSE,984.835
20260521,3010,華立,TWSE,961.549
20260521,2601,益航,TWSE,960.0
20260521,2406,國碩,TWSE,948.944
20260521,2413,環科,TWSE,948.808
20260521,2201,裕隆,TWSE,945.299
20260521,2897,王道銀行,TWSE,923.0
20260521,00947,台新臺灣IC設計,TWSE,916.167
20260521,00941,中信上游半導體,TWSE,907.529
20260521,2316,楠梓電,TWSE,903.127
20260521,00987,主動台新優勢成長,TWSE,897.691
20260521,2206,三陽工業,TWSE,896.023
20260521,00885,富邦越南,TWSE,892.563
