stock_id,stock_name,official_industry,primary_theme,secondary_themes,structural_theme_bucket,theme_structural_status,theme_mainstream_label,concept_tags,taxonomy_source,confidence,last_reviewed,notes
3037,欣興,電子零組件,ABF載板/IC載板,ABF;IC載板;先進封裝基板,abf_substrate_theme,core_mainstream_theme,mainstream_growth_theme,ABF substrate;IC substrate;advanced packaging,manual_theme_taxonomy,high,2026-05-29,ABF載板主流題材，不與一般PCB混同
3189,景碩,電子零組件,ABF載板/IC載板,ABF;IC載板;先進封裝基板,abf_substrate_theme,core_mainstream_theme,mainstream_growth_theme,ABF substrate;IC substrate;advanced packaging,manual_theme_taxonomy,high,2026-05-29,ABF載板主流題材，不與一般PCB混同
4958,臻鼎-KY,電子零組件,ABF載板/IC載板,ABF;PCB;IC載板;AI伺服器,abf_substrate_theme,core_mainstream_theme,mainstream_growth_theme,ABF substrate;PCB;IC substrate;AI server,manual_theme_taxonomy,high,2026-05-29,高階PCB與ABF題材交集，ABF需獨立觀察
8046,南電,電子零組件,ABF載板/IC載板,ABF;IC載板;先進封裝基板,abf_substrate_theme,core_mainstream_theme,mainstream_growth_theme,ABF substrate;IC substrate;advanced packaging,manual_theme_taxonomy,high,2026-05-29,ABF載板主流題材，不與一般PCB混同
2353,宏碁,電腦週邊,AI PC/品牌通路,PC品牌;AI PC;消費電子,ai_pc_consumer_theme,core_mainstream_theme,mainstream_growth_theme,AI PC;PC brand;consumer electronics,manual_theme_taxonomy,medium,2026-05-29,market theme taxonomy expansion; market theme overrides exchange industry
2324,仁寶,電腦週邊,AI PC/消費電子,NB代工;AI PC;消費電子,ai_pc_consumer_theme,core_mainstream_theme,mainstream_growth_theme,AI PC;NB ODM;consumer electronics,manual_theme_taxonomy,medium,2026-05-29,market theme taxonomy expansion; market theme overrides exchange industry
4938,和碩,電腦週邊,AI PC/消費電子,NB代工;AI PC;消費電子,ai_pc_consumer_theme,core_mainstream_theme,mainstream_growth_theme,AI PC;NB ODM;consumer electronics,manual_theme_taxonomy,medium,2026-05-29,market theme taxonomy expansion; market theme overrides exchange industry
2357,華碩,電腦週邊,AI PC/電競,AI PC;主機板;消費電子,ai_pc_consumer_theme,core_mainstream_theme,mainstream_growth_theme,AI PC;motherboard;consumer electronics,manual_theme_taxonomy,medium,2026-05-29,AI PC與電競觀察
2377,微星,電腦週邊,AI PC/電競,電競;AI PC;主機板,ai_pc_consumer_theme,core_mainstream_theme,mainstream_growth_theme,gaming;AI PC;motherboard,manual_theme_taxonomy,medium,2026-05-29,market theme taxonomy expansion; market theme overrides exchange industry
2356,英業達,電腦週邊,AI伺服器,AI伺服器;伺服器代工,ai_server_ipc_theme,core_mainstream_theme,mainstream_growth_theme,AI server;server ODM,manual_theme_taxonomy,medium,2026-05-29,AI伺服器供應鏈觀察
2382,廣達,電腦週邊,AI伺服器,AI伺服器;伺服器代工,ai_server_ipc_theme,core_mainstream_theme,mainstream_growth_theme,AI server;server ODM;GB200,manual_theme_taxonomy,high,2026-05-29,AI伺服器主流供應鏈
