stock_id,stock_name,primary_industry_hint,structural_theme_bucket,theme_structural_status,theme_mainstream_label,theme_note,source_note
1815,富喬,電子零組件業,glass_fiber_ccl_theme,core_mainstream_theme,mainstream_growth_theme,玻纖布/CCL 題材桶；產業別仍保留原欄位,manual_theme_overlay
5340,建榮,電子零組件業,glass_fiber_ccl_theme,core_mainstream_theme,mainstream_growth_theme,玻纖布/CCL 題材桶；產業別仍保留原欄位,manual_theme_overlay
1303,南亞,塑膠工業,glass_fiber_ccl_theme,core_mainstream_theme,mainstream_growth_theme,玻纖布/CCL 題材桶；不改塑膠工業產業別,manual_theme_overlay
1802,台玻,玻璃陶瓷,glass_fiber_ccl_theme,core_mainstream_theme,mainstream_growth_theme,玻纖布/CCL 題材桶；不改玻璃陶瓷產業別,manual_theme_overlay
5475,德宏,電子零組件業,glass_fiber_ccl_theme,core_mainstream_theme,mainstream_growth_theme,玻纖布/CCL 題材桶；產業別仍保留原欄位,manual_theme_overlay
2313,華通,PCB,low_earth_orbit_satellite_theme,core_mainstream_theme,mainstream_growth_theme,低軌衛星題材桶；產業別仍保留 PCB,manual_theme_overlay
6285,啟碁,通信網路業,low_earth_orbit_satellite_theme,core_mainstream_theme,mainstream_growth_theme,低軌衛星題材桶；產業別仍保留網通/通訊,manual_theme_overlay
3491,昇達科,通信網路業,low_earth_orbit_satellite_theme,core_mainstream_theme,mainstream_growth_theme,低軌衛星題材桶；產業別仍保留射頻/通訊,manual_theme_overlay
2314,台揚,通信網路業,low_earth_orbit_satellite_theme,core_mainstream_theme,mainstream_growth_theme,低軌衛星題材桶；產業別仍保留通訊,manual_theme_overlay
2383,台光電,電子零組件業,low_earth_orbit_satellite_theme,core_mainstream_theme,mainstream_growth_theme,低軌衛星題材桶；同時可視為 CCL/高頻材料供應鏈,manual_theme_overlay
2367,燿華,PCB,low_earth_orbit_satellite_theme,core_mainstream_theme,mainstream_growth_theme,低軌衛星題材桶；產業別仍保留 PCB,manual_theme_overlay
