research_id,research_variant_id,parameter_set_id,advisory_status,risk_penalty_scope_id,summary_scope_id,analysis_scope_id,risk_penalty_rule_id,risk_penalty_candidate_status,sample_count,unique_events,win_count,neutral_count,loss_count,other_count,pure_win_rate_pct,neutral_inclusive_success_rate_pct,positive_return_rate_pct,avg_return_pct,median_return_pct,approved_for_daily,production_readiness,generated_at
structured_neckline_dual_window_risk_penalty_audit,warning_research_variant_only,structured_neckline_dual_window_risk_penalty_audit_20260629,warning_research_variant_only,dual_window_45_pass_90_bearish_risk_penalty_grid,accepted_overall,all_retest_entries,broad_45_non_bearish_with_90_warning,all_accepted,361,361,144,73,144,0,50.0000,60.1108,60.6648,1.8934,2.9268,false,not_production_ready_research_only,2026-06-29 02:37:08 Asia/Taipei
structured_neckline_dual_window_risk_penalty_audit,warning_research_variant_only,structured_neckline_dual_window_risk_penalty_audit_20260629,warning_research_variant_only,dual_window_45_pass_90_bearish_risk_penalty_grid,accepted_overall,all_retest_entries,confirmed_plus_risk_drawdown90_ge_neg20,all_accepted,313,313,128,61,124,0,50.7937,60.3834,60.7029,2.0075,2.9610,false,not_production_ready_research_only,2026-06-29 02:37:08 Asia/Taipei
structured_neckline_dual_window_risk_penalty_audit,warning_research_variant_only,structured_neckline_dual_window_risk_penalty_audit_20260629,warning_research_variant_only,dual_window_45_pass_90_bearish_risk_penalty_grid,accepted_overall,all_retest_entries,confirmed_plus_risk_drawdown90_ge_neg25,all_accepted,318,318,128,64,126,0,50.3937,60.3774,61.0063,1.9891,2.9511,false,not_production_ready_research_only,2026-06-29 02:37:08 Asia/Taipei
structured_neckline_dual_window_risk_penalty_audit,warning_research_variant_only,structured_neckline_dual_window_risk_penalty_audit_20260629,warning_research_variant_only,dual_window_45_pass_90_bearish_risk_penalty_grid,accepted_overall,all_retest_entries,confirmed_plus_risk_mild_damage_return90_ge_neg10_drawdown90_ge_neg25,all_accepted,316,316,128,62,126,0,50.3937,60.1266,60.7595,1.9796,2.9511,false,not_production_ready_research_only,2026-06-29 02:37:08 Asia/Taipei
structured_neckline_dual_window_risk_penalty_audit,warning_research_variant_only,structured_neckline_dual_window_risk_penalty_audit_20260629,warning_research_variant_only,dual_window_45_pass_90_bearish_risk_penalty_grid,accepted_overall,all_retest_entries,confirmed_plus_risk_penalty_le_1,all_accepted,314,314,128,61,125,0,50.5929,60.1911,60.5096,1.9878,2.9511,false,not_production_ready_research_only,2026-06-29 02:37:09 Asia/Taipei
structured_neckline_dual_window_risk_penalty_audit,warning_research_variant_only,structured_neckline_dual_window_risk_penalty_audit_20260629,warning_research_variant_only,dual_window_45_pass_90_bearish_risk_penalty_grid,accepted_overall,all_retest_entries,confirmed_plus_risk_penalty_le_2,all_accepted,317,317,128,63,126,0,50.3937,60.2524,60.8833,2.0037,2.9610,false,not_production_ready_research_only,2026-06-29 02:37:09 Asia/Taipei
structured_neckline_dual_window_risk_penalty_audit,warning_research_variant_only,structured_neckline_dual_window_risk_penalty_audit_20260629,warning_research_variant_only,dual_window_45_pass_90_bearish_risk_penalty_grid,accepted_overall,all_retest_entries,confirmed_plus_risk_penalty_le_3,all_accepted,321,321,129,63,129,0,50.0000,59.8131,60.4361,1.8181,2.9412,false,not_production_ready_research_only,2026-06-29 02:37:09 Asia/Taipei
structured_neckline_dual_window_risk_penalty_audit,warning_research_variant_only,structured_neckline_dual_window_risk_penalty_audit_20260629,warning_research_variant_only,dual_window_45_pass_90_bearish_risk_penalty_grid,accepted_overall,all_retest_entries,confirmed_plus_risk_return90_ge_neg10,all_accepted,327,327,132,63,132,0,50.0000,59.6330,59.9388,1.8786,2.9268,false,not_production_ready_research_only,2026-06-29 02:37:09 Asia/Taipei
structured_neckline_dual_window_risk_penalty_audit,warning_research_variant_only,structured_neckline_dual_window_risk_penalty_audit_20260629,warning_research_variant_only,dual_window_45_pass_90_bearish_risk_penalty_grid,accepted_overall,all_retest_entries,confirmed_plus_risk_return90_ge_neg5,all_accepted,318,318,130,62,126,0,50.7812,60.3774,60.6918,2.0519,3.0302,false,not_production_ready_research_only,2026-06-29 02:37:09 Asia/Taipei
structured_neckline_dual_window_risk_penalty_audit,warning_research_variant_only,structured_neckline_dual_window_risk_penalty_audit_20260629,warning_research_variant_only,dual_window_45_pass_90_bearish_risk_penalty_grid,accepted_overall,all_retest_entries,confirmed_plus_risk_short_return45_ge_5,all_accepted,335,335,135,66,134,0,50.1859,60.0000,60.5970,1.8202,2.9610,false,not_production_ready_research_only,2026-06-29 02:37:09 Asia/Taipei
structured_neckline_dual_window_risk_penalty_audit,warning_research_variant_only,structured_neckline_dual_window_risk_penalty_audit_20260629,warning_research_variant_only,dual_window_45_pass_90_bearish_risk_penalty_grid,accepted_overall,all_retest_entries,confirmed_plus_risk_short_return45_ge_8,all_accepted,328,328,134,65,129,0,50.9506,60.6707,60.9756,1.9324,3.1406,false,not_production_ready_research_only,2026-06-29 02:37:09 Asia/Taipei
structured_neckline_dual_window_risk_penalty_audit,warning_research_variant_only,structured_neckline_dual_window_risk_penalty_audit_20260629,warning_research_variant_only,dual_window_45_pass_90_bearish_risk_penalty_grid,accepted_overall,all_retest_entries,confirmed_plus_risk_short_slope45_ge_2,all_accepted,331,331,134,65,132,0,50.3759,60.1208,60.7251,1.9033,2.9412,false,not_production_ready_research_only,2026-06-29 02:37:09 Asia/Taipei
structured_neckline_dual_window_risk_penalty_audit,warning_research_variant_only,structured_neckline_dual_window_risk_penalty_audit_20260629,warning_research_variant_only,dual_window_45_pass_90_bearish_risk_penalty_grid,accepted_overall,all_retest_entries,confirmed_plus_risk_short_strength_return45_ge_5_slope45_ge_2,all_accepted,327,327,133,64,130,0,50.5703,60.2446,60.8563,1.9047,2.9610,false,not_production_ready_research_only,2026-06-29 02:37:09 Asia/Taipei
structured_neckline_dual_window_risk_penalty_audit,warning_research_variant_only,structured_neckline_dual_window_risk_penalty_audit_20260629,warning_research_variant_only,dual_window_45_pass_90_bearish_risk_penalty_grid,accepted_overall,all_retest_entries,confirmed_plus_risk_slope90_ge_0,all_accepted,315,315,128,61,126,0,50.3937,60.0000,60.6349,1.9936,2.9610,false,not_production_ready_research_only,2026-06-29 02:37:09 Asia/Taipei
structured_neckline_dual_window_risk_penalty_audit,warning_research_variant_only,structured_neckline_dual_window_risk_penalty_audit_20260629,warning_research_variant_only,dual_window_45_pass_90_bearish_risk_penalty_grid,accepted_overall,all_retest_entries,confirmed_plus_risk_slope90_ge_neg2,all_accepted,316,316,128,62,126,0,50.3937,60.1266,60.7595,1.9988,3.0302,false,not_production_ready_research_only,2026-06-29 02:37:09 Asia/Taipei
structured_neckline_dual_window_risk_penalty_audit,warning_research_variant_only,structured_neckline_dual_window_risk_penalty_audit_20260629,warning_research_variant_only,dual_window_45_pass_90_bearish_risk_penalty_grid,accepted_overall,all_retest_entries,confirmed_plus_risk_strict_repair_return45_ge_5_slope45_ge_2_return90_ge_neg15,all_accepted,319,319,129,63,127,0,50.3906,60.1881,60.8150,1.9624,2.9610,false,not_production_ready_research_only,2026-06-29 02:37:09 Asia/Taipei
structured_neckline_dual_window_risk_penalty_audit,warning_research_variant_only,structured_neckline_dual_window_risk_penalty_audit_20260629,warning_research_variant_only,dual_window_45_pass_90_bearish_risk_penalty_grid,accepted_overall,all_retest_entries,strict_45_90_non_bearish,all_accepted,313,313,128,61,124,0,50.7937,60.3834,60.7029,2.0075,2.9610,false,not_production_ready_research_only,2026-06-29 02:37:09 Asia/Taipei
