generated_at,model_id,artifact_id,artifact_version,episode_key,stock_id,stock_name,signal_date,confirmation_date,entry_date,entry_open,exit_date,exit_close,realized_return_pct,anomaly_candidate_threshold_abs_pct,statistical_trigger_status,price_path_trading_rows,raw_source_rows_expected,raw_source_rows_matched,entry_open_raw_match,exit_close_raw_match,all_ohlc_raw_match,missing_raw_dates,path_start_previous_close,max_abs_daily_price_move_pct,market_limit_violation_count,limit_up_like_day_count,limit_down_like_day_count,corporate_action_event_count_in_window,corporate_action_event_types_in_window,company_calendar_coverage_status,raw_price_source_sha256,raw_price_source_sha256_basis,price_path_classification,impossible_return_flag,root_cause_verification_status,root_cause_checks_completed,root_cause_checks_missing,final_disposition,primary_metric_handling,candidate_threshold_sensitivity_handling,production_change,promotion_readiness
2026-07-14 14:29:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_extreme_return_path_audit,anomaly_candidate_root_cause_partial_v3_20260712,6949|20250710|range23_highest_close_breakout|3|confirmation_d20_close,6949,沛爾生醫-創,20250710,20250711,20250714,156.0,20250808,339.0,117.3077,80.0,anomaly_candidate,20,20,20,True,True,True,,159.5,9.9609,0,7,0,0,,current_snapshot_not_full_historical_corporate_action_pit_layer,c553daff35d1ebbe888e227ff08cf462f5018980afe1bbfd190ea0e48ccf2bb0,date_stock_id_ohlc_canonical_rows_v1,candidate_continuous_price_path_repo_source_matched,False,partial_root_checks_incomplete,identity_dedup_non_overlap;reproducible_evidence_reference;formal_operation_replay;raw_source_lineage_and_hash,point_in_time_and_trading_calendar;units_formula_and_adjustment_basis;authoritative_business_event_history;independent_source_corroboration,unresolved_anomaly_candidate,retain_observed_candidate_and_block_promotion_until_resolved,threshold_sensitivity_only_not_anomaly_disposition,False,blocked_pending_root_cause_not_promotion_evidence
2026-07-14 14:29:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_extreme_return_path_audit,anomaly_candidate_root_cause_partial_v3_20260712,2327|20260424|range23_highest_close_breakout|3|confirmation_d20_close,2327,國巨*,20260424,20260428,20260429,325.0,20260527,701.0,115.6923,80.0,anomaly_candidate,20,20,20,True,True,True,,326.5,10.0,0,6,0,0,,current_snapshot_not_full_historical_corporate_action_pit_layer,2b14866f02020ea75884ab6314cbfeed2c584b5c32b9731d69dc31b9705aefa1,date_stock_id_ohlc_canonical_rows_v1,candidate_continuous_price_path_repo_source_matched,False,partial_root_checks_incomplete,identity_dedup_non_overlap;reproducible_evidence_reference;formal_operation_replay;raw_source_lineage_and_hash,point_in_time_and_trading_calendar;units_formula_and_adjustment_basis;authoritative_business_event_history;independent_source_corroboration,unresolved_anomaly_candidate,retain_observed_candidate_and_block_promotion_until_resolved,threshold_sensitivity_only_not_anomaly_disposition,False,blocked_pending_root_cause_not_promotion_evidence
2026-07-14 14:29:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_extreme_return_path_audit,anomaly_candidate_root_cause_partial_v3_20260712,3229|20260410|range23_highest_close_breakout|3|confirmation_d20_close,3229,晟鈦,20260410,20260413,20260414,24.25,20260512,49.0,102.0619,80.0,anomaly_candidate,20,20,20,True,True,True,,22.65,9.9875,0,6,0,0,,current_snapshot_not_full_historical_corporate_action_pit_layer,39533b56f1b4fc297601d9fc66335de5c966bb5bdac3ad66aa2e23030c860e98,date_stock_id_ohlc_canonical_rows_v1,candidate_continuous_price_path_repo_source_matched,False,partial_root_checks_incomplete,identity_dedup_non_overlap;reproducible_evidence_reference;formal_operation_replay;raw_source_lineage_and_hash,point_in_time_and_trading_calendar;units_formula_and_adjustment_basis;authoritative_business_event_history;independent_source_corroboration,unresolved_anomaly_candidate,retain_observed_candidate_and_block_promotion_until_resolved,threshold_sensitivity_only_not_anomaly_disposition,False,blocked_pending_root_cause_not_promotion_evidence
2026-07-14 14:29:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_extreme_return_path_audit,anomaly_candidate_root_cause_partial_v3_20260712,6658|20260417|range23_highest_close_breakout|3|confirmation_d20_close,6658,聯策,20260417,20260421,20260422,84.9,20260520,170.0,100.2356,80.0,anomaly_candidate,20,20,20,True,True,True,,83.1,9.988,0,10,2,0,,current_snapshot_not_full_historical_corporate_action_pit_layer,609f5c0572c136514a9b7281150227d879b2354641f6e4b21b64c695fe9db48e,date_stock_id_ohlc_canonical_rows_v1,candidate_continuous_price_path_repo_source_matched,False,partial_root_checks_incomplete,identity_dedup_non_overlap;reproducible_evidence_reference;formal_operation_replay;raw_source_lineage_and_hash,point_in_time_and_trading_calendar;units_formula_and_adjustment_basis;authoritative_business_event_history;independent_source_corroboration,unresolved_anomaly_candidate,retain_observed_candidate_and_block_promotion_until_resolved,threshold_sensitivity_only_not_anomaly_disposition,False,blocked_pending_root_cause_not_promotion_evidence
2026-07-14 14:29:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_extreme_return_path_audit,anomaly_candidate_root_cause_partial_v3_20260712,3090|20260430|range23_highest_close_breakout|3|confirmation_d20_close,3090,日電貿,20260430,20260505,20260506,110.0,20260602,220.0,100.0,80.0,anomaly_candidate,20,20,20,True,True,True,,109.5,10.0,0,8,1,0,,current_snapshot_not_full_historical_corporate_action_pit_layer,2ecf197d5c0e8ba6bd9af2d3e35984590f234962c1531c291f05070bb31b3a7f,date_stock_id_ohlc_canonical_rows_v1,candidate_continuous_price_path_repo_source_matched,False,partial_root_checks_incomplete,identity_dedup_non_overlap;reproducible_evidence_reference;formal_operation_replay;raw_source_lineage_and_hash,point_in_time_and_trading_calendar;units_formula_and_adjustment_basis;authoritative_business_event_history;independent_source_corroboration,unresolved_anomaly_candidate,retain_observed_candidate_and_block_promotion_until_resolved,threshold_sensitivity_only_not_anomaly_disposition,False,blocked_pending_root_cause_not_promotion_evidence
2026-07-14 14:29:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_extreme_return_path_audit,anomaly_candidate_root_cause_partial_v3_20260712,3093|20260206|range23_highest_close_breakout|3|confirmation_d20_close,3093,港建*,20260206,20260209,20260210,27.0,20260319,53.9,99.6296,80.0,anomaly_candidate,20,20,20,True,True,True,,26.4,10.0,0,5,0,0,,current_snapshot_not_full_historical_corporate_action_pit_layer,e2aef860dbaa9a6b43baa4c3c6f637dac29e91b246a4ba544c70f19b642d8f52,date_stock_id_ohlc_canonical_rows_v1,candidate_continuous_price_path_repo_source_matched,False,partial_root_checks_incomplete,identity_dedup_non_overlap;reproducible_evidence_reference;formal_operation_replay;raw_source_lineage_and_hash,point_in_time_and_trading_calendar;units_formula_and_adjustment_basis;authoritative_business_event_history;independent_source_corroboration,unresolved_anomaly_candidate,retain_observed_candidate_and_block_promotion_until_resolved,threshold_sensitivity_only_not_anomaly_disposition,False,blocked_pending_root_cause_not_promotion_evidence
2026-07-14 14:29:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_extreme_return_path_audit,anomaly_candidate_root_cause_partial_v3_20260712,5475|20260114|range23_highest_close_breakout|3|confirmation_d20_close,5475,德宏,20260114,20260119,20260120,109.5,20260225,216.0,97.2603,80.0,anomaly_candidate,20,20,20,True,True,True,,111.5,9.9237,0,6,0,0,,current_snapshot_not_full_historical_corporate_action_pit_layer,9a8eecbdae60decdfac76c1373053e0f2996e71e9b8102b98980404c2effeca5,date_stock_id_ohlc_canonical_rows_v1,candidate_continuous_price_path_repo_source_matched,False,partial_root_checks_incomplete,identity_dedup_non_overlap;reproducible_evidence_reference;formal_operation_replay;raw_source_lineage_and_hash,point_in_time_and_trading_calendar;units_formula_and_adjustment_basis;authoritative_business_event_history;independent_source_corroboration,unresolved_anomaly_candidate,retain_observed_candidate_and_block_promotion_until_resolved,threshold_sensitivity_only_not_anomaly_disposition,False,blocked_pending_root_cause_not_promotion_evidence
2026-07-14 14:29:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_extreme_return_path_audit,anomaly_candidate_root_cause_partial_v3_20260712,5464|20260417|range23_highest_close_breakout|3|confirmation_d20_close,5464,霖宏,20260417,20260420,20260421,32.0,20260519,62.5,95.3125,80.0,anomaly_candidate,20,20,20,True,True,True,,31.7,10.0,0,7,0,0,,current_snapshot_not_full_historical_corporate_action_pit_layer,84bb204a97d858ed1396b99522d1d33ba2c9c4aff0de0ee38e783dcb893a366b,date_stock_id_ohlc_canonical_rows_v1,candidate_continuous_price_path_repo_source_matched,False,partial_root_checks_incomplete,identity_dedup_non_overlap;reproducible_evidence_reference;formal_operation_replay;raw_source_lineage_and_hash,point_in_time_and_trading_calendar;units_formula_and_adjustment_basis;authoritative_business_event_history;independent_source_corroboration,unresolved_anomaly_candidate,retain_observed_candidate_and_block_promotion_until_resolved,threshold_sensitivity_only_not_anomaly_disposition,False,blocked_pending_root_cause_not_promotion_evidence
2026-07-14 14:29:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_extreme_return_path_audit,anomaly_candidate_root_cause_partial_v3_20260712,3443|20260407|range23_highest_close_breakout|3|confirmation_d20_close,3443,創意,20260407,20260409,20260410,2695.0,20260508,5210.0,93.321,80.0,anomaly_candidate,20,20,20,True,True,True,,2655.0,9.9899,0,4,0,0,,current_snapshot_not_full_historical_corporate_action_pit_layer,9a44345c126b8d3cee17e0d7055ff057df381ea3d0ba8d23f324d132eb39d44f,date_stock_id_ohlc_canonical_rows_v1,candidate_continuous_price_path_repo_source_matched,False,partial_root_checks_incomplete,identity_dedup_non_overlap;reproducible_evidence_reference;formal_operation_replay;raw_source_lineage_and_hash,point_in_time_and_trading_calendar;units_formula_and_adjustment_basis;authoritative_business_event_history;independent_source_corroboration,unresolved_anomaly_candidate,retain_observed_candidate_and_block_promotion_until_resolved,threshold_sensitivity_only_not_anomaly_disposition,False,blocked_pending_root_cause_not_promotion_evidence
2026-07-14 14:29:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_extreme_return_path_audit,anomaly_candidate_root_cause_partial_v3_20260712,4908|20260407|range23_highest_close_breakout|3|confirmation_d20_close,4908,前鼎,20260407,20260409,20260410,120.0,20260508,229.5,91.25,80.0,anomaly_candidate,20,20,20,True,True,True,,117.5,10.0,0,9,1,0,,current_snapshot_not_full_historical_corporate_action_pit_layer,a200321ce8d6fcc79d47f7134eef2fc2416d69154871f51b6480a54a2f54f7a1,date_stock_id_ohlc_canonical_rows_v1,candidate_continuous_price_path_repo_source_matched,False,partial_root_checks_incomplete,identity_dedup_non_overlap;reproducible_evidence_reference;formal_operation_replay;raw_source_lineage_and_hash,point_in_time_and_trading_calendar;units_formula_and_adjustment_basis;authoritative_business_event_history;independent_source_corroboration,unresolved_anomaly_candidate,retain_observed_candidate_and_block_promotion_until_resolved,threshold_sensitivity_only_not_anomaly_disposition,False,blocked_pending_root_cause_not_promotion_evidence
