research_id,artifact_version,source_research_id,source_artifact_version,advisory_status,model_id,source_event_key,stock_id,stock_name,signal_date,original_confirmation_date,original_selected_trigger_id,selected_close_only_trigger_id,matched_close_only_trigger_ids,close_only_confirmation_date,confirmation_age_trading_days,return_basis,entry_rule_id,exit_rule_id,entry_date,entry_price,exit_date,exit_price,simulated_exit_reason,return_pct,return_outcome,data_quality_flag,breakout_over_prev60_pct,consolidation_type,range_width_40_pct,range_width_60_pct,approved_for_daily,production_readiness,generated_at
volume_range_breakout_v2_close_only_confirmation_audit,volume_range_breakout_v2_close_only_confirmation_audit_20260709,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,1101|20250922|20250925|pullback_5ma_confirmed|20250926|20251013|23.9|23.1,1101,台泥,20250922,20250925,pullback_5ma_confirmed,pullback_5ma_close_reclaim_confirmed,pullback_5ma_close_reclaim_confirmed,20250925,3,close_signal_low_stop_next_open_or_fixed_10d_close,confirmation_next_trading_day_open,close_signal_low_stop_next_open_or_fixed_10d_close,20250926,23.9,20251014,23.1,close_signal_low_stop_next_open,-3.3473,loss,ok,-7.5188,long_consolidation,14.059,20.6349,False,not_production_ready_research_only,2026-07-09 04:02:59 Asia/Taipei
volume_range_breakout_v2_close_only_confirmation_audit,volume_range_breakout_v2_close_only_confirmation_audit_20260709,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,1101|20250922|20250925|pullback_5ma_confirmed|20250926|20251013|23.9|23.1,1101,台泥,20250922,20250925,pullback_5ma_confirmed,pullback_5ma_close_reclaim_confirmed,pullback_5ma_close_reclaim_confirmed,20250925,3,fixed_10d_close_no_stop,confirmation_next_trading_day_open,fixed_10d_close_no_stop,20250926,23.9,20251014,22.9,fixed_10d_close_no_stop,-4.1841,loss,ok,-7.5188,long_consolidation,14.059,20.6349,False,not_production_ready_research_only,2026-07-09 04:02:59 Asia/Taipei
volume_range_breakout_v2_close_only_confirmation_audit,volume_range_breakout_v2_close_only_confirmation_audit_20260709,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,1101|20250922|20250925|pullback_5ma_confirmed|20250926|20251013|23.9|23.1,1101,台泥,20250922,20250925,pullback_5ma_confirmed,pullback_5ma_close_reclaim_confirmed,pullback_5ma_close_reclaim_confirmed,20250925,3,fixed_60d_close_no_stop,confirmation_next_trading_day_open,fixed_60d_close_no_stop,20250926,23.9,20251229,23.3,fixed_60d_close_no_stop,-2.5105,loss,ok,-7.5188,long_consolidation,14.059,20.6349,False,not_production_ready_research_only,2026-07-09 04:02:59 Asia/Taipei
volume_range_breakout_v2_close_only_confirmation_audit,volume_range_breakout_v2_close_only_confirmation_audit_20260709,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,1101|20260112|20260113|next_day_break_signal_high_confirmed|20260114|20260127|25.25|26.05,1101,台泥,20260112,20260113,next_day_break_signal_high_confirmed,pullback_5ma_close_reclaim_confirmed,pullback_5ma_close_reclaim_confirmed,20260126,10,close_signal_low_stop_next_open_or_fixed_10d_close,confirmation_next_trading_day_open,close_signal_low_stop_next_open_or_fixed_10d_close,20260127,26.5,20260209,25.4,fixed_10d_close,-4.1509,loss,ok,4.3933,long_consolidation,18.0247,18.0247,False,not_production_ready_research_only,2026-07-09 04:02:59 Asia/Taipei
volume_range_breakout_v2_close_only_confirmation_audit,volume_range_breakout_v2_close_only_confirmation_audit_20260709,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,1101|20260112|20260113|next_day_break_signal_high_confirmed|20260114|20260127|25.25|26.05,1101,台泥,20260112,20260113,next_day_break_signal_high_confirmed,pullback_5ma_close_reclaim_confirmed,pullback_5ma_close_reclaim_confirmed,20260126,10,fixed_10d_close_no_stop,confirmation_next_trading_day_open,fixed_10d_close_no_stop,20260127,26.5,20260209,25.4,fixed_10d_close_no_stop,-4.1509,loss,ok,4.3933,long_consolidation,18.0247,18.0247,False,not_production_ready_research_only,2026-07-09 04:02:59 Asia/Taipei
volume_range_breakout_v2_close_only_confirmation_audit,volume_range_breakout_v2_close_only_confirmation_audit_20260709,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,1101|20260112|20260113|next_day_break_signal_high_confirmed|20260114|20260127|25.25|26.05,1101,台泥,20260112,20260113,next_day_break_signal_high_confirmed,pullback_5ma_close_reclaim_confirmed,pullback_5ma_close_reclaim_confirmed,20260126,10,fixed_60d_close_no_stop,confirmation_next_trading_day_open,fixed_60d_close_no_stop,20260127,26.5,20260505,24.1,fixed_60d_close_no_stop,-9.0566,loss,ok,4.3933,long_consolidation,18.0247,18.0247,False,not_production_ready_research_only,2026-07-09 04:02:59 Asia/Taipei
volume_range_breakout_v2_close_only_confirmation_audit,volume_range_breakout_v2_close_only_confirmation_audit_20260709,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,1210|20251022|20251028|pullback_10ma_confirmed|20251029|20251111|53.0|52.8,1210,大成,20251022,20251028,pullback_10ma_confirmed,pullback_5ma_close_reclaim_confirmed,pullback_5ma_close_reclaim_confirmed,20251103,7,close_signal_low_stop_next_open_or_fixed_10d_close,confirmation_next_trading_day_open,close_signal_low_stop_next_open_or_fixed_10d_close,20251104,52.8,20251117,52.4,fixed_10d_close,-0.7576,loss,ok,-13.4165,long_consolidation,9.3254,27.1825,False,not_production_ready_research_only,2026-07-09 04:02:59 Asia/Taipei
volume_range_breakout_v2_close_only_confirmation_audit,volume_range_breakout_v2_close_only_confirmation_audit_20260709,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,1210|20251022|20251028|pullback_10ma_confirmed|20251029|20251111|53.0|52.8,1210,大成,20251022,20251028,pullback_10ma_confirmed,pullback_5ma_close_reclaim_confirmed,pullback_5ma_close_reclaim_confirmed,20251103,7,fixed_10d_close_no_stop,confirmation_next_trading_day_open,fixed_10d_close_no_stop,20251104,52.8,20251117,52.4,fixed_10d_close_no_stop,-0.7576,loss,ok,-13.4165,long_consolidation,9.3254,27.1825,False,not_production_ready_research_only,2026-07-09 04:02:59 Asia/Taipei
volume_range_breakout_v2_close_only_confirmation_audit,volume_range_breakout_v2_close_only_confirmation_audit_20260709,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,1210|20251022|20251028|pullback_10ma_confirmed|20251029|20251111|53.0|52.8,1210,大成,20251022,20251028,pullback_10ma_confirmed,pullback_5ma_close_reclaim_confirmed,pullback_5ma_close_reclaim_confirmed,20251103,7,fixed_60d_close_no_stop,confirmation_next_trading_day_open,fixed_60d_close_no_stop,20251104,52.8,20260128,51.5,fixed_60d_close_no_stop,-2.4621,loss,ok,-13.4165,long_consolidation,9.3254,27.1825,False,not_production_ready_research_only,2026-07-09 04:02:59 Asia/Taipei
volume_range_breakout_v2_close_only_confirmation_audit,volume_range_breakout_v2_close_only_confirmation_audit_20260709,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,1215|20250626|20250627|next_day_break_signal_high_confirmed|20250630|20250711|126.0|125.0,1215,卜蜂,20250626,20250627,next_day_break_signal_high_confirmed,next_day_close_above_signal_high_confirmed,next_day_close_above_signal_high_confirmed|pullback_5ma_close_reclaim_confirmed,20250627,1,close_signal_low_stop_next_open_or_fixed_10d_close,confirmation_next_trading_day_open,close_signal_low_stop_next_open_or_fixed_10d_close,20250630,126.0,20250711,125.0,fixed_10d_close,-0.7937,loss,ok,,long_consolidation,17.6471,,False,not_production_ready_research_only,2026-07-09 04:02:59 Asia/Taipei
