model_id,confirmation_model_id,research_id,source_research_id,research_variant_id,parameter_set_id,advisory_status,audit_scope,case_review_tag,manual_case_id,stock_id,stock_name,signal_date,user_interval_start,user_interval_end,transition_status,slope_curvature_category,price_level_bucket,effective_mainstream_label,human_pattern_type,computed_pattern_family,human_left_peak_date,human_left_low_date,human_neckline_date,human_right_low_date,auto_left_peak_date,auto_left_peak_price,auto_left_low_date,auto_left_low_price,auto_neckline_date,auto_neckline_price,auto_right_low_date,auto_right_low_price,second_low_gap_pct,first_drop_pct,neckline_depth_from_left_low_pct,neckline_depth_from_right_low_pct,auto_left_peak_days_before_left_low,auto_selected_at_search_window_edge,highest_pre_left_low_90_date,highest_pre_left_low_90_price,highest_pre_left_low_90_days_before_low,highest_pre_left_low_90_diff_vs_auto_peak_pct,higher_pre_left_low_90_outside_current_window,human_auto_left_peak_delta_trading_days,human_auto_left_low_delta_trading_days,human_auto_neckline_delta_trading_days,human_auto_right_low_delta_trading_days,anchor_issue_type,anchor_issue_reason,recommended_next_research_action,chart_path,manual_review_status,approved_for_daily,production_readiness,generated_at
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_left_anchor_pattern_family_audit,w_bottom_candidate_quality_audit,warning_research_variant_only,w_bottom_left_anchor_pattern_family_audit_20260625,warning_research_variant_only,current_model_candidate,,,1102,亞泥,20260105,,,observation_support_failed,smooth_rounded_w_like,bottom_quartile_level,non_mainstream,,standard_double_bottom_w,,,,,20251001,38.25,20251105,35.0,20251203,39.4,20251230,36.3,3.7143,-8.4967,12.5714,8.5399,20,false,20250704,44.2,78,15.5556,false,,,,,no_anchor_issue_detected,No left-anchor issue detected by this audit.,no_immediate_anchor_action,,pending_research_review,false,not_production_ready_research_only,2026-06-25 13:36:49 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_left_anchor_pattern_family_audit,w_bottom_candidate_quality_audit,warning_research_variant_only,w_bottom_left_anchor_pattern_family_audit_20260625,warning_research_variant_only,current_model_candidate,,,2033,佳大,20260105,,,observation_no_confirmation,wv_multiple_turn_risk,bottom_quartile_level,non_mainstream,,standard_double_bottom_w,,,,,20250725,16.05,20250801,14.8,20251001,22.45,20251105,15.3,3.3784,-7.7882,51.6892,46.732,5,false,20250523,20.15,49,25.5452,true,,,,,higher_pre_left_low_peak_outside_45d_window,A higher pre-left-low peak exists outside the current 45-trading-day left-peak search window.,review_left_anchor_window_or_structural_start_rule,,pending_research_review,false,not_production_ready_research_only,2026-06-25 13:36:49 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_left_anchor_pattern_family_audit,w_bottom_candidate_quality_audit,warning_research_variant_only,w_bottom_left_anchor_pattern_family_audit_20260625,warning_research_variant_only,current_model_candidate,,,2305,全友,20260105,,,observation_late_confirmation_not_w,wv_multiple_turn_risk,low_level,core_mainstream,,standard_double_bottom_w,,,,,20250826,13.3,20251105,10.0,20251114,11.3,20251121,10.15,1.5,-24.812,13.0,11.33,41,false,20250826,13.3,41,0.0,false,,,,,no_anchor_issue_detected,No left-anchor issue detected by this audit.,no_immediate_anchor_action,,pending_research_review,false,not_production_ready_research_only,2026-06-25 13:36:49 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_left_anchor_pattern_family_audit,w_bottom_candidate_quality_audit,warning_research_variant_only,w_bottom_left_anchor_pattern_family_audit_20260625,warning_research_variant_only,current_model_candidate,,,2504,國產,20260105,,,not_observation_near_neckline_or_above,wv_multiple_turn_risk,low_level,non_mainstream,,standard_double_bottom_w,,,,,20250812,39.0,20251013,33.5,20251110,37.25,20251208,34.75,3.7313,-14.1026,11.194,7.1942,37,false,20250613,46.7,79,19.7436,false,,,,,no_anchor_issue_detected,No left-anchor issue detected by this audit.,no_immediate_anchor_action,,pending_research_review,false,not_production_ready_research_only,2026-06-25 13:36:49 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_left_anchor_pattern_family_audit,w_bottom_candidate_quality_audit,warning_research_variant_only,w_bottom_left_anchor_pattern_family_audit_20260625,warning_research_variant_only,current_model_candidate,,,2615,萬海,20260105,,,observation_support_failed,wv_multiple_turn_risk,bottom_quartile_level,non_mainstream,,standard_double_bottom_w,,,,,20250724,93.7,20250930,73.0,20251030,87.4,20251219,75.8,3.8356,-22.0918,19.726,15.3034,43,true,20250523,133.5,86,42.476,true,,,,,higher_pre_left_low_peak_outside_45d_window,A higher pre-left-low peak exists outside the current 45-trading-day left-peak search window.,review_left_anchor_window_or_structural_start_rule,,pending_research_review,false,not_production_ready_research_only,2026-06-25 13:36:49 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_left_anchor_pattern_family_audit,w_bottom_candidate_quality_audit,warning_research_variant_only,w_bottom_left_anchor_pattern_family_audit_20260625,warning_research_variant_only,current_model_candidate,,,6409,旭隼,20260105,,,observation_support_failed,wv_multiple_turn_risk,bottom_quartile_level,core_mainstream,,standard_double_bottom_w,,,,,20250721,1300.0,20250926,910.0,20251107,1275.0,20251229,927.0,1.8681,-30.0,40.1099,37.5405,45,true,20250516,1545.0,89,18.8462,false,,,,,auto_left_peak_near_search_window_edge,"Auto left peak is near the 45-trading-day search boundary, so the structural start may be truncated.",manual_confirm_left_start_before_using_as_positive,,pending_research_review,false,not_production_ready_research_only,2026-06-25 13:36:49 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_left_anchor_pattern_family_audit,w_bottom_candidate_quality_audit,warning_research_variant_only,w_bottom_left_anchor_pattern_family_audit_20260625,warning_research_variant_only,current_model_candidate,,,2347,聯強,20260106,,,observation_late_confirmation_not_w,wv_multiple_turn_risk,low_level,core_mainstream,,standard_double_bottom_w,,,,,20250724,69.4,20250820,57.5,20250829,71.2,20251119,58.3,1.3913,-17.147,23.8261,22.1269,19,false,20250516,74.3,66,7.0605,false,,,,,no_anchor_issue_detected,No left-anchor issue detected by this audit.,no_immediate_anchor_action,,pending_research_review,false,not_production_ready_research_only,2026-06-25 13:36:49 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_left_anchor_pattern_family_audit,w_bottom_candidate_quality_audit,warning_research_variant_only,w_bottom_left_anchor_pattern_family_audit_20260625,warning_research_variant_only,current_model_candidate,,,2379,瑞昱,20260106,,,observation_to_price_only_confirmation,wv_multiple_turn_risk,mid_level,core_mainstream,,standard_double_bottom_w,,,,,20251009,563.0,20251113,486.5,20251203,544.0,20251230,480.0,-1.3361,-13.5879,11.8191,13.3333,21,false,20250723,593.0,71,5.3286,false,,,,,no_anchor_issue_detected,No left-anchor issue detected by this audit.,no_immediate_anchor_action,,pending_research_review,false,not_production_ready_research_only,2026-06-25 13:36:49 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_left_anchor_pattern_family_audit,w_bottom_candidate_quality_audit,warning_research_variant_only,w_bottom_left_anchor_pattern_family_audit_20260625,warning_research_variant_only,current_model_candidate,,,3617,碩天,20260106,,,observation_support_failed,wv_multiple_turn_risk,bottom_quartile_level,core_mainstream,,standard_double_bottom_w,,,,,20250807,244.0,20250930,203.0,20251106,259.5,20251229,203.0,0.0,-16.8033,27.8325,27.8325,33,false,20250715,294.0,50,20.4918,true,,,,,higher_pre_left_low_peak_outside_45d_window,A higher pre-left-low peak exists outside the current 45-trading-day left-peak search window.,review_left_anchor_window_or_structural_start_rule,,pending_research_review,false,not_production_ready_research_only,2026-06-25 13:36:49 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_left_anchor_pattern_family_audit,w_bottom_candidate_quality_audit,warning_research_variant_only,w_bottom_left_anchor_pattern_family_audit_20260625,warning_research_variant_only,current_model_candidate,,,4562,穎漢,20260106,,,observation_late_confirmation_not_w,wv_multiple_turn_risk,bottom_quartile_level,core_mainstream,,standard_double_bottom_w,,,,,20250909,50.9,20251124,33.8,20251205,42.7,20251215,35.05,3.6982,-33.5953,26.3314,21.826,45,true,20250718,59.0,81,15.9136,false,,,,,auto_left_peak_near_search_window_edge,"Auto left peak is near the 45-trading-day search boundary, so the structural start may be truncated.",manual_confirm_left_start_before_using_as_positive,,pending_research_review,false,not_production_ready_research_only,2026-06-25 13:36:49 Asia/Taipei
