artifact_version,model_id,analysis_scope,scenario_id,horizon_sessions,entry_basis,exit_basis,signal_event_count,mature_count,right_censored_count,invalid_count,unique_stock_count,win_count,neutral_count,failure_count,win_rate_pct,neutral_rate_pct,failure_rate_pct,avg_return_pct,median_return_pct,high_return_threshold_pct,high_return_hit_rate_pct,loss_rate_pct,anomaly_candidate_count,unresolved_anomaly_count,primary_metrics_retain_unresolved_candidates,candidate_exclusion_sensitivity_count,candidate_exclusion_sensitivity_win_rate_pct,candidate_exclusion_sensitivity_avg_return_pct,sensitivity_is_corrected_primary,formal_use_allowed,operation_contract_status,full_historical_condition_replay_status,research_status
hot_theme_pullback_published_signal_replay_v1,hot_theme_pullback,published_signal_exact_membership,fixed_d5_close,5,next_trading_day_open,d5_close,1544,1296,248,0,137,500,14,782,38.58024691,1.08024691,60.33950617,-1.78985696,-2.12093234,10.0,8.17901235,60.33950617,12,12,True,1284,38.23987539,-1.96747892,False,False,decision_required,blocked_missing_point_in_time_hot_theme_labels,published_signal_exact_replay_research_only
hot_theme_pullback_published_signal_replay_v1,hot_theme_pullback,published_signal_exact_membership,fixed_d10_close,10,next_trading_day_open,d10_close,1544,1157,387,0,134,297,8,852,25.66983578,0.69144339,73.63872083,-6.62692183,-6.78496868,10.0,6.82800346,73.63872083,51,51,True,1106,25.58770344,-6.29600737,False,False,decision_required,blocked_missing_point_in_time_hot_theme_labels,published_signal_exact_replay_research_only
hot_theme_pullback_published_signal_replay_v1,hot_theme_pullback,published_signal_exact_membership,fixed_d20_close,20,next_trading_day_open,d20_close,1544,1069,475,0,132,258,3,808,24.13470533,0.28063611,75.58465856,-9.14290509,-10.29126214,10.0,11.31898971,75.58465856,103,103,True,966,24.74120083,-7.69967648,False,False,decision_required,blocked_missing_point_in_time_hot_theme_labels,published_signal_exact_replay_research_only
