research_id,research_variant_id,parameter_set_id,advisory_status,confirmation_scope_id,confirmation_rule_id,max_window_sessions,min_follow_through_pct,source_accepted_count,tradable_entry_count,incomplete_count,win_count,neutral_count,loss_count,pure_win_rate_pct,neutral_inclusive_success_rate_pct,avg_return_pct,median_return_pct,avg_max_close_return_pct,avg_min_close_return_pct,interpretation,approved_for_daily,production_readiness,generated_at
structured_neckline_strict_45_90_confirmation_entry_audit,warning_research_variant_only,structured_neckline_strict_45_90_confirmation_entry_audit_20260629,warning_research_variant_only,follow_through_close_confirmation_next_open_grid,close_ge_1pct_within_1_sessions_next_open,1,1.0000,19,19,0,13,3,3,81.2500,84.2105,8.0665,11.5385,10.4898,-3.9403,confirmation_next_open_research_only_not_production_ready,false,not_production_ready_research_only,2026-06-29 03:34:05 Asia/Taipei
structured_neckline_strict_45_90_confirmation_entry_audit,warning_research_variant_only,structured_neckline_strict_45_90_confirmation_entry_audit_20260629,warning_research_variant_only,follow_through_close_confirmation_next_open_grid,close_ge_2pct_within_1_sessions_next_open,1,2.0000,15,15,0,10,2,3,76.9231,80.0000,7.2422,11.3445,9.9145,-4.1243,confirmation_next_open_research_only_not_production_ready,false,not_production_ready_research_only,2026-06-29 03:34:05 Asia/Taipei
structured_neckline_strict_45_90_confirmation_entry_audit,warning_research_variant_only,structured_neckline_strict_45_90_confirmation_entry_audit_20260629,warning_research_variant_only,follow_through_close_confirmation_next_open_grid,close_ge_3pct_within_1_sessions_next_open,1,3.0000,11,11,0,7,1,3,70.0000,72.7273,6.4743,11.5385,9.9549,-6.3853,confirmation_next_open_research_only_not_production_ready,false,not_production_ready_research_only,2026-06-29 03:34:05 Asia/Taipei
structured_neckline_strict_45_90_confirmation_entry_audit,warning_research_variant_only,structured_neckline_strict_45_90_confirmation_entry_audit_20260629,warning_research_variant_only,follow_through_close_confirmation_next_open_grid,close_ge_5pct_within_1_sessions_next_open,1,5.0000,6,6,0,3,1,2,60.0000,66.6667,3.7524,8.7070,8.7910,-11.3849,confirmation_next_open_research_only_not_production_ready,false,not_production_ready_research_only,2026-06-29 03:34:05 Asia/Taipei
structured_neckline_strict_45_90_confirmation_entry_audit,warning_research_variant_only,structured_neckline_strict_45_90_confirmation_entry_audit_20260629,warning_research_variant_only,follow_through_close_confirmation_next_open_grid,close_ge_1pct_within_2_sessions_next_open,2,1.0000,30,30,0,19,6,5,79.1667,83.3333,7.3811,11.4415,10.1949,-4.7450,confirmation_next_open_research_only_not_production_ready,false,not_production_ready_research_only,2026-06-29 03:34:05 Asia/Taipei
structured_neckline_strict_45_90_confirmation_entry_audit,warning_research_variant_only,structured_neckline_strict_45_90_confirmation_entry_audit_20260629,warning_research_variant_only,follow_through_close_confirmation_next_open_grid,close_ge_2pct_within_2_sessions_next_open,2,2.0000,23,23,0,14,4,5,73.6842,78.2609,6.1717,10.7628,9.5105,-4.9369,confirmation_next_open_research_only_not_production_ready,false,not_production_ready_research_only,2026-06-29 03:34:05 Asia/Taipei
structured_neckline_strict_45_90_confirmation_entry_audit,warning_research_variant_only,structured_neckline_strict_45_90_confirmation_entry_audit_20260629,warning_research_variant_only,follow_through_close_confirmation_next_open_grid,close_ge_3pct_within_2_sessions_next_open,2,3.0000,21,21,0,12,4,5,70.5882,76.1905,5.5148,10.4478,9.4387,-6.2699,confirmation_next_open_research_only_not_production_ready,false,not_production_ready_research_only,2026-06-29 03:34:05 Asia/Taipei
structured_neckline_strict_45_90_confirmation_entry_audit,warning_research_variant_only,structured_neckline_strict_45_90_confirmation_entry_audit_20260629,warning_research_variant_only,follow_through_close_confirmation_next_open_grid,close_ge_5pct_within_2_sessions_next_open,2,5.0000,16,16,0,9,3,4,69.2308,75.0000,4.9385,11.7180,9.2540,-9.0682,confirmation_next_open_research_only_not_production_ready,false,not_production_ready_research_only,2026-06-29 03:34:05 Asia/Taipei
structured_neckline_strict_45_90_confirmation_entry_audit,warning_research_variant_only,structured_neckline_strict_45_90_confirmation_entry_audit_20260629,warning_research_variant_only,follow_through_close_confirmation_next_open_grid,close_ge_1pct_within_3_sessions_next_open,3,1.0000,32,32,0,20,7,5,80.0000,84.3750,7.4967,11.4415,10.2871,-4.6106,confirmation_next_open_research_only_not_production_ready,false,not_production_ready_research_only,2026-06-29 03:34:05 Asia/Taipei
structured_neckline_strict_45_90_confirmation_entry_audit,warning_research_variant_only,structured_neckline_strict_45_90_confirmation_entry_audit_20260629,warning_research_variant_only,follow_through_close_confirmation_next_open_grid,close_ge_2pct_within_3_sessions_next_open,3,2.0000,27,27,0,16,5,6,72.7273,77.7778,6.5084,10.7628,9.7218,-4.1843,confirmation_next_open_research_only_not_production_ready,false,not_production_ready_research_only,2026-06-29 03:34:05 Asia/Taipei
structured_neckline_strict_45_90_confirmation_entry_audit,warning_research_variant_only,structured_neckline_strict_45_90_confirmation_entry_audit_20260629,warning_research_variant_only,follow_through_close_confirmation_next_open_grid,close_ge_3pct_within_3_sessions_next_open,3,3.0000,25,25,0,15,5,5,75.0000,80.0000,6.4098,11.5385,10.0212,-5.2474,confirmation_next_open_research_only_not_production_ready,false,not_production_ready_research_only,2026-06-29 03:34:05 Asia/Taipei
structured_neckline_strict_45_90_confirmation_entry_audit,warning_research_variant_only,structured_neckline_strict_45_90_confirmation_entry_audit_20260629,warning_research_variant_only,follow_through_close_confirmation_next_open_grid,close_ge_5pct_within_3_sessions_next_open,3,5.0000,21,21,0,12,4,5,70.5882,76.1905,5.3161,11.5903,9.6046,-7.3399,confirmation_next_open_research_only_not_production_ready,false,not_production_ready_research_only,2026-06-29 03:34:05 Asia/Taipei
