model_id,confirmation_model_id,research_id,source_research_id,research_variant_id,parameter_set_id,advisory_status,base_scope_id,base_scope_description,segment_dimension,segment_value,filter_id,filter_description,price_position_max_pct,sample_size,mature_sample_size,win_count,win_rate_pct,avg_a_return_pct,median_a_return_pct,baseline_sample_size,baseline_mature_sample_size,baseline_win_rate_pct,baseline_avg_a_return_pct,baseline_median_a_return_pct,delta_sample_size,sample_retention_rate_pct,delta_win_rate_pct,delta_avg_a_return_pct,delta_median_a_return_pct,volume_confirmation_count,tdcc_any_age7_count,smooth_count,sharp_v_count,wv_multiple_turn_count,slope_break_count,bottom_quartile_count,low_level_count,mid_level_count,high_level_count,avg_price_position_252_pct,median_price_position_252_pct,stability_signal,sample_warning,approved_for_daily,production_readiness,generated_at
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_price_level_filter_grid,w_bottom_price_level_audit,warning_research_variant_only,w_bottom_price_level_filter_grid_20260625,warning_research_variant_only,all_w_bottom_candidates,All W-bottom right-side candidates from the price-level audit.,overall,all,baseline_no_price_level_filter,"Baseline rows inside the base scope and segment, without an additional price-position filter.",,470,52,16,30.7692,0.1621,-1.7857,470,52,30.7692,0.1621,-1.7857,0,100.0000,0.0000,0.0000,0.0000,44,2,54,26,286,104,259,149,57,5,24.9680,23.6048,baseline,sample_size_ok_for_research_review,false,not_production_ready_research_only,2026-06-25 12:51:19 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_price_level_filter_grid,w_bottom_price_level_audit,warning_research_variant_only,w_bottom_price_level_filter_grid_20260625,warning_research_variant_only,all_w_bottom_candidates,All W-bottom right-side candidates from the price-level audit.,overall,all,price_position_252_le_40,Keep only rows with price_position_252_pct <= 40.0.,40.0,408,45,15,33.3333,0.4170,-1.7857,470,52,30.7692,0.1621,-1.7857,-62,86.8085,2.5641,0.2549,0.0000,38,2,45,19,252,92,259,149,0,0,21.4362,21.2538,directionally_improved,sample_size_ok_for_research_review,false,not_production_ready_research_only,2026-06-25 12:51:19 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_price_level_filter_grid,w_bottom_price_level_audit,warning_research_variant_only,w_bottom_price_level_filter_grid_20260625,warning_research_variant_only,all_w_bottom_candidates,All W-bottom right-side candidates from the price-level audit.,signal_quarter,2026Q1,baseline_no_price_level_filter,"Baseline rows inside the base scope and segment, without an additional price-position filter.",,252,26,5,19.2308,-2.4749,-2.6594,252,26,19.2308,-2.4749,-2.6594,0,100.0000,0.0000,0.0000,0.0000,21,1,34,14,153,51,123,84,41,4,26.8990,25.5282,baseline,directional_only_below_promotion_review_size,false,not_production_ready_research_only,2026-06-25 12:51:19 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_price_level_filter_grid,w_bottom_price_level_audit,warning_research_variant_only,w_bottom_price_level_filter_grid_20260625,warning_research_variant_only,all_w_bottom_candidates,All W-bottom right-side candidates from the price-level audit.,signal_quarter,2026Q1,price_position_252_le_40,Keep only rows with price_position_252_pct <= 40.0.,40.0,207,23,5,21.7391,-2.3694,-2.2472,252,26,19.2308,-2.4749,-2.6594,-45,82.1429,2.5084,0.1055,0.4122,18,1,27,8,125,47,123,84,0,0,22.1551,22.2892,directionally_improved,directional_only_below_promotion_review_size,false,not_production_ready_research_only,2026-06-25 12:51:19 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_price_level_filter_grid,w_bottom_price_level_audit,warning_research_variant_only,w_bottom_price_level_filter_grid_20260625,warning_research_variant_only,all_w_bottom_candidates,All W-bottom right-side candidates from the price-level audit.,signal_quarter,2026Q2,baseline_no_price_level_filter,"Baseline rows inside the base scope and segment, without an additional price-position filter.",,218,26,11,42.3077,2.7991,-0.4274,218,26,42.3077,2.7991,-0.4274,0,100.0000,0.0000,0.0000,0.0000,23,1,20,12,133,53,136,65,16,1,22.7359,21.9308,baseline,directional_only_below_promotion_review_size,false,not_production_ready_research_only,2026-06-25 12:51:19 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_price_level_filter_grid,w_bottom_price_level_audit,warning_research_variant_only,w_bottom_price_level_filter_grid_20260625,warning_research_variant_only,all_w_bottom_candidates,All W-bottom right-side candidates from the price-level audit.,signal_quarter,2026Q2,price_position_252_le_40,Keep only rows with price_position_252_pct <= 40.0.,40.0,201,22,10,45.4545,3.3300,0.0000,218,26,42.3077,2.7991,-0.4274,-17,92.2018,3.1469,0.5309,0.4274,20,1,18,11,127,45,136,65,0,0,20.6959,20.1389,directionally_improved,directional_only_below_promotion_review_size,false,not_production_ready_research_only,2026-06-25 12:51:19 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_price_level_filter_grid,w_bottom_price_level_audit,warning_research_variant_only,w_bottom_price_level_filter_grid_20260625,warning_research_variant_only,all_w_bottom_candidates,All W-bottom right-side candidates from the price-level audit.,effective_mainstream_label,core_mainstream,baseline_no_price_level_filter,"Baseline rows inside the base scope and segment, without an additional price-position filter.",,218,32,14,43.7500,1.0128,-0.2167,218,32,43.7500,1.0128,-0.2167,0,100.0000,0.0000,0.0000,0.0000,24,1,19,19,147,33,108,75,31,4,26.6218,25.2451,baseline,sample_size_ok_for_research_review,false,not_production_ready_research_only,2026-06-25 12:51:19 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_price_level_filter_grid,w_bottom_price_level_audit,warning_research_variant_only,w_bottom_price_level_filter_grid_20260625,warning_research_variant_only,all_w_bottom_candidates,All W-bottom right-side candidates from the price-level audit.,effective_mainstream_label,core_mainstream,price_position_252_le_40,Keep only rows with price_position_252_pct <= 40.0.,40.0,183,27,13,48.1481,1.3611,0.0000,218,32,43.7500,1.0128,-0.2167,-35,83.9450,4.3981,0.3483,0.2167,19,1,16,16,123,28,108,75,0,0,22.4636,21.9638,directionally_improved,directional_only_below_promotion_review_size,false,not_production_ready_research_only,2026-06-25 12:51:19 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_price_level_filter_grid,w_bottom_price_level_audit,warning_research_variant_only,w_bottom_price_level_filter_grid_20260625,warning_research_variant_only,all_w_bottom_candidates,All W-bottom right-side candidates from the price-level audit.,effective_mainstream_label,non_mainstream,baseline_no_price_level_filter,"Baseline rows inside the base scope and segment, without an additional price-position filter.",,252,20,2,10.0000,-1.1991,-3.4108,252,20,10.0000,-1.1991,-3.4108,0,100.0000,0.0000,0.0000,0.0000,20,1,35,7,139,71,151,74,26,1,23.5373,22.8292,baseline,directional_only_below_promotion_review_size,false,not_production_ready_research_only,2026-06-25 12:51:19 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_price_level_filter_grid,w_bottom_price_level_audit,warning_research_variant_only,w_bottom_price_level_filter_grid_20260625,warning_research_variant_only,all_w_bottom_candidates,All W-bottom right-side candidates from the price-level audit.,effective_mainstream_label,non_mainstream,price_position_252_le_40,Keep only rows with price_position_252_pct <= 40.0.,40.0,225,18,2,11.1111,-0.9993,-3.4108,252,20,10.0000,-1.1991,-3.4108,-27,89.2857,1.1111,0.1998,0.0000,19,1,29,3,129,64,151,74,0,0,20.6006,20.1389,directionally_improved,directional_only_below_promotion_review_size,false,not_production_ready_research_only,2026-06-25 12:51:19 Asia/Taipei
