generated_at,model_id,model_name_zh,research_artifact_id,score_draft_id,score_bucket,exit_rule_id,formal_price_rule_status,profit_target_pct,exit_price_rule,entry_rule_id,buy_point_rule,score_use,score_rule_summary,selected_stock_days,selected_unique_stocks,mature_count,win_count,neutral_count,failure_count,same_day_unresolved_count,win_rate_pct,neutral_rate_pct,failure_rate_pct,same_day_unresolved_rate_pct,avg_research_score,avg_realized_return_pct,median_realized_return_pct,avg_win_realized_return_pct,avg_failure_realized_return_pct,avg_d20_close_return_pct,avg_realized_or_d20_days,advisory_status,approved_for_daily,production_change,promotion_readiness,promotion_blocker,component_hit_count_tdcc_high_thresholds_up,component_hit_rate_pct_tdcc_high_thresholds_up,component_hit_count_return20_0_25,component_hit_rate_pct_return20_0_25,component_hit_count_return45_ge5,component_hit_rate_pct_return45_ge5,component_hit_count_range_width45_ge28,component_hit_rate_pct_range_width45_ge28,component_hit_count_prior_extension_ema23_20d_ge8,component_hit_rate_pct_prior_extension_ema23_20d_ge8,component_hit_count_prior_runup20_ge15,component_hit_rate_pct_prior_runup20_ge15,component_hit_count_obv_above_ma20,component_hit_rate_pct_obv_above_ma20,component_hit_summary
2026-07-02 14:03:33 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_research_score_bucket,research_bonus_score_v1,score_0_1,close_prev20_break_then_tp10_or_5ma_next_open,close_confirmed_candidate,10.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; score is advisory only.,research_only_not_production_score,"TDCC high-thresholds up=2 points; return20_0_25, return45_ge5, range_width45_ge28, prior_extension_ema23_20d_ge8, prior_runup20_ge15, and OBV above MA20=1 point each.",97971,1727,97971,11165,34133,52673,0,11.4,34.84,53.76,0.0,0.48,0.44,-0.46,15.07,-4.19,0.44,15.89,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_and_operation_approval_required,"requires exact daily operation parity, explicit score promotion PR, contract update, validators, and post-merge validation before production scoring use",0,0.0,11126,11.36,1730,1.77,13991,14.28,3912,3.99,2007,2.05,14735,15.04,tdcc_high_thresholds_up:0;return20_0_25:11126;return45_ge5:1730;range_width45_ge28:13991;prior_extension_ema23_20d_ge8:3912;prior_runup20_ge15:2007;obv_above_ma20:14735
2026-07-02 14:03:33 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_research_score_bucket,research_bonus_score_v1,score_2_3,close_prev20_break_then_tp10_or_5ma_next_open,close_confirmed_candidate,10.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; score is advisory only.,research_only_not_production_score,"TDCC high-thresholds up=2 points; return20_0_25, return45_ge5, range_width45_ge28, prior_extension_ema23_20d_ge8, prior_runup20_ge15, and OBV above MA20=1 point each.",108184,1942,108184,15592,33615,58977,0,14.41,31.07,54.52,0.0,2.45,0.92,-0.48,17.24,-4.77,1.49,13.56,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_and_operation_approval_required,"requires exact daily operation parity, explicit score promotion PR, contract update, validators, and post-merge validation before production scoring use",5724,5.29,52146,48.2,13183,12.19,43858,40.54,42570,39.35,45625,42.17,56404,52.14,tdcc_high_thresholds_up:5724;return20_0_25:52146;return45_ge5:13183;range_width45_ge28:43858;prior_extension_ema23_20d_ge8:42570;prior_runup20_ge15:45625;obv_above_ma20:56404
2026-07-02 14:03:33 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_research_score_bucket,research_bonus_score_v1,score_4_5,close_prev20_break_then_tp10_or_5ma_next_open,close_confirmed_candidate,10.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; score is advisory only.,research_only_not_production_score,"TDCC high-thresholds up=2 points; return20_0_25, return45_ge5, range_width45_ge28, prior_extension_ema23_20d_ge8, prior_runup20_ge15, and OBV above MA20=1 point each.",46147,1737,46147,11490,10437,24220,0,24.9,22.62,52.48,0.0,4.43,1.92,-0.55,18.89,-7.18,3.67,13.78,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_and_operation_approval_required,"requires exact daily operation parity, explicit score promotion PR, contract update, validators, and post-merge validation before production scoring use",5304,11.49,29279,63.45,21554,46.71,32820,71.12,39047,84.61,41223,89.33,30017,65.05,tdcc_high_thresholds_up:5304;return20_0_25:29279;return45_ge5:21554;range_width45_ge28:32820;prior_extension_ema23_20d_ge8:39047;prior_runup20_ge15:41223;obv_above_ma20:30017
2026-07-02 14:03:33 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_research_score_bucket,research_bonus_score_v1,score_6_plus,close_prev20_break_then_tp10_or_5ma_next_open,close_confirmed_candidate,10.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; score is advisory only.,research_only_not_production_score,"TDCC high-thresholds up=2 points; return20_0_25, return45_ge5, range_width45_ge28, prior_extension_ema23_20d_ge8, prior_runup20_ge15, and OBV above MA20=1 point each.",10743,1101,10743,3632,2003,5108,0,33.81,18.64,47.55,0.0,6.21,3.24,0.83,19.14,-8.61,5.29,13.39,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_and_operation_approval_required,"requires exact daily operation parity, explicit score promotion PR, contract update, validators, and post-merge validation before production scoring use",2721,25.33,10028,93.34,10067,93.71,10093,93.95,10550,98.2,10641,99.05,9843,91.62,tdcc_high_thresholds_up:2721;return20_0_25:10028;return45_ge5:10067;range_width45_ge28:10093;prior_extension_ema23_20d_ge8:10550;prior_runup20_ge15:10641;obv_above_ma20:9843
2026-07-02 14:03:33 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_research_score_bucket,research_bonus_score_v1,score_0_1,close_prev20_break_then_tp5_or_5ma_next_open,close_confirmed_candidate,5.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; score is advisory only.,research_only_not_production_score,"TDCC high-thresholds up=2 points; return20_0_25, return45_ge5, range_width45_ge28, prior_extension_ema23_20d_ge8, prior_runup20_ge15, and OBV above MA20=1 point each.",97971,1727,97971,20002,25677,52292,0,20.42,26.21,53.37,0.0,0.48,0.45,-0.43,10.49,-4.2,0.44,15.56,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_and_operation_approval_required,"requires exact daily operation parity, explicit score promotion PR, contract update, validators, and post-merge validation before production scoring use",0,0.0,11126,11.36,1730,1.77,13991,14.28,3912,3.99,2007,2.05,14735,15.04,tdcc_high_thresholds_up:0;return20_0_25:11126;return45_ge5:1730;range_width45_ge28:13991;prior_extension_ema23_20d_ge8:3912;prior_runup20_ge15:2007;obv_above_ma20:14735
2026-07-02 14:03:33 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_research_score_bucket,research_bonus_score_v1,score_2_3,close_prev20_break_then_tp5_or_5ma_next_open,close_confirmed_candidate,5.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; score is advisory only.,research_only_not_production_score,"TDCC high-thresholds up=2 points; return20_0_25, return45_ge5, range_width45_ge28, prior_extension_ema23_20d_ge8, prior_runup20_ge15, and OBV above MA20=1 point each.",108184,1942,108184,24902,24953,58329,0,23.02,23.07,53.92,0.0,2.45,0.92,-0.42,12.26,-4.8,1.49,13.22,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_and_operation_approval_required,"requires exact daily operation parity, explicit score promotion PR, contract update, validators, and post-merge validation before production scoring use",5724,5.29,52146,48.2,13183,12.19,43858,40.54,42570,39.35,45625,42.17,56404,52.14,tdcc_high_thresholds_up:5724;return20_0_25:52146;return45_ge5:13183;range_width45_ge28:43858;prior_extension_ema23_20d_ge8:42570;prior_runup20_ge15:45625;obv_above_ma20:56404
2026-07-02 14:03:33 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_research_score_bucket,research_bonus_score_v1,score_4_5,close_prev20_break_then_tp5_or_5ma_next_open,close_confirmed_candidate,5.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; score is advisory only.,research_only_not_production_score,"TDCC high-thresholds up=2 points; return20_0_25, return45_ge5, range_width45_ge28, prior_extension_ema23_20d_ge8, prior_runup20_ge15, and OBV above MA20=1 point each.",46147,1737,46147,14433,7797,23917,0,31.28,16.9,51.83,0.0,4.43,1.89,-0.44,15.69,-7.24,3.67,13.52,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_and_operation_approval_required,"requires exact daily operation parity, explicit score promotion PR, contract update, validators, and post-merge validation before production scoring use",5304,11.49,29279,63.45,21554,46.71,32820,71.12,39047,84.61,41223,89.33,30017,65.05,tdcc_high_thresholds_up:5304;return20_0_25:29279;return45_ge5:21554;range_width45_ge28:32820;prior_extension_ema23_20d_ge8:39047;prior_runup20_ge15:41223;obv_above_ma20:30017
2026-07-02 14:03:33 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_research_score_bucket,research_bonus_score_v1,score_6_plus,close_prev20_break_then_tp5_or_5ma_next_open,close_confirmed_candidate,5.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; score is advisory only.,research_only_not_production_score,"TDCC high-thresholds up=2 points; return20_0_25, return45_ge5, range_width45_ge28, prior_extension_ema23_20d_ge8, prior_runup20_ge15, and OBV above MA20=1 point each.",10743,1101,10743,4260,1470,5013,0,39.65,13.68,46.66,0.0,6.21,3.15,1.47,16.57,-8.72,5.29,13.14,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_and_operation_approval_required,"requires exact daily operation parity, explicit score promotion PR, contract update, validators, and post-merge validation before production scoring use",2721,25.33,10028,93.34,10067,93.71,10093,93.95,10550,98.2,10641,99.05,9843,91.62,tdcc_high_thresholds_up:2721;return20_0_25:10028;return45_ge5:10067;range_width45_ge28:10093;prior_extension_ema23_20d_ge8:10550;prior_runup20_ge15:10641;obv_above_ma20:9843
2026-07-02 14:03:33 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_research_score_bucket,research_bonus_score_v1,score_0_1,close_prev20_break_then_tp8_or_5ma_next_open,close_confirmed_candidate,8.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; score is advisory only.,research_only_not_production_score,"TDCC high-thresholds up=2 points; return20_0_25, return45_ge5, range_width45_ge28, prior_extension_ema23_20d_ge8, prior_runup20_ge15, and OBV above MA20=1 point each.",97971,1727,97971,14222,31165,52584,0,14.52,31.81,53.67,0.0,0.48,0.44,-0.45,13.06,-4.19,0.44,15.77,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_and_operation_approval_required,"requires exact daily operation parity, explicit score promotion PR, contract update, validators, and post-merge validation before production scoring use",0,0.0,11126,11.36,1730,1.77,13991,14.28,3912,3.99,2007,2.05,14735,15.04,tdcc_high_thresholds_up:0;return20_0_25:11126;return45_ge5:1730;range_width45_ge28:13991;prior_extension_ema23_20d_ge8:3912;prior_runup20_ge15:2007;obv_above_ma20:14735
2026-07-02 14:03:33 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_research_score_bucket,research_bonus_score_v1,score_2_3,close_prev20_break_then_tp8_or_5ma_next_open,close_confirmed_candidate,8.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; score is advisory only.,research_only_not_production_score,"TDCC high-thresholds up=2 points; return20_0_25, return45_ge5, range_width45_ge28, prior_extension_ema23_20d_ge8, prior_runup20_ge15, and OBV above MA20=1 point each.",108184,1942,108184,18786,30552,58846,0,17.36,28.24,54.39,0.0,2.45,0.93,-0.47,15.22,-4.78,1.49,13.44,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_and_operation_approval_required,"requires exact daily operation parity, explicit score promotion PR, contract update, validators, and post-merge validation before production scoring use",5724,5.29,52146,48.2,13183,12.19,43858,40.54,42570,39.35,45625,42.17,56404,52.14,tdcc_high_thresholds_up:5724;return20_0_25:52146;return45_ge5:13183;range_width45_ge28:43858;prior_extension_ema23_20d_ge8:42570;prior_runup20_ge15:45625;obv_above_ma20:56404
