research_id,artifact_version,source_research_id,source_artifact_version,advisory_status,model_id,source_event_key,stock_id,stock_name,signal_date,confirmation_date,entry_date,exit_date,return_pct,return_outcome,exit_reason,event_sequence_for_stock,all_events_overlap_pair_count_for_stock,first_event_per_stock_included,same_stock_non_overlap_included,same_stock_non_overlap_suppression_reason,suppressed_by_source_event_key,suppressed_by_entry_date,suppressed_by_exit_date,deep_low_120_le40,deep_low_240_le40,range60_le25,range120_le25,limit_up_like,consolidation_type,risk_type,approved_for_daily,production_readiness,generated_at
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,3581|20260504|20260505|next_day_break_signal_high_confirmed|20260506|20260518|238.0|197.0,3581,博磊,20260504,20260505,20260506,20260518,-17.2269,loss,stop_signal_low,4,4,False,True,,,,,False,False,False,False,True,non_consolidation,high_position_chase,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,3583|20260410|20260413|next_day_break_signal_high_confirmed|20260414|20260427|721.0|736.0,3583,辛耘,20260410,20260413,20260414,20260427,2.0804,win,fixed_10d_close,1,0,True,True,,,,,False,False,False,False,True,non_consolidation,high_position_chase,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,3593|20260410|20260413|next_day_break_signal_high_confirmed|20260414|20260427|17.8|18.8,3593,力銘,20260410,20260413,20260414,20260427,5.618,win,fixed_10d_close,1,1,True,True,,,,,False,False,False,False,True,long_consolidation,high_position_chase,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,3593|20260413|20260414|next_day_break_signal_high_confirmed|20260415|20260428|17.5|19.85,3593,力銘,20260413,20260414,20260415,20260428,13.4286,win,fixed_10d_close,2,1,False,False,same_stock_active_position_overlap,3593|20260410|20260413|next_day_break_signal_high_confirmed|20260414|20260427|17.8|18.8,20260414,20260427,False,False,False,False,False,non_consolidation,normal_risk,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,3605|20250811|20250812|next_day_break_signal_high_confirmed|20250813|20250826|77.3|75.0,3605,宏致,20250811,20250812,20250813,20250826,-2.9754,loss,fixed_10d_close,1,0,True,True,,,,,False,False,False,False,False,long_consolidation,high_position_chase,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,3615|20260518|20260519|next_day_break_signal_high_confirmed|20260520|20260602|46.5|50.3,3615,安可,20260518,20260519,20260520,20260602,8.172,win,fixed_10d_close,1,0,True,True,,,,,False,False,False,False,True,non_consolidation,high_position_chase,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,3624|20260515|20260518|next_day_break_signal_high_confirmed|20260519|20260601|83.4|113.0,3624,光頡,20260515,20260518,20260519,20260601,35.4916,win,fixed_10d_close,1,4,True,True,,,,,False,False,False,False,False,non_consolidation,volume_overheat,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,3624|20260518|20260519|next_day_break_signal_high_confirmed|20260520|20260602|90.0|122.0,3624,光頡,20260518,20260519,20260520,20260602,35.5556,win,fixed_10d_close,2,4,False,False,same_stock_active_position_overlap,3624|20260515|20260518|next_day_break_signal_high_confirmed|20260519|20260601|83.4|113.0,20260519,20260601,False,False,False,False,True,non_consolidation,high_position_chase,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,3624|20260615|20260616|next_day_break_signal_high_confirmed|20260617|20260701|141.0|154.5,3624,光頡,20260615,20260616,20260617,20260701,9.5745,win,fixed_10d_close,3,4,False,True,,,,,False,False,False,False,True,non_consolidation,high_position_chase,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,3624|20260616|20260617|next_day_break_signal_high_confirmed|20260618|20260702|160.5|153.5,3624,光頡,20260616,20260617,20260618,20260702,-4.3614,loss,fixed_10d_close,4,4,False,False,same_stock_active_position_overlap,3624|20260615|20260616|next_day_break_signal_high_confirmed|20260617|20260701|141.0|154.5,20260617,20260701,False,False,False,False,True,non_consolidation,high_position_chase,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
