research_id,research_variant_id,parameter_set_id,advisory_status,cohort_id,event_family_id,segment_id,stop_rule_id,exit_rule_id,outcome_rule_id,sample_size,unique_stock_count,win_count,neutral_count,loss_count,pure_win_rate_pct,neutral_inclusive_success_rate_pct,positive_return_rate_pct,avg_return_pct,median_return_pct,avg_mfe_pct,avg_mae_pct,approved_for_daily,production_readiness,generated_at
structured_neckline_context_filter_entry_exit_audit,warning_research_variant_only,structured_neckline_context_filter_entry_exit_audit_20260629,warning_research_variant_only,all_review_shortlist_events,structured_neckline_volume_breakout_proxy,low_position_le60_market_bull,signal_low_stop,tp10_intraday_or_fixed_20d_close,tp10_intraday_required_else_loss,38,35,21,0,17,55.2632,55.2632,63.1579,2.5900,10.0000,9.1160,-7.2055,false,not_production_ready_research_only,2026-06-29 00:20:00 Asia/Taipei
structured_neckline_context_filter_entry_exit_audit,warning_research_variant_only,structured_neckline_context_filter_entry_exit_audit_20260629,warning_research_variant_only,all_review_shortlist_events,structured_neckline_volume_breakout_proxy,low_position_le60_market_bull,neckline_minus_2pct_stop,tp10_intraday_or_fixed_20d_close,tp10_intraday_required_else_loss,38,35,21,0,17,55.2632,55.2632,63.1579,2.6675,10.0000,9.0039,-6.9424,false,not_production_ready_research_only,2026-06-29 00:20:00 Asia/Taipei
structured_neckline_context_filter_entry_exit_audit,warning_research_variant_only,structured_neckline_context_filter_entry_exit_audit_20260629,warning_research_variant_only,all_review_shortlist_events,structured_neckline_volume_breakout_proxy,low_position_le60_market_bull,source_retest_or_neckline_2pct_stop,tp10_intraday_or_fixed_20d_close,tp10_intraday_required_else_loss,38,35,21,0,17,55.2632,55.2632,63.1579,2.6675,10.0000,9.0039,-6.9424,false,not_production_ready_research_only,2026-06-29 00:20:00 Asia/Taipei
structured_neckline_context_filter_entry_exit_audit,warning_research_variant_only,structured_neckline_context_filter_entry_exit_audit_20260629,warning_research_variant_only,all_review_shortlist_events,structured_neckline_volume_breakout_proxy,low_position_le60_market_bull,signal_low_stop,fixed_20d_close,positive_return_after_fixed_20d,38,35,19,0,19,50.0000,50.0000,50.0000,8.0004,0.0746,20.7182,-9.4810,false,not_production_ready_research_only,2026-06-29 00:20:00 Asia/Taipei
structured_neckline_context_filter_entry_exit_audit,warning_research_variant_only,structured_neckline_context_filter_entry_exit_audit_20260629,warning_research_variant_only,all_review_shortlist_events,structured_neckline_volume_breakout_proxy,low_position_le60_market_bull,neckline_minus_2pct_stop,fixed_20d_close,positive_return_after_fixed_20d,38,35,19,0,19,50.0000,50.0000,50.0000,8.0816,0.0746,20.6060,-9.2179,false,not_production_ready_research_only,2026-06-29 00:20:00 Asia/Taipei
structured_neckline_context_filter_entry_exit_audit,warning_research_variant_only,structured_neckline_context_filter_entry_exit_audit_20260629,warning_research_variant_only,all_review_shortlist_events,structured_neckline_volume_breakout_proxy,low_position_le60_market_bull,source_retest_or_neckline_2pct_stop,fixed_20d_close,positive_return_after_fixed_20d,38,35,19,0,19,50.0000,50.0000,50.0000,8.0816,0.0746,20.6060,-9.2179,false,not_production_ready_research_only,2026-06-29 00:20:00 Asia/Taipei
structured_neckline_context_filter_entry_exit_audit,warning_research_variant_only,structured_neckline_context_filter_entry_exit_audit_20260629,warning_research_variant_only,all_review_shortlist_events,structured_neckline_volume_breakout_proxy,low_position_le60_market_bull,signal_low_stop,fixed_10d_close,positive_return_after_fixed_10d,38,35,18,0,20,47.3684,47.3684,47.3684,1.3745,-0.1866,11.6666,-8.3957,false,not_production_ready_research_only,2026-06-29 00:20:00 Asia/Taipei
structured_neckline_context_filter_entry_exit_audit,warning_research_variant_only,structured_neckline_context_filter_entry_exit_audit_20260629,warning_research_variant_only,all_review_shortlist_events,structured_neckline_volume_breakout_proxy,low_position_le60_market_bull,neckline_minus_2pct_stop,fixed_10d_close,positive_return_after_fixed_10d,38,35,18,0,20,47.3684,47.3684,47.3684,1.3195,-0.1866,11.5545,-8.2052,false,not_production_ready_research_only,2026-06-29 00:20:00 Asia/Taipei
structured_neckline_context_filter_entry_exit_audit,warning_research_variant_only,structured_neckline_context_filter_entry_exit_audit_20260629,warning_research_variant_only,all_review_shortlist_events,structured_neckline_volume_breakout_proxy,low_position_le60_market_bull,source_retest_or_neckline_2pct_stop,fixed_10d_close,positive_return_after_fixed_10d,38,35,18,0,20,47.3684,47.3684,47.3684,1.3195,-0.1866,11.5545,-8.2052,false,not_production_ready_research_only,2026-06-29 00:20:00 Asia/Taipei
structured_neckline_context_filter_entry_exit_audit,warning_research_variant_only,structured_neckline_context_filter_entry_exit_audit_20260629,warning_research_variant_only,all_review_shortlist_events,structured_neckline_volume_breakout_proxy,low_position_le60_market_bull,retest_low_stop,tp10_intraday_or_fixed_20d_close,tp10_intraday_required_else_loss,38,35,17,0,21,44.7368,44.7368,47.3684,0.6460,-0.2789,7.1388,-6.5425,false,not_production_ready_research_only,2026-06-29 00:20:00 Asia/Taipei
