research_id,research_variant_id,parameter_set_id,source_research_id,source_parameter_set_id,advisory_status,decision_scope,event_family_id,pattern_subtype,direct_sample_size,direct_mature_sample_size,direct_win_rate_pct,direct_avg_return_pct,direct_median_return_pct,retest_signal_sample_size,retest_mature_sample_size,retest_trigger_rate_pct,retest_win_rate_pct,retest_avg_return_pct,retest_median_return_pct,win_rate_lift_pct,avg_return_lift_pct,retest_not_found_count,retest_found_but_no_attack_count,retest_broken_count,sample_quality,entry_decision,split_decision,next_action,approved_for_daily,production_readiness,generated_at
breakout_family_model_decision_audit,warning_research_variant_only,breakout_family_model_decision_audit_20260627,breakout_family_retest_grid,breakout_family_retest_grid_20260627,warning_research_variant_only,family,bottom_base_volume_attack_reference,ALL,1468,1468,33.5831,0.7981,-2.7299,1468,444,30.2452,47.7477,2.6857,-0.3510,14.1646,1.8877,290,315,419,reviewable_sample,prioritize_retest_confirmation_research,keep_as_bottom_base_volume_attack_reference_not_previous_high,use_as_directional_research_only,false,not_production_ready_research_only,2026-06-27 17:09:46 Asia/Taipei
breakout_family_model_decision_audit,warning_research_variant_only,breakout_family_model_decision_audit_20260627,breakout_family_retest_grid,breakout_family_retest_grid_20260627,warning_research_variant_only,family,descending_resistance_volume_breakout_proxy,ALL,1172,1172,32.8498,0.5633,-2.5210,1172,365,31.1433,49.0411,1.8955,-0.2401,16.1913,1.3322,243,306,258,reviewable_sample,prioritize_retest_confirmation_research,keep_separate_research_surface_line_definition_differs,continue_as_separate_descending_resistance_retest_research,false,not_production_ready_research_only,2026-06-27 17:09:46 Asia/Taipei
breakout_family_model_decision_audit,warning_research_variant_only,breakout_family_model_decision_audit_20260627,breakout_family_retest_grid,breakout_family_retest_grid_20260627,warning_research_variant_only,family,structured_neckline_volume_breakout_proxy,ALL,1253,1253,30.4070,0.2009,-2.7397,1253,374,29.8484,43.3155,0.8222,-1.7509,12.9085,0.6213,150,231,498,reviewable_sample,mixed_retest_improvement_review,keep_broad_neckline_surface_until_subtypes_prove_separation,continue_broad_neckline_retest_research_before_splitting_w_triple_other,false,not_production_ready_research_only,2026-06-27 17:09:46 Asia/Taipei
breakout_family_model_decision_audit,warning_research_variant_only,breakout_family_model_decision_audit_20260627,breakout_family_retest_grid,breakout_family_retest_grid_20260627,warning_research_variant_only,subtype,bottom_base_volume_attack_reference,base_attack_position_review,734,734,30.9264,0.4897,-2.6360,734,207,28.2016,48.7923,2.7200,0.0000,17.8658,2.2303,153,156,218,reviewable_sample,prioritize_retest_confirmation_research,do_not_split_yet_keep_family_surface,do_not_use_as_volume_range_definition_without_position_gate,false,not_production_ready_research_only,2026-06-27 17:09:46 Asia/Taipei
breakout_family_model_decision_audit,warning_research_variant_only,breakout_family_model_decision_audit_20260627,breakout_family_retest_grid,breakout_family_retest_grid_20260627,warning_research_variant_only,subtype,bottom_base_volume_attack_reference,low_position_base_attack,395,395,35.4430,1.0828,-2.8070,395,116,29.3671,49.1379,3.9508,0.0000,13.6949,2.8681,81,98,100,reviewable_sample,prioritize_retest_confirmation_research,do_not_split_yet_keep_family_surface,prioritize_low_position_base_volume_attack_retest_grid,false,not_production_ready_research_only,2026-06-27 17:09:46 Asia/Taipei
breakout_family_model_decision_audit,warning_research_variant_only,breakout_family_model_decision_audit_20260627,breakout_family_retest_grid,breakout_family_retest_grid_20260627,warning_research_variant_only,subtype,bottom_base_volume_attack_reference,wide_base_review,339,339,37.1681,1.1342,-2.9126,339,121,35.6932,44.6281,1.4144,-1.9656,7.4600,0.2802,56,61,101,reviewable_sample,mixed_retest_improvement_review,do_not_split_yet_keep_family_surface,review_whether_wide_base_conflicts_with_contracted_base_semantics,false,not_production_ready_research_only,2026-06-27 17:09:46 Asia/Taipei
breakout_family_model_decision_audit,warning_research_variant_only,breakout_family_model_decision_audit_20260627,breakout_family_retest_grid,breakout_family_retest_grid_20260627,warning_research_variant_only,subtype,descending_resistance_volume_breakout_proxy,descending_resistance_line_proxy,1172,1172,32.8498,0.5633,-2.5210,1172,365,31.1433,49.0411,1.8955,-0.2401,16.1913,1.3322,243,306,258,reviewable_sample,prioritize_retest_confirmation_research,do_not_split_yet_keep_family_surface,continue_as_separate_descending_resistance_retest_research,false,not_production_ready_research_only,2026-06-27 17:09:46 Asia/Taipei
breakout_family_model_decision_audit,warning_research_variant_only,breakout_family_model_decision_audit_20260627,breakout_family_retest_grid,breakout_family_retest_grid_20260627,warning_research_variant_only,subtype,structured_neckline_volume_breakout_proxy,double_bottom_or_structured_bottom_proxy,51,51,33.3333,-1.3421,-3.6145,51,13,25.4902,23.0769,-6.9674,-3.0576,-10.2564,-5.6252,7,12,19,thin_sample,insufficient_retest_sample,insufficient_evidence_for_separate_model,expand_sample_or_drop_subtype_before_model_discussion,false,not_production_ready_research_only,2026-06-27 17:09:46 Asia/Taipei
breakout_family_model_decision_audit,warning_research_variant_only,breakout_family_model_decision_audit_20260627,breakout_family_retest_grid,breakout_family_retest_grid_20260627,warning_research_variant_only,subtype,structured_neckline_volume_breakout_proxy,triple_or_multi_bottom_proxy,1202,1202,30.2829,0.2663,-2.7067,1202,361,30.0333,44.0443,1.1027,-1.7143,13.7615,0.8363,143,219,479,reviewable_sample,prioritize_retest_confirmation_research,do_not_split_yet_keep_family_surface,continue_broad_neckline_retest_research_before_splitting_w_triple_other,false,not_production_ready_research_only,2026-06-27 17:09:46 Asia/Taipei
