research_id,artifact_version,source_research_id,source_artifact_version,advisory_status,row_type,parent_model_id,model_id,model_zh,holding_days,stop_policy_id,stratification_family,stratification_id,stratification_label,condition_expression,condition_role,baseline_sample_size,sample_size,coverage_pct,win_count,neutral_count,loss_count,win_rate_pct,neutral_rate_pct,loss_rate_pct,avg_return_pct,median_return_pct,baseline_win_rate_pct,baseline_loss_rate_pct,baseline_avg_return_pct,baseline_median_return_pct,win_rate_delta_pct,loss_rate_delta_pct,avg_return_delta_pct,median_return_delta_pct,decision_hint,approved_for_daily,production_readiness,generated_at
volume_range_breakout_v2_promotion_readiness_audit,volume_range_breakout_v2_promotion_readiness_audit_20260709,volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_low_base_consolidation,低位盤整放量突破,10,ma20_ema23_close_stop_4d,tdcc,tdcc_weekly_increase_top20,TDCC weekly_increase rank <=20,tdcc_list_type == weekly_increase AND tdcc_rank <= 20,stratification_only_not_candidate_or_confirmation_gate,223,6,2.69,3,0,3,50.0,0.0,50.0,-1.9344,-2.0026,45.74,53.36,2.8868,-1.1658,4.26,-3.36,-4.8212,-0.8368,thin_sample_do_not_use_as_gate,False,not_production_ready_research_only,2026-07-09 18:52:11 Asia/Taipei
volume_range_breakout_v2_promotion_readiness_audit,volume_range_breakout_v2_promotion_readiness_audit_20260709,volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_low_base_consolidation,低位盤整放量突破,10,ma20_ema23_close_stop_4d,tdcc,tdcc_any_top20,TDCC any list rank <=20,tdcc_rank <= 20,stratification_only_not_candidate_or_confirmation_gate,223,6,2.69,3,0,3,50.0,0.0,50.0,-1.9344,-2.0026,45.74,53.36,2.8868,-1.1658,4.26,-3.36,-4.8212,-0.8368,thin_sample_do_not_use_as_gate,False,not_production_ready_research_only,2026-07-09 18:52:11 Asia/Taipei
volume_range_breakout_v2_promotion_readiness_audit,volume_range_breakout_v2_promotion_readiness_audit_20260709,volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_low_base_consolidation,低位盤整放量突破,10,ma20_ema23_close_stop_4d,technical_23ema,tech_dist_ema23_0_to_15,0% <= distance to EMA23 <= 15%,0 <= dist_ema23_pct <= 15,stratification_only_not_candidate_or_confirmation_gate,223,137,61.43,58,0,79,42.34,0.0,57.66,1.7924,-2.6432,45.74,53.36,2.8868,-1.1658,-3.4,4.3,-1.0944,-1.4774,risk_stratification_candidate_not_gate,False,not_production_ready_research_only,2026-07-09 18:52:11 Asia/Taipei
volume_range_breakout_v2_promotion_readiness_audit,volume_range_breakout_v2_promotion_readiness_audit_20260709,volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_low_base_consolidation,低位盤整放量突破,10,ma20_ema23_close_stop_4d,technical_23ema,tech_ret20_0_to_25,20d return 0% to 25%,0 <= hist_return_20d_pct <= 25,stratification_only_not_candidate_or_confirmation_gate,223,185,82.96,84,1,100,45.41,0.54,54.05,2.9516,-1.7949,45.74,53.36,2.8868,-1.1658,-0.33,0.69,0.0648,-0.6291,mixed_or_weak_stratification_not_gate,False,not_production_ready_research_only,2026-07-09 18:52:11 Asia/Taipei
volume_range_breakout_v2_promotion_readiness_audit,volume_range_breakout_v2_promotion_readiness_audit_20260709,volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_low_base_consolidation,低位盤整放量突破,10,ma20_ema23_close_stop_4d,technical_ma,tech_ma60_gt_ma120,MA60 > MA120,ma60_gt_ma120 == True,stratification_only_not_candidate_or_confirmation_gate,223,124,55.61,64,2,58,51.61,1.61,46.77,5.0558,0.9961,45.74,53.36,2.8868,-1.1658,5.87,-6.59,2.169,2.1619,positive_stratification_candidate_not_gate,False,not_production_ready_research_only,2026-07-09 18:52:11 Asia/Taipei
volume_range_breakout_v2_promotion_readiness_audit,volume_range_breakout_v2_promotion_readiness_audit_20260709,volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_low_base_consolidation,低位盤整放量突破,10,ma20_ema23_close_stop_4d,signal_quality,volume_ratio_2_to_6,volume ratio 2..6,2 <= volume_ratio <= 6,stratification_only_not_candidate_or_confirmation_gate,223,173,77.58,79,2,92,45.66,1.16,53.18,2.6689,-1.145,45.74,53.36,2.8868,-1.1658,-0.08,-0.18,-0.2179,0.0208,mixed_or_weak_stratification_not_gate,False,not_production_ready_research_only,2026-07-09 18:52:11 Asia/Taipei
volume_range_breakout_v2_promotion_readiness_audit,volume_range_breakout_v2_promotion_readiness_audit_20260709,volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_low_base_consolidation,低位盤整放量突破,10,ma20_ema23_close_stop_4d,signal_quality,not_limit_up_like,not limit-up-like signal,limit_up_like != True,stratification_only_not_candidate_or_confirmation_gate,223,75,33.63,31,1,43,41.33,1.33,57.33,0.8536,-1.7949,45.74,53.36,2.8868,-1.1658,-4.41,3.97,-2.0332,-0.6291,risk_stratification_candidate_not_gate,False,not_production_ready_research_only,2026-07-09 18:52:11 Asia/Taipei
volume_range_breakout_v2_promotion_readiness_audit,volume_range_breakout_v2_promotion_readiness_audit_20260709,volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_low_base_consolidation,低位盤整放量突破,10,ma20_ema23_close_stop_4d,low_base_redefinition,off120_le40_range120_le60,off 120d low <=40 and 120d range <=60,off_120d_low_pct <= 40 AND range_width_120_pct <= 60,stratification_only_not_candidate_or_confirmation_gate,223,125,56.05,46,0,79,36.8,0.0,63.2,0.4892,-3.3019,45.74,53.36,2.8868,-1.1658,-8.94,9.84,-2.3976,-2.1361,risk_stratification_candidate_not_gate,False,not_production_ready_research_only,2026-07-09 18:52:11 Asia/Taipei
volume_range_breakout_v2_promotion_readiness_audit,volume_range_breakout_v2_promotion_readiness_audit_20260709,volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_low_base_consolidation,低位盤整放量突破,10,ma20_ema23_close_stop_4d,low_base_redefinition,off120_le30_range120_le45,off 120d low <=30 and 120d range <=45,off_120d_low_pct <= 30 AND range_width_120_pct <= 45,stratification_only_not_candidate_or_confirmation_gate,223,77,34.53,25,0,52,32.47,0.0,67.53,-1.8138,-4.6053,45.74,53.36,2.8868,-1.1658,-13.27,14.17,-4.7006,-3.4395,risk_stratification_candidate_not_gate,False,not_production_ready_research_only,2026-07-09 18:52:11 Asia/Taipei
volume_range_breakout_v2_promotion_readiness_audit,volume_range_breakout_v2_promotion_readiness_audit_20260709,volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_low_base_consolidation,低位盤整放量突破,10,ma20_ema23_close_stop_4d,low_base_redefinition,off240_le50_range240_le80,off 240d low <=50 and 240d range <=80,off_240d_low_pct <= 50 AND range_width_240_pct <= 80,stratification_only_not_candidate_or_confirmation_gate,223,129,57.85,48,0,81,37.21,0.0,62.79,0.1951,-2.9046,45.74,53.36,2.8868,-1.1658,-8.53,9.43,-2.6917,-1.7388,risk_stratification_candidate_not_gate,False,not_production_ready_research_only,2026-07-09 18:52:11 Asia/Taipei
