generated_at,model_id,artifact_id,artifact_version,episode_key,stock_id,stock_name,source_monthly_revenue_period,source_monthly_revenue_source_table_date,signal_date,confirmation_date,entry_date,exit_date,source_to_signal_trading_days,source_to_confirmation_trading_days,source_to_entry_trading_days,current_revenue_lag_bucket,latest_revenue_yoy_pct,cumulative_revenue_yoy_pct,previous_1m_latest_revenue_yoy_pct,previous_2m_latest_revenue_yoy_pct,previous_3m_latest_revenue_yoy_pct,latest_revenue_yoy_delta_1m_pct_points,strict_30_20_streak_months,strict_30_20_streak_start_period,strict_30_20_streak_start_source_date,strict_streak_start_to_signal_trading_days,strict_streak_lag_bucket,flag_any_strong_30_or20,flag_latest_ge30,flag_latest_ge50,flag_latest_ge80,flag_latest_ge100,flag_cumulative_ge20,flag_cumulative_ge30,flag_cumulative_ge50,flag_latest30_cumulative20,flag_latest50_cumulative30,flag_latest80_cumulative50,flag_latest100_cumulative80,flag_latest_delta_gt0,flag_latest_delta_ge20,flag_latest_delta_ge50,flag_latest_improving_2m,flag_latest_improving_3m,flag_strict30_20_consecutive_ge2,flag_strict30_20_consecutive_ge3,flag_latest50_consecutive_ge2,flag_latest50_consecutive_ge3,realized_return_pct,outcome_label,abs_ge80_anomaly_candidate_flag,same_stock_non_overlap_applied,revenue_period_dedup_applied,source_revenue_or_price_anomaly_candidate_flag,availability_date_semantics,approved_for_daily,production_change
2026-07-13 16:38:09 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_lag_strength_matrix,trading_day_lag_strength_root_cause_pending_v3_20260712,1109|20260223|range23_highest_close_breakout|3|confirmation_d20_close,1109,,202601,20260217,20260223,20260224,20260225,20260325,1,2,3,lag_d0_3,22.72,22.72,4.62,-6.21,-6.47,18.1,0,,,,,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,-3.481,failure,False,True,True,False,conservative_next_month_17th_or_first_official_snapshot_not_exact_company_release_timestamp,False,False
2026-07-13 16:38:09 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_lag_strength_matrix,trading_day_lag_strength_root_cause_pending_v3_20260712,1213|20251217|range23_highest_close_breakout|3|confirmation_d20_close,1213,,202511,20251217,20251217,20251218,20251219,20260120,0,1,2,lag_d0_3,43.81,58.66,37.93,85.2,31.96,5.88,4,202508,20250917,56,streak_lag_d41_80,True,True,False,False,False,True,True,True,True,False,False,False,True,False,False,False,False,True,True,False,False,-10.0901,failure,False,True,True,False,conservative_next_month_17th_or_first_official_snapshot_not_exact_company_release_timestamp,False,False
2026-07-13 16:38:09 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_lag_strength_matrix,trading_day_lag_strength_root_cause_pending_v3_20260712,1220|20260223|range23_highest_close_breakout|3|confirmation_d20_close,1220,,202601,20260217,20260223,20260225,20260226,20260326,1,3,4,lag_d0_3,28.91,28.91,-3.6,-9.13,-3.0,32.51,0,,,,,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,-5.3435,failure,False,True,True,False,conservative_next_month_17th_or_first_official_snapshot_not_exact_company_release_timestamp,False,False
2026-07-13 16:38:09 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_lag_strength_matrix,trading_day_lag_strength_root_cause_pending_v3_20260712,1225|20260223|range23_highest_close_breakout|3|confirmation_d20_close,1225,,202601,20260217,20260223,20260224,20260225,20260325,1,2,3,lag_d0_3,20.46,20.46,-4.86,-13.88,-10.35,25.32,0,,,,,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,7.8767,win,False,True,True,False,conservative_next_month_17th_or_first_official_snapshot_not_exact_company_release_timestamp,False,False
2026-07-13 16:38:09 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_lag_strength_matrix,trading_day_lag_strength_root_cause_pending_v3_20260712,1231|20260327|range23_highest_close_breakout|3|confirmation_d20_close,1231,,202602,20260317,20260327,20260401,20260402,20260504,8,11,12,lag_d8_14,32.2,11.79,-1.42,-6.7,0.23,33.62,0,,,,,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,-6.3509,failure,False,True,True,False,conservative_next_month_17th_or_first_official_snapshot_not_exact_company_release_timestamp,False,False
2026-07-13 16:38:09 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_lag_strength_matrix,trading_day_lag_strength_root_cause_pending_v3_20260712,1232|20260224|range23_highest_close_breakout|3|confirmation_d20_close,1232,,202601,20260217,20260224,20260225,20260226,20260326,2,3,4,lag_d0_3,21.05,21.05,2.21,-3.14,0.12,18.84,0,,,,,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,0.3344,neutral,False,True,True,False,conservative_next_month_17th_or_first_official_snapshot_not_exact_company_release_timestamp,False,False
2026-07-13 16:38:09 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_lag_strength_matrix,trading_day_lag_strength_root_cause_pending_v3_20260712,1235|20251001|range23_highest_close_breakout|3|confirmation_d20_close,1235,,202508,20250917,20251001,20251002,20251003,20251106,9,10,11,lag_d8_14,41.92,66.17,112.61,18.35,240.41,-70.69,2,202507,20250817,28,streak_lag_d21_40,True,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,-20.3762,failure,False,True,True,False,conservative_next_month_17th_or_first_official_snapshot_not_exact_company_release_timestamp,False,False
2026-07-13 16:38:09 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_lag_strength_matrix,trading_day_lag_strength_root_cause_pending_v3_20260712,1235|20260224|range23_highest_close_breakout|3|confirmation_d20_close,1235,,202601,20260217,20260224,20260226,20260302,20260327,2,4,5,lag_d0_3,177.23,177.23,-1.99,88.03,40.49,179.22,1,202601,20260217,2,streak_lag_d0_7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,-15.6716,failure,False,True,True,False,conservative_next_month_17th_or_first_official_snapshot_not_exact_company_release_timestamp,False,False
2026-07-13 16:38:09 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_lag_strength_matrix,trading_day_lag_strength_root_cause_pending_v3_20260712,1256|20260304|range23_highest_close_breakout|3|confirmation_d20_close,1256,,202601,20260217,20260304,20260305,20260306,20260402,7,8,9,lag_d4_7,36.27,36.27,74.51,24.45,12.73,-38.24,1,202601,20260217,7,streak_lag_d0_7,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,-11.4804,failure,False,True,True,False,conservative_next_month_17th_or_first_official_snapshot_not_exact_company_release_timestamp,False,False
2026-07-13 16:38:09 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_lag_strength_matrix,trading_day_lag_strength_root_cause_pending_v3_20260712,1256|20260417|range23_highest_close_breakout|3|confirmation_d20_close,1256,,202603,20260417,20260417,20260420,20260421,20260519,0,1,2,lag_d0_3,57.15,55.12,87.61,36.27,74.51,-30.46,3,202601,20260217,37,streak_lag_d21_40,True,True,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,False,12.9231,win,False,True,True,False,conservative_next_month_17th_or_first_official_snapshot_not_exact_company_release_timestamp,False,False
