entry_basis,target_window,target_return_pct,filter_metric,filter_rule,threshold,selected_stock_days,hit_stock_days,hit_rate_pct,median_next_open_to_high_return_pct,avg_signal_close_to_next_open_gap_pct,median_signal_close_to_next_open_gap_pct,selected_unique_stocks,hit_unique_stocks,coverage_of_all_hits_pct,base_hit_rate_pct
D+1_open,D+1,10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=0.5,0.5,411031,5764,1.4,0.82,1.01,0.0,2216,707,94.38,1.2
D+1_open,D+1,10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=0.8,0.8,314665,5541,1.76,0.84,1.23,0.0,2216,624,90.73,1.2
D+1_open,D+1,10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=1,1.0,266768,5407,2.03,0.86,1.4,0.0,2215,572,88.54,1.2
D+1_open,D+1,10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=1.2,1.2,103868,729,0.7,0.88,0.43,0.14,1974,476,11.94,1.2
D+1_open,D+1,10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=1.5,1.5,70974,612,0.86,0.94,0.48,0.16,1973,427,10.02,1.2
D+1_open,D+1,10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=2,2.0,42256,432,1.02,1.03,0.55,0.19,1972,335,7.07,1.2
D+1_open,D+1,10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=3,3.0,19910,260,1.31,1.22,0.67,0.24,1950,221,4.26,1.2
D+1_open,D+1,10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=5,5.0,7784,123,1.58,1.45,0.73,0.24,1757,113,2.01,1.2
D+1_open,D+1,10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=0.5,0.5,463654,5907,1.27,0.81,0.91,0.0,2216,739,96.73,1.2
D+1_open,D+1,10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=0.8,0.8,362580,5634,1.55,0.82,1.09,0.0,2215,658,92.25,1.2
D+1_open,D+1,10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=1,1.0,291362,5440,1.87,0.85,1.29,0.0,2214,581,89.08,1.2
D+1_open,D+1,10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=1.2,1.2,108881,720,0.66,0.88,0.4,0.13,1972,466,11.79,1.2
D+1_open,D+1,10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=1.5,1.5,60444,533,0.88,0.99,0.48,0.17,1968,368,8.73,1.2
D+1_open,D+1,10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=2,2.0,26423,309,1.17,1.2,0.56,0.2,1881,238,5.06,1.2
D+1_open,D+1,10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=3,3.0,6607,106,1.6,1.46,0.6,0.18,1324,96,1.74,1.2
