research_id,research_variant_id,parameter_set_id,advisory_status,manual_label_scope_id,classifier_audit_scope_id,summary_scope_id,manual_label,auto_context_filter_result,auto_pre_signal_context,classifier_alignment,label_rows,unique_events,avg_manual_return_pct,median_manual_return_pct,approved_for_daily,production_readiness,generated_at
structured_neckline_manual_label_context_classifier_audit,warning_research_variant_only,structured_neckline_manual_label_context_classifier_audit_20260629,warning_research_variant_only,user_good_bad_chart_folder_labels,manual_good_bad_vs_auto_pre_signal_context,by_manual_label_and_auto_context,bad,auto_bearish,bearish,manual_bad_auto_bearish_match,2,2,10.1441,10.1441,false,not_production_ready_research_only,2026-06-29 01:55:17 Asia/Taipei
structured_neckline_manual_label_context_classifier_audit,warning_research_variant_only,structured_neckline_manual_label_context_classifier_audit_20260629,warning_research_variant_only,user_good_bad_chart_folder_labels,manual_good_bad_vs_auto_pre_signal_context,by_manual_label_and_auto_context,good,auto_bearish,bearish,manual_label_conflict_not_scored,4,3,15.5726,15.9038,false,not_production_ready_research_only,2026-06-29 01:55:17 Asia/Taipei
structured_neckline_manual_label_context_classifier_audit,warning_research_variant_only,structured_neckline_manual_label_context_classifier_audit_20260629,warning_research_variant_only,user_good_bad_chart_folder_labels,manual_good_bad_vs_auto_pre_signal_context,by_manual_label_and_auto_context,good,auto_non_bearish,sideways_or_consolidation,manual_good_auto_non_bearish_match,1,1,10.1493,10.1493,false,not_production_ready_research_only,2026-06-29 01:55:17 Asia/Taipei
structured_neckline_manual_label_context_classifier_audit,warning_research_variant_only,structured_neckline_manual_label_context_classifier_audit_20260629,warning_research_variant_only,user_good_bad_chart_folder_labels,manual_good_bad_vs_auto_pre_signal_context,by_manual_label_and_auto_context,good,auto_non_bearish,slow_uptrend,manual_good_auto_non_bearish_match,4,3,12.9217,10.6892,false,not_production_ready_research_only,2026-06-29 01:55:17 Asia/Taipei
structured_neckline_manual_label_context_classifier_audit,warning_research_variant_only,structured_neckline_manual_label_context_classifier_audit_20260629,warning_research_variant_only,user_good_bad_chart_folder_labels,manual_good_bad_vs_auto_pre_signal_context,by_manual_label_and_auto_context,good,auto_non_bearish,volatile_mixed,manual_good_auto_non_bearish_match,3,3,14.3023,12.1396,false,not_production_ready_research_only,2026-06-29 01:55:17 Asia/Taipei
structured_neckline_manual_label_context_classifier_audit,warning_research_variant_only,structured_neckline_manual_label_context_classifier_audit_20260629,warning_research_variant_only,user_good_bad_chart_folder_labels,manual_good_bad_vs_auto_pre_signal_context,by_classifier_alignment,bad,auto_bearish,bearish,manual_bad_auto_bearish_match,1,1,10.1517,10.1517,false,not_production_ready_research_only,2026-06-29 01:55:17 Asia/Taipei
structured_neckline_manual_label_context_classifier_audit,warning_research_variant_only,structured_neckline_manual_label_context_classifier_audit_20260629,warning_research_variant_only,user_good_bad_chart_folder_labels,manual_good_bad_vs_auto_pre_signal_context,by_classifier_alignment,good,auto_bearish,bearish,manual_good_auto_bearish_false_negative,3,2,17.3846,20.3463,false,not_production_ready_research_only,2026-06-29 01:55:17 Asia/Taipei
structured_neckline_manual_label_context_classifier_audit,warning_research_variant_only,structured_neckline_manual_label_context_classifier_audit_20260629,warning_research_variant_only,user_good_bad_chart_folder_labels,manual_good_bad_vs_auto_pre_signal_context,by_classifier_alignment,good,auto_non_bearish,sideways_or_consolidation,manual_good_auto_non_bearish_match,8,7,13.0929,11.3862,false,not_production_ready_research_only,2026-06-29 01:55:17 Asia/Taipei
structured_neckline_manual_label_context_classifier_audit,warning_research_variant_only,structured_neckline_manual_label_context_classifier_audit_20260629,warning_research_variant_only,user_good_bad_chart_folder_labels,manual_good_bad_vs_auto_pre_signal_context,by_classifier_alignment,good,auto_bearish,bearish,manual_label_conflict_not_scored,2,1,10.1365,10.1365,false,not_production_ready_research_only,2026-06-29 01:55:17 Asia/Taipei
structured_neckline_manual_label_context_classifier_audit,warning_research_variant_only,structured_neckline_manual_label_context_classifier_audit_20260629,warning_research_variant_only,user_good_bad_chart_folder_labels,manual_good_bad_vs_auto_pre_signal_context,non_conflict_by_classifier_alignment,bad,auto_bearish,bearish,manual_bad_auto_bearish_match,1,1,10.1517,10.1517,false,not_production_ready_research_only,2026-06-29 01:55:17 Asia/Taipei
structured_neckline_manual_label_context_classifier_audit,warning_research_variant_only,structured_neckline_manual_label_context_classifier_audit_20260629,warning_research_variant_only,user_good_bad_chart_folder_labels,manual_good_bad_vs_auto_pre_signal_context,non_conflict_by_classifier_alignment,good,auto_bearish,bearish,manual_good_auto_bearish_false_negative,3,2,17.3846,20.3463,false,not_production_ready_research_only,2026-06-29 01:55:17 Asia/Taipei
structured_neckline_manual_label_context_classifier_audit,warning_research_variant_only,structured_neckline_manual_label_context_classifier_audit_20260629,warning_research_variant_only,user_good_bad_chart_folder_labels,manual_good_bad_vs_auto_pre_signal_context,non_conflict_by_classifier_alignment,good,auto_non_bearish,sideways_or_consolidation,manual_good_auto_non_bearish_match,8,7,13.0929,11.3862,false,not_production_ready_research_only,2026-06-29 01:55:17 Asia/Taipei
