research_id,artifact_version,source_research_id,source_artifact_version,advisory_status,model_id,matrix_family,condition_set_id,condition_set_label,condition_timing,promotion_guard,high_window_days,high_window_gate,low_base_gate,consolidation_gate,limit_up_gate,volume_gate,risk_gate,follow_through_gate,baseline_sample_size,sample_size,coverage_pct,win_count,neutral_count,loss_count,win_rate_pct,neutral_rate_pct,loss_rate_pct,avg_return_pct,median_return_pct,p10_return_pct,p90_return_pct,min_return_pct,max_return_pct,trim_sample_size,trim_avg_return_pct,trim_median_return_pct,anomaly_count,sample_status,win_rate_delta_pct,loss_rate_delta_pct,avg_return_delta_pct,median_return_delta_pct,candidate_interpretation,note,approved_for_daily,production_readiness,generated_at
volume_range_breakout_v2_condition_matrix,volume_range_breakout_v2_condition_matrix_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,baseline,baseline_all_dedup,Current deduped mature formal operation sample,baseline_reference,baseline_not_a_new_gate,,current_source_events,none,none,none,none,none,none,3190,3190,100.0,1171,58,1961,36.71,1.82,61.47,0.4751,-2.9175,-13.0621,18.5215,-89.8551,91.0714,3126,0.0671,-2.9175,64,reviewable_sample,0.0,0.0,0.0,0.0,baseline_reference,baseline uses the semantic audit deduped formal operation sample,False,not_production_ready_research_only,2026-07-08 21:32:55 Asia/Taipei
volume_range_breakout_v2_condition_matrix,volume_range_breakout_v2_condition_matrix_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,high_window_only,prev20_high_only,20d previous-high breakout only,signal_close_available,source_signal_only_needs_full_raw_backtest,20,close >= previous 20d high + 2pct,none,none,none,none,none,none,3190,3190,100.0,1171,58,1961,36.71,1.82,61.47,0.4751,-2.9175,-13.0621,18.5215,-89.8551,91.0714,3126,0.0671,-2.9175,64,reviewable_sample,0.0,0.0,0.0,0.0,mixed_result_research_only,tests whether longer breakout windows improve the existing event sample,False,not_production_ready_research_only,2026-07-08 21:32:55 Asia/Taipei
volume_range_breakout_v2_condition_matrix,volume_range_breakout_v2_condition_matrix_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,lock_limit_filter,prev20_high_not_locked_limit_up,20d breakout excluding locked-limit-up-like rows,signal_close_available,source_signal_only_needs_full_raw_backtest,20,close >= previous 20d high + 2pct,none,none,limit_up_like=False,none,none,none,3190,1284,40.25,478,19,787,37.23,1.48,61.29,0.9695,-2.344,-9.6865,16.498,-24.8555,83.7143,1270,0.6645,-2.3514,14,reviewable_sample,0.52,-0.18,0.4944,0.5735,mixed_result_research_only,tests whether the locked-limit-up subgroup is dragging the sample,False,not_production_ready_research_only,2026-07-08 21:32:55 Asia/Taipei
volume_range_breakout_v2_condition_matrix,volume_range_breakout_v2_condition_matrix_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,low_base_proxy,prev20_high_off60_le50_range60_le45,20d breakout with moderate 60d base proxy,signal_close_available,source_signal_only_needs_full_raw_backtest,20,close >= previous 20d high + 2pct,off_60d_low_pct<=50 and range_width_60_pct<=45,none,none,none,none,none,3190,1456,45.64,537,26,893,36.88,1.79,61.33,0.2847,-2.5977,-11.762,16.9194,-89.8551,83.7143,1434,0.0342,-2.5977,22,reviewable_sample,0.17,-0.14,-0.1904,0.3198,weaker_than_baseline_do_not_promote_as_gate,low/base proxy; should not be promoted unless it explains payoff,False,not_production_ready_research_only,2026-07-08 21:32:55 Asia/Taipei
volume_range_breakout_v2_condition_matrix,volume_range_breakout_v2_condition_matrix_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,low_base_proxy,prev20_high_off60_le40_range60_le35,20d breakout with tight 60d base proxy,signal_close_available,source_signal_only_needs_full_raw_backtest,20,close >= previous 20d high + 2pct,off_60d_low_pct<=40 and range_width_60_pct<=35,none,none,none,none,none,3190,1044,32.73,369,22,653,35.34,2.11,62.55,-0.0389,-2.6025,-11.441,15.3193,-89.8551,78.125,1027,-0.2381,-2.585,17,reviewable_sample,-1.37,1.08,-0.514,0.315,weaker_than_baseline_do_not_promote_as_gate,stricter low/base proxy; tracks user intent but must prove payoff,False,not_production_ready_research_only,2026-07-08 21:32:55 Asia/Taipei
volume_range_breakout_v2_condition_matrix,volume_range_breakout_v2_condition_matrix_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,consolidation_proxy,prev20_high_consolidated_any,20d breakout with any consolidation label,signal_close_available,source_signal_only_needs_full_raw_backtest,20,close >= previous 20d high + 2pct,none,short_or_long_consolidation,none,none,none,none,3190,1464,45.89,515,29,920,35.18,1.98,62.84,-0.2141,-2.5007,-11.0979,14.5455,-89.8551,78.125,1447,-0.3739,-2.4834,17,reviewable_sample,-1.53,1.37,-0.6892,0.4168,weaker_than_baseline_do_not_promote_as_gate,tests whether the existing consolidation label matches better payoff,False,not_production_ready_research_only,2026-07-08 21:32:55 Asia/Taipei
volume_range_breakout_v2_condition_matrix,volume_range_breakout_v2_condition_matrix_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,consolidation_proxy,prev20_high_short_consolidation,20d breakout with short consolidation label,signal_close_available,source_signal_only_needs_full_raw_backtest,20,close >= previous 20d high + 2pct,none,short_consolidation,none,none,none,none,3190,257,8.06,103,5,149,40.08,1.95,57.98,1.3122,-2.0408,-10.3525,15.6505,-20.0557,73.1415,254,0.5448,-2.0858,3,thin_sample,3.37,-3.49,0.8371,0.8767,mixed_result_research_only,separates short consolidation from long consolidation,False,not_production_ready_research_only,2026-07-08 21:32:55 Asia/Taipei
volume_range_breakout_v2_condition_matrix,volume_range_breakout_v2_condition_matrix_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,combined_source_signal,prev20_high_not_locked_off60_le50_range60_le45,"20d breakout, not locked, moderate base proxy",signal_close_available,source_signal_only_needs_full_raw_backtest,20,close >= previous 20d high + 2pct,off_60d_low_pct<=50 and range_width_60_pct<=45,none,limit_up_like=False,none,none,none,3190,670,21.0,244,10,416,36.42,1.49,62.09,0.4677,-2.363,-9.2078,13.866,-24.8555,83.7143,665,0.0964,-2.3715,5,reviewable_sample,-0.29,0.62,-0.0074,0.5545,weaker_than_baseline_do_not_promote_as_gate,"combined source-signal gate candidate, still research-only",False,not_production_ready_research_only,2026-07-08 21:32:55 Asia/Taipei
volume_range_breakout_v2_condition_matrix,volume_range_breakout_v2_condition_matrix_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,volume_shape,prev20_high_volume_ratio_2_to_6,20d breakout with volume ratio 2 to 6,signal_close_available,source_signal_only_needs_full_raw_backtest,20,close >= previous 20d high + 2pct,none,none,none,2<=volume_ratio<=6,none,none,3190,2489,78.03,922,43,1524,37.04,1.73,61.23,0.667,-2.7842,-12.3734,18.3084,-89.8551,91.0714,2440,0.2867,-2.7795,49,reviewable_sample,0.33,-0.24,0.1919,0.1333,mixed_result_research_only,checks whether extreme volume is hurting payoff,False,not_production_ready_research_only,2026-07-08 21:32:55 Asia/Taipei
volume_range_breakout_v2_condition_matrix,volume_range_breakout_v2_condition_matrix_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,volume_shape,prev20_high_signal_return_lt_9_8,20d breakout with signal-day return below 9.8pct,signal_close_available,source_signal_only_needs_full_raw_backtest,20,close >= previous 20d high + 2pct,none,none,limit_up_like mostly excluded by return cap,signal_return_1d_pct<9.8,none,none,3190,1614,50.6,594,24,996,36.8,1.49,61.71,0.7216,-2.5409,-10.7023,16.6911,-89.8551,83.7143,1595,0.4654,-2.5538,19,reviewable_sample,0.09,0.24,0.2465,0.3766,mixed_result_research_only,tests a non-lock-limit style proxy without using future data,False,not_production_ready_research_only,2026-07-08 21:32:55 Asia/Taipei
