generated_at,model_id,model_name_zh,production_pdf_visibility,production_parameter_status,production_main_conditions,research_baseline_status,research_baseline_parameter_set_id,research_variant_count,baseline_selected_stock_days,baseline_selected_unique_stocks,parity_blocker,completion_rule
2026-06-30 18:01:43 Asia/Taipei,volume_range_breakout,放量攻擊模型,pdf_core_model,initial_program_rule_pending_backtest_optimization,不含今日的前20日最高價為突破基準；一般放量突破需收盤價 >= 基準 * 1.02、量比 >= 2.0、20日均量 >= 1000張，且為實體紅K或漲停型態；鎖量漲停突破不要求量比或20日均量，但需收盤價 >= 基準 * 1.02、漲幅 >= 9%、一價漲停或極窄區間，且開盤與收盤貼近漲停價。,production_parity,production_current,28,4308,1215,,usable_as_exact_baseline
2026-06-30 18:01:43 Asia/Taipei,price_pullback_23ema,股價回檔模型,pdf_core_model,initial_program_rule_pending_backtest_optimization,股價回到23EMA或平台附近，且23EMA斜率向上或結構未破壞。,production_proxy,production_current_proxy,12,299969,1972,as-published daily candidate row parity and a validated operation module are still pending,usable_for_relative_research_only_until_blocker_resolved
2026-06-30 18:01:43 Asia/Taipei,hot_theme_pullback,熱門族群回檔模型,pdf_core_model,initial_program_rule_pending_backtest_optimization,必須有熱門族群標籤，且股價回到23EMA或合理支撐區附近；不以營收作為必要條件。,production_proxy,production_current_proxy,6,3771,812,daily hot-theme labels are not fully backfilled as point-in-time model-layer fields,usable_for_relative_research_only_until_blocker_resolved
2026-06-30 18:01:43 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,pdf_core_model,initial_program_rule_pending_backtest_optimization,營收YoY或累計YoY強，且股價仍位於23日盤整區間內；區間用近期最高/最低價加緩衝判斷。,proxy_only,production_current_proxy,2,335451,1986,historical revenue panel is incomplete; strong_revenue gate cannot be replayed point-in-time,usable_for_relative_research_only_until_blocker_resolved
2026-06-30 18:01:43 Asia/Taipei,w_bottom_right_side,W底右側模型,pdf_core_model,initial_program_rule_pending_backtest_optimization,W底右側初步成立，右側低點墊高，兩側低點高度不能差距過大；左低右高且已創高者不應歸入此模型。,production_parity,w_bottom_early_entry_operation_v2,3,44,44,,usable_as_exact_baseline
2026-06-30 18:01:43 Asia/Taipei,neckline_volume_breakout_confirmation,W底頸線帶量突破確認模型,pdf_core_model,initial_program_rule_pending_backtest_optimization,W底頸線帶量突破確認：股價收盤站上偵測到的W底頸線，並通過量能確認或漲停確認；第二段圓弧均量必須高於第一段基準。,production_parity,neckline_strict_45_signal_90_score_v1,0,51,51,,usable_as_exact_baseline
2026-06-30 18:01:43 Asia/Taipei,pullback_short_reclaim,回檔後短線轉強模型,pdf_core_model,initial_program_rule_pending_backtest_optimization,前面有漲勢，回檔未破結構，且重新站回23EMA。,production_proxy,production_current_proxy,3,86122,1855,pullback_entry_zone/right_side/ma20_reclaim setup flags are not fully backfilled,usable_for_relative_research_only_until_blocker_resolved
2026-06-30 18:01:43 Asia/Taipei,tdcc_stealth_accumulation,TDCC潛伏吸籌模型,pdf_core_model,initial_program_rule_pending_backtest_optimization,TDCC連續增加，股價尚未大漲，且位於近期盤整區間或尚未完全反應；以tdcc_leading_price為主要狀態。,production_proxy,production_current_proxy,3,35662,1768,tdcc_price_phase is not fully available historically for every signal date,usable_for_relative_research_only_until_blocker_resolved
2026-06-30 18:01:43 Asia/Taipei,tdcc_short_term_continuation_d5_d10,TDCC短線延續模型 D+5/D+10,pdf_core_model,research_reporting_only,all_thresholds_overheated或phase_overheated_after_tdcc，搭配MACD/KD/Bollinger與1W/2W漲幅條件。,production_proxy,production_current_proxy,2,3311,794,daily specialty packet fields are not a single core build_specs condition and must be replayed from historical TDCC/technical proxies,usable_for_relative_research_only_until_blocker_resolved
