model_id,research_id,source_research_id,source_candidate_set_id,research_variant_id,parameter_set_id,advisory_status,stock_id,stock_name,signal_date,category_id,category_folder,chart_path,chart_path_absolute,left_peak_date,left_low_date,neckline_date,right_low_date,signal_close,neckline_price,right_low_value,signal_distance_to_neckline_pct,signal_rebound_from_right_low_pct,second_arc_volume_ratio,sym1_5_quality_bucket,primary_review_flag,sym1_5_w_shape_completed,sym1_5_completion_date,sym1_5_neckline_volume_breakout,sym1_5_breakout_date,sym1_5_right_low_broken,sym1_5_right_low_broken_date,manual_review_status,approved_for_daily,generated_at
w_bottom_right_side,w_bottom_candidate_chart_review,w_bottom_candidate_quality_audit,grid_gap_2_20_rebound_7_12_vol_1_2,warning_research_variant_only,w_bottom_candidate_chart_review_20260624,warning_research_variant_only,2611,志信,20260303,candidate_selected_too_near_neckline,03_candidate_selected_too_near_neckline,output/latest/research_backtest/w_bottom_candidate_chart_review/03_candidate_selected_too_near_neckline/20260303_2611_candidate_selected_too_near_neckline.png,C:\Users\p4693\Documents\Codex\projects\taiwan-stock-recommendation\research\tdcc-research-backtest\output\latest\research_backtest\w_bottom_candidate_chart_review\03_candidate_selected_too_near_neckline\20260303_2611_candidate_selected_too_near_neckline.png,20251204,20251216,20260128,20260211,15.5,15.9,14.3,-2.5157,8.3916,1.3042,already_near_neckline_at_signal,candidate_selected_too_near_neckline,true,20260303,false,,true,20260402,pending_user_shape_review,false,2026-06-24 22:51:18 Asia/Taipei
w_bottom_right_side,w_bottom_candidate_chart_review,w_bottom_candidate_quality_audit,grid_gap_2_20_rebound_7_12_vol_1_2,warning_research_variant_only,w_bottom_candidate_chart_review_20260624,warning_research_variant_only,2365,昆盈,20260430,candidate_selected_too_near_neckline,03_candidate_selected_too_near_neckline,output/latest/research_backtest/w_bottom_candidate_chart_review/03_candidate_selected_too_near_neckline/20260430_2365_candidate_selected_too_near_neckline.png,C:\Users\p4693\Documents\Codex\projects\taiwan-stock-recommendation\research\tdcc-research-backtest\output\latest\research_backtest\w_bottom_candidate_chart_review\03_candidate_selected_too_near_neckline\20260430_2365_candidate_selected_too_near_neckline.png,20260129,20260309,20260317,20260417,35.9,36.8,32.65,-2.4457,9.9541,1.3889,already_near_neckline_at_signal,candidate_selected_too_near_neckline,true,20260430,false,,false,,pending_user_shape_review,false,2026-06-24 22:51:18 Asia/Taipei
w_bottom_right_side,w_bottom_candidate_chart_review,w_bottom_candidate_quality_audit,grid_gap_2_20_rebound_7_12_vol_1_2,warning_research_variant_only,w_bottom_candidate_chart_review_20260624,warning_research_variant_only,4562,穎漢,20260106,completion_too_late_for_w,05_completion_too_late_for_w,output/latest/research_backtest/w_bottom_candidate_chart_review/05_completion_too_late_for_w/20260106_4562_completion_too_late_for_w.png,C:\Users\p4693\Documents\Codex\projects\taiwan-stock-recommendation\research\tdcc-research-backtest\output\latest\research_backtest\w_bottom_candidate_chart_review\05_completion_too_late_for_w\20260106_4562_completion_too_late_for_w.png,20250909,20251124,20251205,20251215,38.25,42.7,35.05,-10.4215,9.1298,2.0782,late_neckline_completion_not_w,completion_too_late_for_w,false,,false,,false,,pending_user_shape_review,false,2026-06-24 22:51:18 Asia/Taipei
w_bottom_right_side,w_bottom_candidate_chart_review,w_bottom_candidate_quality_audit,grid_gap_2_20_rebound_7_12_vol_1_2,warning_research_variant_only,w_bottom_candidate_chart_review_20260624,warning_research_variant_only,2027,大成鋼,20260107,completion_too_late_for_w,05_completion_too_late_for_w,output/latest/research_backtest/w_bottom_candidate_chart_review/05_completion_too_late_for_w/20260107_2027_completion_too_late_for_w.png,C:\Users\p4693\Documents\Codex\projects\taiwan-stock-recommendation\research\tdcc-research-backtest\output\latest\research_backtest\w_bottom_candidate_chart_review\05_completion_too_late_for_w\20260107_2027_completion_too_late_for_w.png,20250910,20251119,20251204,20251224,37.5,39.15,34.7,-4.2146,8.0692,1.2655,late_volume_breakout_not_w,completion_too_late_for_w,false,,false,,false,,pending_user_shape_review,false,2026-06-24 22:51:18 Asia/Taipei
w_bottom_right_side,w_bottom_candidate_chart_review,w_bottom_candidate_quality_audit,grid_gap_2_20_rebound_7_12_vol_1_2,warning_research_variant_only,w_bottom_candidate_chart_review_20260624,warning_research_variant_only,2359,所羅門,20260107,completion_too_late_for_w,05_completion_too_late_for_w,output/latest/research_backtest/w_bottom_candidate_chart_review/05_completion_too_late_for_w/20260107_2359_completion_too_late_for_w.png,C:\Users\p4693\Documents\Codex\projects\taiwan-stock-recommendation\research\tdcc-research-backtest\output\latest\research_backtest\w_bottom_candidate_chart_review\05_completion_too_late_for_w\20260107_2359_completion_too_late_for_w.png,20250911,20251119,20251205,20251230,133.5,147.0,124.5,-9.1837,7.2289,1.4389,late_neckline_completion_not_w,completion_too_late_for_w,false,,false,,false,,pending_user_shape_review,false,2026-06-24 22:51:18 Asia/Taipei
w_bottom_right_side,w_bottom_candidate_chart_review,w_bottom_candidate_quality_audit,grid_gap_2_20_rebound_7_12_vol_1_2,warning_research_variant_only,w_bottom_candidate_chart_review_20260624,warning_research_variant_only,2474,可成,20260122,completion_too_late_for_w,05_completion_too_late_for_w,output/latest/research_backtest/w_bottom_candidate_chart_review/05_completion_too_late_for_w/20260122_2474_completion_too_late_for_w.png,C:\Users\p4693\Documents\Codex\projects\taiwan-stock-recommendation\research\tdcc-research-backtest\output\latest\research_backtest\w_bottom_candidate_chart_review\05_completion_too_late_for_w\20260122_2474_completion_too_late_for_w.png,20250805,20251013,20251114,20251216,202.0,213.0,183.0,-5.1643,10.3825,1.3878,late_volume_breakout_not_w,completion_too_late_for_w,false,,false,,false,,pending_user_shape_review,false,2026-06-24 22:51:18 Asia/Taipei
w_bottom_right_side,w_bottom_candidate_chart_review,w_bottom_candidate_quality_audit,grid_gap_2_20_rebound_7_12_vol_1_2,warning_research_variant_only,w_bottom_candidate_chart_review_20260624,warning_research_variant_only,3592,瑞鼎,20260209,completion_too_late_for_w,05_completion_too_late_for_w,output/latest/research_backtest/w_bottom_candidate_chart_review/05_completion_too_late_for_w/20260209_3592_completion_too_late_for_w.png,C:\Users\p4693\Documents\Codex\projects\taiwan-stock-recommendation\research\tdcc-research-backtest\output\latest\research_backtest\w_bottom_candidate_chart_review\05_completion_too_late_for_w\20260209_3592_completion_too_late_for_w.png,20250919,20251124,20251217,20260105,226.0,241.0,209.0,-6.2241,8.134,2.021,late_neckline_completion_not_w,completion_too_late_for_w,false,,false,,false,,pending_user_shape_review,false,2026-06-24 22:51:18 Asia/Taipei
w_bottom_right_side,w_bottom_candidate_chart_review,w_bottom_candidate_quality_audit,grid_gap_2_20_rebound_7_12_vol_1_2,warning_research_variant_only,w_bottom_candidate_chart_review_20260624,warning_research_variant_only,4961,天鈺,20260209,completion_too_late_for_w,05_completion_too_late_for_w,output/latest/research_backtest/w_bottom_candidate_chart_review/05_completion_too_late_for_w/20260209_4961_completion_too_late_for_w.png,C:\Users\p4693\Documents\Codex\projects\taiwan-stock-recommendation\research\tdcc-research-backtest\output\latest\research_backtest\w_bottom_candidate_chart_review\05_completion_too_late_for_w\20260209_4961_completion_too_late_for_w.png,20250919,20251124,20251217,20260105,146.0,151.0,134.5,-3.3113,8.5502,2.1664,late_volume_breakout_not_w,completion_too_late_for_w,false,,false,,false,,pending_user_shape_review,false,2026-06-24 22:51:18 Asia/Taipei
w_bottom_right_side,w_bottom_candidate_chart_review,w_bottom_candidate_quality_audit,grid_gap_2_20_rebound_7_12_vol_1_2,warning_research_variant_only,w_bottom_candidate_chart_review_20260624,warning_research_variant_only,3034,聯詠,20260223,completion_too_late_for_w,05_completion_too_late_for_w,output/latest/research_backtest/w_bottom_candidate_chart_review/05_completion_too_late_for_w/20260223_3034_completion_too_late_for_w.png,C:\Users\p4693\Documents\Codex\projects\taiwan-stock-recommendation\research\tdcc-research-backtest\output\latest\research_backtest\w_bottom_candidate_chart_review\05_completion_too_late_for_w\20260223_3034_completion_too_late_for_w.png,20251202,20260105,20260123,20260206,378.0,406.0,352.0,-6.8966,7.3864,1.2333,late_volume_breakout_not_w,completion_too_late_for_w,false,,false,,false,,pending_user_shape_review,false,2026-06-24 22:51:18 Asia/Taipei
w_bottom_right_side,w_bottom_candidate_chart_review,w_bottom_candidate_quality_audit,grid_gap_2_20_rebound_7_12_vol_1_2,warning_research_variant_only,w_bottom_candidate_chart_review_20260624,warning_research_variant_only,6141,柏承,20260224,completion_too_late_for_w,05_completion_too_late_for_w,output/latest/research_backtest/w_bottom_candidate_chart_review/05_completion_too_late_for_w/20260224_6141_completion_too_late_for_w.png,C:\Users\p4693\Documents\Codex\projects\taiwan-stock-recommendation\research\tdcc-research-backtest\output\latest\research_backtest\w_bottom_candidate_chart_review\05_completion_too_late_for_w\20260224_6141_completion_too_late_for_w.png,20250910,20251121,20251215,20260106,11.25,11.6,10.2,-3.0172,10.2941,1.4822,late_volume_breakout_not_w,completion_too_late_for_w,false,,false,,false,,pending_user_shape_review,false,2026-06-24 22:51:18 Asia/Taipei
