model_id,confirmation_model_id,research_id,source_research_id,research_variant_id,parameter_set_id,advisory_status,rule_id,rule_window_days,selector_method,source_audit_scope,case_review_tag,manual_case_id,stock_id,stock_name,signal_date,source_pattern_family,baseline_current_left_peak_date,candidate_left_peak_date,candidate_days_before_left_low,candidate_drop_to_left_low_pct,candidate_left_descent_wrong_direction_rate_pct,candidate_matches_human_left_peak,candidate_selection_status,candidate_selection_reason,outcome_available,sym1_5_quality_bucket,sym1_5_w_shape_completed,sym1_5_neckline_volume_breakout,sym1_5_breakout_date,primary_review_flag,transition_status,slope_curvature_category,price_level_bucket,effective_mainstream_label,a_mature,a_return_pct,c_mature,c_return_pct,tdcc_any_age7,selected_for_rule_replay,manual_review_status,approved_for_daily,production_readiness,generated_at
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_left_anchor_rule_replay,w_bottom_left_anchor_rule_grid,warning_research_variant_only,w_bottom_left_anchor_rule_replay_20260625,warning_research_variant_only,current_detector_left_peak,45,current_detector_output,current_model_candidate,,,1102,亞泥,20260105,standard_double_bottom_w,20251001,20251001,20,-8.4967,40.0,false,selected,selected_current_detector_left_peak,true,right_low_broken_before_completion,false,false,,right_low_failed,observation_support_failed,smooth_rounded_w_like,bottom_quartile_level,non_mainstream,false,,false,,false,true,pending_research_review,false,not_production_ready_research_only,2026-06-25 14:10:23 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_left_anchor_rule_replay,w_bottom_left_anchor_rule_grid,warning_research_variant_only,w_bottom_left_anchor_rule_replay_20260625,warning_research_variant_only,highest_high_45d_before_left_low,45,highest_high_before_left_low,current_model_candidate,,,1102,亞泥,20260105,standard_double_bottom_w,20251001,20250821,44,-9.3264,38.6364,false,selected,selected_highest_high_in_45d_window,true,right_low_broken_before_completion,false,false,,right_low_failed,observation_support_failed,smooth_rounded_w_like,bottom_quartile_level,non_mainstream,false,,false,,false,true,pending_research_review,false,not_production_ready_research_only,2026-06-25 14:10:23 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_left_anchor_rule_replay,w_bottom_left_anchor_rule_grid,warning_research_variant_only,w_bottom_left_anchor_rule_replay_20260625,warning_research_variant_only,highest_high_90d_before_left_low,90,highest_high_before_left_low,current_model_candidate,,,1102,亞泥,20260105,standard_double_bottom_w,20251001,20250704,78,-20.8145,38.4615,false,selected,selected_highest_high_in_90d_window,true,right_low_broken_before_completion,false,false,,right_low_failed,observation_support_failed,smooth_rounded_w_like,bottom_quartile_level,non_mainstream,false,,false,,false,true,pending_research_review,false,not_production_ready_research_only,2026-06-25 14:10:23 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_left_anchor_rule_replay,w_bottom_left_anchor_rule_grid,warning_research_variant_only,w_bottom_left_anchor_rule_replay_20260625,warning_research_variant_only,nearest_micro_pressure_45d_min15_before_left_low,45,nearest_micro_pressure_before_left_low,current_model_candidate,,,1102,亞泥,20260105,standard_double_bottom_w,20251001,,,,,false,not_selected,no_micro_peak_with_min_15pct_drop_and_min_8d_left_leg,true,right_low_broken_before_completion,false,false,,right_low_failed,observation_support_failed,smooth_rounded_w_like,bottom_quartile_level,non_mainstream,false,,false,,false,false,pending_research_review,false,not_production_ready_research_only,2026-06-25 14:10:23 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_left_anchor_rule_replay,w_bottom_left_anchor_rule_grid,warning_research_variant_only,w_bottom_left_anchor_rule_replay_20260625,warning_research_variant_only,nearest_micro_pressure_90d_min15_before_left_low,90,nearest_micro_pressure_before_left_low,current_model_candidate,,,1102,亞泥,20260105,standard_double_bottom_w,20251001,20250807,54,-13.4734,35.1852,false,selected,selected_nearest_micro_peak_with_min_15pct_drop_and_min_8d_left_leg,true,right_low_broken_before_completion,false,false,,right_low_failed,observation_support_failed,smooth_rounded_w_like,bottom_quartile_level,non_mainstream,false,,false,,false,true,pending_research_review,false,not_production_ready_research_only,2026-06-25 14:10:23 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_left_anchor_rule_replay,w_bottom_left_anchor_rule_grid,warning_research_variant_only,w_bottom_left_anchor_rule_replay_20260625,warning_research_variant_only,current_detector_left_peak,45,current_detector_output,current_model_candidate,,,2033,佳大,20260105,standard_double_bottom_w,20250725,20250725,5,-7.7882,20.0,false,selected,selected_current_detector_left_peak,true,no_completion_within_symmetry,false,false,,did_not_complete_w,observation_no_confirmation,wv_multiple_turn_risk,bottom_quartile_level,non_mainstream,false,,false,,false,true,pending_research_review,false,not_production_ready_research_only,2026-06-25 14:10:23 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_left_anchor_rule_replay,w_bottom_left_anchor_rule_grid,warning_research_variant_only,w_bottom_left_anchor_rule_replay_20260625,warning_research_variant_only,highest_high_45d_before_left_low,45,highest_high_before_left_low,current_model_candidate,,,2033,佳大,20260105,standard_double_bottom_w,20250725,20250612,36,-19.7832,38.8889,false,selected,selected_highest_high_in_45d_window,true,no_completion_within_symmetry,false,false,,did_not_complete_w,observation_no_confirmation,wv_multiple_turn_risk,bottom_quartile_level,non_mainstream,false,,false,,false,true,pending_research_review,false,not_production_ready_research_only,2026-06-25 14:10:23 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_left_anchor_rule_replay,w_bottom_left_anchor_rule_grid,warning_research_variant_only,w_bottom_left_anchor_rule_replay_20260625,warning_research_variant_only,highest_high_90d_before_left_low,90,highest_high_before_left_low,current_model_candidate,,,2033,佳大,20260105,standard_double_bottom_w,20250725,20250523,49,-26.5509,40.8163,false,selected,selected_highest_high_in_90d_window,true,no_completion_within_symmetry,false,false,,did_not_complete_w,observation_no_confirmation,wv_multiple_turn_risk,bottom_quartile_level,non_mainstream,false,,false,,false,true,pending_research_review,false,not_production_ready_research_only,2026-06-25 14:10:23 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_left_anchor_rule_replay,w_bottom_left_anchor_rule_grid,warning_research_variant_only,w_bottom_left_anchor_rule_replay_20260625,warning_research_variant_only,nearest_micro_pressure_45d_min15_before_left_low,45,nearest_micro_pressure_before_left_low,current_model_candidate,,,2033,佳大,20260105,standard_double_bottom_w,20250725,20250624,28,-17.3184,42.8571,false,selected,selected_nearest_micro_peak_with_min_15pct_drop_and_min_8d_left_leg,true,no_completion_within_symmetry,false,false,,did_not_complete_w,observation_no_confirmation,wv_multiple_turn_risk,bottom_quartile_level,non_mainstream,false,,false,,false,true,pending_research_review,false,not_production_ready_research_only,2026-06-25 14:10:23 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_left_anchor_rule_replay,w_bottom_left_anchor_rule_grid,warning_research_variant_only,w_bottom_left_anchor_rule_replay_20260625,warning_research_variant_only,nearest_micro_pressure_90d_min15_before_left_low,90,nearest_micro_pressure_before_left_low,current_model_candidate,,,2033,佳大,20260105,standard_double_bottom_w,20250725,20250624,28,-17.3184,42.8571,false,selected,selected_nearest_micro_peak_with_min_15pct_drop_and_min_8d_left_leg,true,no_completion_within_symmetry,false,false,,did_not_complete_w,observation_no_confirmation,wv_multiple_turn_risk,bottom_quartile_level,non_mainstream,false,,false,,false,true,pending_research_review,false,not_production_ready_research_only,2026-06-25 14:10:23 Asia/Taipei
