generated_at,model_id,artifact_id,artifact_version,analysis_basis,row_type,feature_order,feature_id,feature_family,feature_rule,success_group_count,failure_group_count,success_observed_count,failure_observed_count,success_hit_count,failure_hit_count,success_hit_rate_pct,failure_hit_rate_pct,success_minus_failure_hit_rate_pct_points,feature_hit_event_count,strict_success_share_when_feature_hit_pct,feature_miss_event_count,strict_success_share_when_feature_miss_pct,success_mean,success_median,failure_mean,failure_median,success_minus_failure_mean,standardized_mean_difference,contrast_scope,sample_policy,approved_for_daily,production_change,promotion_readiness
2026-07-13 16:41:52 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v1_20260713,excluding_unresolved_anomaly_candidates_sensitivity,binary_feature,10,breakout_prev40,breakout,trigger close is above previous 40-day highest close,329,1167,329,1167,220,346,66.8693,29.6487,37.2206,566,38.8693,930,11.7204,,,,,,,descriptive_retrospective_source_launch_vs_source_first_mature_failure_not_trade_win_rate,sample_count_disclosed_not_used_as_automatic_rejection,False,False,blocked_pending_rule_matrix_decision
2026-07-13 16:41:52 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v1_20260713,excluding_unresolved_anomaly_candidates_sensitivity,binary_feature,20,breakout_prev60,breakout,trigger close is above previous 60-day highest close,329,1167,329,1167,177,200,53.7994,17.138,36.6614,377,46.9496,1119,13.5836,,,,,,,descriptive_retrospective_source_launch_vs_source_first_mature_failure_not_trade_win_rate,sample_count_disclosed_not_used_as_automatic_rejection,False,False,blocked_pending_rule_matrix_decision
2026-07-13 16:41:52 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v1_20260713,excluding_unresolved_anomaly_candidates_sensitivity,binary_feature,30,next_close_continuation,close_confirmation,next-day close is above trigger close,329,1167,329,1167,196,501,59.5745,42.9306,16.6439,697,28.1205,799,16.6458,,,,,,,descriptive_retrospective_source_launch_vs_source_first_mature_failure_not_trade_win_rate,sample_count_disclosed_not_used_as_automatic_rejection,False,False,blocked_pending_rule_matrix_decision
2026-07-13 16:41:52 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v1_20260713,excluding_unresolved_anomaly_candidates_sensitivity,binary_feature,40,next_close_holds_breakout,close_confirmation,next-day close holds the trigger's previous 20-day highest close,329,1167,329,1167,280,861,85.1064,73.7789,11.3275,1141,24.5399,355,13.8028,,,,,,,descriptive_retrospective_source_launch_vs_source_first_mature_failure_not_trade_win_rate,sample_count_disclosed_not_used_as_automatic_rejection,False,False,blocked_pending_rule_matrix_decision
2026-07-13 16:41:52 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v1_20260713,excluding_unresolved_anomaly_candidates_sensitivity,binary_feature,100,volume_ge1_5,volume,trigger-day volume ratio >= 1.5,329,1167,329,1167,223,756,67.7812,64.7815,2.9997,979,22.7783,517,20.5029,,,,,,,descriptive_retrospective_source_launch_vs_source_first_mature_failure_not_trade_win_rate,sample_count_disclosed_not_used_as_automatic_rejection,False,False,blocked_pending_rule_matrix_decision
2026-07-13 16:41:52 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v1_20260713,excluding_unresolved_anomaly_candidates_sensitivity,binary_feature,110,volume_ge2,volume,trigger-day volume ratio >= 2.0,329,1167,329,1167,166,595,50.4559,50.9854,-0.5295,761,21.8134,735,22.1769,,,,,,,descriptive_retrospective_source_launch_vs_source_first_mature_failure_not_trade_win_rate,sample_count_disclosed_not_used_as_automatic_rejection,False,False,blocked_pending_rule_matrix_decision
2026-07-13 16:41:52 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v1_20260713,excluding_unresolved_anomaly_candidates_sensitivity,binary_feature,120,ma60_gt_ma120,technical,MA60 > MA120,329,1167,329,1167,226,441,68.693,37.7892,30.9038,667,33.8831,829,12.4246,,,,,,,descriptive_retrospective_source_launch_vs_source_first_mature_failure_not_trade_win_rate,sample_count_disclosed_not_used_as_automatic_rejection,False,False,blocked_pending_rule_matrix_decision
2026-07-13 16:41:52 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v1_20260713,excluding_unresolved_anomaly_candidates_sensitivity,binary_feature,130,obv_above_ma20,technical,OBV above OBV MA20,329,1167,329,1166,315,1047,95.7447,89.7942,5.9505,1362,23.1278,133,10.5263,,,,,,,descriptive_retrospective_source_launch_vs_source_first_mature_failure_not_trade_win_rate,sample_count_disclosed_not_used_as_automatic_rejection,False,False,blocked_pending_rule_matrix_decision
2026-07-13 16:41:52 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v1_20260713,excluding_unresolved_anomaly_candidates_sensitivity,binary_feature,140,kdj_bullish_not_extreme,technical,"K > D, J > K, and J < 100",329,1167,329,1093,228,720,69.3009,65.8737,3.4272,948,24.0506,474,21.308,,,,,,,descriptive_retrospective_source_launch_vs_source_first_mature_failure_not_trade_win_rate,sample_count_disclosed_not_used_as_automatic_rejection,False,False,blocked_pending_rule_matrix_decision
2026-07-13 16:41:52 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v1_20260713,excluding_unresolved_anomaly_candidates_sensitivity,binary_feature,150,close_above_ma20_ema23,technical,close above MA20 and EMA23,329,1167,329,1167,326,1160,99.0881,99.4002,-0.3121,1486,21.9381,10,30.0,,,,,,,descriptive_retrospective_source_launch_vs_source_first_mature_failure_not_trade_win_rate,sample_count_disclosed_not_used_as_automatic_rejection,False,False,blocked_pending_rule_matrix_decision
2026-07-13 16:41:52 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v1_20260713,excluding_unresolved_anomaly_candidates_sensitivity,binary_feature,160,macd_hist_gt0,technical,MACD histogram > 0,329,1167,312,887,298,840,95.5128,94.7012,0.8116,1138,26.1863,61,22.9508,,,,,,,descriptive_retrospective_source_launch_vs_source_first_mature_failure_not_trade_win_rate,sample_count_disclosed_not_used_as_automatic_rejection,False,False,blocked_pending_rule_matrix_decision
2026-07-13 16:41:52 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v1_20260713,excluding_unresolved_anomaly_candidates_sensitivity,binary_feature,170,rsi14_40_70,technical,40 <= RSI14 <= 70,329,1167,328,1077,224,855,68.2927,79.3872,-11.0945,1079,20.76,326,31.9018,,,,,,,descriptive_retrospective_source_launch_vs_source_first_mature_failure_not_trade_win_rate,sample_count_disclosed_not_used_as_automatic_rejection,False,False,blocked_pending_rule_matrix_decision
2026-07-13 16:41:52 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v1_20260713,excluding_unresolved_anomaly_candidates_sensitivity,binary_feature,180,rsi14_ge60,technical,RSI14 >= 60,329,1167,328,1077,258,726,78.6585,67.4095,11.249,984,26.2195,421,16.6271,,,,,,,descriptive_retrospective_source_launch_vs_source_first_mature_failure_not_trade_win_rate,sample_count_disclosed_not_used_as_automatic_rejection,False,False,blocked_pending_rule_matrix_decision
2026-07-13 16:41:52 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v1_20260713,excluding_unresolved_anomaly_candidates_sensitivity,binary_feature,190,kdj_j_ge100,technical_risk,KDJ J >= 100,329,1167,329,1093,92,339,27.9635,31.0156,-3.0521,431,21.3457,991,23.9152,,,,,,,descriptive_retrospective_source_launch_vs_source_first_mature_failure_not_trade_win_rate,sample_count_disclosed_not_used_as_automatic_rejection,False,False,blocked_pending_rule_matrix_decision
2026-07-13 16:41:52 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v1_20260713,excluding_unresolved_anomaly_candidates_sensitivity,binary_feature,200,return20_0_25,price_momentum,20-day close return between 0% and 25%,329,1167,329,1167,281,1133,85.4103,97.0865,-11.6762,1414,19.8727,82,58.5366,,,,,,,descriptive_retrospective_source_launch_vs_source_first_mature_failure_not_trade_win_rate,sample_count_disclosed_not_used_as_automatic_rejection,False,False,blocked_pending_rule_matrix_decision
2026-07-13 16:41:52 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v1_20260713,excluding_unresolved_anomaly_candidates_sensitivity,binary_feature,210,range23_le15,price_shape,previous 23-day range width <= 15%,329,1167,329,1167,152,877,46.2006,75.15,-28.9494,1029,14.7716,467,37.9015,,,,,,,descriptive_retrospective_source_launch_vs_source_first_mature_failure_not_trade_win_rate,sample_count_disclosed_not_used_as_automatic_rejection,False,False,blocked_pending_rule_matrix_decision
2026-07-13 16:41:52 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v1_20260713,excluding_unresolved_anomaly_candidates_sensitivity,binary_feature,220,position120_low_le40,price_position,close position in previous 120-day range <= 40%,329,1167,319,1002,30,251,9.4044,25.0499,-15.6455,281,10.6762,1040,27.7885,,,,,,,descriptive_retrospective_source_launch_vs_source_first_mature_failure_not_trade_win_rate,sample_count_disclosed_not_used_as_automatic_rejection,False,False,blocked_pending_rule_matrix_decision
2026-07-13 16:41:52 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v1_20260713,excluding_unresolved_anomaly_candidates_sensitivity,binary_feature,230,position120_mid_40_75,price_position,40% < close position in previous 120-day range <= 75%,329,1167,319,1002,78,366,24.4514,36.5269,-12.0755,444,17.5676,877,27.48,,,,,,,descriptive_retrospective_source_launch_vs_source_first_mature_failure_not_trade_win_rate,sample_count_disclosed_not_used_as_automatic_rejection,False,False,blocked_pending_rule_matrix_decision
2026-07-13 16:41:52 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v1_20260713,excluding_unresolved_anomaly_candidates_sensitivity,binary_feature,240,position120_high_gt75,price_position,close position in previous 120-day range > 75%,329,1167,319,1002,211,385,66.1442,38.4232,27.721,596,35.4027,725,14.8966,,,,,,,descriptive_retrospective_source_launch_vs_source_first_mature_failure_not_trade_win_rate,sample_count_disclosed_not_used_as_automatic_rejection,False,False,blocked_pending_rule_matrix_decision
2026-07-13 16:41:52 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v1_20260713,excluding_unresolved_anomaly_candidates_sensitivity,binary_feature,250,solid_red_candle,candle,solid red candle,329,1167,329,1167,224,738,68.0851,63.2391,4.846,962,23.2848,534,19.6629,,,,,,,descriptive_retrospective_source_launch_vs_source_first_mature_failure_not_trade_win_rate,sample_count_disclosed_not_used_as_automatic_rejection,False,False,blocked_pending_rule_matrix_decision
2026-07-13 16:41:52 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v1_20260713,excluding_unresolved_anomaly_candidates_sensitivity,binary_feature,300,tdcc_high_thresholds_up,tdcc,TDCC high thresholds increasing,329,1167,90,173,26,76,28.8889,43.9306,-15.0417,102,25.4902,161,39.7516,,,,,,,descriptive_retrospective_source_launch_vs_source_first_mature_failure_not_trade_win_rate,sample_count_disclosed_not_used_as_automatic_rejection,False,False,blocked_pending_rule_matrix_decision
2026-07-13 16:41:52 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v1_20260713,excluding_unresolved_anomaly_candidates_sensitivity,binary_feature,310,tdcc_consecutive_up_ge1,tdcc,TDCC consecutive up weeks >= 1,329,1167,90,173,35,95,38.8889,54.9133,-16.0244,130,26.9231,133,41.3534,,,,,,,descriptive_retrospective_source_launch_vs_source_first_mature_failure_not_trade_win_rate,sample_count_disclosed_not_used_as_automatic_rejection,False,False,blocked_pending_rule_matrix_decision
2026-07-13 16:41:52 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v1_20260713,excluding_unresolved_anomaly_candidates_sensitivity,binary_feature,320,market_bull,market_regime,market regime is strong_bull or mild_bull,329,1167,329,1167,298,1095,90.5775,93.8303,-3.2528,1393,21.3927,103,30.0971,,,,,,,descriptive_retrospective_source_launch_vs_source_first_mature_failure_not_trade_win_rate,sample_count_disclosed_not_used_as_automatic_rejection,False,False,blocked_pending_rule_matrix_decision
2026-07-13 16:41:52 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v1_20260713,excluding_unresolved_anomaly_candidates_sensitivity,binary_feature,330,market_correction_or_high_risk,market_regime_risk,market regime is correction or high_risk,329,1167,329,1167,31,72,9.4225,6.1697,3.2528,103,30.0971,1393,21.3927,,,,,,,descriptive_retrospective_source_launch_vs_source_first_mature_failure_not_trade_win_rate,sample_count_disclosed_not_used_as_automatic_rejection,False,False,blocked_pending_rule_matrix_decision
