research_id,research_variant_id,parameter_set_id,advisory_status,auto_context_scope_id,analysis_scope_id,auto_pre_signal_context,event_count,win_count,neutral_count,loss_count,pure_win_rate_pct,neutral_inclusive_success_rate_pct,avg_return_pct,median_return_pct,approved_for_daily,production_readiness,generated_at
structured_neckline_auto_context_expansion_audit,warning_research_variant_only,structured_neckline_auto_context_expansion_audit_20260629,warning_research_variant_only,auto_pre_signal_context_expansion,all_retest_entries,bearish,56,18,14,24,42.8571,57.1429,1.0360,2.7441,false,not_production_ready_research_only,2026-06-29 01:40:27 Asia/Taipei
structured_neckline_auto_context_expansion_audit,warning_research_variant_only,structured_neckline_auto_context_expansion_audit_20260629,warning_research_variant_only,auto_pre_signal_context_expansion,all_retest_entries,sideways_or_consolidation,58,14,7,37,27.4510,36.2069,-0.2716,-3.1442,false,not_production_ready_research_only,2026-06-29 01:40:27 Asia/Taipei
structured_neckline_auto_context_expansion_audit,warning_research_variant_only,structured_neckline_auto_context_expansion_audit_20260629,warning_research_variant_only,auto_pre_signal_context_expansion,all_retest_entries,slow_uptrend,172,77,32,63,55.0000,63.3721,2.7447,3.9004,false,not_production_ready_research_only,2026-06-29 01:40:27 Asia/Taipei
structured_neckline_auto_context_expansion_audit,warning_research_variant_only,structured_neckline_auto_context_expansion_audit_20260629,warning_research_variant_only,auto_pre_signal_context_expansion,all_retest_entries,volatile_mixed,88,38,22,28,57.5758,68.1818,1.7683,3.2038,false,not_production_ready_research_only,2026-06-29 01:40:27 Asia/Taipei
structured_neckline_auto_context_expansion_audit,warning_research_variant_only,structured_neckline_auto_context_expansion_audit_20260629,warning_research_variant_only,auto_pre_signal_context_expansion,all_auto_non_bearish,sideways_or_consolidation,58,14,7,37,27.4510,36.2069,-0.2716,-3.1442,false,not_production_ready_research_only,2026-06-29 01:40:27 Asia/Taipei
structured_neckline_auto_context_expansion_audit,warning_research_variant_only,structured_neckline_auto_context_expansion_audit_20260629,warning_research_variant_only,auto_pre_signal_context_expansion,all_auto_non_bearish,slow_uptrend,172,77,32,63,55.0000,63.3721,2.7447,3.9004,false,not_production_ready_research_only,2026-06-29 01:40:27 Asia/Taipei
structured_neckline_auto_context_expansion_audit,warning_research_variant_only,structured_neckline_auto_context_expansion_audit_20260629,warning_research_variant_only,auto_pre_signal_context_expansion,all_auto_non_bearish,volatile_mixed,88,38,22,28,57.5758,68.1818,1.7683,3.2038,false,not_production_ready_research_only,2026-06-29 01:40:27 Asia/Taipei
structured_neckline_auto_context_expansion_audit,warning_research_variant_only,structured_neckline_auto_context_expansion_audit_20260629,warning_research_variant_only,auto_pre_signal_context_expansion,all_auto_bearish,bearish,56,18,14,24,42.8571,57.1429,1.0360,2.7441,false,not_production_ready_research_only,2026-06-29 01:40:27 Asia/Taipei
structured_neckline_auto_context_expansion_audit,warning_research_variant_only,structured_neckline_auto_context_expansion_audit_20260629,warning_research_variant_only,auto_pre_signal_context_expansion,low_position_le60_market_bull,bearish,47,15,12,20,42.8571,57.4468,1.4809,2.7322,false,not_production_ready_research_only,2026-06-29 01:40:27 Asia/Taipei
structured_neckline_auto_context_expansion_audit,warning_research_variant_only,structured_neckline_auto_context_expansion_audit_20260629,warning_research_variant_only,auto_pre_signal_context_expansion,low_position_le60_market_bull,sideways_or_consolidation,7,3,1,3,50.0000,57.1429,2.5884,3.8202,false,not_production_ready_research_only,2026-06-29 01:40:27 Asia/Taipei
structured_neckline_auto_context_expansion_audit,warning_research_variant_only,structured_neckline_auto_context_expansion_audit_20260629,warning_research_variant_only,auto_pre_signal_context_expansion,low_position_le60_market_bull,slow_uptrend,16,13,2,1,92.8571,93.7500,10.0183,11.7550,false,not_production_ready_research_only,2026-06-29 01:40:27 Asia/Taipei
structured_neckline_auto_context_expansion_audit,warning_research_variant_only,structured_neckline_auto_context_expansion_audit_20260629,warning_research_variant_only,auto_pre_signal_context_expansion,low_position_le60_market_bull,volatile_mixed,25,11,8,6,64.7059,76.0000,3.4914,3.3067,false,not_production_ready_research_only,2026-06-29 01:40:27 Asia/Taipei
structured_neckline_auto_context_expansion_audit,warning_research_variant_only,structured_neckline_auto_context_expansion_audit_20260629,warning_research_variant_only,auto_pre_signal_context_expansion,low_position_le60_market_bull_auto_non_bearish,sideways_or_consolidation,7,3,1,3,50.0000,57.1429,2.5884,3.8202,false,not_production_ready_research_only,2026-06-29 01:40:27 Asia/Taipei
structured_neckline_auto_context_expansion_audit,warning_research_variant_only,structured_neckline_auto_context_expansion_audit_20260629,warning_research_variant_only,auto_pre_signal_context_expansion,low_position_le60_market_bull_auto_non_bearish,slow_uptrend,16,13,2,1,92.8571,93.7500,10.0183,11.7550,false,not_production_ready_research_only,2026-06-29 01:40:27 Asia/Taipei
structured_neckline_auto_context_expansion_audit,warning_research_variant_only,structured_neckline_auto_context_expansion_audit_20260629,warning_research_variant_only,auto_pre_signal_context_expansion,low_position_le60_market_bull_auto_non_bearish,volatile_mixed,25,11,8,6,64.7059,76.0000,3.4914,3.3067,false,not_production_ready_research_only,2026-06-29 01:40:27 Asia/Taipei
structured_neckline_auto_context_expansion_audit,warning_research_variant_only,structured_neckline_auto_context_expansion_audit_20260629,warning_research_variant_only,auto_pre_signal_context_expansion,low_position_le60_market_bull_auto_bearish,bearish,47,15,12,20,42.8571,57.4468,1.4809,2.7322,false,not_production_ready_research_only,2026-06-29 01:40:27 Asia/Taipei
